block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
818A,Choa Chu Kang Ave 1,16 to 18,67,Model A,2017,94.92,422000,Nov 2021
804A,Keat Hong Cl,07 to 09,68,Model A,2017,94.58,380000,Nov 2021
818A,Choa Chu Kang Ave 1,04 to 06,67,Model A,2017,95,390000,Oct 2021
818A,Choa Chu Kang Ave 1,10 to 12,67,Model A,2017,95,400000,Oct 2021
818A,Choa Chu Kang Ave 1,19 to 21,67,Model A,2017,95,439888,Oct 2021
811A,Choa Chu Kang Ave 7,01 to 03,68,Model A,2017,95.17,365000,Oct 2021
801A,Keat Hong Cl,04 to 06,67,Model A,2018,95.42,375000,Oct 2021
5,Teck Whye Ave,04 to 06,74,Model A,1984,61.42,325000,Oct 2021
10,Teck Whye Ave,04 to 06,82,New Generation,1978,55.67,335000,Oct 2021
166A,Teck Whye Cres,22 to 24,68,Model A,2015,92.42,380000,Oct 2021
166B,Teck Whye Cres,16 to 18,68,Model A,2015,92.42,365888,Oct 2021
16,Teck Whye Lane,10 to 12,67,New Generation,1979,56.5,301888,Oct 2021
26,Teck Whye Lane,07 to 09,89,New Generation,1979,56.5,330000,Oct 2021
818A,Choa Chu Kang Ave 1,13 to 15,67,Model A,2017,95.08,410000,Sep 2021
818B,Choa Chu Kang Ave 1,07 to 09,67,Model A,2017,95.08,386000,Sep 2021
818B,Choa Chu Kang Ave 1,07 to 09,67,Model A,2017,95.08,390000,Sep 2021
811A,Choa Chu Kang Ave 7,04 to 06,68,Model A,2017,95.25,375000,Sep 2021
574,Choa Chu Kang St 52,04 to 06,67,Model A,2015,92.42,340000,Sep 2021
801A,Keat Hong Cl,10 to 12,67,Model A,2018,95.5,365000,Sep 2021
801A,Keat Hong Cl,10 to 12,67,Model A,2018,95.5,385000,Sep 2021
801A,Keat Hong Cl,07 to 09,67,Model A,2018,95.5,395000,Sep 2021
801A,Keat Hong Cl,13 to 15,67,Model A,2018,95.5,412888,Sep 2021
801C,Keat Hong Cl,13 to 15,67,Model A,2018,95.42,390000,Sep 2021
802A,Keat Hong Cl,13 to 15,67,Model A,2018,95.42,395000,Sep 2021
804A,Keat Hong Cl,04 to 06,68,Model A,2017,94.75,376000,Sep 2021
6,Teck Whye Ave,04 to 06,74,Model A,1984,61.58,325000,Sep 2021
166A,Teck Whye Cres,16 to 18,68,Model A,2015,92.5,390000,Sep 2021
16,Teck Whye Lane,04 to 06,67,New Generation,1979,56.58,295000,Sep 2021
114,Teck Whye Lane,07 to 09,73,Model A,1989,67.08,325000,Sep 2021
115,Teck Whye Lane,07 to 09,73,Model A,1989,66.75,320000,Sep 2021
809B,Choa Chu Kang Ave 1,10 to 12,67,Model A,2017,94.75,388000,Aug 2021
818A,Choa Chu Kang Ave 1,07 to 09,67,Model A,2017,95.08,390000,Aug 2021
818B,Choa Chu Kang Ave 1,10 to 12,67,Model A,2017,95.17,390000,Aug 2021
818B,Choa Chu Kang Ave 1,16 to 18,67,Model A,2017,95.17,408000,Aug 2021
571,Choa Chu Kang St 52,04 to 06,67,Model A,2015,92.5,360000,Aug 2021
802A,Keat Hong Cl,07 to 09,67,Model A,2018,95.58,378000,Aug 2021
10,Teck Whye Ave,04 to 06,67,New Generation,1978,55.83,292000,Aug 2021
490A,Choa Chu Kang Ave 5,04 to 06,68,Model A,2016,94,365000,Jul 2021
811A,Choa Chu Kang Ave 7,13 to 15,68,Model A,2017,95.42,373000,Jul 2021
811A,Choa Chu Kang Ave 7,13 to 15,68,Model A,2017,95.42,381314.19,Jul 2021
811A,Choa Chu Kang Ave 7,07 to 09,68,Model A,2017,95.5,382000,Jul 2021
802A,Keat Hong Cl,13 to 15,67,Model A,2018,95.67,380000,Jul 2021
6,Teck Whye Ave,04 to 06,74,Model A,1984,61.75,310000,Jul 2021
166A,Teck Whye Cres,19 to 21,68,Model A,2015,92.67,390000,Jul 2021
19,Teck Whye Lane,07 to 09,68,New Generation,1981,59.25,325000,Jul 2021
105,Teck Whye Lane,07 to 09,73,Model A,1989,67.33,323500,Jul 2021
809B,Choa Chu Kang Ave 1,01 to 03,67,Model A,2017,95,335000,Jun 2021
490B,Choa Chu Kang Ave 5,10 to 12,68,Model A,2016,94.08,365000,Jun 2021
803B,Keat Hong Cl,13 to 15,68,Model A,2017,95,393000,Jun 2021
3,Teck Whye Ave,07 to 09,79,Model A,1984,62.25,312000,Jun 2021
19,Teck Whye Lane,04 to 06,68,New Generation,1981,59.33,302000,Jun 2021
105,Teck Whye Lane,01 to 03,73,Model A,1989,67.33,310000,Jun 2021
807A,Choa Chu Kang Ave 1,10 to 12,67,Model A,2017,95,380000,May 2021
809B,Choa Chu Kang Ave 1,04 to 06,67,Model A,2017,95,355000,May 2021
490B,Choa Chu Kang Ave 5,07 to 09,68,Model A,2016,94.08,360000,May 2021
811A,Choa Chu Kang Ave 7,07 to 09,68,Model A,2017,95.58,368000,May 2021
571,Choa Chu Kang St 52,10 to 12,67,Model A,2015,92.75,380000,May 2021
574,Choa Chu Kang St 52,10 to 12,67,Model A,2015,92.75,360000,May 2021
6,Teck Whye Ave,01 to 03,74,Model A,1984,61.92,270000,May 2021
166B,Teck Whye Cres,01 to 03,68,Model A,2015,92.83,325000,May 2021
110,Teck Whye Lane,04 to 06,73,Model A,1989,67.5,295000,May 2021
111,Teck Whye Lane,01 to 03,73,Model A,1989,67.42,300000,May 2021
807A,Choa Chu Kang Ave 1,13 to 15,67,Model A,2017,95.08,370000,Apr 2021
807A,Choa Chu Kang Ave 1,04 to 06,67,Model A,2017,95,370000,Apr 2021
490B,Choa Chu Kang Ave 5,07 to 09,68,Model A,2016,94.25,340000,Apr 2021
574,Choa Chu Kang St 52,13 to 15,67,Model A,2015,92.83,360000,Apr 2021
803A,Keat Hong Cl,07 to 09,68,Model A,2017,95.08,360000,Apr 2021
809B,Choa Chu Kang Ave 1,04 to 06,67,Model A,2017,95.25,345000,Mar 2021
809B,Choa Chu Kang Ave 1,01 to 03,67,Model A,2017,95.17,353000,Mar 2021
490B,Choa Chu Kang Ave 5,13 to 15,68,Model A,2016,94.25,351000,Mar 2021
811A,Choa Chu Kang Ave 7,16 to 18,68,Model A,2017,95.75,365000,Mar 2021
535,Choa Chu Kang St 51,07 to 09,69,Model A,2011,89.5,330000,Mar 2021
573,Choa Chu Kang St 52,10 to 12,67,Model A,2015,92.83,350000,Mar 2021
4,Teck Whye Ave,07 to 09,74,Model A,1984,62.33,300000,Mar 2021
106,Teck Whye Lane,01 to 03,73,Model A,1989,67.58,317000,Mar 2021
807A,Choa Chu Kang Ave 1,04 to 06,67,Model A,2017,95.33,350000,Feb 2021
803A,Keat Hong Cl,07 to 09,68,Model A,2017,95.33,342500,Feb 2021
803A,Keat Hong Cl,04 to 06,68,Model A,2017,95.33,365000,Feb 2021
804A,Keat Hong Cl,04 to 06,68,Model A,2017,95.25,350000,Feb 2021
1,Teck Whye Ave,04 to 06,74,Model A,1984,62.75,265000,Feb 2021
2,Teck Whye Ave,13 to 15,74,Model A,1984,62.75,290000,Feb 2021
19,Teck Whye Lane,07 to 09,82,New Generation,1981,59.58,330000,Feb 2021
26,Teck Whye Lane,10 to 12,74,New Generation,1979,57.08,287900,Feb 2021
809B,Choa Chu Kang Ave 1,07 to 09,67,Model A,2017,95.33,350000,Jan 2021
476D,Choa Chu Kang Ave 5,10 to 12,67,Model A,2013,91.75,340000,Jan 2021
803B,Keat Hong Cl,07 to 09,68,Model A,2017,95.42,357500,Jan 2021
804A,Keat Hong Cl,04 to 06,68,Model A,2017,95.33,370000,Jan 2021
10,Teck Whye Ave,10 to 12,67,New Generation,1978,56.42,275000,Jan 2021
166A,Teck Whye Cres,07 to 09,68,Model A,2015,93.08,365888,Jan 2021
16,Teck Whye Lane,01 to 03,82,New Generation,1979,57.17,308000,Jan 2021
105,Teck Whye Lane,07 to 09,73,Model A,1989,67.75,300018,Jan 2021
807A,Choa Chu Kang Ave 1,10 to 12,67,Model A,2017,95.5,326000,Dec 2020
807A,Choa Chu Kang Ave 1,10 to 12,67,Model A,2017,95.42,355000,Dec 2020
807A,Choa Chu Kang Ave 1,10 to 12,67,Model A,2017,95.42,360000,Dec 2020
809B,Choa Chu Kang Ave 1,01 to 03,67,Model A,2017,95.42,328000,Dec 2020
490B,Choa Chu Kang Ave 5,04 to 06,68,Model A,2016,94.58,335000,Dec 2020
490B,Choa Chu Kang Ave 5,07 to 09,68,Model A,2016,94.5,348000,Dec 2020
803A,Keat Hong Cl,01 to 03,68,Model A,2017,95.5,295000,Dec 2020
803A,Keat Hong Cl,07 to 09,68,Model A,2017,95.5,330000,Dec 2020
803A,Keat Hong Cl,10 to 12,68,Model A,2017,95.5,360000,Dec 2020
111,Teck Whye Lane,04 to 06,73,Model A,1989,67.83,295000,Dec 2020
807A,Choa Chu Kang Ave 1,07 to 09,67,Model A,2017,95.5,350500,Nov 2020
807A,Choa Chu Kang Ave 1,13 to 15,67,Model A,2017,95.5,355000,Nov 2020
809B,Choa Chu Kang Ave 1,07 to 09,67,Model A,2017,95.5,345000,Nov 2020
490A,Choa Chu Kang Ave 5,07 to 09,68,Model A,2016,94.67,335000,Nov 2020
490B,Choa Chu Kang Ave 5,04 to 06,68,Model A,2016,94.67,320000,Nov 2020
490B,Choa Chu Kang Ave 5,01 to 03,68,Model A,2016,94.67,320000,Nov 2020
570,Choa Chu Kang St 52,07 to 09,67,Model A,2015,93.17,328000,Nov 2020
571,Choa Chu Kang St 52,04 to 06,67,Model A,2015,93.17,345000,Nov 2020
818A,Choa Chu Kang Ave 1,16 to 18,67,Model A,2017,94.92,422000,Nov 2021
804A,Keat Hong Cl,07 to 09,68,Model A,2017,94.58,380000,Nov 2021
818A,Choa Chu Kang Ave 1,04 to 06,67,Model A,2017,95,390000,Oct 2021
