block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
108,ANG MO KIO AVE 4,01 TO 03,67,New Generation,1978,6,250000,2017-01,0.211562,3 ROOM
602,ANG MO KIO AVE 5,01 TO 03,67,New Generation,1980,6.17,262000,2017-01,0.211562,3 ROOM
465,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1980,6.17,265000,2017-01,0.211562,3 ROOM
601,ANG MO KIO AVE 5,01 TO 03,67,New Generation,1980,6.17,265000,2017-01,0.211562,3 ROOM
150,ANG MO KIO AVE 5,01 TO 03,68,New Generation,1981,6.25,275000,2017-01,0.211562,3 ROOM
447,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1979,6.08,280000,2017-01,0.211562,3 ROOM
218,ANG MO KIO AVE 1,04 TO 06,67,New Generation,1976,5.67,285000,2017-01,0.211562,3 ROOM
447,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1979,6.08,285000,2017-01,0.211562,3 ROOM
571,ANG MO KIO AVE 3,01 TO 03,67,New Generation,1979,6.08,285000,2017-01,0.211562,3 ROOM
534,ANG MO KIO AVE 10,01 TO 03,68,New Generation,1980,6.17,288500,2017-01,0.211562,3 ROOM
233,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1977,5.75,295000,2017-01,0.211562,3 ROOM
235,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1977,5.75,295000,2017-01,0.211562,3 ROOM
219,ANG MO KIO AVE 1,07 TO 09,67,New Generation,1977,5.75,297000,2017-01,0.211562,3 ROOM
536,ANG MO KIO AVE 10,07 TO 09,68,New Generation,1980,6.17,298000,2017-01,0.211562,3 ROOM
230,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1978,6,298000,2017-01,0.211562,3 ROOM
570,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1979,6.08,300000,2017-01,0.211562,3 ROOM
624,ANG MO KIO AVE 4,04 TO 06,68,New Generation,1980,6.17,301000,2017-01,0.211562,3 ROOM
441,ANG MO KIO AVE 10,07 TO 09,67,New Generation,1979,6.08,306000,2017-01,0.211562,3 ROOM
625,ANG MO KIO AVE 9,04 TO 06,68,New Generation,1980,6.17,312000,2017-01,0.211562,3 ROOM
119,ANG MO KIO AVE 3,07 TO 09,67,New Generation,1978,6,312000,2017-01,0.211562,3 ROOM
255,ANG MO KIO AVE 4,04 TO 06,73,New Generation,1977,5.75,321000,2017-01,0.211562,3 ROOM
432,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1979,6.08,325000,2017-01,0.211562,3 ROOM
211,ANG MO KIO AVE 3,01 TO 03,67,New Generation,1977,5.75,325000,2017-01,0.211562,3 ROOM
584,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1979,6.08,328000,2017-01,0.211562,3 ROOM
118,ANG MO KIO AVE 4,07 TO 09,74,New Generation,1978,6,330000,2017-01,0.211562,3 ROOM
333,ANG MO KIO AVE 1,07 TO 09,68,New Generation,1981,6.25,330000,2017-01,0.211562,3 ROOM
256,ANG MO KIO AVE 4,10 TO 12,73,New Generation,1977,5.75,335000,2017-01,0.211562,3 ROOM
330,ANG MO KIO AVE 1,07 TO 09,68,New Generation,1981,6.25,338000,2017-01,0.211562,3 ROOM
557,ANG MO KIO AVE 10,10 TO 12,82,New Generation,1980,6.17,366000,2017-01,0.211562,3 ROOM
