block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
23,SIN MING RD,10 TO 12,65,Improved,1973,5.42,285000,2017-03,0.0573088,3 ROOM
24,SIN MING RD,10 TO 12,65,Improved,1973,5.42,285000,2017-03,0.0573088,3 ROOM
406,SIN MING AVE,10 TO 12,64,Simplified,1987,6.75,332000,2017-03,0.0573088,3 ROOM
110,BISHAN ST 12,04 TO 06,64,Simplified,1986,6.58,345000,2017-04,0.0573088,3 ROOM
132,BISHAN ST 12,01 TO 03,64,Simplified,1987,6.67,370000,2017-04,0.0573088,3 ROOM
309,SHUNFU RD,13 TO 15,67,New Generation,1984,6.5,460000,2017-04,0.0573088,3 ROOM
151,BISHAN ST 11,04 TO 06,64,Simplified,1989,7,350000,2017-05,0.0573088,3 ROOM
133,BISHAN ST 12,01 TO 03,64,Simplified,1987,6.67,380000,2017-05,0.0573088,3 ROOM
308,SHUNFU RD,07 TO 09,67,New Generation,1984,6.5,428000,2017-05,0.0573088,3 ROOM
403,SIN MING AVE,01 TO 03,64,Simplified,1986,6.67,315000,2017-06,0.0573088,3 ROOM
193,BISHAN ST 13,01 TO 03,64,Simplified,1987,6.75,375000,2017-06,0.0573088,3 ROOM
108,BISHAN ST 12,01 TO 03,64,Simplified,1985,6.58,405000,2017-06,0.0573088,3 ROOM
176,BISHAN ST 13,10 TO 12,64,Simplified,1988,6.75,417000,2017-06,0.0573088,3 ROOM
304,SHUNFU RD,04 TO 06,67,New Generation,1985,6.5,420000,2017-06,0.0573088,3 ROOM
304,SHUNFU RD,07 TO 09,67,New Generation,1985,6.5,433000,2017-06,0.0573088,3 ROOM
188,BISHAN ST 13,07 TO 09,64,Simplified,1988,6.75,428000,2017-07,0.0573088,3 ROOM
308,SHUNFU RD,10 TO 12,67,New Generation,1984,6.5,450000,2017-07,0.0573088,3 ROOM
22,SIN MING RD,01 TO 03,68,Improved,1973,5.42,257000,2017-08,0.0573088,3 ROOM
133,BISHAN ST 12,01 TO 03,64,Simplified,1987,6.67,300000,2017-08,0.0573088,3 ROOM
105,BISHAN ST 12,01 TO 03,64,Simplified,1985,6.58,355000,2017-08,0.0573088,3 ROOM
176,BISHAN ST 13,01 TO 03,64,Simplified,1988,6.75,385000,2017-08,0.0573088,3 ROOM
22,SIN MING RD,10 TO 12,68,Improved,1973,5.42,258000,2017-09,0.0573088,3 ROOM
406,SIN MING AVE,04 TO 06,64,Simplified,1987,6.67,320000,2017-09,0.0573088,3 ROOM
151,BISHAN ST 11,01 TO 03,64,Simplified,1989,7,365000,2017-09,0.0573088,3 ROOM
189,BISHAN ST 13,04 TO 06,64,Simplified,1988,6.75,420000,2017-09,0.0573088,3 ROOM
189,BISHAN ST 13,10 TO 12,64,Simplified,1988,6.75,430000,2017-09,0.0573088,3 ROOM
195,BISHAN ST 13,10 TO 12,64,Simplified,1988,6.75,460000,2017-09,0.0573088,3 ROOM
22,SIN MING RD,10 TO 12,68,Improved,1973,5.42,260000,2017-10,0.0573088,3 ROOM
22,SIN MING RD,10 TO 12,68,Improved,1973,5.42,290000,2017-10,0.0573088,3 ROOM
23,SIN MING RD,04 TO 06,65,Improved,1973,5.42,300000,2017-10,0.0573088,3 ROOM
407,SIN MING AVE,04 TO 06,64,Simplified,1986,6.58,315000,2017-10,0.0573088,3 ROOM
176,BISHAN ST 13,01 TO 03,64,Simplified,1988,6.75,355000,2017-10,0.0573088,3 ROOM
