block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
116,BT MERAH VIEW,01 TO 03,59,Improved,1974,5.42,268000,2017-05,0.0901673,3 ROOM
43,TELOK BLANGAH RISE,07 TO 09,59,Improved,1976,5.58,290000,2017-05,0.0901673,3 ROOM
131,JLN BT MERAH,04 TO 06,65,Improved,1976,5.58,300000,2017-05,0.0901673,3 ROOM
16,TELOK BLANGAH CRES,04 TO 06,65,Improved,1975,5.5,306000,2017-05,0.0901673,3 ROOM
12,TAMAN HO SWEE,04 TO 06,54,Standard,1970,5.08,312000,2017-05,0.0901673,3 ROOM
142,JLN BT MERAH,10 TO 12,67,New Generation,1979,6,318000,2017-05,0.0901673,3 ROOM
28,HOY FATT RD,13 TO 15,60,Standard,1967,4.75,330000,2017-05,0.0901673,3 ROOM
12,TELOK BLANGAH CRES,13 TO 15,59,Improved,1975,5.5,330000,2017-05,0.0901673,3 ROOM
20,TELOK BLANGAH CRES,01 TO 03,76,Improved,1975,5.5,330000,2017-05,0.0901673,3 ROOM
146,JLN BT MERAH,07 TO 09,67,New Generation,1981,6.25,340000,2017-05,0.0901673,3 ROOM
12,TELOK BLANGAH CRES,07 TO 09,70,Improved,1975,5.5,340000,2017-05,0.0901673,3 ROOM
13,TELOK BLANGAH CRES,13 TO 15,65,Improved,1975,5.58,340000,2017-05,0.0901673,3 ROOM
119,BT MERAH VIEW,10 TO 12,65,Improved,1983,6.33,360000,2017-05,0.0901673,3 ROOM
119,BT MERAH VIEW,07 TO 09,65,Improved,1983,6.33,365000,2017-05,0.0901673,3 ROOM
119,BT MERAH VIEW,10 TO 12,65,Improved,1983,6.33,370000,2017-05,0.0901673,3 ROOM
104,BT PURMEI RD,07 TO 09,75,Model A,1984,6.42,380000,2017-05,0.0901673,3 ROOM
108,JLN BT MERAH,07 TO 09,74,Model A,1984,6.5,380000,2017-05,0.0901673,3 ROOM
148,SILAT AVE,10 TO 12,67,New Generation,1982,6.33,380888,2017-05,0.0901673,3 ROOM
18,TAMAN HO SWEE,07 TO 09,54,Standard,1970,5.08,405000,2017-05,0.0901673,3 ROOM
112,BT PURMEI RD,07 TO 09,74,Model A,1985,6.5,420000,2017-05,0.0901673,3 ROOM
4,EVERTON PK,07 TO 09,72,New Generation,1980,6.17,440000,2017-05,0.0901673,3 ROOM
13,CANTONMENT CL,01 TO 03,60,Model A,2003,8.33,449000,2017-05,0.0901673,3 ROOM
127A,KIM TIAN RD,31 TO 33,62,Model A,2013,9.33,540000,2017-05,0.0901673,3 ROOM
57,HAVELOCK RD,10 TO 12,69,Model A,2013,9.42,542800,2017-05,0.0901673,3 ROOM
127C,KIM TIAN RD,28 TO 30,62,Model A,2013,9.33,550000,2017-05,0.0901673,3 ROOM
80C,TELOK BLANGAH ST 31,10 TO 12,68,Premium Apartment,2013,9.42,553000,2017-05,0.0901673,3 ROOM
54,HAVELOCK RD,07 TO 09,69,Model A,2013,9.42,575000,2017-05,0.0901673,3 ROOM
38,KIM PONG RD,04 TO 06,88,Standard,1974,5.42,615000,2017-05,0.0901673,3 ROOM
34,KIM CHENG ST,01 TO 03,88,Standard,1973,5.33,668000,2017-05,0.0901673,3 ROOM
62,TELOK BLANGAH HTS,01 TO 03,73,New Generation,1976,5.67,280000,2017-06,0.0901673,3 ROOM
