block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
131,CASHEW RD,07 TO 09,73,Model A,1988,6.75,266000,2017-06,0.0901673,3 ROOM
108,GANGSA RD,07 TO 09,73,Model A,1986,6.67,270000,2017-06,0.0901673,3 ROOM
132,CASHEW RD,01 TO 03,73,Model A,1988,7,282000,2017-06,0.0901673,3 ROOM
128,PENDING RD,07 TO 09,73,Model A,1988,7,282000,2017-06,0.0901673,3 ROOM
220,PETIR RD,07 TO 09,73,Model A,1989,7,283000,2017-06,0.0901673,3 ROOM
106,GANGSA RD,04 TO 06,73,Model A,1988,6.75,297000,2017-06,0.0901673,3 ROOM
149,PETIR RD,10 TO 12,73,Model A,1988,7,305000,2017-06,0.0901673,3 ROOM
216,PETIR RD,04 TO 06,73,Model A,1989,7,253888,2017-07,0.0901673,3 ROOM
105,GANGSA RD,04 TO 06,64,Simplified,1987,6.75,272500,2017-07,0.0901673,3 ROOM
206,PETIR RD,04 TO 06,73,Model A,1989,7,280000,2017-07,0.0901673,3 ROOM
458,SEGAR RD,07 TO 09,68,Premium Apartment,2012,9.33,300000,2017-07,0.0901673,3 ROOM
105,GANGSA RD,01 TO 03,70,Simplified,1987,6.75,342000,2017-07,0.0901673,3 ROOM
115,PENDING RD,04 TO 06,73,Model A,1988,6.75,255000,2017-08,0.0901673,3 ROOM
112,PENDING RD,04 TO 06,64,Simplified,1988,7,265000,2017-08,0.0901673,3 ROOM
227,PENDING RD,04 TO 06,73,Model A,1989,7,277000,2017-08,0.0901673,3 ROOM
249,BANGKIT RD,04 TO 06,73,Model A,1989,7,278000,2017-08,0.0901673,3 ROOM
227,PENDING RD,04 TO 06,73,Model A,1989,7,280000,2017-08,0.0901673,3 ROOM
230,PENDING RD,01 TO 03,73,Model A,1988,7,285000,2017-08,0.0901673,3 ROOM
214,PETIR RD,10 TO 12,73,Model A,1988,7,290000,2017-08,0.0901673,3 ROOM
104,GANGSA RD,04 TO 06,73,Model A,1988,6.75,295000,2017-08,0.0901673,3 ROOM
205,PETIR RD,01 TO 03,73,Model A,1988,7,256000,2017-09,0.0901673,3 ROOM
102,GANGSA RD,04 TO 06,73,Model A,1988,6.75,280000,2017-09,0.0901673,3 ROOM
139,PETIR RD,01 TO 03,73,Model A,1988,6.75,280000,2017-09,0.0901673,3 ROOM
125,PENDING RD,10 TO 12,73,Model A,1987,6.75,315000,2017-09,0.0901673,3 ROOM
114,PENDING RD,04 TO 06,64,Simplified,1988,7,238000,2017-10,0.0901673,3 ROOM
150,PETIR RD,01 TO 03,73,Model A,1988,6.75,250000,2017-10,0.0901673,3 ROOM
132,CASHEW RD,04 TO 06,73,Model A,1988,7,260000,2017-10,0.0901673,3 ROOM
118,PENDING RD,01 TO 03,73,Model A,1988,6.75,280000,2017-10,0.0901673,3 ROOM
230,PENDING RD,10 TO 12,73,Model A,1988,7,280000,2017-10,0.0901673,3 ROOM
128,PENDING RD,07 TO 09,73,Model A,1988,6.75,290000,2017-10,0.0901673,3 ROOM
456,SEGAR RD,10 TO 12,68,Premium Apartment,2012,9.33,310000,2017-10,0.0901673,3 ROOM
633D,SENJA RD,25 TO 27,67,Model A,2013,9.42,328000,2017-10,0.0901673,3 ROOM
230,PENDING RD,01 TO 03,73,Model A,1988,7,255000,2017-11,0.0901673,3 ROOM
113,PENDING RD,04 TO 06,73,Model A,1988,6.75,267000,2017-11,0.0901673,3 ROOM
109,GANGSA RD,01 TO 03,70,Simplified,1988,6.75,283000,2017-11,0.0901673,3 ROOM
115,PENDING RD,10 TO 12,73,Model A,1988,6.75,291000,2017-11,0.0901673,3 ROOM
633D,SENJA RD,16 TO 18,67,Model A,2013,9.42,330000,2017-11,0.0901673,3 ROOM
221,PENDING RD,04 TO 06,73,Model A,1988,7,271000,2017-12,0.0901673,3 ROOM
216,PETIR RD,10 TO 12,73,Model A,1989,7,290000,2017-12,0.0901673,3 ROOM
220,PETIR RD,01 TO 03,73,Model A,1989,7,258888,2017-12,0.0901673,3 ROOM
214,PETIR RD,01 TO 03,73,Model A,1988,6.75,270000,2017-12,0.0901673,3 ROOM
142,PETIR RD,10 TO 12,73,Model A,1988,6.75,297000,2017-12,0.0901673,3 ROOM
633A,SENJA RD,19 TO 21,67,Model A,2013,9.42,325000,2017-12,0.0901673,3 ROOM
116,PENDING RD,10 TO 12,73,Model A,1987,6.67,288888,2018-01,0.0901673,3 ROOM
206,PETIR RD,10 TO 12,73,Model A,1989,7,295000,2018-01,0.0901673,3 ROOM
633A,SENJA RD,16 TO 18,67,Model A,2013,9.33,330000,2018-01,0.0901673,3 ROOM
252,BANGKIT RD,04 TO 06,73,Model A,1989,7,275000,2018-02,0.0901673,3 ROOM
104,GANGSA RD,04 TO 06,73,Model A,1988,6.75,282000,2018-02,0.0901673,3 ROOM
230,PENDING RD,04 TO 06,73,Model A,1988,6.75,299000,2018-02,0.0901673,3 ROOM
458,SEGAR RD,07 TO 09,68,Premium Apartment,2012,9.25,317000,2018-02,0.0901673,3 ROOM
139,PETIR RD,04 TO 06,73,Model A,1988,6.75,275000,2018-03,0.0901673,3 ROOM
131,CASHEW RD,07 TO 09,73,Model A,1988,6.75,278800,2018-03,0.0901673,3 ROOM
116,PENDING RD,07 TO 09,73,Model A,1987,6.67,290000,2018-03,0.0901673,3 ROOM
149,PETIR RD,07 TO 09,73,Model A,1988,6.75,290000,2018-03,0.0901673,3 ROOM
458,SEGAR RD,07 TO 09,68,Premium Apartment,2012,9.25,300000,2018-03,0.0901673,3 ROOM
455,SEGAR RD,04 TO 06,68,Premium Apartment,2012,9.25,300000,2018-03,0.0901673,3 ROOM
126,PENDING RD,01 TO 03,73,Model A,1987,6.67,265000,2018-04,0.0901673,3 ROOM
230,PENDING RD,04 TO 06,73,Model A,1988,6.75,265000,2018-04,0.0901673,3 ROOM
137,PETIR RD,01 TO 03,73,Model A,1989,7,265000,2018-04,0.0901673,3 ROOM
139,PETIR RD,04 TO 06,73,Model A,1988,6.75,280000,2018-04,0.0901673,3 ROOM
142,PETIR RD,04 TO 06,73,Model A,1988,6.67,286888,2018-04,0.0901673,3 ROOM
131,CASHEW RD,10 TO 12,73,Model A,1988,6.75,295000,2018-04,0.0901673,3 ROOM
104,GANGSA RD,01 TO 03,73,Model A,1988,6.67,260000,2018-05,0.0901673,3 ROOM
223,PENDING RD,04 TO 06,73,Model A,1988,6.67,268000,2018-05,0.0901673,3 ROOM
118,PENDING RD,10 TO 12,73,Model A,1988,6.75,290000,2018-05,0.0901673,3 ROOM
