block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
8,SELEGIE RD,04 TO 06,58,Standard,1974,55.42,340000,2017-08,0.0901673,3 ROOM
9,SELEGIE RD,07 TO 09,56,Standard,1974,55.42,360000,2017-08,0.0901673,3 ROOM
640,ROWELL RD,04 TO 06,74,Model A,1984,65.83,385000,2017-08,0.0901673,3 ROOM
264,WATERLOO ST,10 TO 12,60,Improved,1986,68.08,428000,2017-08,0.0901673,3 ROOM
263,WATERLOO ST,19 TO 21,60,Improved,1978,59.92,432000,2017-08,0.0901673,3 ROOM
3,TG PAGAR PLAZA,07 TO 09,59,Improved,1977,58.5,445800,2017-08,0.0901673,3 ROOM
10,SELEGIE RD,01 TO 03,57,Standard,1974,55.33,340000,2017-09,0.0901673,3 ROOM
30,KELANTAN RD,13 TO 15,76,Improved,1981,62.83,425000,2017-09,0.0901673,3 ROOM
269A,QUEEN ST,04 TO 06,67,New Generation,1984,65.67,448000,2017-09,0.0901673,3 ROOM
5,TG PAGAR PLAZA,13 TO 15,70,Improved,1977,58.42,513000,2017-09,0.0901673,3 ROOM
8,SELEGIE RD,04 TO 06,56,Standard,1974,55.33,326888,2017-10,0.0901673,3 ROOM
8,SELEGIE RD,07 TO 09,58,Standard,1974,55.25,360000,2017-10,0.0901673,3 ROOM
28,KELANTAN RD,16 TO 18,65,Improved,1977,59.08,375000,2017-10,0.0901673,3 ROOM
633,VEERASAMY RD,04 TO 06,72,Model A,1985,66.67,375000,2017-10,0.0901673,3 ROOM
34,UPP CROSS ST,16 TO 18,65,Improved,1975,56.67,380000,2017-10,0.0901673,3 ROOM
34,UPP CROSS ST,16 TO 18,65,Improved,1975,56.67,410000,2017-10,0.0901673,3 ROOM
4,TG PAGAR PLAZA,04 TO 06,59,Improved,1977,58.33,415000,2017-10,0.0901673,3 ROOM
335A,SMITH ST,13 TO 15,60,Improved,1984,65.42,420000,2017-10,0.0901673,3 ROOM
536,UPP CROSS ST,13 TO 15,60,Improved,1981,62.58,465000,2017-10,0.0901673,3 ROOM
264,WATERLOO ST,16 TO 18,68,Improved,1986,68,468000,2017-10,0.0901673,3 ROOM
271,QUEEN ST,04 TO 06,68,Improved,1979,60.42,470000,2017-10,0.0901673,3 ROOM
538,UPP CROSS ST,07 TO 09,68,Improved,1978,60,480000,2017-10,0.0901673,3 ROOM
2,TG PAGAR PLAZA,13 TO 15,59,Improved,1977,58.33,500000,2017-10,0.0901673,3 ROOM
264,WATERLOO ST,16 TO 18,68,Improved,1986,68,468000,2017-10,0.0901673,3 ROOM
271,QUEEN ST,04 TO 06,68,Improved,1979,60.42,470000,2017-10,0.0901673,3 ROOM
640,ROWELL RD,07 TO 09,74,Model A,1984,65.58,373000,2017-11,0.0901673,3 ROOM
3,TG PAGAR PLAZA,07 TO 09,59,Improved,1977,58.33,380000,2017-11,0.0901673,3 ROOM
532,UPP CROSS ST,07 TO 09,60,Improved,1980,61.75,425000,2017-11,0.0901673,3 ROOM
3,TG PAGAR PLAZA,04 TO 06,59,Improved,1977,58.25,470000,2017-11,0.0901673,3 ROOM
3,TG PAGAR PLAZA,22 TO 24,70,Improved,1977,58.25,485000,2017-11,0.0901673,3 ROOM
3,TG PAGAR PLAZA,04 TO 06,59,Improved,1977,58.25,470000,2017-11,0.0901673,3 ROOM
29,KELANTAN RD,13 TO 15,74,Improved,1977,58.92,410000,2017-12,0.0901673,3 ROOM
4,SAGO LANE,19 TO 21,67,Improved,1974,55.67,410000,2017-12,0.0901673,3 ROOM
9,SELEGIE RD,07 TO 09,58,Standard,1974,55.08,350000,2018-01,0.0901673,3 ROOM
9,SELEGIE RD,13 TO 15,56,Standard,1974,55.08,358000,2018-01,0.0901673,3 ROOM
271,QUEEN ST,04 TO 06,60,Improved,1979,60.17,415000,2018-01,0.0901673,3 ROOM
533,UPP CROSS ST,07 TO 09,60,Improved,1980,61.67,430000,2018-01,0.0901673,3 ROOM
2,TG PAGAR PLAZA,13 TO 15,59,Improved,1977,58.08,460000,2018-01,0.0901673,3 ROOM
635,VEERASAMY RD,07 TO 09,72,Model A,1985,66.42,365000,2018-02,0.0901673,3 ROOM
1,TG PAGAR PLAZA,10 TO 12,59,Improved,1977,58.08,440000,2018-02,0.0901673,3 ROOM
30,KELANTAN RD,10 TO 12,66,Improved,1981,62.42,370000,2018-03,0.0901673,3 ROOM
635,VEERASAMY RD,10 TO 12,72,Model A,1985,66.33,390000,2018-03,0.0901673,3 ROOM
532,UPP CROSS ST,16 TO 18,60,Improved,1980,61.42,470000,2018-03,0.0901673,3 ROOM
4,SAGO LANE,04 TO 06,137,Improved,1974,55.33,560000,2018-03,0.0901673,3 ROOM
637,VEERASAMY RD,04 TO 06,73,Model A,1985,66.08,370000,2018-04,0.0901673,3 ROOM
34,UPP CROSS ST,13 TO 15,65,Improved,1975,56.17,383000,2018-04,0.0901673,3 ROOM
335A,SMITH ST,16 TO 18,60,Improved,1984,64.92,420000,2018-04,0.0901673,3 ROOM
3,TG PAGAR PLAZA,13 TO 15,59,Improved,1977,57.83,420000,2018-04,0.0901673,3 ROOM
4,TG PAGAR PLAZA,04 TO 06,70,Improved,1977,57.83,520000,2018-04,0.0901673,3 ROOM
29,KELANTAN RD,04 TO 06,65,Improved,1977,58.5,303000,2018-05,0.0901673,3 ROOM
668,CHANDER RD,13 TO 15,75,Model A,1984,65.42,368000,2018-05,0.0901673,3 ROOM
635,VEERASAMY RD,04 TO 06,72,Model A,1985,66.25,371000,2018-05,0.0901673,3 ROOM
4,SAGO LANE,10 TO 12,67,Improved,1974,55.17,387000,2018-05,0.0901673,3 ROOM
1,TG PAGAR PLAZA,19 TO 21,70,Improved,1977,57.75,490000,2018-05,0.0901673,3 ROOM
532,UPP CROSS ST,16 TO 18,68,Improved,1980,61.25,508000,2018-05,0.0901673,3 ROOM
29,KELANTAN RD,13 TO 15,65,Improved,1977,58.42,318000,2018-06,0.0901673,3 ROOM
30,KELANTAN RD,10 TO 12,65,Improved,1981,62.17,338000,2018-06,0.0901673,3 ROOM
8,SELEGIE RD,04 TO 06,56,Standard,1974,54.67,360000,2018-06,0.0901673,3 ROOM
34,UPP CROSS ST,07 TO 09,65,Improved,1975,56,376000,2018-06,0.0901673,3 ROOM
9,SELEGIE RD,16 TO 18,58,Standard,1974,54.67,388000,2018-06,0.0901673,3 ROOM
4,TG PAGAR PLAZA,04 TO 06,59,Improved,1977,57.75,453000,2018-06,0.0901673,3 ROOM
9,SELEGIE RD,07 TO 09,56,Standard,1974,54.58,330000,2018-07,0.0901673,3 ROOM
641,ROWELL RD,01 TO 03,74,Model A,1983,64.25,365000,2018-07,0.0901673,3 ROOM
635,VEERASAMY RD,07 TO 09,72,Model A,1985,66,375000,2018-07,0.0901673,3 ROOM
34,UPP CROSS ST,16 TO 18,65,Improved,1975,55.92,380000,2018-07,0.0901673,3 ROOM
30,KELANTAN RD,13 TO 15,66,Improved,1981,62,380000,2018-07,0.0901673,3 ROOM
8,JLN KUKOH,10 TO 12,76,Improved,1971,51.92,390000,2018-07,0.0901673,3 ROOM
635,VEERASAMY RD,10 TO 12,72,Model A,1985,66,398000,2018-07,0.0901673,3 ROOM
633,VEERASAMY RD,10 TO 12,72,Model A,1985,65.92,410000,2018-07,0.0901673,3 ROOM
533,UPP CROSS ST,10 TO 12,68,Improved,1980,61.08,430000,2018-07,0.0901673,3 ROOM
335A,SMITH ST,19 TO 21,60,Improved,1984,64.83,445000,2018-07,0.0901673,3 ROOM
4,TG PAGAR PLAZA,16 TO 18,59,Improved,1977,57.67,456000,2018-07,0.0901673,3 ROOM
532,UPP CROSS ST,16 TO 18,60,Improved,1980,61.08,470000,2018-07,0.0901673,3 ROOM
271,QUEEN ST,16 TO 18,68,Improved,1979,59.75,500000,2018-07,0.0901673,3 ROOM
536,UPP CROSS ST,13 TO 15,68,Improved,1981,61.92,500000,2018-07,0.0901673,3 ROOM
5,TG PAGAR PLAZA,07 TO 09,70,Improved,1977,57.67,550000,2018-07,0.0901673,3 ROOM
9,SELEGIE RD,04 TO 06,58,Standard,1974,54.5,337000,2018-08,0.0901673,3 ROOM
640,ROWELL RD,07 TO 09,74,Model A,1984,64.92,348000,2018-08,0.0901673,3 ROOM
30,KELANTAN RD,07 TO 09,66,Improved,1981,61.92,370000,2018-08,0.0901673,3 ROOM
335A,SMITH ST,04 TO 06,60,Improved,1984,64.58,390000,2018-08,0.0901673,3 ROOM
2,TG PAGAR PLAZA,13 TO 15,59,Improved,1977,57.58,425000,2018-08,0.0901673,3 ROOM
536,UPP CROSS ST,07 TO 09,60,Improved,1981,61.75,428000,2018-08,0.0901673,3 ROOM
3,TG PAGAR PLAZA,13 TO 15,59,Improved,1977,57.5,450000,2018-08,0.0901673,3 ROOM
1,TG PAGAR PLAZA,16 TO 18,70,Improved,1977,57.5,500000,2018-08,0.0901673,3 ROOM
4,SAGO LANE,10 TO 12,67,Improved,1974,54.92,388000,2018-09,0.0901673,3 ROOM
9,SELEGIE RD,16 TO 18,56,Standard,1974,54.33,390000,2018-09,0.0901673,3 ROOM
264,WATERLOO ST,10 TO 12,68,Improved,1986,67,460000,2018-09,0.0901673,3 ROOM
29,KELANTAN RD,01 TO 03,65,Improved,1977,58.08,310000,2018-10,0.0901673,3 ROOM
29,KELANTAN RD,13 TO 15,65,Improved,1977,58.17,315000,2018-10,0.0901673,3 ROOM
