block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
26,TECK WHYE LANE,07 TO 09,74,New Generation,1979,6,255000,2017-09,0.211562,3 ROOM
26,TECK WHYE LANE,04 TO 06,74,New Generation,1979,6,260000,2017-09,0.211562,3 ROOM
105,TECK WHYE LANE,04 TO 06,73,Model A,1989,7.08,273000,2017-09,0.211562,3 ROOM
535,CHOA CHU KANG ST 51,10 TO 12,69,Model A,2011,9.25,303988,2017-09,0.211562,3 ROOM
476C,CHOA CHU KANG AVE 5,07 TO 09,67,Model A,2013,9.33,305000,2017-09,0.211562,3 ROOM
26,TECK WHYE LANE,01 TO 03,74,New Generation,1979,6,270000,2017-10,0.211562,3 ROOM
476A,CHOA CHU KANG AVE 5,07 TO 09,67,Model A,2013,9.33,295000,2017-10,0.211562,3 ROOM
476D,CHOA CHU KANG AVE 5,10 TO 12,67,Model A,2013,9.33,335000,2017-10,0.211562,3 ROOM
5,TECK WHYE AVE,07 TO 09,74,Model A,1984,6.42,260000,2017-11,0.211562,3 ROOM
1,TECK WHYE AVE,07 TO 09,74,Model A,1984,6.42,263000,2017-11,0.211562,3 ROOM
5,TECK WHYE AVE,04 TO 06,74,Model A,1984,6.42,265000,2017-11,0.211562,3 ROOM
106,TECK WHYE LANE,01 TO 03,73,Model A,1989,7.08,265000,2017-11,0.211562,3 ROOM
6,TECK WHYE AVE,10 TO 12,74,Model A,1984,6.42,268000,2017-11,0.211562,3 ROOM
26,TECK WHYE LANE,07 TO 09,74,New Generation,1979,6,275000,2017-11,0.211562,3 ROOM
111,TECK WHYE LANE,04 TO 06,73,Model A,1989,7,280000,2017-11,0.211562,3 ROOM
476B,CHOA CHU KANG AVE 5,13 TO 15,68,Model A,2013,9.33,285000,2017-11,0.211562,3 ROOM
26,TECK WHYE LANE,07 TO 09,74,New Generation,1979,6,298000,2017-11,0.211562,3 ROOM
476D,CHOA CHU KANG AVE 5,04 TO 06,67,Model A,2013,9.33,312000,2017-12,0.211562,3 ROOM
6,TECK WHYE AVE,10 TO 12,78,Model A,1984,6.42,280000,2017-12,0.211562,3 ROOM
1,TECK WHYE AVE,10 TO 12,79,Model A,1984,6.42,273000,2017-12,0.211562,3 ROOM
