block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
611,CLEMENTI WEST ST 1,01 TO 03,74,Model A,1983,65,262000,2017-10,0.0573088,3 ROOM
704,WEST COAST RD,07 TO 09,67,New Generation,1980,61.92,282000,2017-10,0.0573088,3 ROOM
506,WEST COAST DR,10 TO 12,67,New Generation,1978,59.83,282800,2017-10,0.0573088,3 ROOM
714,CLEMENTI WEST ST 2,04 TO 06,67,New Generation,1980,62,298000,2017-10,0.0573088,3 ROOM
701,WEST COAST RD,10 TO 12,67,New Generation,1980,61.83,312000,2017-10,0.0573088,3 ROOM
351,CLEMENTI AVE 2,07 TO 09,67,New Generation,1978,60,338000,2017-10,0.0573088,3 ROOM
374,CLEMENTI AVE 4,07 TO 09,68,New Generation,1981,62.83,338000,2017-10,0.0573088,3 ROOM
343,CLEMENTI AVE 5,07 TO 09,67,New Generation,1979,61.08,350000,2017-10,0.0573088,3 ROOM
346,CLEMENTI AVE 5,10 TO 12,67,New Generation,1979,60.42,350000,2017-10,0.0573088,3 ROOM
427,CLEMENTI AVE 3,04 TO 06,67,New Generation,1978,59.58,355000,2017-10,0.0573088,3 ROOM
704,WEST COAST RD,10 TO 12,82,New Generation,1980,61.92,358000,2017-10,0.0573088,3 ROOM
728,CLEMENTI WEST ST 2,10 TO 12,82,New Generation,1980,61.83,366800,2017-10,0.0573088,3 ROOM
702,WEST COAST RD,10 TO 12,82,New Generation,1980,61.92,369000,2017-10,0.0573088,3 ROOM
330,CLEMENTI AVE 2,07 TO 09,67,New Generation,1978,59.75,380000,2017-10,0.0573088,3 ROOM
428,CLEMENTI AVE 3,10 TO 12,67,New Generation,1978,59.58,382000,2017-10,0.0573088,3 ROOM
365,CLEMENTI AVE 2,07 TO 09,81,New Generation,1978,59.25,408000,2017-10,0.0573088,3 ROOM
434,CLEMENTI AVE 3,10 TO 12,82,New Generation,1978,60.17,430111,2017-10,0.0573088,3 ROOM
377,CLEMENTI AVE 5,07 TO 09,81,New Generation,1980,62,438000,2017-10,0.0573088,3 ROOM
423,CLEMENTI AVE 1,13 TO 15,70,Model A,2013,94.92,538000,2017-10,0.0573088,3 ROOM
507,WEST COAST DR,01 TO 03,67,New Generation,1978,59.75,255000,2017-11,0.0573088,3 ROOM
704,WEST COAST RD,13 TO 15,67,New Generation,1980,61.83,260000,2017-11,0.0573088,3 ROOM
703,WEST COAST RD,04 TO 06,67,New Generation,1980,61.83,265000,2017-11,0.0573088,3 ROOM
703,WEST COAST RD,01 TO 03,67,New Generation,1980,61.92,265000,2017-11,0.0573088,3 ROOM
509,WEST COAST DR,07 TO 09,67,New Generation,1978,59.17,268000,2017-11,0.0573088,3 ROOM
507,WEST COAST DR,01 TO 03,67,New Generation,1978,59.75,273000,2017-11,0.0573088,3 ROOM
702,WEST COAST RD,07 TO 09,67,New Generation,1980,61.83,279000,2017-11,0.0573088,3 ROOM
704,WEST COAST RD,07 TO 09,67,New Generation,1980,61.83,280000,2017-11,0.0573088,3 ROOM
704,WEST COAST RD,10 TO 12,67,New Generation,1980,61.83,280000,2017-11,0.0573088,3 ROOM
612,CLEMENTI WEST ST 1,07 TO 09,74,Model A,1983,65.17,320000,2017-11,0.0573088,3 ROOM
702,WEST COAST RD,13 TO 15,67,New Generation,1980,61.83,330000,2017-11,0.0573088,3 ROOM
375,CLEMENTI AVE 4,01 TO 03,67,New Generation,1980,61.92,333000,2017-11,0.0573088,3 ROOM
328,CLEMENTI AVE 2,04 TO 06,67,New Generation,1978,59.83,358000,2017-11,0.0573088,3 ROOM
109,CLEMENTI ST 11,01 TO 03,67,New Generation,1984,66.08,360000,2017-11,0.0573088,3 ROOM
608,CLEMENTI WEST ST 1,07 TO 09,82,New Generation,1979,61,370000,2017-11,0.0573088,3 ROOM
432,CLEMENTI AVE 3,13 TO 15,67,New Generation,1978,60.08,370000,2017-11,0.0573088,3 ROOM
