block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
38,TEBAN GDNS RD,01 TO 03,67,Improved,1966,47.75,235000,2018-01,0.0901673,3 ROOM
411,PANDAN GDNS,04 TO 06,73,Improved,1979,60.33,250000,2018-01,0.0901673,3 ROOM
416,PANDAN GDNS,04 TO 06,74,Improved,1982,63.25,266000,2018-01,0.0901673,3 ROOM
110,JURONG EAST ST 13,07 TO 09,68,New Generation,1982,63.17,278000,2018-01,0.0901673,3 ROOM
330,JURONG EAST AVE 1,01 TO 03,74,Model A,1983,64.33,285000,2018-01,0.0901673,3 ROOM
241,JURONG EAST ST 24,10 TO 12,68,New Generation,1983,64.17,295000,2018-01,0.0901673,3 ROOM
211,JURONG EAST ST 21,10 TO 12,67,New Generation,1983,64.25,300000,2018-01,0.0901673,3 ROOM
306,JURONG EAST ST 32,01 TO 03,68,New Generation,1983,64.58,250000,2018-02,0.0901673,3 ROOM
306,JURONG EAST ST 32,04 TO 06,68,New Generation,1983,64.58,250000,2018-02,0.0901673,3 ROOM
211,JURONG EAST ST 21,07 TO 09,67,New Generation,1983,64.17,270000,2018-02,0.0901673,3 ROOM
244,JURONG EAST ST 24,10 TO 12,68,New Generation,1983,64.17,275000,2018-02,0.0901673,3 ROOM
308,JURONG EAST ST 32,07 TO 09,74,Model A,1984,65.08,280000,2018-02,0.0901673,3 ROOM
304,JURONG EAST ST 32,04 TO 06,67,New Generation,1983,64.67,285000,2018-02,0.0901673,3 ROOM
315,JURONG EAST ST 32,07 TO 09,74,Model A,1984,65.33,298000,2018-02,0.0901673,3 ROOM
244,JURONG EAST ST 24,10 TO 12,67,New Generation,1983,64.17,300000,2018-02,0.0901673,3 ROOM
110,JURONG EAST ST 13,04 TO 06,68,New Generation,1982,63.17,309000,2018-02,0.0901673,3 ROOM
372,JURONG EAST ST 32,13 TO 15,64,Model A,2014,95,330000,2018-02,0.0901673,3 ROOM
20,TEBAN GDNS RD,28 TO 30,72,Model A,2013,94.58,358000,2018-02,0.0901673,3 ROOM
23,TEBAN GDNS RD,40 TO 42,72,Model A,2013,94.58,450000,2018-02,0.0901673,3 ROOM
47,TEBAN GDNS RD,01 TO 03,68,New Generation,1985,66.42,230000,2018-03,0.0901673,3 ROOM
34,TEBAN GDNS RD,01 TO 03,77,Improved,1977,58.33,246000,2018-03,0.0901673,3 ROOM
262,JURONG EAST ST 24,01 TO 03,68,New Generation,1983,63.92,260000,2018-03,0.0901673,3 ROOM
257,JURONG EAST ST 24,04 TO 06,67,New Generation,1983,63.83,265000,2018-03,0.0901673,3 ROOM
211,JURONG EAST ST 21,01 TO 03,67,New Generation,1983,64.08,272000,2018-03,0.0901673,3 ROOM
231,JURONG EAST ST 21,04 TO 06,67,New Generation,1981,62.25,279000,2018-03,0.0901673,3 ROOM
232,JURONG EAST ST 21,04 TO 06,67,New Generation,1982,62.92,283000,2018-03,0.0901673,3 ROOM
244,JURONG EAST ST 24,10 TO 12,71,New Generation,1983,64.08,283000,2018-03,0.0901673,3 ROOM
102,JURONG EAST ST 13,01 TO 03,68,New Generation,1982,63.17,290000,2018-03,0.0901673,3 ROOM
210,JURONG EAST ST 21,04 TO 06,67,New Generation,1983,64.25,290000,2018-03,0.0901673,3 ROOM
318,JURONG EAST ST 31,01 TO 03,74,Model A,1984,65.25,290000,2018-03,0.0901673,3 ROOM
214,JURONG EAST ST 21,07 TO 09,67,New Generation,1983,64,299000,2018-03,0.0901673,3 ROOM
302,JURONG EAST ST 32,01 TO 03,68,New Generation,1983,64.75,265000,2018-04,0.0901673,3 ROOM
264,JURONG EAST ST 24,07 TO 09,68,New Generation,1983,64.08,270000,2018-04,0.0901673,3 ROOM
330,JURONG EAST AVE 1,04 TO 06,74,Model A,1983,64.17,280000,2018-04,0.0901673,3 ROOM
302,JURONG EAST ST 32,04 TO 06,68,New Generation,1983,64.67,288888,2018-04,0.0901673,3 ROOM
110,JURONG EAST ST 13,04 TO 06,68,New Generation,1982,62.92,291000,2018-04,0.0901673,3 ROOM
231,JURONG EAST ST 21,10 TO 12,67,New Generation,1981,62.17,303000,2018-04,0.0901673,3 ROOM
250,JURONG EAST ST 24,10 TO 12,67,New Generation,1986,67.17,315000,2018-04,0.0901673,3 ROOM
252,JURONG EAST ST 24,04 TO 06,70,New Generation,1985,66.17,325000,2018-04,0.0901673,3 ROOM
214,JURONG EAST ST 21,01 TO 03,82,New Generation,1983,63.92,330000,2018-04,0.0901673,3 ROOM
20,TEBAN GDNS RD,25 TO 27,72,Model A,2013,94.42,338000,2018-04,0.0901673,3 ROOM
102,JURONG EAST ST 13,10 TO 12,68,New Generation,1982,63.17,363000,2018-04,0.0901673,3 ROOM
40,TEBAN GDNS RD,01 TO 03,74,Improved,1978,59,240000,2018-05,0.0901673,3 ROOM
261,JURONG EAST ST 24,01 TO 03,68,New Generation,1983,63.92,260000,2018-05,0.0901673,3 ROOM
304,JURONG EAST ST 32,04 TO 06,67,New Generation,1983,64.33,260000,2018-05,0.0901673,3 ROOM
410,PANDAN GDNS,10 TO 12,73,Improved,1979,60.08,268000,2018-05,0.0901673,3 ROOM
341,JURONG EAST AVE 1,04 TO 06,74,Model A,1983,64.08,270000,2018-05,0.0901673,3 ROOM
264,JURONG EAST ST 24,04 TO 06,68,New Generation,1983,63.92,270000,2018-05,0.0901673,3 ROOM
34,TEBAN GDNS RD,07 TO 09,74,Improved,1977,58.17,272000,2018-05,0.0901673,3 ROOM
110,JURONG EAST ST 13,07 TO 09,68,New Generation,1982,62.92,275000,2018-05,0.0901673,3 ROOM
301,JURONG EAST ST 32,10 TO 12,68,New Generation,1983,63.92,280000,2018-05,0.0901673,3 ROOM
330,JURONG EAST AVE 1,04 TO 06,74,Model A,1983,64.08,285000,2018-05,0.0901673,3 ROOM
243,JURONG EAST ST 24,10 TO 12,67,New Generation,1983,63.75,285000,2018-05,0.0901673,3 ROOM
225A,JURONG EAST ST 21,04 TO 06,67,New Generation,1984,65.58,290000,2018-05,0.0901673,3 ROOM
229,JURONG EAST ST 21,04 TO 06,67,New Generation,1981,62.17,290000,2018-05,0.0901673,3 ROOM
313,JURONG EAST ST 32,10 TO 12,74,Model A,1984,65,303000,2018-05,0.0901673,3 ROOM
115,JURONG EAST ST 13,10 TO 12,67,New Generation,1981,62,304000,2018-05,0.0901673,3 ROOM
410,PANDAN GDNS,04 TO 06,86,Improved,1979,60.08,310000,2018-05,0.0901673,3 ROOM
206,JURONG EAST ST 21,07 TO 09,67,New Generation,1982,63.5,315000,2018-05,0.0901673,3 ROOM
37,TEBAN GDNS RD,01 TO 03,67,Improved,1966,47.33,226000,2018-06,0.0901673,3 ROOM
416,PANDAN GDNS,04 TO 06,74,Improved,1982,62.83,228000,2018-06,0.0901673,3 ROOM
54,TEBAN GDNS RD,01 TO 03,64,Simplified,1986,67.25,240000,2018-06,0.0901673,3 ROOM
40,TEBAN GDNS RD,04 TO 06,74,Improved,1978,58.92,252000,2018-06,0.0901673,3 ROOM
261,JURONG EAST ST 24,04 TO 06,68,New Generation,1983,63.75,255000,2018-06,0.0901673,3 ROOM
410,PANDAN GDNS,10 TO 12,73,Improved,1979,60,260000,2018-06,0.0901673,3 ROOM
217A,JURONG EAST ST 21,01 TO 03,67,New Generation,1984,65.08,264500,2018-06,0.0901673,3 ROOM
253,JURONG EAST ST 24,04 TO 06,70,New Generation,1985,66.17,265000,2018-06,0.0901673,3 ROOM
243,JURONG EAST ST 24,04 TO 06,67,New Generation,1983,63.67,268000,2018-06,0.0901673,3 ROOM
252,JURONG EAST ST 24,04 TO 06,67,New Generation,1985,66.08,270000,2018-06,0.0901673,3 ROOM
36,TEBAN GDNS RD,07 TO 09,77,Improved,1977,58.08,275000,2018-06,0.0901673,3 ROOM
210,JURONG EAST ST 21,04 TO 06,67,New Generation,1983,64.08,280000,2018-06,0.0901673,3 ROOM
248,JURONG EAST ST 24,04 TO 06,67,New Generation,1983,63.83,280000,2018-06,0.0901673,3 ROOM
321,JURONG EAST ST 31,07 TO 09,74,Model A,1984,65.42,283000,2018-06,0.0901673,3 ROOM
211,JURONG EAST ST 21,04 TO 06,67,New Generation,1983,63.92,285000,2018-06,0.0901673,3 ROOM
231,JURONG EAST ST 21,07 TO 09,67,New Generation,1981,62.08,285000,2018-06,0.0901673,3 ROOM
243,JURONG EAST ST 24,10 TO 12,67,New Generation,1983,63.75,285000,2018-06,0.0901673,3 ROOM
249,JURONG EAST ST 24,04 TO 06,67,New Generation,1983,63.67,286000,2018-06,0.0901673,3 ROOM
371,JURONG EAST ST 32,01 TO 03,64,Model A,2014,94.67,292000,2018-06,0.0901673,3 ROOM
101,JURONG EAST ST 13,07 TO 09,68,New Generation,1983,63.83,295000,2018-06,0.0901673,3 ROOM
101,JURONG EAST ST 13,04 TO 06,68,New Generation,1983,63.83,310000,2018-06,0.0901673,3 ROOM
301,JURONG EAST ST 32,10 TO 12,67,New Generation,1983,63.92,320000,2018-06,0.0901673,3 ROOM
102,JURONG EAST ST 13,07 TO 09,68,New Generation,1982,63,330000,2018-06,0.0901673,3 ROOM
101,JURONG EAST ST 13,10 TO 12,68,New Generation,1983,63.83,340000,2018-06,0.0901673,3 ROOM
304,JURONG EAST ST 32,07 TO 09,82,New Generation,1983,64.25,345000,2018-06,0.0901673,3 ROOM
371,JURONG EAST ST 32,07 TO 09,64,Model A,2014,94.67,348888,2018-06,0.0901673,3 ROOM
306,JURONG EAST ST 32,01 TO 03,89,New Generation,1983,64.25,350000,2018-06,0.0901673,3 ROOM
411,PANDAN GDNS,07 TO 09,72,Improved,1979,59.92,206000,2018-07,0.0901673,3 ROOM
44,TEBAN GDNS RD,04 TO 06,68,New Generation,1985,66.5,240000,2018-07,0.0901673,3 ROOM
211,JURONG EAST ST 21,01 TO 03,67,New Generation,1983,63.75,248000,2018-07,0.0901673,3 ROOM
252,JURONG EAST ST 24,01 TO 03,67,New Generation,1985,65.92,258000,2018-07,0.0901673,3 ROOM
416,PANDAN GDNS,04 TO 06,74,Improved,1982,62.75,268888,2018-07,0.0901673,3 ROOM
214,JURONG EAST ST 21,10 TO 12,67,New Generation,1983,63.67,270000,2018-07,0.0901673,3 ROOM
250,JURONG EAST ST 24,07 TO 09,67,New Generation,1986,66.92,282000,2018-07,0.0901673,3 ROOM
301,JURONG EAST ST 32,10 TO 12,68,New Generation,1983,63.83,282000,2018-07,0.0901673,3 ROOM
