block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
187,BOON LAY AVE,07 TO 09,59,Improved,1978,5.75,205000,2018-02,0.0901673,3 ROOM
119,HO CHING RD,10 TO 12,67,Improved,1972,5.17,212000,2018-02,0.0901673,3 ROOM
119,HO CHING RD,04 TO 06,67,Improved,1972,5.25,230000,2018-02,0.0901673,3 ROOM
207,BOON LAY PL,07 TO 09,65,Improved,1976,5.58,235000,2018-02,0.0901673,3 ROOM
210,BOON LAY PL,19 TO 21,65,Improved,1977,5.67,235000,2018-02,0.0901673,3 ROOM
121,YUAN CHING RD,01 TO 03,61,Improved,1974,5.42,235000,2018-02,0.0901673,3 ROOM
122,YUAN CHING RD,04 TO 06,61,Improved,1974,5.42,238000,2018-02,0.0901673,3 ROOM
929,JURONG WEST ST 92,01 TO 03,73,Model A,1989,6.75,245000,2018-02,0.0901673,3 ROOM
473,JURONG WEST ST 41,04 TO 06,67,New Generation,1984,6.42,253000,2018-02,0.0901673,3 ROOM
462,JURONG WEST ST 41,07 TO 09,73,Model A,1984,6.42,270000,2018-02,0.0901673,3 ROOM
939,JURONG WEST ST 91,04 TO 06,73,Model A,1989,7,270000,2018-02,0.0901673,3 ROOM
481,JURONG WEST ST 41,04 TO 06,67,New Generation,1985,6.5,273000,2018-02,0.0901673,3 ROOM
508,JURONG WEST ST 52,01 TO 03,74,Model A,1986,6.58,275000,2018-02,0.0901673,3 ROOM
939,JURONG WEST ST 91,07 TO 09,73,Model A,1989,7,275000,2018-02,0.0901673,3 ROOM
181A,BOON LAY DR,01 TO 03,68,Model A,2014,9.42,282000,2018-02,0.0901673,3 ROOM
338B,KANG CHING RD,04 TO 06,70,Model A,2012,9.25,308000,2018-02,0.0901673,3 ROOM
511,JURONG WEST ST 52,04 TO 06,74,Model A,1984,6.42,309000,2018-02,0.0901673,3 ROOM
525,JURONG WEST ST 52,07 TO 09,67,New Generation,1982,6.25,316000,2018-02,0.0901673,3 ROOM
180C,BOON LAY DR,13 TO 15,68,Model A,2014,9.42,330000,2018-02,0.0901673,3 ROOM
112,HO CHING RD,01 TO 03,67,Improved,1970,5.08,185000,2018-03,0.0901673,3 ROOM
185,BOON LAY AVE,19 TO 21,59,Improved,1975,5.5,200000,2018-03,0.0901673,3 ROOM
121,YUAN CHING RD,04 TO 06,61,Improved,1974,5.42,205000,2018-03,0.0901673,3 ROOM
175,BOON LAY DR,01 TO 03,59,Improved,1978,5.75,208000,2018-03,0.0901673,3 ROOM
186,BOON LAY AVE,16 TO 18,68,Improved,1975,5.5,210000,2018-03,0.0901673,3 ROOM
187,BOON LAY AVE,07 TO 09,59,Improved,1978,5.75,212000,2018-03,0.0901673,3 ROOM
211,BOON LAY PL,01 TO 03,74,Improved,1976,5.58,218000,2018-03,0.0901673,3 ROOM
213,BOON LAY PL,01 TO 03,66,Improved,1974,5.42,225000,2018-03,0.0901673,3 ROOM
111,HO CHING RD,04 TO 06,68,Improved,1970,5.08,225000,2018-03,0.0901673,3 ROOM
121,YUAN CHING RD,10 TO 12,61,Improved,1974,5.42,225000,2018-03,0.0901673,3 ROOM
185,BOON LAY AVE,16 TO 18,59,Improved,1975,5.5,226000,2018-03,0.0901673,3 ROOM
212,BOON LAY PL,04 TO 06,66,Improved,1974,5.42,235000,2018-03,0.0901673,3 ROOM
209,BOON LAY PL,04 TO 06,65,Improved,1976,5.58,235000,2018-03,0.0901673,3 ROOM
186,BOON LAY AVE,16 TO 18,68,Improved,1975,5.5,240000,2018-03,0.0901673,3 ROOM
211,BOON LAY PL,16 TO 18,65,Improved,1976,5.58,240000,2018-03,0.0901673,3 ROOM
210,BOON LAY PL,16 TO 18,65,Improved,1977,5.67,248000,2018-03,0.0901673,3 ROOM
510,JURONG WEST ST 52,04 TO 06,74,Model A,1984,6.42,265000,2018-03,0.0901673,3 ROOM
210,BOON LAY PL,19 TO 21,74,Improved,1977,5.67,268000,2018-03,0.0901673,3 ROOM
531,JURONG WEST ST 52,10 TO 12,67,New Generation,1983,6.33,275000,2018-03,0.0901673,3 ROOM
480,JURONG WEST ST 41,07 TO 09,67,New Generation,1985,6.5,282000,2018-03,0.0901673,3 ROOM
530,JURONG WEST ST 52,10 TO 12,67,New Generation,1983,6.33,292500,2018-03,0.0901673,3 ROOM
520,JURONG WEST ST 52,13 TO 15,74,Model A,1984,6.42,305000,2018-03,0.0901673,3 ROOM
527,JURONG WEST ST 52,07 TO 09,67,New Generation,1983,6.33,310000,2018-03,0.0901673,3 ROOM
518,JURONG WEST ST 52,07 TO 09,74,Model A,1984,6.42,315000,2018-03,0.0901673,3 ROOM
181A,BOON LAY DR,16 TO 18,68,Model A,2014,9.42,335000,2018-03,0.0901673,3 ROOM
181A,BOON LAY DR,16 TO 18,68,Model A,2014,9.42,355000,2018-03,0.0901673,3 ROOM
518,JURONG WEST ST 52,13 TO 15,74,Model A,1984,6.42,367000,2018-03,0.0901673,3 ROOM
121,YUAN CHING RD,01 TO 03,61,Improved,1974,5.42,190000,2018-04,0.0901673,3 ROOM
119,HO CHING RD,01 TO 03,67,Improved,1972,5.17,200000,2018-04,0.0901673,3 ROOM
187,BOON LAY AVE,01 TO 03,59,Improved,1978,5.75,202000,2018-04,0.0901673,3 ROOM
121,YUAN CHING RD,01 TO 03,60,Improved,1974,5.42,206000,2018-04,0.0901673,3 ROOM
187,BOON LAY AVE,07 TO 09,59,Improved,1978,5.75,210000,2018-04,0.0901673,3 ROOM
120,HO CHING RD,04 TO 06,67,Improved,1972,5.17,215000,2018-04,0.0901673,3 ROOM
211,BOON LAY PL,01 TO 03,65,Improved,1976,5.58,228000,2018-04,0.0901673,3 ROOM
186,BOON LAY AVE,19 TO 21,59,Improved,1975,5.5,238000,2018-04,0.0901673,3 ROOM
492,JURONG WEST ST 41,04 TO 06,64,Simplified,1986,6.58,240000,2018-04,0.0901673,3 ROOM
210,BOON LAY PL,04 TO 06,65,Improved,1977,5.67,242000,2018-04,0.0901673,3 ROOM
214,BOON LAY PL,07 TO 09,66,Improved,1974,5.42,242000,2018-04,0.0901673,3 ROOM
187,BOON LAY AVE,13 TO 15,68,Improved,1978,5.75,255000,2018-04,0.0901673,3 ROOM
904,JURONG WEST ST 91,10 TO 12,73,Model A,1988,6.75,256000,2018-04,0.0901673,3 ROOM
122,YUAN CHING RD,07 TO 09,69,Improved,1974,5.42,260000,2018-04,0.0901673,3 ROOM
114,HO CHING RD,07 TO 09,67,Improved,1971,5.17,262000,2018-04,0.0901673,3 ROOM
481,JURONG WEST ST 41,10 TO 12,67,New Generation,1985,6.5,268000,2018-04,0.0901673,3 ROOM
531,JURONG WEST ST 52,10 TO 12,67,New Generation,1983,6.33,270000,2018-04,0.0901673,3 ROOM
180A,BOON LAY DR,04 TO 06,68,Model A,2014,9.42,292000,2018-04,0.0901673,3 ROOM
477,JURONG WEST ST 41,07 TO 09,73,Model A,1984,6.42,293500,2018-04,0.0901673,3 ROOM
180C,BOON LAY DR,07 TO 09,68,Model A,2014,9.42,307000,2018-04,0.0901673,3 ROOM
518,JURONG WEST ST 52,07 TO 09,74,Model A,1984,6.42,316000,2018-04,0.0901673,3 ROOM
180C,BOON LAY DR,13 TO 15,68,Model A,2014,9.42,320000,2018-04,0.0901673,3 ROOM
518,JURONG WEST ST 52,04 TO 06,74,Model A,1984,6.42,320000,2018-04,0.0901673,3 ROOM
338B,KANG CHING RD,16 TO 18,67,Model A,2012,9.17,325000,2018-04,0.0901673,3 ROOM
518,JURONG WEST ST 52,13 TO 15,74,Model A,1984,6.42,330000,2018-04,0.0901673,3 ROOM
338B,KANG CHING RD,19 TO 21,67,Model A,2012,9.25,335000,2018-04,0.0901673,3 ROOM
339C,KANG CHING RD,19 TO 21,67,Model A,2012,9.25,365000,2018-04,0.0901673,3 ROOM
187,BOON LAY AVE,13 TO 15,59,Improved,1978,5.75,200000,2018-05,0.0901673,3 ROOM
176,BOON LAY DR,04 TO 06,59,Improved,1978,5.75,205000,2018-05,0.0901673,3 ROOM
185,BOON LAY AVE,19 TO 21,68,Improved,1975,5.5,210000,2018-05,0.0901673,3 ROOM
185,BOON LAY AVE,07 TO 09,59,Improved,1975,5.5,213000,2018-05,0.0901673,3 ROOM
187,BOON LAY AVE,04 TO 06,59,Improved,1978,5.75,215000,2018-05,0.0901673,3 ROOM
211,BOON LAY PL,10 TO 12,65,Improved,1976,5.58,225000,2018-05,0.0901673,3 ROOM
210,BOON LAY PL,01 TO 03,74,Improved,1977,5.67,226000,2018-05,0.0901673,3 ROOM
208,BOON LAY PL,07 TO 09,65,Improved,1976,5.58,230000,2018-05,0.0901673,3 ROOM
120,HO CHING RD,07 TO 09,67,Improved,1972,5.17,230000,2018-05,0.0901673,3 ROOM
422,JURONG WEST ST 42,07 TO 09,64,Simplified,1985,6.5,250000,2018-05,0.0901673,3 ROOM
481,JURONG WEST ST 41,04 TO 06,67,New Generation,1985,6.5,255000,2018-05,0.0901673,3 ROOM
915,JURONG WEST ST 91,04 TO 06,73,Model A,1988,6.75,260000,2018-05,0.0901673,3 ROOM
208,BOON LAY PL,07 TO 09,74,Improved,1976,5.58,265000,2018-05,0.0901673,3 ROOM
434,JURONG WEST ST 42,01 TO 03,81,Model A,1984,6.42,275000,2018-05,0.0901673,3 ROOM
518,JURONG WEST ST 52,04 TO 06,74,Model A,1984,6.42,308000,2018-05,0.0901673,3 ROOM
180B,BOON LAY DR,07 TO 09,68,Model A,2014,9.42,310000,2018-05,0.0901673,3 ROOM
535,JURONG WEST ST 52,07 TO 09,74,New Generation,1983,6.33,310000,2018-05,0.0901673,3 ROOM
180C,BOON LAY DR,10 TO 12,68,Model A,2014,9.42,312000,2018-05,0.0901673,3 ROOM
180A,BOON LAY DR,04 TO 06,68,Model A,2014,9.42,315000,2018-05,0.0901673,3 ROOM
180B,BOON LAY DR,13 TO 15,68,Model A,2014,9.42,315000,2018-05,0.0901673,3 ROOM
525,JURONG WEST ST 52,10 TO 12,67,New Generation,1982,6.25,315000,2018-05,0.0901673,3 ROOM
338B,KANG CHING RD,13 TO 15,69,Model A,2012,9.17,350000,2018-05,0.0901673,3 ROOM
186,BOON LAY AVE,01 TO 03,59,Improved,1975,5.5,175000,2018-06,0.0901673,3 ROOM
186,BOON LAY AVE,16 TO 18,59,Improved,1975,5.5,195000,2018-06,0.0901673,3 ROOM
122,YUAN CHING RD,01 TO 03,60,Improved,1974,5.42,202000,2018-06,0.0901673,3 ROOM
186,BOON LAY AVE,13 TO 15,59,Improved,1975,5.5,208000,2018-06,0.0901673,3 ROOM
187,BOON LAY AVE,10 TO 12,59,Improved,1978,5.75,210000,2018-06,0.0901673,3 ROOM
119,HO CHING RD,01 TO 03,67,Improved,1972,5.17,224000,2018-06,0.0901673,3 ROOM
114,HO CHING RD,04 TO 06,67,Improved,1971,5.08,227000,2018-06,0.0901673,3 ROOM
185,BOON LAY AVE,19 TO 21,59,Improved,1975,5.5,228000,2018-06,0.0901673,3 ROOM
