block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
46,MARINE CRES,04 TO 06,65,Improved,1975,5.5,325000,2018-04,0.0901673,3 ROOM
30,MARINE CRES,01 TO 03,76,Improved,1975,5.5,400000,2018-04,0.0901673,3 ROOM
67,MARINE DR,10 TO 12,65,Improved,1976,5.5,400000,2018-04,0.0901673,3 ROOM
67,MARINE DR,10 TO 12,65,Improved,1976,5.5,412500,2018-04,0.0901673,3 ROOM
57,MARINE TER,01 TO 03,65,Improved,1975,5.42,350000,2018-05,0.0901673,3 ROOM
6,MARINE TER,04 TO 06,76,Improved,1975,5.42,400000,2018-06,0.0901673,3 ROOM
32,MARINE CRES,16 TO 18,65,Improved,1975,5.5,403000,2018-06,0.0901673,3 ROOM
65,MARINE DR,16 TO 18,65,Improved,1976,5.5,408000,2018-06,0.0901673,3 ROOM
32,MARINE CRES,07 TO 09,76,Improved,1975,5.42,445000,2018-06,0.0901673,3 ROOM
8,MARINE TER,10 TO 12,76,Improved,1975,5.42,450000,2018-06,0.0901673,3 ROOM
31,MARINE CRES,13 TO 15,76,Improved,1975,5.5,458000,2018-06,0.0901673,3 ROOM
65,MARINE DR,13 TO 15,76,Improved,1976,5.5,478000,2018-06,0.0901673,3 ROOM
58,MARINE TER,04 TO 06,65,Improved,1975,5.42,310000,2018-07,0.0901673,3 ROOM
30,MARINE CRES,04 TO 06,65,Improved,1975,5.42,350000,2018-07,0.0901673,3 ROOM
31,MARINE CRES,07 TO 09,65,Improved,1975,5.42,350000,2018-07,0.0901673,3 ROOM
32,MARINE CRES,04 TO 06,65,Improved,1975,5.42,356000,2018-07,0.0901673,3 ROOM
66,MARINE DR,01 TO 03,76,Improved,1976,5.5,398000,2018-07,0.0901673,3 ROOM
33,MARINE CRES,16 TO 18,65,Improved,1975,5.42,418000,2018-07,0.0901673,3 ROOM
67,MARINE DR,04 TO 06,65,Improved,1976,5.5,440000,2018-07,0.0901673,3 ROOM
33,MARINE CRES,16 TO 18,76,Improved,1975,5.42,505000,2018-07,0.0901673,3 ROOM
32,MARINE CRES,04 TO 06,65,Improved,1975,5.42,309000,2018-08,0.0901673,3 ROOM
6,MARINE TER,04 TO 06,65,Improved,1975,5.42,370000,2018-08,0.0901673,3 ROOM
30,MARINE CRES,04 TO 06,76,Improved,1975,5.42,408000,2018-08,0.0901673,3 ROOM
66,MARINE DR,13 TO 15,65,Improved,1976,5.5,410000,2018-08,0.0901673,3 ROOM
5,MARINE TER,04 TO 06,76,Improved,1975,5.42,433000,2018-08,0.0901673,3 ROOM
33,MARINE CRES,16 TO 18,65,Improved,1975,5.42,473000,2018-08,0.0901673,3 ROOM
6,MARINE TER,01 TO 03,65,Improved,1975,5.42,355000,2018-09,0.0901673,3 ROOM
32,MARINE CRES,10 TO 12,65,Improved,1975,5.42,380000,2018-09,0.0901673,3 ROOM
