block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
5,CHANGI VILLAGE RD,04 TO 06,66,Improved,1981,62.08,280000,2018-07,0.0901673,3 ROOM
1,CHANGI VILLAGE RD,04 TO 06,66,Improved,1980,61,300000,2018-07,0.0901673,3 ROOM
5,CHANGI VILLAGE RD,04 TO 06,66,Improved,1981,62,220000,2018-08,0.0901673,3 ROOM
1,CHANGI VILLAGE RD,01 TO 03,66,Improved,1980,60.67,275000,2018-11,0.0901673,3 ROOM
1,CHANGI VILLAGE RD,04 TO 06,67,Improved,1980,60.67,300000,2018-11,0.0901673,3 ROOM
1,CHANGI VILLAGE RD,01 TO 03,67,Improved,1980,59.92,270000,2019-08,0.0901673,3 ROOM
4,CHANGI VILLAGE RD,04 TO 06,66,Improved,1980,59.92,280000,2019-08,0.0901673,3 ROOM
527B,PASIR RIS ST 51,10 TO 12,68,Model A,2015,94.92,400000,2019-08,0.0901673,3 ROOM
5,CHANGI VILLAGE RD,01 TO 03,66,Improved,1981,60.75,180000,2019-10,0.0901673,3 ROOM
1,CHANGI VILLAGE RD,04 TO 06,66,Improved,1980,59.75,215000,2019-10,0.0901673,3 ROOM
527B,PASIR RIS ST 51,10 TO 12,68,Model A,2015,94.75,367000,2019-10,0.0901673,3 ROOM
