block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
623B,PUNGGOL CTRL,07 TO 09,69,Model A,2014,9.33,323000,2018-06,0.0573088,3 ROOM
601D,PUNGGOL CTRL,01 TO 03,70,Model A,2012,9.25,325000,2018-06,0.0573088,3 ROOM
622B,PUNGGOL CTRL,13 TO 15,69,Model A,2014,9.33,335000,2018-06,0.0573088,3 ROOM
211C,PUNGGOL WALK,13 TO 15,67,Model A,2014,9.33,335000,2018-06,0.0573088,3 ROOM
622C,PUNGGOL CTRL,07 TO 09,69,Model A,2014,9.33,338000,2018-06,0.0573088,3 ROOM
208C,PUNGGOL PL,07 TO 09,67,Model A,2014,9.42,340000,2018-06,0.0573088,3 ROOM
210C,PUNGGOL PL,13 TO 15,67,Model A,2014,9.42,345000,2018-06,0.0573088,3 ROOM
601C,PUNGGOL CTRL,10 TO 12,70,Model A,2012,9.25,347000,2018-06,0.0573088,3 ROOM
208B,PUNGGOL PL,10 TO 12,67,Model A,2014,9.42,348000,2018-06,0.0573088,3 ROOM
288C,PUNGGOL PL,01 TO 03,70,Premium Apartment,2013,9.25,350000,2018-06,0.0573088,3 ROOM
207C,PUNGGOL PL,10 TO 12,67,Model A,2014,9.42,362000,2018-06,0.0573088,3 ROOM
209C,PUNGGOL PL,13 TO 15,67,Model A,2014,9.42,370000,2018-06,0.0573088,3 ROOM
288C,PUNGGOL PL,01 TO 03,70,Premium Apartment,2013,9.25,370000,2018-06,0.0573088,3 ROOM
208B,PUNGGOL PL,16 TO 18,67,Model A,2014,9.42,380000,2018-06,0.0573088,3 ROOM
305B,PUNGGOL RD,13 TO 15,67,Premium Apartment,2012,9.25,383000,2018-06,0.0573088,3 ROOM
602C,PUNGGOL CTRL,01 TO 03,70,Model A,2012,9.25,297500,2018-07,0.0573088,3 ROOM
623A,PUNGGOL CTRL,01 TO 03,69,Model A,2014,9.33,315000,2018-07,0.0573088,3 ROOM
288C,PUNGGOL PL,04 TO 06,72,Premium Apartment,2013,9.25,330000,2018-07,0.0573088,3 ROOM
208C,PUNGGOL PL,04 TO 06,67,Model A,2014,9.42,338000,2018-07,0.0573088,3 ROOM
210C,PUNGGOL PL,10 TO 12,67,Model A,2014,9.42,340000,2018-07,0.0573088,3 ROOM
209C,PUNGGOL PL,04 TO 06,67,Model A,2014,9.42,345000,2018-07,0.0573088,3 ROOM
622C,PUNGGOL CTRL,07 TO 09,69,Model A,2014,9.33,350000,2018-07,0.0573088,3 ROOM
622C,PUNGGOL CTRL,10 TO 12,69,Model A,2014,9.33,350000,2018-07,0.0573088,3 ROOM
624C,PUNGGOL CTRL,16 TO 18,69,Model A,2014,9.33,350000,2018-07,0.0573088,3 ROOM
289A,PUNGGOL PL,04 TO 06,73,Premium Apartment,2013,9.25,352000,2018-07,0.0573088,3 ROOM
623A,PUNGGOL CTRL,16 TO 18,69,Model A,2014,9.33,355000,2018-07,0.0573088,3 ROOM
601A,PUNGGOL CTRL,01 TO 03,70,Model A,2012,9.25,360000,2018-07,0.0573088,3 ROOM
208B,PUNGGOL PL,07 TO 09,67,Model A,2014,9.33,360000,2018-07,0.0573088,3 ROOM
209C,PUNGGOL PL,10 TO 12,67,Model A,2014,9.42,365000,2018-07,0.0573088,3 ROOM
211D,PUNGGOL WALK,10 TO 12,67,Model A,2014,9.33,365000,2018-07,0.0573088,3 ROOM
208C,PUNGGOL PL,16 TO 18,67,Model A,2014,9.42,369500,2018-07,0.0573088,3 ROOM
207C,PUNGGOL PL,13 TO 15,67,Model A,2014,9.33,370000,2018-07,0.0573088,3 ROOM
289A,PUNGGOL PL,10 TO 12,73,Premium Apartment,2013,9.25,375888,2018-07,0.0573088,3 ROOM
209C,PUNGGOL PL,13 TO 15,67,Model A,2014,9.42,378000,2018-07,0.0573088,3 ROOM
212A,PUNGGOL WALK,01 TO 03,67,Model A,2015,9.42,295000,2018-08,0.0573088,3 ROOM
289A,PUNGGOL PL,01 TO 03,73,Premium Apartment,2013,9.25,328000,2018-08,0.0573088,3 ROOM
211B,PUNGGOL WALK,13 TO 15,67,Model A,2014,9.33,342000,2018-08,0.0573088,3 ROOM
