block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
463B,SEMBAWANG DR,22 TO 24,67,Model A,2015,95.67,283000,2018-09,0.0573088,3 ROOM
463A,SEMBAWANG DR,04 TO 06,67,Model A,2015,95.5,280000,2018-11,0.0573088,3 ROOM
463B,SEMBAWANG DR,04 TO 06,67,Model A,2015,95.5,280000,2018-11,0.0573088,3 ROOM
463A,SEMBAWANG DR,16 TO 18,67,Model A,2015,95.58,305000,2018-11,0.0573088,3 ROOM
463B,SEMBAWANG DR,07 TO 09,67,Model A,2015,95.42,293000,2018-12,0.0573088,3 ROOM
463B,SEMBAWANG DR,01 TO 03,67,Model A,2015,95.33,263000,2019-01,0.0573088,3 ROOM
463A,SEMBAWANG DR,07 TO 09,67,Model A,2015,95.33,272000,2019-01,0.0573088,3 ROOM
590A,MONTREAL LINK,04 TO 06,68,Model A,2015,95.25,275000,2019-01,0.0573088,3 ROOM
463B,SEMBAWANG DR,07 TO 09,67,Model A,2015,95.33,275000,2019-01,0.0573088,3 ROOM
463B,SEMBAWANG DR,16 TO 18,67,Model A,2015,95.42,292888,2019-01,0.0573088,3 ROOM
590A,MONTREAL LINK,13 TO 15,68,Model A,2015,95.25,298000,2019-01,0.0573088,3 ROOM
591A,MONTREAL LINK,01 TO 03,68,Model A,2015,95.17,270000,2019-02,0.0573088,3 ROOM
463B,SEMBAWANG DR,04 TO 06,67,Model A,2015,95.33,280000,2019-02,0.0573088,3 ROOM
463B,SEMBAWANG DR,16 TO 18,67,Model A,2015,95.25,305000,2019-02,0.0573088,3 ROOM
592A,MONTREAL LINK,07 TO 09,68,Model A,2015,95.08,270000,2019-03,0.0573088,3 ROOM
590A,MONTREAL LINK,10 TO 12,68,Model A,2015,95.17,290000,2019-03,0.0573088,3 ROOM
590B,MONTREAL LINK,16 TO 18,68,Model A,2015,95.08,292000,2019-03,0.0573088,3 ROOM
591A,MONTREAL LINK,10 TO 12,68,Model A,2015,95.08,300000,2019-03,0.0573088,3 ROOM
592A,MONTREAL LINK,13 TO 15,68,Model A,2015,95.08,305000,2019-03,0.0573088,3 ROOM
463A,SEMBAWANG DR,04 TO 06,67,Model A,2015,95.08,280000,2019-04,0.0573088,3 ROOM
463B,SEMBAWANG DR,10 TO 12,67,Model A,2015,95.17,288000,2019-04,0.0573088,3 ROOM
590B,MONTREAL LINK,04 TO 06,68,Model A,2015,95.08,292000,2019-04,0.0573088,3 ROOM
590A,MONTREAL LINK,07 TO 09,68,Model A,2015,95,296000,2019-04,0.0573088,3 ROOM
593B,MONTREAL LINK,13 TO 15,68,Model A,2015,95,300000,2019-04,0.0573088,3 ROOM
590C,MONTREAL LINK,10 TO 12,68,Model A,2015,95,308000,2019-04,0.0573088,3 ROOM
463B,SEMBAWANG DR,01 TO 03,67,Model A,2015,95,260000,2019-05,0.0573088,3 ROOM
590A,MONTREAL LINK,04 TO 06,68,Model A,2015,94.92,288000,2019-05,0.0573088,3 ROOM
590A,MONTREAL LINK,10 TO 12,68,Model A,2015,95,308000,2019-05,0.0573088,3 ROOM
463A,SEMBAWANG DR,04 TO 06,67,Model A,2015,94.92,270000,2019-06,0.0573088,3 ROOM
593B,MONTREAL LINK,01 TO 03,68,Model A,2015,94.92,280000,2019-06,0.0573088,3 ROOM
591A,MONTREAL LINK,04 TO 06,68,Model A,2015,94.83,285000,2019-06,0.0573088,3 ROOM
593A,MONTREAL LINK,13 TO 15,68,Model A,2015,94.92,290000,2019-06,0.0573088,3 ROOM
463B,SEMBAWANG DR,13 TO 15,67,Model A,2015,94.92,290000,2019-06,0.0573088,3 ROOM
590C,MONTREAL LINK,13 TO 15,68,Model A,2015,94.92,295000,2019-06,0.0573088,3 ROOM
590C,MONTREAL LINK,10 TO 12,68,Model A,2015,94.83,297000,2019-06,0.0573088,3 ROOM
463B,SEMBAWANG DR,19 TO 21,67,Model A,2015,95,300000,2019-06,0.0573088,3 ROOM
590C,MONTREAL LINK,01 TO 03,68,Model A,2015,94.83,278000,2019-07,0.0573088,3 ROOM
590A,MONTREAL LINK,07 TO 09,68,Model A,2015,94.83,290000,2019-07,0.0573088,3 ROOM
593B,MONTREAL LINK,10 TO 12,68,Model A,2015,94.75,290000,2019-07,0.0573088,3 ROOM
591A,MONTREAL LINK,10 TO 12,68,Model A,2015,94.75,296888,2019-07,0.0573088,3 ROOM
463B,SEMBAWANG DR,19 TO 21,67,Model A,2015,94.92,297500,2019-07,0.0573088,3 ROOM
591A,MONTREAL LINK,10 TO 12,68,Model A,2015,94.83,300000,2019-07,0.0573088,3 ROOM
590B,MONTREAL LINK,07 TO 09,68,Model A,2015,94.75,303000,2019-07,0.0573088,3 ROOM
593A,MONTREAL LINK,01 TO 03,68,Model A,2015,94.67,285000,2019-08,0.0573088,3 ROOM
463B,SEMBAWANG DR,16 TO 18,67,Model A,2015,94.75,286000,2019-08,0.0573088,3 ROOM
592A,MONTREAL LINK,04 TO 06,68,Model A,2015,94.67,288000,2019-08,0.0573088,3 ROOM
590A,MONTREAL LINK,10 TO 12,68,Model A,2015,94.67,298000,2019-09,0.0573088,3 ROOM
463A,SEMBAWANG DR,22 TO 24,67,Model A,2015,94.67,303000,2019-09,0.0573088,3 ROOM
