block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
180A,RIVERVALE CRES,07 TO 09,67,Model A,2015,9.42,300000,2018-09,0.0573088,3 ROOM
180D,RIVERVALE CRES,10 TO 12,67,Model A,2015,9.42,305000,2018-09,0.0573088,3 ROOM
447B,JLN KAYU,04 TO 06,67,Model A,2013,9.33,330000,2018-09,0.0573088,3 ROOM
430C,FERNVALE LINK,16 TO 18,67,Model A,2015,9.42,348000,2018-09,0.0573088,3 ROOM
432B,SENGKANG WEST WAY,25 TO 27,67,Model A,2014,9.42,350000,2018-09,0.0573088,3 ROOM
211D,COMPASSVALE LANE,10 TO 12,68,Model A,2013,9.25,360000,2018-09,0.0573088,3 ROOM
433A,SENGKANG WEST WAY,25 TO 27,67,Model A,2014,9.42,360000,2018-09,0.0573088,3 ROOM
180D,RIVERVALE CRES,01 TO 03,67,Model A,2015,9.42,296000,2018-10,0.0573088,3 ROOM
450A,SENGKANG WEST WAY,01 TO 03,67,Model A,2014,9.33,305000,2018-10,0.0573088,3 ROOM
180A,RIVERVALE CRES,16 TO 18,67,Model A,2015,9.42,318000,2018-10,0.0573088,3 ROOM
448A,SENGKANG WEST WAY,16 TO 18,67,Model A,2014,9.33,329000,2018-10,0.0573088,3 ROOM
448A,SENGKANG WEST WAY,19 TO 21,67,Model A,2014,9.33,340000,2018-10,0.0573088,3 ROOM
432A,SENGKANG WEST WAY,10 TO 12,67,Model A,2014,9.42,345000,2018-10,0.0573088,3 ROOM
448B,SENGKANG WEST WAY,13 TO 15,67,Model A,2014,9.33,345000,2018-10,0.0573088,3 ROOM
450C,SENGKANG WEST WAY,22 TO 24,67,Model A,2014,9.33,348000,2018-10,0.0573088,3 ROOM
433A,SENGKANG WEST WAY,13 TO 15,67,Model A,2014,9.42,350000,2018-10,0.0573088,3 ROOM
209C,COMPASSVALE LANE,13 TO 15,67,Model A,2011,9.17,352000,2018-10,0.0573088,3 ROOM
209B,COMPASSVALE LANE,16 TO 18,67,Model A,2011,9.17,354000,2018-11,0.0573088,3 ROOM
180B,RIVERVALE CRES,01 TO 03,67,Model A,2015,9.42,290000,2018-11,0.0573088,3 ROOM
180D,RIVERVALE CRES,16 TO 18,67,Model A,2015,9.42,315000,2018-11,0.0573088,3 ROOM
430B,FERNVALE LINK,07 TO 09,67,Model A,2015,9.42,322000,2018-11,0.0573088,3 ROOM
443B,FERNVALE RD,04 TO 06,67,Model A,2012,9.25,328000,2018-11,0.0573088,3 ROOM
441D,FERNVALE RD,16 TO 18,69,Model A,2012,9.17,330000,2018-11,0.0573088,3 ROOM
448A,SENGKANG WEST WAY,13 TO 15,67,Model A,2014,9.33,334000,2018-11,0.0573088,3 ROOM
430C,FERNVALE LINK,16 TO 18,67,Model A,2015,9.42,345000,2018-11,0.0573088,3 ROOM
450C,SENGKANG WEST WAY,13 TO 15,67,Model A,2014,9.33,353000,2018-11,0.0573088,3 ROOM
436D,FERNVALE RD,16 TO 18,70,Model A,2010,9,356000,2018-11,0.0573088,3 ROOM
448B,SENGKANG WEST WAY,22 TO 24,67,Model A,2014,9.33,358000,2018-11,0.0573088,3 ROOM
209B,COMPASSVALE LANE,07 TO 09,67,Model A,2011,9.17,360000,2018-11,0.0573088,3 ROOM
430B,FERNVALE LINK,19 TO 21,67,Model A,2015,9.42,345000,2018-12,0.0573088,3 ROOM
430C,FERNVALE LINK,13 TO 15,67,Model A,2015,9.42,340000,2018-12,0.0573088,3 ROOM
180D,RIVERVALE CRES,13 TO 15,67,Model A,2015,9.42,320000,2018-12,0.0573088,3 ROOM
450B,SENGKANG WEST WAY,04 TO 06,67,Model A,2014,9.33,320000,2018-12,0.0573088,3 ROOM
450A,SENGKANG WEST WAY,04 TO 06,67,Model A,2014,9.33,315000,2018-12,0.0573088,3 ROOM
432A,SENGKANG WEST WAY,16 TO 18,67,Model A,2014,9.33,345000,2018-12,0.0573088,3 ROOM
448A,SENGKANG WEST WAY,04 TO 06,67,Model A,2014,9.33,300000,2019-01,0.0573088,3 ROOM
180D,RIVERVALE CRES,04 TO 06,67,Model A,2015,9.42,305000,2019-01,0.0573088,3 ROOM
180D,RIVERVALE CRES,13 TO 15,67,Model A,2015,9.42,315000,2019-01,0.0573088,3 ROOM
448A,SENGKANG WEST WAY,13 TO 15,67,Model A,2014,9.33,318000,2019-01,0.0573088,3 ROOM
450B,SENGKANG WEST WAY,22 TO 24,67,Model A,2014,9.33,325000,2019-01,0.0573088,3 ROOM
439C,SENGKANG WEST AVE,07 TO 09,69,Model A,2011,9.08,327000,2019-01,0.0573088,3 ROOM
180D,RIVERVALE CRES,13 TO 15,67,Model A,2015,9.42,328500,2019-01,0.0573088,3 ROOM
447B,JLN KAYU,16 TO 18,67,Model A,2013,9.25,333000,2019-01,0.0573088,3 ROOM
445A,FERNVALE RD,25 TO 27,68,Model A,2012,9.17,338000,2019-01,0.0573088,3 ROOM
430C,FERNVALE LINK,13 TO 15,67,Model A,2015,9.42,340000,2019-01,0.0573088,3 ROOM
450B,SENGKANG WEST WAY,13 TO 15,67,Model A,2014,9.33,352000,2019-01,0.0573088,3 ROOM
433A,SENGKANG WEST WAY,19 TO 21,67,Model A,2014,9.33,356000,2019-01,0.0573088,3 ROOM
450A,SENGKANG WEST WAY,22 TO 24,67,Model A,2014,9.33,356000,2019-01,0.0573088,3 ROOM
180B,RIVERVALE CRES,01 TO 03,67,Model A,2015,9.42,295000,2019-02,0.0573088,3 ROOM
450C,SENGKANG WEST WAY,04 TO 06,67,Model A,2014,9.33,310000,2019-02,0.0573088,3 ROOM
180A,RIVERVALE CRES,13 TO 15,67,Model A,2015,9.42,320000,2019-02,0.0573088,3 ROOM
438A,SENGKANG WEST AVE,01 TO 03,69,Model A,2011,9.08,325000,2019-02,0.0573088,3 ROOM
433A,SENGKANG WEST WAY,10 TO 12,67,Model A,2014,9.33,335000,2019-02,0.0573088,3 ROOM
211B,COMPASSVALE LANE,07 TO 09,68,Model A,2013,9.25,343888,2019-02,0.0573088,3 ROOM
430B,FERNVALE LINK,16 TO 18,67,Model A,2015,9.42,352000,2019-02,0.0573088,3 ROOM
302B,ANCHORVALE LINK,10 TO 12,83,Model A,2007,8.58,355000,2019-02,0.0573088,3 ROOM
432A,SENGKANG WEST WAY,16 TO 18,67,Model A,2014,9.33,357000,2019-02,0.0573088,3 ROOM
430B,FERNVALE LINK,19 TO 21,67,Model A,2015,9.42,365000,2019-02,0.0573088,3 ROOM
450C,SENGKANG WEST WAY,04 TO 06,67,Model A,2014,9.33,310000,2019-03,0.0573088,3 ROOM
448B,SENGKANG WEST WAY,04 TO 06,67,Model A,2014,9.33,315000,2019-03,0.0573088,3 ROOM
430B,FERNVALE LINK,10 TO 12,67,Model A,2015,9.42,333000,2019-03,0.0573088,3 ROOM
447B,JLN KAYU,07 TO 09,67,Model A,2013,9.25,340000,2019-03,0.0573088,3 ROOM
447A,JLN KAYU,07 TO 09,67,Model A,2013,9.25,340000,2019-03,0.0573088,3 ROOM
434A,FERNVALE RD,16 TO 18,68,Premium Apartment,2013,9.25,341000,2019-03,0.0573088,3 ROOM
435B,FERNVALE RD,13 TO 15,68,Premium Apartment,2013,9.25,353000,2019-03,0.0573088,3 ROOM
430C,FERNVALE LINK,01 TO 03,67,Model A,2015,9.42,280000,2019-04,0.0573088,3 ROOM
430C,FERNVALE LINK,01 TO 03,67,Model A,2015,9.42,300000,2019-04,0.0573088,3 ROOM
281A,SENGKANG EAST AVE,10 TO 12,67,Premium Apartment,2015,9.42,390000,2019-04,0.0573088,3 ROOM
430C,FERNVALE LINK,01 TO 03,67,Model A,2015,9.42,302000,2019-05,0.0573088,3 ROOM
443C,FERNVALE RD,10 TO 12,67,Model A,2012,9.17,305000,2019-05,0.0573088,3 ROOM
180D,RIVERVALE CRES,16 TO 18,67,Model A,2015,9.33,318000,2019-05,0.0573088,3 ROOM
430B,FERNVALE LINK,19 TO 21,67,Model A,2015,9.42,346888,2019-05,0.0573088,3 ROOM
