block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
1,LOR 7 TOA PAYOH,04 TO 06,67,Improved,1969,49.42,185000,2019-01,0.0901673,3 ROOM
9,LOR 7 TOA PAYOH,01 TO 03,66,Improved,1970,50.5,195000,2019-01,0.0901673,3 ROOM
85,LOR 4 TOA PAYOH,01 TO 03,68,Improved,1972,52.17,200000,2019-01,0.0901673,3 ROOM
225,LOR 8 TOA PAYOH,04 TO 06,65,Improved,1976,56.42,230000,2019-01,0.0901673,3 ROOM
174,LOR 1 TOA PAYOH,01 TO 03,65,Improved,1972,52.5,234000,2019-01,0.0901673,3 ROOM
112,LOR 1 TOA PAYOH,04 TO 06,65,Improved,1967,47.42,239999,2019-01,0.0901673,3 ROOM
107,LOR 1 TOA PAYOH,04 TO 06,67,Improved,1970,50.08,240000,2019-01,0.0901673,3 ROOM
23,TOA PAYOH EAST,07 TO 09,67,Improved,1970,50.5,240000,2019-01,0.0901673,3 ROOM
225,LOR 8 TOA PAYOH,07 TO 09,65,Improved,1976,56.33,250000,2019-01,0.0901673,3 ROOM
51,LOR 6 TOA PAYOH,04 TO 06,63,Standard,1983,63.42,270000,2019-01,0.0901673,3 ROOM
113,LOR 1 TOA PAYOH,07 TO 09,65,Improved,1967,47.42,275000,2019-01,0.0901673,3 ROOM
117,LOR 1 TOA PAYOH,01 TO 03,64,Improved,1968,48.42,278000,2019-01,0.0901673,3 ROOM
206,TOA PAYOH NTH,04 TO 06,65,Improved,1973,53.5,300000,2019-01,0.0901673,3 ROOM
120,POTONG PASIR AVE 1,07 TO 09,67,New Generation,1984,64.75,305000,2019-01,0.0901673,3 ROOM
159,LOR 1 TOA PAYOH,07 TO 09,65,Improved,1972,52,320000,2019-01,0.0901673,3 ROOM
207,TOA PAYOH NTH,07 TO 09,76,Improved,1973,53.5,326000,2019-01,0.0901673,3 ROOM
107,POTONG PASIR AVE 1,10 TO 12,74,Model A,1984,64.5,430000,2019-01,0.0901673,3 ROOM
142,POTONG PASIR AVE 3,13 TO 15,74,Model A,1984,64.5,450000,2019-01,0.0901673,3 ROOM
1,LOR 7 TOA PAYOH,01 TO 03,67,Improved,1969,49.33,195000,2019-02,0.0901673,3 ROOM
2,LOR 7 TOA PAYOH,04 TO 06,67,Improved,1969,49.33,200000,2019-02,0.0901673,3 ROOM
66,LOR 4 TOA PAYOH,01 TO 03,64,Standard,1969,48.92,200000,2019-02,0.0901673,3 ROOM
13,LOR 7 TOA PAYOH,01 TO 03,65,Improved,1970,50.42,205000,2019-02,0.0901673,3 ROOM
2,UPP ALJUNIED LANE,07 TO 09,57,Standard,1968,48.42,210000,2019-02,0.0901673,3 ROOM
3,UPP ALJUNIED LANE,01 TO 03,57,Standard,1968,48.42,228000,2019-02,0.0901673,3 ROOM
17,LOR 7 TOA PAYOH,10 TO 12,67,Improved,1971,50.92,240000,2019-02,0.0901673,3 ROOM
20,LOR 7 TOA PAYOH,07 TO 09,67,Improved,1970,50.42,240000,2019-02,0.0901673,3 ROOM
2,LOR 7 TOA PAYOH,04 TO 06,67,Improved,1969,49.42,245000,2019-02,0.0901673,3 ROOM
12,LOR 7 TOA PAYOH,10 TO 12,66,Improved,1970,50.42,248000,2019-02,0.0901673,3 ROOM
26,TOA PAYOH EAST,07 TO 09,67,Improved,1971,50.92,250000,2019-02,0.0901673,3 ROOM
34,LOR 5 TOA PAYOH,10 TO 12,67,Improved,1970,49.92,255000,2019-02,0.0901673,3 ROOM
168,LOR 1 TOA PAYOH,04 TO 06,65,Improved,1972,52.5,258000,2019-02,0.0901673,3 ROOM
199,TOA PAYOH NTH,04 TO 06,65,Improved,1982,61.92,275000,2019-02,0.0901673,3 ROOM
115,LOR 1 TOA PAYOH,10 TO 12,65,Improved,1967,47.33,280000,2019-02,0.0901673,3 ROOM
205,TOA PAYOH NTH,10 TO 12,65,Improved,1973,53.5,282888,2019-02,0.0901673,3 ROOM
69,LOR 4 TOA PAYOH,07 TO 09,62,Standard,1973,52.92,283000,2019-02,0.0901673,3 ROOM
85A,LOR 4 TOA PAYOH,04 TO 06,68,Improved,1972,51.92,286500,2019-02,0.0901673,3 ROOM
119,POTONG PASIR AVE 1,07 TO 09,67,New Generation,1984,64.67,290000,2019-02,0.0901673,3 ROOM
112,LOR 1 TOA PAYOH,07 TO 09,65,Improved,1967,47.33,295000,2019-02,0.0901673,3 ROOM
136,POTONG PASIR AVE 3,04 TO 06,74,Model A,1984,64.42,380000,2019-02,0.0901673,3 ROOM
235,LOR 8 TOA PAYOH,07 TO 09,65,Improved,1976,56.25,200000,2019-03,0.0901673,3 ROOM
8,LOR 7 TOA PAYOH,07 TO 09,66,Improved,1970,50.33,230000,2019-03,0.0901673,3 ROOM
12,LOR 7 TOA PAYOH,04 TO 06,66,Improved,1970,50.42,235000,2019-03,0.0901673,3 ROOM
174,LOR 1 TOA PAYOH,01 TO 03,65,Improved,1972,52.42,238000,2019-03,0.0901673,3 ROOM
70,LOR 4 TOA PAYOH,01 TO 03,64,Standard,1969,48.92,238000,2019-03,0.0901673,3 ROOM
163,LOR 1 TOA PAYOH,01 TO 03,65,Improved,1972,52.33,240000,2019-03,0.0901673,3 ROOM
17,LOR 7 TOA PAYOH,07 TO 09,77,Improved,1971,50.92,240000,2019-03,0.0901673,3 ROOM
4,UPP ALJUNIED LANE,07 TO 09,57,Standard,1968,48.25,240000,2019-03,0.0901673,3 ROOM
199,TOA PAYOH NTH,01 TO 03,65,Improved,1982,61.83,250000,2019-03,0.0901673,3 ROOM
115,LOR 1 TOA PAYOH,01 TO 03,65,Improved,1967,47.25,255000,2019-03,0.0901673,3 ROOM
25,TOA PAYOH EAST,07 TO 09,67,Improved,1971,50.83,255000,2019-03,0.0901673,3 ROOM
96,LOR 3 TOA PAYOH,07 TO 09,68,Improved,1970,49.92,275000,2019-03,0.0901673,3 ROOM
205,TOA PAYOH NTH,04 TO 06,65,Improved,1973,53.33,275000,2019-03,0.0901673,3 ROOM
174,LOR 1 TOA PAYOH,10 TO 12,65,Improved,1972,52.33,290000,2019-03,0.0901673,3 ROOM
125,LOR 1 TOA PAYOH,10 TO 12,67,Improved,1970,49.92,290000,2019-03,0.0901673,3 ROOM
183,TOA PAYOH CTRL,01 TO 03,67,Improved,1972,52.42,310000,2019-03,0.0901673,3 ROOM
158,LOR 1 TOA PAYOH,07 TO 09,65,Improved,1972,51.83,366000,2019-03,0.0901673,3 ROOM
56,LOR 4 TOA PAYOH,01 TO 03,54,Standard,1967,47.17,200000,2019-04,0.0901673,3 ROOM
3,LOR 7 TOA PAYOH,07 TO 09,68,Improved,1969,49.17,205000,2019-04,0.0901673,3 ROOM
1,LOR 7 TOA PAYOH,04 TO 06,67,Improved,1969,49.17,210000,2019-04,0.0901673,3 ROOM
194,KIM KEAT AVE,04 TO 06,66,Improved,1973,53.33,215000,2019-04,0.0901673,3 ROOM
13,LOR 7 TOA PAYOH,07 TO 09,66,Improved,1970,50.25,218000,2019-04,0.0901673,3 ROOM
66,LOR 4 TOA PAYOH,04 TO 06,64,Standard,1969,48.75,220000,2019-04,0.0901673,3 ROOM
38,LOR 5 TOA PAYOH,10 TO 12,67,Improved,1970,49.75,220000,2019-04,0.0901673,3 ROOM
26,TOA PAYOH EAST,01 TO 03,67,Improved,1971,50.75,222000,2019-04,0.0901673,3 ROOM
98,LOR 1 TOA PAYOH,01 TO 03,68,Improved,1970,49.83,225000,2019-04,0.0901673,3 ROOM
59,LOR 5 TOA PAYOH,04 TO 06,61,Standard,1973,52.75,225000,2019-04,0.0901673,3 ROOM
25,TOA PAYOH EAST,10 TO 12,67,Improved,1971,50.75,228000,2019-04,0.0901673,3 ROOM
225,LOR 8 TOA PAYOH,10 TO 12,65,Improved,1976,56.08,230000,2019-04,0.0901673,3 ROOM
73,LOR 4 TOA PAYOH,07 TO 09,62,Standard,1973,52.75,232000,2019-04,0.0901673,3 ROOM
232,LOR 8 TOA PAYOH,04 TO 06,65,Improved,1976,56.67,232000,2019-04,0.0901673,3 ROOM
20,LOR 7 TOA PAYOH,01 TO 03,67,Improved,1970,50.25,232000,2019-04,0.0901673,3 ROOM
13,LOR 7 TOA PAYOH,04 TO 06,66,Improved,1970,50.33,235000,2019-04,0.0901673,3 ROOM
232,LOR 8 TOA PAYOH,01 TO 03,65,Improved,1976,56.58,238000,2019-04,0.0901673,3 ROOM
20,LOR 7 TOA PAYOH,10 TO 12,67,Improved,1970,50.25,242500,2019-04,0.0901673,3 ROOM
38,LOR 5 TOA PAYOH,10 TO 12,67,Improved,1970,49.75,245000,2019-04,0.0901673,3 ROOM
8,LOR 7 TOA PAYOH,07 TO 09,66,Improved,1970,50.33,258000,2019-04,0.0901673,3 ROOM
85C,LOR 4 TOA PAYOH,10 TO 12,68,Improved,1972,51.75,260000,2019-04,0.0901673,3 ROOM
126,LOR 1 TOA PAYOH,16 TO 18,67,Improved,1970,49.83,270000,2019-04,0.0901673,3 ROOM
118,POTONG PASIR AVE 1,01 TO 03,67,New Generation,1984,64.5,273000,2019-04,0.0901673,3 ROOM
205,TOA PAYOH NTH,10 TO 12,65,Improved,1973,53.25,280000,2019-04,0.0901673,3 ROOM
100,LOR 1 TOA PAYOH,10 TO 12,68,Improved,1970,49.75,286000,2019-04,0.0901673,3 ROOM
51,LOR 6 TOA PAYOH,16 TO 18,63,Standard,1983,63.25,290000,2019-04,0.0901673,3 ROOM
85C,LOR 4 TOA PAYOH,16 TO 18,68,Improved,1972,51.83,295000,2019-04,0.0901673,3 ROOM
199,TOA PAYOH NTH,07 TO 09,65,Improved,1982,61.75,295000,2019-04,0.0901673,3 ROOM
205,TOA PAYOH NTH,10 TO 12,76,Improved,1973,53.25,333000,2019-04,0.0901673,3 ROOM
139,POTONG PASIR AVE 3,07 TO 09,74,Model A,1984,64.33,375000,2019-04,0.0901673,3 ROOM
140,POTONG PASIR AVE 3,07 TO 09,75,Model A,1984,64.33,408000,2019-04,0.0901673,3 ROOM
139A,LOR 1A TOA PAYOH,01 TO 03,70,DBSS,2012,91.92,515000,2019-04,0.0901673,3 ROOM
138B,LOR 1A TOA PAYOH,07 TO 09,70,DBSS,2012,92.08,625000,2019-04,0.0901673,3 ROOM
38,LOR 5 TOA PAYOH,01 TO 03,77,Improved,1970,49.67,170000,2019-05,0.0901673,3 ROOM
195,KIM KEAT AVE,10 TO 12,66,Improved,1973,53.17,190000,2019-05,0.0901673,3 ROOM
4,UPP ALJUNIED LANE,01 TO 03,57,Standard,1968,48.17,200000,2019-05,0.0901673,3 ROOM
12,LOR 7 TOA PAYOH,07 TO 09,66,Improved,1970,50.17,210000,2019-05,0.0901673,3 ROOM
26,TOA PAYOH EAST,01 TO 03,67,Improved,1971,50.67,217000,2019-05,0.0901673,3 ROOM
18,LOR 7 TOA PAYOH,07 TO 09,67,Improved,1970,50.25,228000,2019-05,0.0901673,3 ROOM
113,LOR 1 TOA PAYOH,01 TO 03,65,Improved,1967,47.08,231000,2019-05,0.0901673,3 ROOM
9,LOR 7 TOA PAYOH,10 TO 12,66,Improved,1970,50.25,245000,2019-05,0.0901673,3 ROOM
1,LOR 7 TOA PAYOH,10 TO 12,67,Improved,1969,49.17,258000,2019-05,0.0901673,3 ROOM
123,LOR 1 TOA PAYOH,07 TO 09,67,Improved,1970,49.67,262000,2019-05,0.0901673,3 ROOM
126,LOR 1 TOA PAYOH,10 TO 12,67,Improved,1970,49.75,278888,2019-05,0.0901673,3 ROOM
119,LOR 1 TOA PAYOH,04 TO 06,65,Improved,1968,48.08,280000,2019-05,0.0901673,3 ROOM
125,LOR 1 TOA PAYOH,04 TO 06,67,Improved,1970,49.67,282000,2019-05,0.0901673,3 ROOM
69,LOR 4 TOA PAYOH,10 TO 12,62,Standard,1973,52.67,285000,2019-05,0.0901673,3 ROOM
203,TOA PAYOH NTH,04 TO 06,65,Improved,1982,61.67,290000,2019-05,0.0901673,3 ROOM
205,TOA PAYOH NTH,04 TO 06,65,Improved,1973,53.17,296000,2019-05,0.0901673,3 ROOM
85A,LOR 4 TOA PAYOH,07 TO 09,68,Improved,1972,51.75,298000,2019-05,0.0901673,3 ROOM
96,LOR 3 TOA PAYOH,13 TO 15,68,Improved,1970,49.75,308000,2019-05,0.0901673,3 ROOM
233,LOR 8 TOA PAYOH,10 TO 12,77,Improved,1981,61.42,312500,2019-05,0.0901673,3 ROOM
157,LOR 1 TOA PAYOH,07 TO 09,67,Improved,1971,51.17,340000,2019-05,0.0901673,3 ROOM
146,POTONG PASIR AVE 1,04 TO 06,64,Simplified,1998,78.42,355000,2019-05,0.0901673,3 ROOM
105,POTONG PASIR AVE 1,04 TO 06,74,Model A,1984,64.25,370000,2019-05,0.0901673,3 ROOM
