block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
32,JLN BAHAGIA,07 TO 09,56,Standard,1971,5.08,220000,2018-03,0.0573088,3 ROOM
28,JLN BAHAGIA,04 TO 06,56,Standard,1971,5.08,223000,2018-03,0.0573088,3 ROOM
32,JLN BAHAGIA,01 TO 03,56,Standard,1971,5.08,226888,2018-03,0.0573088,3 ROOM
77,LOR LIMAU,04 TO 06,59,Improved,1973,5.33,228000,2018-03,0.0573088,3 ROOM
97,WHAMPOA DR,07 TO 09,66,Improved,1980,6.08,238000,2018-03,0.0573088,3 ROOM
76,LOR LIMAU,01 TO 03,65,Improved,1973,5.33,270000,2018-03,0.0573088,3 ROOM
72,GEYLANG BAHRU,07 TO 09,59,Improved,1974,5.42,275000,2018-03,0.0573088,3 ROOM
98,WHAMPOA DR,13 TO 15,65,Improved,1974,5.42,280000,2018-03,0.0573088,3 ROOM
68,GEYLANG BAHRU,04 TO 06,65,Improved,1974,5.42,285000,2018-03,0.0573088,3 ROOM
73,GEYLANG BAHRU,10 TO 12,59,Improved,1974,5.42,285000,2018-03,0.0573088,3 ROOM
16,UPP BOON KENG RD,04 TO 06,65,Improved,1975,5.42,300000,2018-03,0.0573088,3 ROOM
68,GEYLANG BAHRU,16 TO 18,65,Improved,1974,5.42,310000,2018-03,0.0573088,3 ROOM
6,JLN BATU,07 TO 09,60,Standard,1969,4.75,313000,2018-03,0.0573088,3 ROOM
30,BENDEMEER RD,04 TO 06,68,Improved,1972,5.17,320000,2018-03,0.0573088,3 ROOM
16,UPP BOON KENG RD,07 TO 09,65,Improved,1975,5.5,320000,2018-03,0.0573088,3 ROOM
684,RACE COURSE RD,01 TO 03,63,Simplified,1986,6.5,328888,2018-03,0.0573088,3 ROOM
20,ST. GEORGE'S RD,07 TO 09,67,New Generation,1984,6.42,330000,2018-03,0.0573088,3 ROOM
16,UPP BOON KENG RD,01 TO 03,65,Improved,1975,5.5,330000,2018-03,0.0573088,3 ROOM
96,GEYLANG BAHRU,04 TO 06,68,New Generation,1979,5.75,358000,2018-03,0.0573088,3 ROOM
2,ST. GEORGE'S RD,13 TO 15,70,Improved,1976,5.58,360000,2018-03,0.0573088,3 ROOM
3,BEACH RD,07 TO 09,68,Improved,1979,6,375000,2018-03,0.0573088,3 ROOM
15,FARRER PK RD,28 TO 30,62,Model A,2004,8.42,470000,2018-03,0.0573088,3 ROOM
38B,BENDEMEER RD,25 TO 27,69,Model A,2012,9.25,500000,2018-03,0.0573088,3 ROOM
28,JLN BAHAGIA,07 TO 09,56,Standard,1971,5.08,195000,2018-04,0.0573088,3 ROOM
35,JLN BAHAGIA,04 TO 06,56,Standard,1971,5.08,215000,2018-04,0.0573088,3 ROOM
33,JLN BAHAGIA,07 TO 09,56,Standard,1970,5.08,217500,2018-04,0.0573088,3 ROOM
64,KALLANG BAHRU,04 TO 06,65,Improved,1974,5.33,247500,2018-04,0.0573088,3 ROOM
82,WHAMPOA DR,13 TO 15,66,Improved,1974,5.42,255000,2018-04,0.0573088,3 ROOM
2,ST. GEORGE'S RD,10 TO 12,59,Improved,1976,5.58,258000,2018-04,0.0573088,3 ROOM
64,KALLANG BAHRU,07 TO 09,65,Improved,1974,5.33,270000,2018-04,0.0573088,3 ROOM
64,KALLANG BAHRU,07 TO 09,65,Improved,1974,5.33,273000,2018-04,0.0573088,3 ROOM
73,GEYLANG BAHRU,04 TO 06,59,Improved,1974,5.33,275000,2018-04,0.0573088,3 ROOM
44,BENDEMEER RD,07 TO 09,63,Standard,1981,6.08,280000,2018-04,0.0573088,3 ROOM
1,KG KAYU RD,01 TO 03,62,Standard,1984,6.42,292000,2018-04,0.0573088,3 ROOM
8,ST. GEORGE'S LANE,01 TO 03,68,New Generation,1982,6.25,292000,2018-04,0.0573088,3 ROOM
64,KALLANG BAHRU,07 TO 09,65,Improved,1974,5.33,295000,2018-04,0.0573088,3 ROOM
76,LOR LIMAU,10 TO 12,65,Improved,1973,5.33,295000,2018-04,0.0573088,3 ROOM
3,ST. GEORGE'S RD,13 TO 15,70,Improved,1976,5.58,300000,2018-04,0.0573088,3 ROOM
74,WHAMPOA DR,04 TO 06,66,Improved,1981,6.17,300000,2018-04,0.0573088,3 ROOM
86,WHAMPOA DR,04 TO 06,66,Improved,1974,5.42,305000,2018-04,0.0573088,3 ROOM
3,ST. GEORGE'S RD,10 TO 12,70,Improved,1976,5.58,320000,2018-04,0.0573088,3 ROOM
26,BENDEMEER RD,22 TO 24,71,Improved,1972,5.17,368000,2018-04,0.0573088,3 ROOM
1,BEACH RD,13 TO 15,68,Improved,1979,6,376000,2018-04,0.0573088,3 ROOM
804,KING GEORGE'S AVE,07 TO 09,59,Improved,1981,6.17,386000,2018-04,0.0573088,3 ROOM
804,KING GEORGE'S AVE,10 TO 12,68,Improved,1981,6.17,400000,2018-04,0.0573088,3 ROOM
44,OWEN RD,01 TO 03,82,New Generation,1979,6,448000,2018-04,0.0573088,3 ROOM
39A,BENDEMEER RD,04 TO 06,69,Model A,2012,9.25,460000,2018-04,0.0573088,3 ROOM
38D,BENDEMEER RD,13 TO 15,69,Model A,2012,9.25,465000,2018-04,0.0573088,3 ROOM
14,KG ARANG RD,01 TO 03,103,New Generation,1984,6.42,510000,2018-04,0.0573088,3 ROOM
34,JLN BAHAGIA,04 TO 06,56,Standard,1970,5.08,210000,2018-05,0.0573088,3 ROOM
34,JLN BAHAGIA,07 TO 09,56,Standard,1970,5.08,216000,2018-05,0.0573088,3 ROOM
77,LOR LIMAU,10 TO 12,59,Improved,1973,5.33,235000,2018-05,0.0573088,3 ROOM
98,WHAMPOA DR,10 TO 12,65,Improved,1974,5.33,268000,2018-05,0.0573088,3 ROOM
72,GEYLANG BAHRU,07 TO 09,59,Improved,1974,5.33,270000,2018-05,0.0573088,3 ROOM
98,WHAMPOA DR,10 TO 12,65,Improved,1974,5.33,271888,2018-05,0.0573088,3 ROOM
64,KALLANG BAHRU,04 TO 06,65,Improved,1974,5.33,280000,2018-05,0.0573088,3 ROOM
82,WHAMPOA DR,04 TO 06,66,Improved,1974,5.42,280000,2018-05,0.0573088,3 ROOM
68,GEYLANG BAHRU,07 TO 09,65,Improved,1974,5.42,288000,2018-05,0.0573088,3 ROOM
23,BENDEMEER RD,10 TO 12,68,Improved,1972,5.17,290000,2018-05,0.0573088,3 ROOM
57,GEYLANG BAHRU,13 TO 15,65,Improved,1974,5.42,308000,2018-05,0.0573088,3 ROOM
76,LOR LIMAU,13 TO 15,65,Improved,1973,5.33,308000,2018-05,0.0573088,3 ROOM
86,WHAMPOA DR,16 TO 18,66,Improved,1974,5.42,310000,2018-05,0.0573088,3 ROOM
3,ST. GEORGE'S RD,07 TO 09,70,Improved,1976,5.58,315000,2018-05,0.0573088,3 ROOM
34,WHAMPOA WEST,04 TO 06,68,Improved,1972,5.17,318000,2018-05,0.0573088,3 ROOM
2,BEACH RD,04 TO 06,68,Improved,1979,6,355000,2018-05,0.0573088,3 ROOM
806,KING GEORGE'S AVE,10 TO 12,59,Improved,1981,6.17,362800,2018-05,0.0573088,3 ROOM
12,UPP BOON KENG RD,07 TO 09,66,Improved,1980,6.08,365000,2018-05,0.0573088,3 ROOM
468,NTH BRIDGE RD,13 TO 15,60,Improved,1979,6,368000,2018-05,0.0573088,3 ROOM
11,UPP BOON KENG RD,16 TO 18,65,Improved,1974,5.33,375000,2018-05,0.0573088,3 ROOM
12,KG ARANG RD,07 TO 09,103,New Generation,1982,6.17,543500,2018-05,0.0573088,3 ROOM
