block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
504,BEDOK NTH ST 3,10 TO 12,59,Improved,1978,5.67,240800,2019-04,0.0573088,3 ROOM
74,BEDOK NTH RD,10 TO 12,59,Improved,1978,5.58,220000,2019-04,0.0573088,3 ROOM
76,BEDOK NTH RD,01 TO 03,59,Improved,1978,5.58,223000,2019-04,0.0573088,3 ROOM
501,BEDOK NTH ST 3,04 TO 06,59,Improved,1978,5.67,235000,2019-04,0.0573088,3 ROOM
122,BEDOK NTH ST 2,01 TO 03,67,New Generation,1978,5.58,237000,2019-04,0.0573088,3 ROOM
74,BEDOK NTH RD,10 TO 12,59,Improved,1978,5.58,240000,2019-04,0.0573088,3 ROOM
525,BEDOK NTH ST 3,01 TO 03,67,New Generation,1979,5.75,244000,2019-04,0.0573088,3 ROOM
534,BEDOK NTH ST 3,01 TO 03,60,Improved,1986,6.42,245000,2019-04,0.0573088,3 ROOM
535,BEDOK NTH ST 3,10 TO 12,60,Improved,1986,6.42,250000,2019-04,0.0573088,3 ROOM
20,CHAI CHEE RD,01 TO 03,65,Improved,1972,5.17,250000,2019-04,0.0573088,3 ROOM
21,CHAI CHEE RD,07 TO 09,65,Improved,1972,5.17,257000,2019-04,0.0573088,3 ROOM
521,BEDOK NTH AVE 1,10 TO 12,67,New Generation,1979,5.75,260000,2019-04,0.0573088,3 ROOM
420,BEDOK NTH ST 1,01 TO 03,68,New Generation,1979,5.67,261000,2019-04,0.0573088,3 ROOM
701,BEDOK RESERVOIR RD,01 TO 03,68,New Generation,1980,6,263000,2019-04,0.0573088,3 ROOM
108,BEDOK RESERVOIR RD,01 TO 03,67,New Generation,1985,6.42,265000,2019-04,0.0573088,3 ROOM
75,BEDOK NTH RD,07 TO 09,59,Improved,1978,5.58,266000,2019-04,0.0573088,3 ROOM
30,NEW UPP CHANGI RD,13 TO 15,65,Improved,1977,5.58,269000,2019-04,0.0573088,3 ROOM
631,BEDOK RESERVOIR RD,01 TO 03,67,New Generation,1982,6.17,270000,2019-04,0.0573088,3 ROOM
116,BEDOK NTH RD,07 TO 09,73,New Generation,1978,5.67,270000,2019-04,0.0573088,3 ROOM
520,BEDOK NTH AVE 1,01 TO 03,67,New Generation,1979,5.75,280000,2019-04,0.0573088,3 ROOM
420,BEDOK NTH ST 1,01 TO 03,68,New Generation,1979,5.67,280000,2019-04,0.0573088,3 ROOM
44,CHAI CHEE ST,04 TO 06,68,New Generation,1980,6,280000,2019-04,0.0573088,3 ROOM
4,BEDOK STH AVE 1,01 TO 03,73,Improved,1976,5.42,285000,2019-04,0.0573088,3 ROOM
704,BEDOK RESERVOIR RD,07 TO 09,68,New Generation,1981,6.08,286888,2019-04,0.0573088,3 ROOM
1,BEDOK STH AVE 1,04 TO 06,59,Improved,1976,5.42,288000,2019-04,0.0573088,3 ROOM
108,BEDOK NTH RD,10 TO 12,67,New Generation,1977,5.58,290000,2019-04,0.0573088,3 ROOM
77,BEDOK NTH RD,13 TO 15,69,Improved,1986,6.5,295000,2019-04,0.0573088,3 ROOM
116,BEDOK NTH RD,10 TO 12,88,New Generation,1978,5.67,300000,2019-04,0.0573088,3 ROOM
127,BEDOK RESERVOIR RD,01 TO 03,64,Simplified,1986,6.5,310000,2019-04,0.0573088,3 ROOM
42,CHAI CHEE ST,07 TO 09,82,New Generation,1985,6.42,310000,2019-04,0.0573088,3 ROOM
217,BEDOK NTH ST 1,04 TO 06,68,New Generation,1979,5.75,330000,2019-04,0.0573088,3 ROOM
701,BEDOK RESERVOIR RD,10 TO 12,82,New Generation,1980,6,333000,2019-04,0.0573088,3 ROOM
102,BEDOK NTH AVE 4,10 TO 12,82,New Generation,1977,5.58,335000,2019-04,0.0573088,3 ROOM
138,BEDOK NTH ST 2,04 TO 06,82,New Generation,1978,5.67,338000,2019-04,0.0573088,3 ROOM
416,BEDOK NTH AVE 2,04 TO 06,82,New Generation,1978,5.67,345000,2019-04,0.0573088,3 ROOM
59,CHAI CHEE RD,10 TO 12,75,Model A,1984,6.25,350000,2019-04,0.0573088,3 ROOM
218,BEDOK NTH ST 1,01 TO 03,83,New Generation,1980,5.75,378000,2019-04,0.0573088,3 ROOM
221B,BEDOK CTRL,16 TO 18,69,Model A,2010,9,505000,2019-04,0.0573088,3 ROOM
51,NEW UPP CHANGI RD,04 TO 06,84,Improved,1977,5.58,310000,2019-04,0.0573088,4 ROOM
37,BEDOK STH AVE 2,04 TO 06,84,Improved,1977,5.58,315000,2019-04,0.0573088,4 ROOM
78,BEDOK NTH RD,01 TO 03,91,New Generation,1978,5.67,335000,2019-04,0.0573088,4 ROOM
121,BEDOK NTH RD,10 TO 12,92,New Generation,1978,5.58,338000,2019-04,0.0573088,4 ROOM
63,NEW UPP CHANGI RD,01 TO 03,92,New Generation,1978,5.67,350000,2019-04,0.0573088,4 ROOM
131,BEDOK RESERVOIR RD,01 TO 03,83,Simplified,1987,6.5,354000,2019-04,0.0573088,4 ROOM
709,BEDOK RESERVOIR RD,01 TO 03,93,New Generation,1981,6.08,360000,2019-04,0.0573088,4 ROOM
119,BEDOK NTH RD,04 TO 06,92,New Generation,1978,5.58,368000,2019-04,0.0573088,4 ROOM
80,BEDOK NTH RD,13 TO 15,91,New Generation,1978,5.67,370000,2019-04,0.0573088,4 ROOM
34,BEDOK STH AVE 2,13 TO 15,90,Improved,1977,5.58,370000,2019-04,0.0573088,4 ROOM
35,CHAI CHEE AVE,13 TO 15,82,Improved,1975,5.33,370000,2019-04,0.0573088,4 ROOM
513,BEDOK NTH AVE 2,04 TO 06,92,New Generation,1979,5.75,376000,2019-04,0.0573088,4 ROOM
136,BEDOK RESERVOIR RD,07 TO 09,84,Simplified,1988,6.67,378000,2019-04,0.0573088,4 ROOM
