block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
534,BT BATOK ST 51,10 TO 12,60,Improved,1987,6.58,226500,2019-03,0.0901673,3 ROOM
528,BT BATOK ST 51,10 TO 12,60,Improved,1987,6.58,230000,2019-03,0.0901673,3 ROOM
217,BT BATOK ST 21,04 TO 06,67,New Generation,1984,6.33,230000,2019-03,0.0901673,3 ROOM
505,BT BATOK ST 52,07 TO 09,60,Improved,1988,6.58,230000,2019-03,0.0901673,3 ROOM
327,BT BATOK ST 33,01 TO 03,64,Simplified,1987,6.58,231000,2019-03,0.0901673,3 ROOM
505,BT BATOK ST 52,10 TO 12,69,Improved,1988,6.67,240000,2019-03,0.0901673,3 ROOM
231,BT BATOK EAST AVE 5,01 TO 03,67,New Generation,1985,6.42,245000,2019-03,0.0901673,3 ROOM
341,BT BATOK ST 34,04 TO 06,73,Model A,1986,6.5,245000,2019-03,0.0901673,3 ROOM
134,BT BATOK WEST AVE 6,07 TO 09,68,New Generation,1984,6.33,248000,2019-03,0.0901673,3 ROOM
372,BT BATOK ST 31,04 TO 06,64,Simplified,1988,6.58,253000,2019-03,0.0901673,3 ROOM
238,BT BATOK EAST AVE 5,04 TO 06,67,New Generation,1986,6.5,255000,2019-03,0.0901673,3 ROOM
263,BT BATOK EAST AVE 4,07 TO 09,73,Model A,1985,6.42,260000,2019-03,0.0901673,3 ROOM
523,BT BATOK ST 52,07 TO 09,69,Improved,1987,6.58,260000,2019-03,0.0901673,3 ROOM
372,BT BATOK ST 31,04 TO 06,64,Simplified,1988,6.58,265000,2019-03,0.0901673,3 ROOM
322,BT BATOK ST 33,01 TO 03,68,New Generation,1985,6.42,265000,2019-03,0.0901673,3 ROOM
322,BT BATOK ST 33,10 TO 12,68,New Generation,1985,6.42,265000,2019-03,0.0901673,3 ROOM
138,BT BATOK WEST AVE 6,10 TO 12,68,New Generation,1984,6.33,267000,2019-03,0.0901673,3 ROOM
167,BT BATOK WEST AVE 8,04 TO 06,74,Model A,1984,6.33,270000,2019-03,0.0901673,3 ROOM
139,BT BATOK WEST AVE 6,01 TO 03,72,New Generation,1984,6.33,270000,2019-03,0.0901673,3 ROOM
363,BT BATOK ST 31,10 TO 12,68,New Generation,1987,6.58,271888,2019-03,0.0901673,3 ROOM
241,BT BATOK EAST AVE 5,04 TO 06,67,New Generation,1985,6.42,272500,2019-03,0.0901673,3 ROOM
360,BT BATOK ST 31,07 TO 09,68,New Generation,1987,6.58,280000,2019-03,0.0901673,3 ROOM
407,BT BATOK WEST AVE 4,07 TO 09,94,New Generation,1988,6.67,280000,2019-03,0.0901673,4 ROOM
137,BT BATOK WEST AVE 6,04 TO 06,94,New Generation,1984,6.33,300000,2019-03,0.0901673,4 ROOM
331,BT BATOK ST 33,01 TO 03,109,Model A,1986,6.5,310000,2019-03,0.0901673,4 ROOM
346,BT BATOK ST 34,04 TO 06,103,Model A,1986,6.42,315000,2019-03,0.0901673,4 ROOM
220,BT BATOK EAST AVE 3,04 TO 06,93,New Generation,1985,6.42,319888,2019-03,0.0901673,4 ROOM
