block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
7,TELOK BLANGAH CRES,04 TO 06,31,Improved,1975,5.42,180000,2019-02,0.0901673,1 ROOM
7,TELOK BLANGAH CRES,10 TO 12,31,Improved,1975,5.42,185000,2019-02,0.0901673,1 ROOM
50,HAVELOCK RD,10 TO 12,45,Standard,1973,5.25,212000,2019-02,0.0901673,2 ROOM
18,TELOK BLANGAH CRES,13 TO 15,76,Improved,1975,5.42,260000,2019-02,0.0901673,3 ROOM
20,TELOK BLANGAH CRES,10 TO 12,65,Improved,1975,5.42,268000,2019-02,0.0901673,3 ROOM
2,JLN BT MERAH,04 TO 06,63,Improved,1975,5.42,270000,2019-02,0.0901673,3 ROOM
116,BT MERAH VIEW,04 TO 06,59,Improved,1974,5.33,280000,2019-02,0.0901673,3 ROOM
28,JLN BT MERAH,13 TO 15,60,Standard,1967,4.58,288000,2019-02,0.0901673,3 ROOM
60,TELOK BLANGAH HTS,04 TO 06,67,New Generation,1976,5.5,304000,2019-02,0.0901673,3 ROOM
22,TELOK BLANGAH CRES,10 TO 12,70,Improved,1975,5.42,310500,2019-02,0.0901673,3 ROOM
119,BT MERAH VIEW,10 TO 12,65,Improved,1983,6.25,340000,2019-02,0.0901673,3 ROOM
103,BT PURMEI RD,07 TO 09,67,New Generation,1982,6.17,340000,2019-02,0.0901673,3 ROOM
62,TELOK BLANGAH HTS,04 TO 06,73,New Generation,1976,5.5,342888,2019-02,0.0901673,3 ROOM
62,TELOK BLANGAH HTS,10 TO 12,73,New Generation,1976,5.5,346000,2019-02,0.0901673,3 ROOM
22,HAVELOCK RD,07 TO 09,64,Standard,1969,4.75,368000,2019-02,0.0901673,3 ROOM
105,HENDERSON CRES,22 TO 24,65,Improved,1975,5.42,370000,2019-02,0.0901673,3 ROOM
130,BT MERAH VIEW,04 TO 06,65,Improved,1973,5.25,400000,2019-02,0.0901673,3 ROOM
