block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
1,HOUGANG AVE 3,07 TO 09,59,Improved,1975,5.42,210000,2019-02,0.0573088,3 ROOM
674,HOUGANG AVE 8,01 TO 03,64,Simplified,1987,6.5,240000,2019-02,0.0573088,3 ROOM
240,HOUGANG ST 22,01 TO 03,74,Model A,1984,6.33,245000,2019-02,0.0573088,3 ROOM
511,HOUGANG AVE 10,04 TO 06,64,Simplified,1986,6.5,255000,2019-02,0.0573088,3 ROOM
110,HOUGANG AVE 1,04 TO 06,67,New Generation,1982,6.17,260000,2019-02,0.0573088,3 ROOM
403,HOUGANG AVE 10,01 TO 03,67,New Generation,1985,6.42,268000,2019-02,0.0573088,3 ROOM
520,HOUGANG AVE 6,01 TO 03,70,Simplified,1987,6.58,268000,2019-02,0.0573088,3 ROOM
704,HOUGANG AVE 2,07 TO 09,71,New Generation,1985,6.42,275000,2019-02,0.0573088,3 ROOM
22,HOUGANG AVE 3,07 TO 09,73,New Generation,1978,5.67,285000,2019-02,0.0573088,3 ROOM
17,HOUGANG AVE 3,10 TO 12,73,New Generation,1978,5.67,288000,2019-02,0.0573088,3 ROOM
677,HOUGANG AVE 8,10 TO 12,64,Simplified,1988,6.67,290000,2019-02,0.0573088,3 ROOM
23,HOUGANG AVE 3,10 TO 12,73,New Generation,1978,5.67,295000,2019-02,0.0573088,3 ROOM
327,HOUGANG AVE 5,10 TO 12,67,New Generation,1983,6.25,296000,2019-02,0.0573088,3 ROOM
687,HOUGANG ST 61,01 TO 03,89,Simplified,1986,6.5,310000,2019-02,0.0573088,4 ROOM
618,HOUGANG AVE 8,01 TO 03,89,Simplified,1986,6.42,320000,2019-02,0.0573088,4 ROOM
650,HOUGANG AVE 8,13 TO 15,84,Simplified,1987,6.58,325000,2019-02,0.0573088,4 ROOM
697,HOUGANG ST 61,01 TO 03,84,Simplified,1987,6.58,325000,2019-02,0.0573088,4 ROOM
601,HOUGANG AVE 4,07 TO 09,84,Simplified,1986,6.5,329000,2019-02,0.0573088,4 ROOM
674,HOUGANG AVE 8,04 TO 06,84,Simplified,1987,6.5,335000,2019-02,0.0573088,4 ROOM
706,HOUGANG AVE 2,07 TO 09,93,New Generation,1985,6.42,350000,2019-02,0.0573088,4 ROOM
507,HOUGANG AVE 8,01 TO 03,103,Model A,1986,6.5,360000,2019-02,0.0573088,4 ROOM
674,HOUGANG AVE 8,01 TO 03,104,Model A,1987,6.5,360000,2019-02,0.0573088,4 ROOM
984A,BUANGKOK LINK,10 TO 12,85,Model A2,2004,8.33,365000,2019-02,0.0573088,4 ROOM
542,HOUGANG AVE 8,07 TO 09,109,Model A,1992,7.17,368000,2019-02,0.0573088,4 ROOM
568,HOUGANG ST 51,10 TO 12,100,Model A,1997,7.58,368888,2019-02,0.0573088,4 ROOM
305,HOUGANG AVE 5,01 TO 03,105,Model A,1983,6.25,370000,2019-02,0.0573088,4 ROOM
617,HOUGANG AVE 8,01 TO 03,104,Model A,1986,6.42,370108,2019-02,0.0573088,4 ROOM
166,HOUGANG AVE 1,13 TO 15,101,Model A,1997,7.58,383888,2019-02,0.0573088,4 ROOM
576,HOUGANG AVE 4,07 TO 09,100,Model A,1997,7.58,388000,2019-02,0.0573088,4 ROOM
575,HOUGANG ST 51,04 TO 06,98,Model A,1997,7.58,388000,2019-02,0.0573088,4 ROOM
137,LOR AH SOO,04 TO 06,104,Model A,1985,6.42,390000,2019-02,0.0573088,4 ROOM
965,HOUGANG AVE 9,04 TO 06,101,Model A,1999,7.75,405000,2019-02,0.0573088,4 ROOM
830,HOUGANG CTRL,01 TO 03,106,Model A,1992,7.17,428000,2019-02,0.0573088,4 ROOM
445,HOUGANG AVE 8,07 TO 09,105,Model A,1990,7,430000,2019-02,0.0573088,4 ROOM
509,HOUGANG AVE 10,04 TO 06,104,Model A,1986,6.5,445000,2019-02,0.0573088,4 ROOM
988C,BUANGKOK GREEN,10 TO 12,93,Model A,2015,9.42,452888,2019-02,0.0573088,4 ROOM
232,HOUGANG AVE 1,04 TO 06,104,Model A,1984,6.33,480000,2019-02,0.0573088,4 ROOM
239,HOUGANG ST 22,04 TO 06,136,Model A,1984,6.33,410000,2019-02,0.0573088,5 ROOM
978C,BUANGKOK CRES,04 TO 06,110,Improved,2003,8.25,420000,2019-02,0.0573088,5 ROOM
641,HOUGANG AVE 8,07 TO 09,120,Improved,1987,6.58,448000,2019-02,0.0573088,5 ROOM
251,HOUGANG AVE 3,07 TO 09,121,Improved,1985,6.42,458000,2019-02,0.0573088,5 ROOM
699A,HOUGANG ST 52,07 TO 09,120,Improved,1999,7.75,488000,2019-02,0.0573088,5 ROOM
513,HOUGANG AVE 10,04 TO 06,121,Improved,1986,6.5,550000,2019-02,0.0573088,5 ROOM
103,HOUGANG AVE 1,04 TO 06,131,Model A,1983,6.33,565000,2019-02,0.0573088,5 ROOM
685,HOUGANG ST 61,01 TO 03,128,Adjoined flat,1986,6.5,570000,2019-02,0.0573088,5 ROOM
408,HOUGANG AVE 10,07 TO 09,121,Improved,1986,6.5,581000,2019-02,0.0573088,5 ROOM
231,HOUGANG ST 21,07 TO 09,142,Model A-Maisonette,1984,6.33,752000,2019-02,0.0573088,5 ROOM
640,HOUGANG AVE 8,01 TO 03,154,Maisonette,1987,6.58,590000,2019-02,0.0573088,EXECUTIVE
628,HOUGANG AVE 8,04 TO 06,148,Maisonette,1986,6.5,685000,2019-02,0.0573088,EXECUTIVE
698D,HOUGANG ST 52,10 TO 12,141,Apartment,1999,7.75,703500,2019-02,0.0573088,EXECUTIVE
430,HOUGANG AVE 6,04 TO 06,149,Maisonette,1989,6.75,745000,2019-02,0.0573088,EXECUTIVE
522,HOUGANG AVE 6,04 TO 06,145,Maisonette,1987,6.58,745000,2019-02,0.0573088,EXECUTIVE
