block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
653,WOODLANDS RING RD,04 TO 06,100,Model A,1998,7.67,335000,2019-03,0.0573088,4 ROOM
780B,WOODLANDS CRES,01 TO 03,47,Model A,2015,9.42,220000,2019-03,0.0573088,2 ROOM
780B,WOODLANDS CRES,07 TO 09,47,Model A,2015,9.42,230000,2019-03,0.0573088,2 ROOM
12,MARSILING LANE,07 TO 09,76,Improved,1976,5.5,200000,2019-03,0.0573088,3 ROOM
17,MARSILING LANE,01 TO 03,65,Improved,1984,6.33,210000,2019-03,0.0573088,3 ROOM
15,MARSILING LANE,04 TO 06,65,Improved,1976,5.42,220000,2019-03,0.0573088,3 ROOM
206,MARSILING DR,01 TO 03,68,New Generation,1981,6.08,225000,2019-03,0.0573088,3 ROOM
206,MARSILING DR,04 TO 06,68,New Generation,1981,6.08,225000,2019-03,0.0573088,3 ROOM
782C,WOODLANDS CRES,04 TO 06,67,Model A,2015,9.42,240000,2019-03,0.0573088,3 ROOM
101,WOODLANDS ST 13,01 TO 03,67,New Generation,1985,6.42,255000,2019-03,0.0573088,3 ROOM
419,WOODLANDS ST 41,01 TO 03,68,New Generation,1995,7.42,268000,2019-03,0.0573088,3 ROOM
780A,WOODLANDS CRES,07 TO 09,67,Model A,2015,9.42,275000,2019-03,0.0573088,3 ROOM
151,WOODLANDS ST 13,07 TO 09,73,Model A,1985,6.42,276000,2019-03,0.0573088,3 ROOM
571C,WOODLANDS AVE 1,07 TO 09,67,Model A,2013,9.25,280000,2019-03,0.0573088,3 ROOM
12A,MARSILING LANE,19 TO 21,67,Model A,2013,9.25,295000,2019-03,0.0573088,3 ROOM
160,WOODLANDS ST 13,10 TO 12,73,Model A,1990,7,295000,2019-03,0.0573088,3 ROOM
570A,WOODLANDS AVE 1,07 TO 09,67,Model A,2013,9.25,295000,2019-03,0.0573088,3 ROOM
780C,WOODLANDS CRES,13 TO 15,67,Model A,2015,9.42,309000,2019-03,0.0573088,3 ROOM
886C,WOODLANDS DR 50,07 TO 09,67,Premium Apartment,2015,9.33,310000,2019-03,0.0573088,3 ROOM
886C,WOODLANDS DR 50,07 TO 09,67,Premium Apartment,2015,9.33,310000,2019-03,0.0573088,3 ROOM
886A,WOODLANDS DR 50,10 TO 12,67,Premium Apartment,2015,9.33,315000,2019-03,0.0573088,3 ROOM
780B,WOODLANDS CRES,13 TO 15,67,Model A,2015,9.42,320000,2019-03,0.0573088,3 ROOM
5,MARSILING DR,13 TO 15,90,Improved,1974,5.33,240000,2019-03,0.0573088,4 ROOM
801,WOODLANDS ST 81,01 TO 03,84,Simplified,1989,6.75,282000,2019-03,0.0573088,4 ROOM
436,WOODLANDS ST 41,10 TO 12,84,Simplified,1996,7.5,283000,2019-03,0.0573088,4 ROOM
437,WOODLANDS ST 41,10 TO 12,84,Simplified,1996,7.5,290000,2019-03,0.0573088,4 ROOM
824,WOODLANDS ST 81,01 TO 03,84,Simplified,1989,6.75,295000,2019-03,0.0573088,4 ROOM
764,WOODLANDS CIRCLE,01 TO 03,91,Model A,2003,8.25,300000,2019-03,0.0573088,4 ROOM
824,WOODLANDS ST 81,04 TO 06,84,Simplified,1989,6.75,300000,2019-03,0.0573088,4 ROOM
203,MARSILING DR,07 TO 09,93,New Generation,1981,6.08,300000,2019-03,0.0573088,4 ROOM
746,WOODLANDS CIRCLE,01 TO 03,103,Model A,1998,7.58,300000,2019-03,0.0573088,4 ROOM
824,WOODLANDS ST 81,04 TO 06,84,Simplified,1989,6.75,300000,2019-03,0.0573088,4 ROOM
775,WOODLANDS CRES,07 TO 09,92,Model A2,1997,7.58,302000,2019-03,0.0573088,4 ROOM
738,WOODLANDS CIRCLE,04 TO 06,102,Model A,1998,7.58,308000,2019-03,0.0573088,4 ROOM
743,WOODLANDS CIRCLE,01 TO 03,91,Model A2,1997,7.58,308000,2019-03,0.0573088,4 ROOM
557,WOODLANDS DR 53,04 TO 06,101,Model A,1999,7.75,308000,2019-03,0.0573088,4 ROOM
429,WOODLANDS ST 41,01 TO 03,104,Model A,1996,7.5,310000,2019-03,0.0573088,4 ROOM
633,WOODLANDS RING RD,01 TO 03,102,Model A,1999,7.75,312000,2019-03,0.0573088,4 ROOM
711,WOODLANDS DR 70,07 TO 09,101,Model A,1997,7.58,313000,2019-03,0.0573088,4 ROOM
897C,WOODLANDS DR 50,04 TO 06,100,Model A,1997,7.58,315000,2019-03,0.0573088,4 ROOM
761,WOODLANDS AVE 6,10 TO 12,103,Model A,1998,7.67,316000,2019-03,0.0573088,4 ROOM
769,WOODLANDS DR 60,10 TO 12,101,Model A,1997,7.58,320000,2019-03,0.0573088,4 ROOM
841,WOODLANDS ST 82,01 TO 03,101,Model A,1996,7.5,320000,2019-03,0.0573088,4 ROOM
544,WOODLANDS DR 16,10 TO 12,100,Model A,2000,8,320000,2019-03,0.0573088,4 ROOM
835,WOODLANDS ST 83,01 TO 03,103,Model A,1994,7.33,320000,2019-03,0.0573088,4 ROOM
632,WOODLANDS RING RD,01 TO 03,102,Model A,1999,7.75,321000,2019-03,0.0573088,4 ROOM
665,WOODLANDS RING RD,04 TO 06,85,Model A2,2000,8,323000,2019-03,0.0573088,4 ROOM
611,WOODLANDS RING RD,01 TO 03,101,Model A,1998,7.67,323000,2019-03,0.0573088,4 ROOM
786B,WOODLANDS DR 60,10 TO 12,90,Model A2,1997,7.58,324000,2019-03,0.0573088,4 ROOM
690E,WOODLANDS DR 75,04 TO 06,90,Premium Apartment,2004,8.25,325000,2019-03,0.0573088,4 ROOM
417,WOODLANDS ST 41,04 TO 06,103,Model A,1996,7.42,328000,2019-03,0.0573088,4 ROOM
612,WOODLANDS AVE 4,10 TO 12,102,Model A,1998,7.67,328000,2019-03,0.0573088,4 ROOM
638,WOODLANDS RING RD,10 TO 12,102,Model A,1999,7.75,328888,2019-03,0.0573088,4 ROOM
539,WOODLANDS DR 16,07 TO 09,101,Model A,2000,8,329000,2019-03,0.0573088,4 ROOM
713,WOODLANDS DR 70,01 TO 03,102,Model A,1996,7.5,330000,2019-03,0.0573088,4 ROOM
896C,WOODLANDS DR 50,07 TO 09,99,Model A,1997,7.58,333000,2019-03,0.0573088,4 ROOM
874,WOODLANDS ST 82,07 TO 09,115,Model A,1996,7.5,335000,2019-03,0.0573088,4 ROOM
414,WOODLANDS ST 41,07 TO 09,103,Model A,1996,7.42,340000,2019-03,0.0573088,4 ROOM
898A,WOODLANDS DR 50,10 TO 12,100,Model A,1997,7.58,340000,2019-03,0.0573088,4 ROOM
716,WOODLANDS DR 70,04 TO 06,100,Model A,1997,7.58,345000,2019-03,0.0573088,4 ROOM
152,WOODLANDS ST 13,10 TO 12,103,Model A,1985,6.42,345000,2019-03,0.0573088,4 ROOM
158,WOODLANDS ST 13,10 TO 12,103,Model A,1990,7,350000,2019-03,0.0573088,4 ROOM
160,WOODLANDS ST 13,10 TO 12,103,Model A,1990,7,350000,2019-03,0.0573088,4 ROOM
681A,WOODLANDS DR 62,04 TO 06,105,Premium Apartment,2000,7.75,357000,2019-03,0.0573088,4 ROOM
12B,MARSILING LANE,04 TO 06,93,Model A,2013,9.25,360000,2019-03,0.0573088,4 ROOM
667,WOODLANDS RING RD,10 TO 12,90,Model A,2001,8,362000,2019-03,0.0573088,4 ROOM
854,WOODLANDS ST 83,10 TO 12,104,Model A,1993,7.25,370000,2019-03,0.0573088,4 ROOM
780D,WOODLANDS CRES,04 TO 06,92,Model A,2015,9.42,375000,2019-03,0.0573088,4 ROOM
677,WOODLANDS AVE 6,04 TO 06,101,Model A,1998,7.67,383000,2019-03,0.0573088,4 ROOM
780C,WOODLANDS CRES,10 TO 12,92,Model A,2015,9.42,383000,2019-03,0.0573088,4 ROOM
12C,MARSILING LANE,16 TO 18,93,Model A,2013,9.25,385000,2019-03,0.0573088,4 ROOM
680,WOODLANDS AVE 6,10 TO 12,101,Model A,1998,7.67,400000,2019-03,0.0573088,4 ROOM
12C,MARSILING LANE,22 TO 24,95,Model A,2013,9.25,400000,2019-03,0.0573088,4 ROOM
782C,WOODLANDS CRES,13 TO 15,92,Model A,2015,9.42,400000,2019-03,0.0573088,4 ROOM
887A,WOODLANDS DR 50,04 TO 06,92,Premium Apartment,2015,9.33,405000,2019-03,0.0573088,4 ROOM
886A,WOODLANDS DR 50,10 TO 12,92,Premium Apartment,2015,9.33,410000,2019-03,0.0573088,4 ROOM
886C,WOODLANDS DR 50,04 TO 06,92,Premium Apartment,2015,9.42,410000,2019-03,0.0573088,4 ROOM
780C,WOODLANDS CRES,10 TO 12,92,Model A,2015,9.42,412000,2019-03,0.0573088,4 ROOM
509,WOODLANDS DR 14,07 TO 09,107,Premium Apartment,1999,7.75,420000,2019-03,0.0573088,4 ROOM
515,WOODLANDS DR 14,10 TO 12,107,Premium Apartment,1999,7.75,421000,2019-03,0.0573088,4 ROOM
782C,WOODLANDS CRES,16 TO 18,92,Model A,2015,9.42,425000,2019-03,0.0573088,4 ROOM
886C,WOODLANDS DR 50,13 TO 15,92,Premium Apartment,2015,9.33,429000,2019-03,0.0573088,4 ROOM
887A,WOODLANDS DR 50,13 TO 15,95,Premium Apartment,2015,9.33,458888,2019-03,0.0573088,4 ROOM
628B,WOODLANDS RING RD,01 TO 03,122,Improved,1998,7.67,300000,2019-03,0.0573088,5 ROOM
