block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
106,Gangsa Rd,01 to 03,73,Model A,1988,65.33,318000,Nov 2021
548B,Segar Rd,16 to 18,67,Model A,2015,93.17,383000,Nov 2021
636A,Senja Rd,01 to 03,67,Model A,2015,93.08,360000,Nov 2021
116,Pending Rd,04 to 06,73,Model A,1987,65,320000,Oct 2021
125,Pending Rd,01 to 03,73,Model A,1987,65,315000,Oct 2021
125,Pending Rd,04 to 06,73,Model A,1987,64.92,330000,Oct 2021
216,Petir Rd,04 to 06,73,Model A,1989,66.5,312000,Oct 2021
485,Segar Rd,10 to 12,67,Model A,2014,92.25,370000,Oct 2021
486,Segar Rd,07 to 09,67,Model A,2014,92.25,367000,Oct 2021
550A,Segar Rd,07 to 09,67,Model A,2015,93.25,370000,Oct 2021
633A,Senja Rd,07 to 09,67,Model A,2013,91.25,376888,Oct 2021
443A,Fajar Rd,07 to 09,68,Model A,2016,94.33,390000,Sep 2021
118,Pending Rd,04 to 06,73,Model A,1988,65.75,325000,Sep 2021
125,Pending Rd,04 to 06,73,Model A,1987,65,330000,Sep 2021
221,Pending Rd,10 to 12,73,Model A,1988,66.33,350000,Sep 2021
223,Pending Rd,10 to 12,73,Model A,1988,65.5,332000,Sep 2021
137,Petir Rd,04 to 06,73,Model A,1989,66.83,320000,Sep 2021
205,Petir Rd,07 to 09,73,Model A,1988,66.25,322000,Sep 2021
205,Petir Rd,10 to 12,73,Model A,1988,66.25,350000,Sep 2021
455,Segar Rd,10 to 12,68,Premium Apartment,2012,90.25,365000,Sep 2021
548A,Segar Rd,04 to 06,67,Model A,2015,93.33,358000,Sep 2021
550A,Segar Rd,16 to 18,67,Model A,2015,93.33,390000,Sep 2021
131,Cashew Rd,01 to 03,73,Model A,1988,65.75,312000,Aug 2021
131,Cashew Rd,07 to 09,73,Model A,1988,65.75,320000,Aug 2021
132,Cashew Rd,01 to 03,73,Model A,1988,66.42,300000,Aug 2021
443A,Fajar Rd,04 to 06,68,Model A,2016,94.33,375000,Aug 2021
118,Pending Rd,07 to 09,73,Model A,1988,65.83,326000,Aug 2021
119,Pending Rd,04 to 06,64,Simplified,1988,66.33,323000,Aug 2021
149,Petir Rd,10 to 12,73,Model A,1988,66.25,321888,Aug 2021
216,Petir Rd,07 to 09,73,Model A,1989,66.67,330000,Aug 2021
547C,Segar Rd,01 to 03,67,Model A,2015,93,351000,Aug 2021
547C,Segar Rd,01 to 03,67,Model A,2015,93,370888,Aug 2021
547C,Segar Rd,13 to 15,67,Model A,2015,93,390888,Aug 2021
131,Cashew Rd,10 to 12,73,Model A,1988,65.83,325000,Jul 2021
443A,Fajar Rd,13 to 15,68,Model A,2016,94.5,400280,Jul 2021
454,Fajar Rd,16 to 18,68,Model A,2015,93.5,388000,Jul 2021
105,Gangsa Rd,04 to 06,64,Simplified,1987,65.42,310000,Jul 2021
119,Pending Rd,04 to 06,64,Simplified,1988,66.42,308888,Jul 2021
123,Pending Rd,07 to 09,73,Model A,1988,66.25,317000,Jul 2021
143,Petir Rd,10 to 12,73,Model A,1988,66.42,338000,Jul 2021
216,Petir Rd,07 to 09,73,Model A,1989,66.75,325000,Jul 2021
220,Petir Rd,04 to 06,73,Model A,1989,66.67,290000,Jul 2021
220,Petir Rd,07 to 09,73,Model A,1989,66.58,330000,Jul 2021
457,Segar Rd,01 to 03,68,Premium Apartment,2012,90.42,357000,Jul 2021
459,Segar Rd,13 to 15,68,Premium Apartment,2015,93.08,379888,Jul 2021
485,Segar Rd,01 to 03,67,Model A,2014,92.5,332000,Jul 2021
547D,Segar Rd,04 to 06,67,Model A,2015,93.08,340000,Jul 2021
547D,Segar Rd,07 to 09,67,Model A,2015,93.08,385000,Jul 2021
442B,Fajar Rd,13 to 15,68,Model A,2016,94.58,368000,Jun 2021
108,Gangsa Rd,01 to 03,73,Model A,1986,64.5,305000,Jun 2021
230,Pending Rd,10 to 12,73,Model A,1988,66.58,328000,Jun 2021
547C,Segar Rd,10 to 12,67,Model A,2015,93.17,378888,Jun 2021
442B,Fajar Rd,01 to 03,68,Model A,2016,94.67,320000,May 2021
454,Fajar Rd,16 to 18,68,Model A,2015,93.67,368000,May 2021
139,Petir Rd,01 to 03,73,Model A,1988,66.25,300000,May 2021
