block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
331,Clementi Ave 2,01 to 03,67,New Generation,1978,55.75,345000,Nov 2021
430,Clementi Ave 3,04 to 06,67,New Generation,1979,57,365000,Nov 2021
309,Clementi Ave 4,07 to 09,67,New Generation,1980,57.25,373999,Nov 2021
312B,Clementi Ave 4,22 to 24,69,Model A,2017,94.83,608000,Nov 2021
371,Clementi Ave 4,04 to 06,68,New Generation,1981,58.92,353000,Nov 2021
339,Clementi Ave 5,07 to 09,82,New Generation,1979,57.08,425000,Nov 2021
729,Clementi West St 2,04 to 06,68,New Generation,1983,61,328000,Nov 2021
701,West Coast Rd,07 to 09,67,New Generation,1980,57.83,350000,Nov 2021
424,Clementi Ave 1,04 to 06,75,Model A,2013,91,535000,Oct 2021
334,Clementi Ave 2,01 to 03,82,New Generation,1978,55.83,400000,Oct 2021
363,Clementi Ave 2,01 to 03,81,New Generation,1978,55.33,400000,Oct 2021
429,Clementi Ave 3,10 to 12,67,New Generation,1978,55.67,390000,Oct 2021
441B,Clementi Ave 3,10 to 12,70,Model A,2012,89.83,660000,Oct 2021
450,Clementi Ave 3,01 to 03,68,New Generation,1980,57.75,370088,Oct 2021
307,Clementi Ave 4,04 to 06,67,New Generation,1979,57.17,351000,Oct 2021
307,Clementi Ave 4,10 to 12,67,New Generation,1979,57.17,390000,Oct 2021
309,Clementi Ave 4,10 to 12,67,New Generation,1980,57.33,360000,Oct 2021
309,Clementi Ave 4,10 to 12,67,New Generation,1980,57.33,370888,Oct 2021
311A,Clementi Ave 4,13 to 15,60,Dbss,2014,92.17,538000,Oct 2021
311B,Clementi Ave 4,22 to 24,60,Dbss,2014,92.25,450000,Oct 2021
311B,Clementi Ave 4,16 to 18,60,Dbss,2014,92.25,550000,Oct 2021
311B,Clementi Ave 4,13 to 15,60,Dbss,2014,92.25,550000,Oct 2021
311B,Clementi Ave 4,34 to 36,60,Dbss,2014,92.33,567000,Oct 2021
374,Clementi Ave 4,07 to 09,68,New Generation,1981,58.92,335000,Oct 2021
326,Clementi Ave 5,07 to 09,82,New Generation,1978,55.92,330000,Oct 2021
208A,Clementi Ave 6,37 to 39,68,Model A,2017,95.08,603000,Oct 2021
208A,Clementi Ave 6,37 to 39,68,Model A,2017,95,610000,Oct 2021
602,Clementi West St 1,04 to 06,67,New Generation,1979,57.17,320000,Oct 2021
603,Clementi West St 1,01 to 03,83,New Generation,1979,57.17,340000,Oct 2021
612,Clementi West St 1,04 to 06,74,Model A,1983,61.17,335000,Oct 2021
711,Clementi West St 2,07 to 09,67,New Generation,1980,58.17,308000,Oct 2021
711,Clementi West St 2,10 to 12,67,New Generation,1980,58.08,320000,Oct 2021
715,Clementi West St 2,01 to 03,68,New Generation,1981,58.92,302000,Oct 2021
506,West Coast Dr,01 to 03,67,New Generation,1978,55.83,270000,Oct 2021
510,West Coast Dr,04 to 06,67,New Generation,1978,55.25,315000,Oct 2021
423,Clementi Ave 1,10 to 12,70,Model A,2013,91.08,570000,Sep 2021
335,Clementi Ave 2,07 to 09,82,New Generation,1978,56.17,408000,Sep 2021
364,Clementi Ave 2,07 to 09,81,New Generation,1978,55.42,372888,Sep 2021
364,Clementi Ave 2,10 to 12,81,New Generation,1978,55.42,418000,Sep 2021
426,Clementi Ave 3,07 to 09,67,New Generation,1978,55.75,380000,Sep 2021
427,Clementi Ave 3,01 to 03,67,New Generation,1978,55.75,370000,Sep 2021
432,Clementi Ave 3,04 to 06,81,New Generation,1978,56.33,410000,Sep 2021
