block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
286C,Compassvale Cres,04 to 06,68,Premium Apartment,2017,95.08,375000,Nov 2021
289A,Compassvale Cres,13 to 15,68,Premium Apartment,2017,95.08,418000,Nov 2021
470B,Fernvale Link,13 to 15,68,Model A,2016,93.92,390000,Nov 2021
445A,Fernvale Rd,04 to 06,67,Model A,2012,90.08,375000,Nov 2021
453A,Fernvale Rd,22 to 24,67,Model A,2015,92.75,408000,Nov 2021
334C,Anchorvale Cres,04 to 06,67,Premium Apartment,2015,93.25,385000,Oct 2021
336A,Anchorvale Cres,13 to 15,67,Premium Apartment,2015,93.25,418000,Oct 2021
286C,Compassvale Cres,13 to 15,68,Premium Apartment,2017,95.08,410000,Oct 2021
215A,Compassvale Dr,04 to 06,68,Premium Apartment,2017,94.67,440888,Oct 2021
430C,Fernvale Link,13 to 15,67,Model A,2015,92.58,400000,Oct 2021
443B,Fernvale Rd,22 to 24,67,Model A,2012,90.17,400000,Oct 2021
445A,Fernvale Rd,04 to 06,68,Model A,2012,90.17,362000,Oct 2021
445A,Fernvale Rd,19 to 21,67,Model A,2012,90.17,400000,Oct 2021
164B,Rivervale Cres,13 to 15,68,Model A,2017,94.67,380000,Oct 2021
180B,Rivervale Cres,04 to 06,67,Model A,2015,92.42,352000,Oct 2021
180B,Rivervale Cres,16 to 18,67,Model A,2015,92.5,370000,Oct 2021
279A,Sengkang East Ave,13 to 15,67,Premium Apartment,2015,92.92,460000,Oct 2021
439A,Sengkang West Ave,13 to 15,69,Model A,2011,88.42,383000,Oct 2021
334A,Anchorvale Cres,01 to 03,67,Premium Apartment,2015,93.33,355000,Sep 2021
334B,Anchorvale Cres,13 to 15,67,Premium Apartment,2015,93.25,405000,Sep 2021
334C,Anchorvale Cres,13 to 15,67,Premium Apartment,2015,93.33,395000,Sep 2021
215A,Compassvale Dr,07 to 09,68,Premium Apartment,2017,94.75,430000,Sep 2021
215A,Compassvale Dr,13 to 15,68,Premium Apartment,2017,94.75,451000,Sep 2021
211C,Compassvale Lane,07 to 09,68,Model A,2013,90.5,380000,Sep 2021
414B,Fernvale Link,16 to 18,68,Model A,2016,93.42,385000,Sep 2021
414B,Fernvale Link,13 to 15,68,Model A,2016,93.33,385000,Sep 2021
414B,Fernvale Link,13 to 15,68,Model A,2016,93.33,390000,Sep 2021
414B,Fernvale Link,07 to 09,68,Model A,2016,93.33,398000,Sep 2021
470A,Fernvale Link,04 to 06,68,Model A,2016,94.08,358000,Sep 2021
441D,Fernvale Rd,13 to 15,69,Model A,2012,89.42,400000,Sep 2021
445A,Fernvale Rd,16 to 18,68,Model A,2012,90.25,398000,Sep 2021
471C,Fernvale St,07 to 09,68,Model A,2016,94.08,377000,Sep 2021
302B,Anchorvale Link,04 to 06,88,Model A,2007,84.92,375000,Aug 2021
302B,Anchorvale Link,10 to 12,83,Model A,2007,85,380000,Aug 2021
286C,Compassvale Cres,04 to 06,68,Premium Apartment,2017,95.33,370000,Aug 2021
286C,Compassvale Cres,07 to 09,68,Premium Apartment,2017,95.25,390000,Aug 2021
286C,Compassvale Cres,10 to 12,68,Premium Apartment,2017,95.33,400000,Aug 2021
217B,Compassvale Dr,07 to 09,68,Premium Apartment,2017,94.83,438888,Aug 2021
217B,Compassvale Dr,13 to 15,68,Premium Apartment,2017,94.83,471888,Aug 2021
209C,Compassvale Lane,13 to 15,67,Model A,2011,89.25,376000,Aug 2021
430C,Fernvale Link,19 to 21,67,Model A,2015,92.75,385000,Aug 2021
467A,Fernvale Link,04 to 06,68,Model A,2016,94.08,355000,Aug 2021
467B,Fernvale Link,01 to 03,68,Model A,2016,94.08,360000,Aug 2021
470B,Fernvale Link,13 to 15,68,Model A,2016,94.25,380000,Aug 2021
441D,Fernvale Rd,19 to 21,69,Model A,2012,89.58,406000,Aug 2021
471C,Fernvale St,13 to 15,68,Model A,2016,94.17,386000,Aug 2021
472B,Fernvale St,16 to 18,68,Model A,2016,94.17,370000,Aug 2021
472B,Fernvale St,22 to 24,68,Model A,2016,94.17,403000,Aug 2021
164B,Rivervale Cres,10 to 12,68,Model A,2017,94.83,375000,Aug 2021
164B,Rivervale Cres,01 to 03,68,Model A,2017,94.83,380000,Aug 2021
180A,Rivervale Cres,04 to 06,67,Model A,2015,92.58,345000,Aug 2021
180B,Rivervale Cres,13 to 15,67,Model A,2015,92.67,382888,Aug 2021
279C,Sengkang East Ave,13 to 15,67,Premium Apartment,2015,93.08,448786,Aug 2021
336A,Anchorvale Cres,07 to 09,67,Premium Apartment,2015,93.5,385000,Jul 2021
286C,Compassvale Cres,10 to 12,68,Premium Apartment,2017,95.42,370000,Jul 2021
215A,Compassvale Dr,04 to 06,68,Premium Apartment,2017,94.92,420000,Jul 2021
215A,Compassvale Dr,07 to 09,68,Premium Apartment,2017,94.83,430000,Jul 2021
215A,Compassvale Dr,16 to 18,68,Premium Apartment,2017,94.92,460000,Jul 2021
414A,Fernvale Link,10 to 12,68,Model A,2016,93.5,390000,Jul 2021
414B,Fernvale Link,04 to 06,68,Model A,2016,93.5,378000,Jul 2021
445B,Fernvale Rd,13 to 15,68,Model A,2012,90.5,370000,Jul 2021
445B,Fernvale Rd,19 to 21,67,Model A,2012,90.42,395000,Jul 2021
471C,Fernvale St,22 to 24,68,Model A,2016,94.17,410000,Jul 2021
472B,Fernvale St,13 to 15,68,Model A,2016,94.25,410000,Jul 2021
447A,Jln Kayu,16 to 18,67,Model A,2013,91.5,381200,Jul 2021
430C,Fernvale Link,01 to 03,67,Model A,2015,93,340000,Jun 2021
436A,Fernvale Rd,19 to 21,70,Model A,2010,87.83,388000,Jun 2021
473A,Fernvale St,04 to 06,68,Model A,2016,94.42,350000,Jun 2021
473A,Fernvale St,07 to 09,68,Model A,2016,94.33,370000,Jun 2021
473A,Fernvale St,07 to 09,68,Model A,2016,94.25,390000,Jun 2021
164B,Rivervale Cres,16 to 18,68,Model A,2017,95,398000,Jun 2021
215A,Compassvale Dr,13 to 15,67,Premium Apartment,2017,95.08,450000,May 2021
217B,Compassvale Dr,07 to 09,68,Premium Apartment,2017,95.08,410000,May 2021
217B,Compassvale Dr,10 to 12,68,Premium Apartment,2017,95.08,445000,May 2021
217B,Compassvale Dr,13 to 15,68,Premium Apartment,2017,95,471000,May 2021
211D,Compassvale Lane,13 to 15,68,Model A,2013,90.75,365000,May 2021
414A,Fernvale Link,01 to 03,68,Model A,2016,93.67,355000,May 2021
414B,Fernvale Link,01 to 03,68,Model A,2016,93.75,350000,May 2021
467A,Fernvale Link,04 to 06,68,Model A,2016,94.42,350000,May 2021
473A,Fernvale St,16 to 18,68,Model A,2016,94.42,390000,May 2021
164B,Rivervale Cres,01 to 03,68,Model A,2017,95.08,380000,May 2021
281A,Sengkang East Ave,07 to 09,67,Premium Apartment,2015,93.33,428888,May 2021
448A,Sengkang West Way,19 to 21,67,Model A,2014,92.17,380000,May 2021
450B,Sengkang West Way,16 to 18,67,Model A,2014,92.25,380000,May 2021
334A,Anchorvale Cres,07 to 09,67,Premium Apartment,2015,93.67,374000,Apr 2021
302B,Anchorvale Link,04 to 06,83,Model A,2007,85.33,360000,Apr 2021
329A,Anchorvale St,07 to 09,67,Model A,2015,93.33,370000,Apr 2021
467A,Fernvale Link,10 to 12,68,Model A,2016,94.33,355000,Apr 2021
470A,Fernvale Link,13 to 15,68,Model A,2016,94.42,360000,Apr 2021
470B,Fernvale Link,07 to 09,68,Model A,2016,94.5,365000,Apr 2021
445B,Fernvale Rd,10 to 12,68,Model A,2012,90.67,365000,Apr 2021
473A,Fernvale St,04 to 06,68,Model A,2016,94.5,360988,Apr 2021
164B,Rivervale Cres,04 to 06,68,Model A,2017,95.17,340000,Apr 2021
279C,Sengkang East Ave,13 to 15,67,Premium Apartment,2015,93.42,435888,Apr 2021
334A,Anchorvale Cres,10 to 12,67,Premium Apartment,2015,93.92,375000,Mar 2021
336A,Anchorvale Cres,13 to 15,67,Premium Apartment,2015,93.83,380000,Mar 2021
302B,Anchorvale Link,10 to 12,88,Model A,2007,85.42,365000,Mar 2021
211C,Compassvale Lane,01 to 03,68,Model A,2013,91,330000,Mar 2021
434A,Fernvale Rd,10 to 12,68,Premium Apartment,2013,91.25,357000,Mar 2021
436C,Fernvale Rd,19 to 21,70,Model A,2010,88,370000,Mar 2021
453A,Fernvale Rd,13 to 15,67,Model A,2015,93.33,375000,Mar 2021
471C,Fernvale St,07 to 09,68,Model A,2016,94.5,360000,Mar 2021
471C,Fernvale St,13 to 15,68,Model A,2016,94.58,360000,Mar 2021
473A,Fernvale St,22 to 24,68,Model A,2016,94.58,390000,Mar 2021
