block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
209,Ang Mo Kio Ave 3,04 to 06,91,New Generation,1977,54.5,438000,Nov 2021
424,Ang Mo Kio Ave 3,01 to 03,98,New Generation,1979,56.25,495000,Nov 2021
173,Ang Mo Kio Ave 4,10 to 12,91,New Generation,1982,59.25,500000,Nov 2021
631,Ang Mo Kio Ave 4,01 to 03,93,New Generation,1985,62.25,385000,Nov 2021
634,Ang Mo Kio Ave 6,04 to 06,92,New Generation,1980,57.83,435000,Nov 2021
303,Ang Mo Kio Ave 1,10 to 12,98,New Generation,1977,54.5,450000,Oct 2021
307C,Ang Mo Kio Ave 1,13 to 15,88,Model A,2012,90,715000,Oct 2021
415,Ang Mo Kio Ave 10,01 to 03,92,New Generation,1979,56.92,400000,Oct 2021
418,Ang Mo Kio Ave 10,07 to 09,99,New Generation,1979,56.92,478000,Oct 2021
573,Ang Mo Kio Ave 3,10 to 12,92,New Generation,1979,56.58,460000,Oct 2021
610,Ang Mo Kio Ave 4,10 to 12,95,New Generation,1980,58.17,455000,Oct 2021
617,Ang Mo Kio Ave 4,10 to 12,108,Model A,1996,73.75,585000,Oct 2021
153,Ang Mo Kio Ave 5,04 to 06,93,New Generation,1981,58.25,438000,Oct 2021
154,Ang Mo Kio Ave 5,10 to 12,93,New Generation,1981,58.33,430000,Oct 2021
643,Ang Mo Kio Ave 5,10 to 12,100,New Generation,1980,58.17,482000,Oct 2021
633,Ang Mo Kio Ave 6,04 to 06,93,New Generation,1985,62.25,499000,Oct 2021
700A,Ang Mo Kio Ave 6,10 to 12,91,Model A,2003,80.92,660000,Oct 2021
700A,Ang Mo Kio Ave 6,13 to 15,90,Model A,2003,81.08,670000,Oct 2021
621,Ang Mo Kio Ave 9,10 to 12,92,New Generation,1980,58,425000,Oct 2021
621,Ang Mo Kio Ave 9,07 to 09,92,New Generation,1980,58,432288,Oct 2021
588D,Ang Mo Kio St 52,13 to 15,91,Dbss,2011,88.92,778000,Oct 2021
588D,Ang Mo Kio St 52,22 to 24,91,Dbss,2011,88.92,825000,Oct 2021
207,Ang Mo Kio Ave 1,04 to 06,97,New Generation,1976,53.92,430000,Sep 2021
226,Ang Mo Kio Ave 1,10 to 12,91,New Generation,1978,55.42,415000,Sep 2021
306,Ang Mo Kio Ave 1,07 to 09,95,New Generation,1977,54.92,518000,Sep 2021
331,Ang Mo Kio Ave 1,10 to 12,93,New Generation,1981,58.42,400000,Sep 2021
414,Ang Mo Kio Ave 10,10 to 12,92,New Generation,1979,57,425000,Sep 2021
467,Ang Mo Kio Ave 10,13 to 15,92,New Generation,1979,57.25,467000,Sep 2021
470,Ang Mo Kio Ave 10,07 to 09,92,New Generation,1979,57.25,430000,Sep 2021
472,Ang Mo Kio Ave 10,04 to 06,92,New Generation,1979,56.92,445000,Sep 2021
473,Ang Mo Kio Ave 10,13 to 15,91,New Generation,1984,61.83,420000,Sep 2021
544,Ang Mo Kio Ave 10,01 to 03,92,New Generation,1981,58.42,393888,Sep 2021
103,Ang Mo Kio Ave 3,07 to 09,90,New Generation,1978,55.58,440000,Sep 2021
131,Ang Mo Kio Ave 3,07 to 09,98,New Generation,1979,56.33,470000,Sep 2021
211,Ang Mo Kio Ave 3,07 to 09,81,New Generation,1977,54.58,400000,Sep 2021
231,Ang Mo Kio Ave 3,10 to 12,92,New Generation,1977,55,450000,Sep 2021
327,Ang Mo Kio Ave 3,10 to 12,98,New Generation,1977,54.75,536000,Sep 2021
571,Ang Mo Kio Ave 3,07 to 09,92,New Generation,1979,56.75,458000,Sep 2021
