block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
131,Bedok Nth Ave 3,07 to 09,92,New Generation,1978,55.5,477500,Nov 2021
185,Bedok Nth Rd,19 to 21,92,Model A,2005,83.17,628888,Nov 2021
132,Bedok Nth St 2,13 to 15,92,New Generation,1978,55.5,490000,Nov 2021
524,Bedok Nth St 3,04 to 06,92,New Generation,1979,56.75,380000,Nov 2021
125,Bedok Reservoir Rd,01 to 03,84,Simplified,1987,64.75,468000,Nov 2021
608,Bedok Reservoir Rd,04 to 06,94,New Generation,1982,59.75,405000,Nov 2021
628,Bedok Reservoir Rd,10 to 12,95,New Generation,1983,60.25,505000,Nov 2021
702,Bedok Reservoir Rd,01 to 03,93,New Generation,1980,58.08,415000,Nov 2021
769,Bedok Reservoir View,04 to 06,105,Premium Apartment,2000,78.17,520000,Nov 2021
15,Bedok Sth Rd,07 to 09,88,Improved,1976,53.25,410000,Nov 2021
15,Bedok Sth Rd,10 to 12,88,Improved,1976,53.25,425000,Nov 2021
50,Chai Chee St,04 to 06,91,New Generation,1981,58.75,392500,Nov 2021
54,Chai Chee St,10 to 12,100,New Generation,1981,58.58,435000,Nov 2021
102,Lengkong Tiga,10 to 12,104,Model A,1989,66.83,625000,Nov 2021
220B,Bedok Ctrl,16 to 18,97,Model A,2010,87.67,791000,Oct 2021
221B,Bedok Ctrl,13 to 15,94,Model A,2010,87.67,735000,Oct 2021
423,Bedok Nth Ave 1,04 to 06,91,New Generation,1979,56.33,405000,Oct 2021
513,Bedok Nth Ave 2,01 to 03,92,New Generation,1979,56.83,393000,Oct 2021
131,Bedok Nth Ave 3,10 to 12,92,New Generation,1978,55.58,460000,Oct 2021
105,Bedok Nth Ave 4,10 to 12,91,New Generation,1977,54.83,420000,Oct 2021
78,Bedok Nth Rd,10 to 12,91,New Generation,1978,55.67,450888,Oct 2021
79,Bedok Nth Rd,13 to 15,91,New Generation,1978,55.75,425000,Oct 2021
125,Bedok Nth Rd,04 to 06,83,New Generation,1978,55.58,383000,Oct 2021
180,Bedok Nth Rd,01 to 03,92,Model A,2006,83.25,530000,Oct 2021
180,Bedok Nth Rd,10 to 12,92,Model A,2006,83.33,645000,Oct 2021
181,Bedok Nth Rd,04 to 06,92,Model A,2006,83.33,535000,Oct 2021
185,Bedok Nth Rd,10 to 12,92,Model A,2005,83.25,610000,Oct 2021
427,Bedok Nth Rd,04 to 06,92,New Generation,1979,56.33,408000,Oct 2021
706,Bedok Nth Rd,04 to 06,91,New Generation,1980,58.08,431889,Oct 2021
526,Bedok Nth St 3,07 to 09,92,New Generation,1979,56.83,418000,Oct 2021
532,Bedok Nth St 3,04 to 06,92,New Generation,1980,57.33,388000,Oct 2021
536,Bedok Nth St 3,04 to 06,95,New Generation,1980,57.25,390000,Oct 2021
101,Bedok Reservoir Rd,04 to 06,98,New Generation,1985,62.83,400000,Oct 2021
709,Bedok Reservoir Rd,04 to 06,102,New Generation,1981,58.83,500000,Oct 2021
718,Bedok Reservoir Rd,04 to 06,104,Model A,1984,61.33,445000,Oct 2021
718,Bedok Reservoir Rd,10 to 12,104,Model A,1984,61.33,460000,Oct 2021
761,Bedok Reservoir View,07 to 09,105,Premium Apartment,2000,78.25,600000,Oct 2021
769,Bedok Reservoir View,07 to 09,105,Premium Apartment,2000,78.25,570000,Oct 2021
771,Bedok Reservoir View,10 to 12,105,Premium Apartment,2000,78.25,562000,Oct 2021
773,Bedok Reservoir View,04 to 06,107,Premium Apartment,2000,78.25,526000,Oct 2021
35,Bedok Sth Ave 2,10 to 12,90,Improved,1977,55,396888,Oct 2021
15,Bedok Sth Rd,01 to 03,88,Improved,1976,53.25,395000,Oct 2021
41,Bedok Sth Rd,07 to 09,84,Improved,1977,54.92,395000,Oct 2021
42,Bedok Sth Rd,07 to 09,84,Improved,1977,55,380000,Oct 2021
43,Bedok Sth Rd,13 to 15,84,Improved,1977,55,388000,Oct 2021
71,Bedok Sth Rd,10 to 12,92,New Generation,1978,55.25,455000,Oct 2021
164,Bedok Sth Rd,07 to 09,84,Simplified,1986,63.42,460000,Oct 2021
56,Chai Chee Dr,04 to 06,91,New Generation,1983,60.33,372000,Oct 2021
26,Chai Chee Rd,13 to 15,104,Model A,1993,70.67,584000,Oct 2021
807A,Chai Chee Rd,13 to 15,93,Model A,2016,94.08,668888,Oct 2021
807A,Chai Chee Rd,13 to 15,93,Model A,2016,94.17,670000,Oct 2021
808A,Chai Chee Rd,13 to 15,93,Model A,2016,94.17,660000,Oct 2021
808A,Chai Chee Rd,10 to 12,93,Model A,2016,94.17,660000,Oct 2021
808B,Chai Chee Rd,10 to 12,93,Model A,2016,94.17,632000,Oct 2021
808C,Chai Chee Rd,04 to 06,88,Model A,2016,94.17,620000,Oct 2021
650,Jln Tenaga,07 to 09,108,Model A,1996,73.83,510000,Oct 2021
651,Jln Tenaga,10 to 12,108,Model A,1996,74.08,570000,Oct 2021
655,Jln Tenaga,07 to 09,108,Model A,1996,74.17,520000,Oct 2021
656,Jln Tenaga,07 to 09,104,Model A,1996,74.17,572000,Oct 2021
219A,Bedok Ctrl,01 to 03,97,Model A,2010,87.75,660000,Sep 2021
220C,Bedok Ctrl,07 to 09,87,Model A,2010,87.67,650000,Sep 2021
221A,Bedok Ctrl,10 to 12,94,Model A,2010,87.75,741000,Sep 2021
221B,Bedok Ctrl,13 to 15,94,Model A,2010,87.75,730000,Sep 2021
408,Bedok Nth Ave 2,01 to 03,92,New Generation,1980,57.75,415000,Sep 2021
517,Bedok Nth Ave 2,01 to 03,92,New Generation,1979,57,401000,Sep 2021
518,Bedok Nth Ave 2,04 to 06,92,New Generation,1979,57,380000,Sep 2021
131,Bedok Nth Ave 3,04 to 06,92,New Generation,1978,55.67,430000,Sep 2021
95,Bedok Nth Ave 4,01 to 03,92,New Generation,1979,56.75,410000,Sep 2021
79,Bedok Nth Rd,04 to 06,92,New Generation,1978,55.83,418000,Sep 2021
180,Bedok Nth Rd,01 to 03,85,Model A,2006,83.42,525000,Sep 2021
181,Bedok Nth Rd,16 to 18,92,Model A,2006,83.33,652000,Sep 2021
185,Bedok Nth Rd,16 to 18,92,Model A,2005,83.42,640000,Sep 2021
422,Bedok Nth Rd,07 to 09,92,New Generation,1979,56.42,435000,Sep 2021
128,Bedok Nth St 2,04 to 06,92,New Generation,1978,55.67,392000,Sep 2021
528,Bedok Nth St 3,13 to 15,101,New Generation,1979,57.08,383000,Sep 2021
747B,Bedok Reservoir Cres,10 to 12,87,Dbss,2014,92,720000,Sep 2021
748C,Bedok Reservoir Cres,01 to 03,87,Dbss,2014,91.92,630000,Sep 2021
106,Bedok Reservoir Rd,07 to 09,91,New Generation,1985,63,400000,Sep 2021
106,Bedok Reservoir Rd,10 to 12,91,New Generation,1985,62.92,415000,Sep 2021
110,Bedok Reservoir Rd,04 to 06,91,New Generation,1985,62.92,395000,Sep 2021
110,Bedok Reservoir Rd,01 to 03,91,New Generation,1985,62.83,420000,Sep 2021
124,Bedok Reservoir Rd,01 to 03,84,Simplified,1987,64.67,410000,Sep 2021
132,Bedok Reservoir Rd,10 to 12,103,Model A,1987,64.5,440000,Sep 2021
