block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
166,Bishan St 13,04 to 06,84,Simplified,1987,65.17,450000,Nov 2021
260,Bishan St 22,10 to 12,104,Model A,1992,69.75,610000,Nov 2021
213,Bishan St 23,10 to 12,102,Model A,1992,69.58,600000,Nov 2021
267,Bishan St 24,07 to 09,104,Model A,1992,69.83,675000,Nov 2021
268,Bishan St 24,04 to 06,104,Model A,1992,69.83,610000,Nov 2021
270,Bishan St 24,10 to 12,104,Model A,1992,69.83,625000,Nov 2021
502,Bishan St 11,04 to 06,104,Model A,1989,67,700000,Oct 2021
109,Bishan St 12,13 to 15,84,Simplified,1985,63.25,550000,Oct 2021
124,Bishan St 12,04 to 06,84,Simplified,1987,64.75,510000,Oct 2021
131,Bishan St 12,07 to 09,84,Simplified,1986,63.33,520000,Oct 2021
141,Bishan St 12,13 to 15,84,Simplified,1988,65.83,535000,Oct 2021
180,Bishan St 13,10 to 12,88,Simplified,1988,65.5,600000,Oct 2021
233,Bishan St 22,10 to 12,103,Model A,1992,69.67,555000,Oct 2021
239,Bishan St 22,13 to 15,114,Model A,1992,69.83,780000,Oct 2021
252,Bishan St 22,13 to 15,101,Model A,1992,69.83,680000,Oct 2021
227,Bishan St 23,01 to 03,106,Model A,1992,69.67,580000,Oct 2021
265,Bishan St 24,04 to 06,112,Model A,1992,69.92,600000,Oct 2021
268,Bishan St 24,10 to 12,104,Model A,1992,69.83,670000,Oct 2021
290,Bishan St 24,28 to 30,123,Premium Apartment,1998,75.75,895000,Oct 2021
446,Bright Hill Dr,04 to 06,94,New Generation,1990,67.58,485000,Oct 2021
403,Sin Ming Ave,10 to 12,89,Simplified,1986,63.83,575000,Oct 2021
445,Sin Ming Ave,04 to 06,103,Model A,1990,67.25,585000,Oct 2021
445,Sin Ming Ave,04 to 06,114,Model A,1990,67.33,651888,Oct 2021
455,Sin Ming Ave,07 to 09,105,Model A,1990,67.42,613000,Oct 2021
146,Bishan St 11,01 to 03,84,Simplified,1987,64.92,450000,Sep 2021
146,Bishan St 11,01 to 03,84,Simplified,1987,65,485000,Sep 2021
107,Bishan St 12,07 to 09,84,Simplified,1985,63.25,532000,Sep 2021
107,Bishan St 12,07 to 09,105,Model A,1985,63.25,625000,Sep 2021
114,Bishan St 12,04 to 06,84,Simplified,1986,63.42,535000,Sep 2021
124,Bishan St 12,01 to 03,84,Simplified,1987,64.83,510000,Sep 2021
136,Bishan St 12,01 to 03,84,Simplified,1987,65.17,475000,Sep 2021
170,Bishan St 13,04 to 06,83,Simplified,1987,65.08,450000,Sep 2021
171,Bishan St 13,10 to 12,84,Simplified,1988,65.42,540000,Sep 2021
176,Bishan St 13,04 to 06,84,Simplified,1988,65.67,545000,Sep 2021
233,Bishan St 22,01 to 03,105,Model A,1992,69.67,530000,Sep 2021
233,Bishan St 22,10 to 12,121,Model A,1992,69.67,738000,Sep 2021
237,Bishan St 22,01 to 03,114,Model A,1992,69.67,650000,Sep 2021
249,Bishan St 22,07 to 09,105,Model A,1992,70,620000,Sep 2021
285,Bishan St 22,01 to 03,108,Model A,1992,70,630000,Sep 2021
285,Bishan St 22,13 to 15,108,Model A,1992,69.92,720000,Sep 2021
293,Bishan St 22,04 to 06,103,Premium Apartment,1998,75.83,610000,Sep 2021
206,Bishan St 23,04 to 06,104,Model A,1992,69.67,658000,Sep 2021
217,Bishan St 23,13 to 15,103,Model A,1992,69.75,640888,Sep 2021
272,Bishan St 24,10 to 12,105,Model A,1992,70,650000,Sep 2021
273B,Bishan St 24,31 to 33,95,Dbss,2011,89,930000,Sep 2021
286,Bishan St 24,16 to 18,108,Model A,1992,69.92,710000,Sep 2021
290,Bishan St 24,13 to 15,102,Premium Apartment,1998,75.92,708000,Sep 2021
306,Shunfu Rd,04 to 06,95,New Generation,1985,62.42,635888,Sep 2021
309,Shunfu Rd,13 to 15,92,New Generation,1984,62.25,580000,Sep 2021
406,Sin Ming Ave,10 to 12,84,Simplified,1987,64.58,595000,Sep 2021
449,Sin Ming Ave,04 to 06,105,Model A,1990,67.5,618000,Sep 2021
451,Sin Ming Ave,01 to 03,110,Model A,1990,67.42,590000,Sep 2021
455,Sin Ming Ave,07 to 09,114,Model A,1990,67.42,668000,Sep 2021
