block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
241,Bt Batok East Ave 5,07 to 09,93,New Generation,1985,63,415000,Nov 2021
251,Bt Batok East Ave 5,04 to 06,93,New Generation,1985,62.5,428000,Nov 2021
291D,Bt Batok St 24,07 to 09,103,Model A,1998,75.33,505000,Nov 2021
289G,Bt Batok St 25,01 to 03,101,Model A,1998,75.75,450000,Nov 2021
194B,Bt Batok West Ave 6,13 to 15,92,Premium Apartment,2017,94.75,628000,Nov 2021
227,Bt Batok Ctrl,04 to 06,93,New Generation,1985,62.42,425000,Oct 2021
267,Bt Batok East Ave 4,01 to 03,89,Simplified,1987,64.33,395000,Oct 2021
206,Bt Batok St 21,07 to 09,104,Model A,1983,61.17,425000,Oct 2021
210,Bt Batok St 21,04 to 06,104,Model A,1985,62.67,430000,Oct 2021
210,Bt Batok St 21,01 to 03,103,Model A,1985,62.67,440000,Oct 2021
210,Bt Batok St 21,04 to 06,108,Model A,1985,62.67,485000,Oct 2021
297,Bt Batok St 22,04 to 06,100,Model A,1997,74.83,485000,Oct 2021
290A,Bt Batok St 24,04 to 06,103,Model A,1998,75.42,470000,Oct 2021
290E,Bt Batok St 24,16 to 18,102,Model A,1997,75.25,550000,Oct 2021
291B,Bt Batok St 24,04 to 06,103,Model A,1998,75.33,470000,Oct 2021
288C,Bt Batok St 25,04 to 06,93,Model A2,1998,75.92,445000,Oct 2021
288D,Bt Batok St 25,04 to 06,92,Model A2,1998,75.58,405000,Oct 2021
288D,Bt Batok St 25,07 to 09,92,Model A2,1998,75.5,440000,Oct 2021
288E,Bt Batok St 25,04 to 06,103,Model A,1998,75.83,460000,Oct 2021
369,Bt Batok St 31,07 to 09,84,Simplified,1985,63.25,405000,Oct 2021
319,Bt Batok St 33,07 to 09,84,Simplified,1986,64,363000,Oct 2021
321,Bt Batok St 33,10 to 12,93,New Generation,1986,63.5,408000,Oct 2021
338,Bt Batok St 34,10 to 12,84,Simplified,1986,63.5,390000,Oct 2021
340,Bt Batok St 34,07 to 09,107,Model A,1987,64.67,430000,Oct 2021
345,Bt Batok St 34,10 to 12,103,Model A,1987,64.42,438000,Oct 2021
532,Bt Batok St 51,01 to 03,83,Simplified,1986,64.25,367000,Oct 2021
513,Bt Batok St 52,04 to 06,84,Simplified,1987,64.67,390000,Oct 2021
417,Bt Batok West Ave 4,04 to 06,103,Model A,1986,63.75,395000,Oct 2021
383,Bt Batok West Ave 5,22 to 24,86,Model A,2005,82.33,525000,Oct 2021
384,Bt Batok West Ave 5,25 to 27,90,Model A,2005,82.33,510000,Oct 2021
391,Bt Batok West Ave 5,22 to 24,92,Model A,2004,81.92,476000,Oct 2021
392,Bt Batok West Ave 5,04 to 06,92,Model A,2004,82.08,492000,Oct 2021
107,Bt Batok West Ave 6,07 to 09,104,Model A,1985,62.5,485000,Oct 2021
112,Bt Batok West Ave 6,10 to 12,106,Model A,1984,62.08,475000,Oct 2021
113,Bt Batok West Ave 6,01 to 03,104,Model A,1984,61.83,430000,Oct 2021
129,Bt Batok West Ave 6,10 to 12,103,Model A,1984,62.08,480888,Oct 2021
194A,Bt Batok West Ave 6,22 to 24,95,Premium Apartment,2017,94.75,710000,Oct 2021
194B,Bt Batok West Ave 6,07 to 09,92,Premium Apartment,2017,94.75,605000,Oct 2021
194B,Bt Batok West Ave 6,28 to 30,92,Premium Apartment,2017,94.83,640000,Oct 2021
105,Bt Batok Ctrl,04 to 06,104,Model A,1985,62.58,410000,Sep 2021
228,Bt Batok Ctrl,10 to 12,100,New Generation,1985,62.75,455000,Sep 2021
639,Bt Batok Ctrl,01 to 03,104,Model A,1989,67,483000,Sep 2021
253,Bt Batok East Ave 5,01 to 03,96,New Generation,1985,62.67,408000,Sep 2021
210,Bt Batok St 21,07 to 09,117,Model A,1985,62.75,438000,Sep 2021
215,Bt Batok St 21,04 to 06,96,New Generation,1984,62.33,417000,Sep 2021
291A,Bt Batok St 24,01 to 03,104,Model A,1997,75.33,455000,Sep 2021
289G,Bt Batok St 25,07 to 09,101,Model A,1998,75.83,452000,Sep 2021
289G,Bt Batok St 25,07 to 09,103,Model A,1998,75.92,480000,Sep 2021
308,Bt Batok St 31,10 to 12,93,New Generation,1985,62.83,420000,Sep 2021
313,Bt Batok St 32,04 to 06,98,New Generation,1986,63.58,415000,Sep 2021
338,Bt Batok St 34,01 to 03,84,Simplified,1986,63.67,380000,Sep 2021
392,Bt Batok West Ave 5,01 to 03,92,Model A,2004,82.08,438000,Sep 2021
393,Bt Batok West Ave 5,04 to 06,92,Model A,2004,82.17,480000,Sep 2021
394,Bt Batok West Ave 5,10 to 12,92,Model A,2004,82.08,460000,Sep 2021
101,Bt Batok West Ave 6,01 to 03,111,Model A,1985,62.83,485000,Sep 2021
102,Bt Batok West Ave 6,07 to 09,104,Model A,1985,62.92,488000,Sep 2021
114,Bt Batok West Ave 6,04 to 06,104,Model A,1984,62,455000,Sep 2021
130,Bt Batok West Ave 6,10 to 12,103,Model A,1984,62.25,465000,Sep 2021
194A,Bt Batok West Ave 6,04 to 06,95,Premium Apartment,2017,94.92,628000,Sep 2021
194B,Bt Batok West Ave 6,07 to 09,92,Premium Apartment,2017,94.83,595000,Sep 2021
194B,Bt Batok West Ave 6,07 to 09,92,Premium Apartment,2017,94.92,615000,Sep 2021
194B,Bt Batok West Ave 6,07 to 09,95,Premium Apartment,2017,94.83,640000,Sep 2021
194B,Bt Batok West Ave 6,28 to 30,92,Premium Apartment,2017,94.92,675000,Sep 2021
106,Bt Batok Ctrl,04 to 06,104,Model A,1985,62.67,431000,Aug 2021
625,Bt Batok Ctrl,04 to 06,101,Model A,1997,74.92,521000,Aug 2021
625,Bt Batok Ctrl,07 to 09,101,Model A,1997,74.83,550000,Aug 2021
257,Bt Batok East Ave 4,10 to 12,98,New Generation,1985,63,455000,Aug 2021
258,Bt Batok East Ave 4,01 to 03,103,Model A,1985,62.58,400000,Aug 2021
202,Bt Batok St 21,01 to 03,104,Model A,1985,62.92,468000,Aug 2021
290G,Bt Batok St 24,10 to 12,100,Model A,1998,75.5,490000,Aug 2021
290G,Bt Batok St 24,16 to 18,103,Model A,1998,75.5,492000,Aug 2021
291E,Bt Batok St 24,13 to 15,100,Model A,1998,75.58,490000,Aug 2021
