block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
10A,Boon Tiong Rd,16 to 18,92,Model A,2016,93.25,945000,Nov 2021
124B,Bt Merah View,07 to 09,107,Model A,1996,73.92,715000,Nov 2021
57,Havelock Rd,28 to 30,94,Model A,2013,90.67,880000,Nov 2021
106,Henderson Cres,13 to 15,81,Improved,1975,52.25,475000,Nov 2021
27B,Jln Membina,10 to 12,90,Model A,2008,86,770888,Nov 2021
39,Jln Rumah Tinggi,04 to 06,99,Model A,1997,74.67,635000,Nov 2021
40,Jln Rumah Tinggi,10 to 12,100,Model A,1997,74.67,670000,Nov 2021
120,Kim Tian Pl,04 to 06,90,Model A,2001,78.33,768000,Nov 2021
75A,Redhill Rd,19 to 21,100,Model A,2005,83.17,825000,Nov 2021
75C,Redhill Rd,19 to 21,100,Model A,2007,84.25,830000,Nov 2021
77A,Redhill Rd,07 to 09,100,Model A,2005,83.08,828000,Nov 2021
51,Telok Blangah Dr,07 to 09,92,New Generation,1978,55.75,488000,Nov 2021
70B,Telok Blangah Hts,10 to 12,93,Model A,2017,94.58,790000,Nov 2021
70B,Telok Blangah Hts,07 to 09,93,Model A,2017,94.67,800000,Nov 2021
87,Telok Blangah Hts,28 to 30,90,Model A,2003,80.5,688000,Nov 2021
6A,Boon Tiong Rd,01 to 03,100,Model A,2005,83.08,770000,Oct 2021
6A,Boon Tiong Rd,10 to 12,100,Model A,2005,83,838000,Oct 2021
9A,Boon Tiong Rd,22 to 24,92,Model A,2016,93.25,940000,Oct 2021
9A,Boon Tiong Rd,28 to 30,92,Model A,2016,93.25,1010000,Oct 2021
10A,Boon Tiong Rd,07 to 09,92,Model A,2016,93.25,933000,Oct 2021
108,Bt Purmei Rd,04 to 06,104,Model A,1984,61.75,560000,Oct 2021
115,Bt Purmei Rd,04 to 06,103,Model A,1985,62.58,540000,Oct 2021
115,Bt Purmei Rd,01 to 03,103,Model A,1985,62.42,545000,Oct 2021
16,Cantonment Cl,04 to 06,75,Model A,2003,80.25,670000,Oct 2021
16,Cantonment Cl,10 to 12,90,Model A,2003,80.42,735000,Oct 2021
5,Delta Ave,04 to 06,91,New Generation,1985,63.17,655000,Oct 2021
112A,Depot Rd,07 to 09,100,Model A,2006,83.33,615000,Oct 2021
55,Havelock Rd,07 to 09,89,Model A,2013,90.58,800000,Oct 2021
57,Havelock Rd,04 to 06,94,Model A,2013,90.58,770000,Oct 2021
104,Henderson Cres,07 to 09,74,Standard,1970,47.83,415000,Oct 2021
95A,Henderson Rd,31 to 33,93,Model A,2019,96.67,940000,Oct 2021
95A,Henderson Rd,37 to 39,93,Model A,2019,96.67,943000,Oct 2021
96B,Henderson Rd,22 to 24,93,Model A,2019,96.67,860000,Oct 2021
49,Hoy Fatt Rd,04 to 06,84,Simplified,1986,63.75,488000,Oct 2021
