block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
236,Bt Panjang Ring Rd,01 to 03,84,Simplified,1988,65.33,363000,Nov 2021
105,Gangsa Rd,04 to 06,84,Simplified,1987,65.08,380000,Nov 2021
173,Gangsa Rd,10 to 12,101,Model A,1997,75.17,560000,Nov 2021
530,Jelapang Rd,13 to 15,102,Model A,1999,76.33,468000,Nov 2021
181,Jelebu Rd,07 to 09,94,Premium Apartment,2003,80.58,610000,Nov 2021
185,Jelebu Rd,13 to 15,91,Premium Apartment,2003,80.58,620888,Nov 2021
167,Petir Rd,19 to 21,101,Model A,1998,75.83,585888,Nov 2021
546B,Segar Rd,04 to 06,92,Model A,2015,92.75,480000,Nov 2021
612,Senja Rd,07 to 09,90,Model A,2002,79.5,430000,Nov 2021
616,Senja Rd,16 to 18,85,Model A2,2002,79.5,460000,Nov 2021
636C,Senja Rd,16 to 18,92,Model A,2015,93.08,521888,Nov 2021
270,Bangkit Rd,07 to 09,104,Model A,1988,66.08,410000,Oct 2021
274,Bangkit Rd,07 to 09,104,Model A,1987,65.17,460000,Oct 2021
449,Bt Panjang Ring Rd,04 to 06,101,Model A,1997,74.75,438000,Oct 2021
438,Fajar Rd,04 to 06,104,Model A,1989,67.17,416000,Oct 2021
442D,Fajar Rd,16 to 18,93,Model A,2016,94.17,550000,Oct 2021
443C,Fajar Rd,01 to 03,93,Model A,2016,94.17,455000,Oct 2021
106,Gangsa Rd,01 to 03,107,Model A,1988,65.42,445000,Oct 2021
165,Gangsa Rd,13 to 15,100,Model A,1998,75.67,570000,Oct 2021
508,Jelapang Rd,04 to 06,90,Model A2,1998,75.67,405000,Oct 2021
518,Jelapang Rd,04 to 06,102,Model A,1998,75.92,420000,Oct 2021
526,Jelapang Rd,04 to 06,102,Model A,1999,76.42,420000,Oct 2021
530,Jelapang Rd,16 to 18,102,Model A,1999,76.42,478000,Oct 2021
536,Jelapang Rd,22 to 24,102,Model A,1999,76.67,500888,Oct 2021
181,Jelebu Rd,13 to 15,94,Premium Apartment,2003,80.58,630000,Oct 2021
177,Lompang Rd,13 to 15,90,Model A,2001,79.17,540000,Oct 2021
178,Lompang Rd,22 to 24,90,Model A,2001,79.25,545000,Oct 2021
126,Pending Rd,07 to 09,103,Model A,1987,65.25,425888,Oct 2021
232,Pending Rd,01 to 03,103,Model A,1987,65.08,420000,Oct 2021
143,Petir Rd,07 to 09,103,Model A,1988,66.17,410000,Oct 2021
207,Petir Rd,10 to 12,84,Simplified,1988,65.58,368000,Oct 2021
217,Petir Rd,10 to 12,104,Model A,1987,64.67,445000,Oct 2021
220,Petir Rd,04 to 06,103,Model A,1989,66.42,415000,Oct 2021
415,Saujana Rd,04 to 06,104,Model A,1989,66.33,400000,Oct 2021
547A,Segar Rd,04 to 06,92,Model A,2015,92.83,455000,Oct 2021
547A,Segar Rd,10 to 12,92,Model A,2015,92.83,470000,Oct 2021
547B,Segar Rd,04 to 06,92,Model A,2015,92.83,453000,Oct 2021
548A,Segar Rd,16 to 18,92,Model A,2015,93.25,500000,Oct 2021
549A,Segar Rd,10 to 12,92,Model A,2015,93.25,465000,Oct 2021
550A,Segar Rd,13 to 15,92,Model A,2015,93.25,488000,Oct 2021
601,Senja Rd,10 to 12,91,Model A2,1999,76.42,536000,Oct 2021
603,Senja Rd,10 to 12,99,Model A,1999,76.75,585000,Oct 2021
621,Senja Rd,07 to 09,90,Model A,2001,79.25,410000,Oct 2021
630,Senja Rd,07 to 09,90,Premium Apartment,2004,82,468000,Oct 2021
633B,Senja Rd,22 to 24,93,Model A,2013,91.25,538000,Oct 2021
633D,Senja Rd,16 to 18,93,Model A,2013,91.25,510000,Oct 2021
635A,Senja Rd,04 to 06,92,Model A,2015,93.08,450000,Oct 2021
635B,Senja Rd,19 to 21,93,Model A,2015,93.08,497000,Oct 2021
636C,Senja Rd,10 to 12,92,Model A,2015,93.17,515000,Oct 2021
234,Bt Panjang Ring Rd,04 to 06,104,Model A,1988,66,425000,Sep 2021
431,Bt Panjang Ring Rd,07 to 09,84,Simplified,1988,66.33,370000,Sep 2021
