block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
1F,Cantonment Rd,19 to 21,93,Type S1,2011,88.25,880000,Nov 2021
233,Bain St,10 to 12,82,Improved,1980,57.67,728000,Oct 2021
662,Buffalo Rd,01 to 03,85,Improved,1982,59.67,490000,Oct 2021
1B,Cantonment Rd,19 to 21,95,Type S1,2011,88.33,1000000,Oct 2021
1C,Cantonment Rd,34 to 36,93,Type S1,2011,88.33,1020000,Oct 2021
1C,Cantonment Rd,37 to 39,95,Type S1,2011,88.33,1050000,Oct 2021
1D,Cantonment Rd,10 to 12,93,Type S1,2011,88.25,910000,Oct 2021
1D,Cantonment Rd,10 to 12,93,Type S1,2011,88.25,923888,Oct 2021
1E,Cantonment Rd,22 to 24,96,Type S1,2011,88.33,995000,Oct 2021
1F,Cantonment Rd,40 to 42,93,Type S1,2011,88.33,1100000,Oct 2021
1G,Cantonment Rd,16 to 18,95,Type S1,2011,88.33,935000,Oct 2021
1G,Cantonment Rd,40 to 42,96,Type S1,2011,88.25,1070000,Oct 2021
1G,Cantonment Rd,49 to 51,94,Type S1,2011,88.25,1130000,Oct 2021
53,Chin Swee Rd,22 to 24,77,Improved,1974,51.83,518000,Oct 2021
1A,Cantonment Rd,07 to 09,97,Type S1,2011,88.42,890000,Sep 2021
1C,Cantonment Rd,10 to 12,93,Type S1,2011,88.33,950000,Sep 2021
1D,Cantonment Rd,46 to 48,93,Type S1,2011,88.33,1200000,Sep 2021
642,Rowell Rd,13 to 15,101,Model A,1984,61.42,618000,Sep 2021
7,Tg Pagar Plaza,25 to 27,83,Improved,1980,57.75,700000,Sep 2021
633,Veerasamy Rd,04 to 06,101,Model A,1985,62.83,585000,Sep 2021
637,Veerasamy Rd,04 to 06,111,Model A,1985,62.75,618000,Sep 2021
1A,Cantonment Rd,07 to 09,97,Type S1,2011,88.42,858000,Aug 2021
1A,Cantonment Rd,37 to 39,95,Type S1,2011,88.5,1020000,Aug 2021
1B,Cantonment Rd,07 to 09,93,Type S1,2011,88.42,920000,Aug 2021
1C,Cantonment Rd,46 to 48,93,Type S1,2011,88.5,1038000,Aug 2021
1E,Cantonment Rd,40 to 42,93,Type S1,2011,88.5,1088888,Aug 2021
1G,Cantonment Rd,22 to 24,97,Type S1,2011,88.42,950000,Aug 2021
1G,Cantonment Rd,22 to 24,93,Type S1,2011,88.5,968000,Aug 2021
1A,Cantonment Rd,28 to 30,95,Type S1,2011,88.58,1000000,Jul 2021
1A,Cantonment Rd,28 to 30,94,Type S1,2011,88.58,1008000,Jul 2021
1C,Cantonment Rd,22 to 24,93,Type S1,2011,88.5,975000,Jul 2021
1F,Cantonment Rd,34 to 36,93,Type S1,2011,88.5,1030000,Jul 2021
1G,Cantonment Rd,28 to 30,93,Type S1,2011,88.58,975000,Jul 2021
53,Chin Swee Rd,01 to 03,77,Improved,1974,52,506000,Jul 2021
671B,Klang Lane,07 to 09,75,Model A,2003,80.67,472000,Jul 2021
232,Bain St,07 to 09,82,Improved,1980,58.08,628000,Jun 2021
1A,Cantonment Rd,19 to 21,96,Type S1,2011,88.67,955000,Jun 2021
1A,Cantonment Rd,43 to 45,96,Type S1,2011,88.67,1060000,Jun 2021
1B,Cantonment Rd,43 to 45,96,Type S1,2011,88.67,1115000,Jun 2021
1D,Cantonment Rd,13 to 15,95,Type S1,2011,88.67,942000,Jun 2021
1F,Cantonment Rd,22 to 24,96,Type S1,2011,88.58,935000,Jun 2021
1F,Cantonment Rd,28 to 30,95,Type S1,2011,88.67,1048000,Jun 2021
1G,Cantonment Rd,46 to 48,97,Type S1,2011,88.67,1080000,Jun 2021
269B,Queen St,07 to 09,94,New Generation,1984,62.08,738000,Jun 2021
637,Veerasamy Rd,10 to 12,111,Model A,1985,63,620000,Jun 2021
233,Bain St,25 to 27,82,Improved,1980,58.08,700000,May 2021
233,Bain St,13 to 15,82,Improved,1980,58.08,715000,May 2021
1B,Cantonment Rd,34 to 36,96,Type S1,2011,88.75,1060000,May 2021
1C,Cantonment Rd,13 to 15,94,Type S1,2011,88.75,940000,May 2021
1C,Cantonment Rd,34 to 36,93,Type S1,2011,88.67,1078000,May 2021
1F,Cantonment Rd,22 to 24,96,Type S1,2011,88.67,880000,May 2021
1F,Cantonment Rd,37 to 39,95,Type S1,2011,88.75,988000,May 2021
1F,Cantonment Rd,37 to 39,95,Type S1,2011,88.75,1025000,May 2021
1G,Cantonment Rd,07 to 09,95,Type S1,2011,88.75,920888,May 2021
1G,Cantonment Rd,34 to 36,95,Type S1,2011,88.75,965000,May 2021
671B,Klang Lane,01 to 03,85,Model A,2003,80.83,490000,May 2021
641,Rowell Rd,19 to 21,109,Model A,1983,61.42,670000,May 2021
634,Veerasamy Rd,10 to 12,107,Model A,1985,63.33,595000,May 2021
1B,Cantonment Rd,28 to 30,96,Type S1,2011,88.83,1030000,Apr 2021
1B,Cantonment Rd,34 to 36,93,Type S1,2011,88.75,1055000,Apr 2021
1B,Cantonment Rd,37 to 39,93,Type S1,2011,88.75,1065000,Apr 2021
1E,Cantonment Rd,34 to 36,93,Type S1,2011,88.75,988888,Apr 2021
1G,Cantonment Rd,04 to 06,95,Type S1,2011,88.75,830000,Apr 2021
672B,Klang Lane,01 to 03,85,Model A,2002,80.25,475000,Apr 2021
335B,Smith St,10 to 12,85,Improved,1984,61.92,620000,Apr 2021
232,Bain St,13 to 15,82,Improved,1980,58.17,670000,Mar 2021
233,Bain St,07 to 09,82,Improved,1980,58.25,625000,Mar 2021
662,Buffalo Rd,22 to 24,82,Improved,1982,60.25,580000,Mar 2021
1A,Cantonment Rd,07 to 09,93,Type S1,2011,88.92,900000,Mar 2021
1A,Cantonment Rd,37 to 39,95,Type S1,2011,88.83,1028000,Mar 2021
1B,Cantonment Rd,04 to 06,94,Type S1,2011,89,860000,Mar 2021
1B,Cantonment Rd,16 to 18,96,Type S1,2011,88.92,955000,Mar 2021
1B,Cantonment Rd,46 to 48,95,Type S1,2011,88.83,1120000,Mar 2021
1C,Cantonment Rd,16 to 18,94,Type S1,2011,88.83,950000,Mar 2021
1D,Cantonment Rd,31 to 33,94,Type S1,2011,88.83,960000,Mar 2021
1G,Cantonment Rd,46 to 48,93,Type S1,2011,88.83,1032000,Mar 2021
53,Chin Swee Rd,19 to 21,77,Improved,1974,52.5,538000,Mar 2021
671A,Klang Lane,13 to 15,85,Model A,2003,81,535888,Mar 2021
663,Buffalo Rd,13 to 15,85,Improved,1982,60.33,500000,Feb 2021
1A,Cantonment Rd,16 to 18,97,Type S1,2011,89,940000,Feb 2021
1B,Cantonment Rd,37 to 39,95,Type S1,2011,88.92,1000000,Feb 2021
1C,Cantonment Rd,28 to 30,97,Type S1,2011,89,1018000,Feb 2021
1E,Cantonment Rd,25 to 27,94,Type S1,2011,88.92,950000,Feb 2021
