block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
421,Clementi Ave 1,16 to 18,91,Model A,2013,90.92,750000,Nov 2021
421,Clementi Ave 1,16 to 18,92,Model A,2013,90.92,760000,Nov 2021
454,Clementi Ave 3,13 to 15,90,Model A,2002,80.17,732888,Nov 2021
462,Clementi Ave 3,04 to 06,90,Model A,2006,83.75,672000,Nov 2021
311C,Clementi Ave 4,37 to 39,80,Dbss,2014,92.17,788000,Nov 2021
411,C'wealth Ave West,04 to 06,97,New Generation,1978,55.42,538000,Oct 2021
412,C'wealth Ave West,13 to 15,97,New Generation,1978,55.5,565000,Oct 2021
420,Clementi Ave 1,07 to 09,96,Model A,2013,91,695000,Oct 2021
423,Clementi Ave 1,13 to 15,100,Model A,2013,91,760000,Oct 2021
424,Clementi Ave 1,10 to 12,99,Model A,2013,91,755000,Oct 2021
332,Clementi Ave 2,10 to 12,92,New Generation,1978,55.92,530000,Oct 2021
332,Clementi Ave 2,04 to 06,92,New Generation,1978,55.83,545000,Oct 2021
333,Clementi Ave 2,04 to 06,92,New Generation,1978,55.83,508000,Oct 2021
359,Clementi Ave 2,10 to 12,92,New Generation,1978,55.33,475000,Oct 2021
362,Clementi Ave 2,01 to 03,90,New Generation,1978,55.33,465000,Oct 2021
454,Clementi Ave 3,16 to 18,91,Model A,2002,80.25,708000,Oct 2021
454,Clementi Ave 3,10 to 12,90,Model A,2002,80.33,715000,Oct 2021
456,Clementi Ave 3,13 to 15,91,Model A,2002,80.25,720000,Oct 2021
460,Clementi Ave 3,01 to 03,85,Model A,2002,80.25,630100,Oct 2021
460,Clementi Ave 3,13 to 15,90,Model A,2002,80.25,750000,Oct 2021
307,Clementi Ave 4,07 to 09,92,New Generation,1979,57.17,560000,Oct 2021
311A,Clementi Ave 4,16 to 18,80,Dbss,2014,92.25,750000,Oct 2021
311A,Clementi Ave 4,34 to 36,80,Dbss,2014,92.25,775000,Oct 2021
311C,Clementi Ave 4,28 to 30,80,Dbss,2014,92.25,745000,Oct 2021
311C,Clementi Ave 4,28 to 30,80,Dbss,2014,92.25,762000,Oct 2021
311C,Clementi Ave 4,28 to 30,82,Dbss,2014,92.25,790000,Oct 2021
312B,Clementi Ave 4,34 to 36,93,Model A,2017,94.92,870888,Oct 2021
312C,Clementi Ave 4,28 to 30,93,Model A,2017,94.92,872888,Oct 2021
312C,Clementi Ave 4,25 to 27,93,Model A,2017,95,878000,Oct 2021
117,Clementi St 13,04 to 06,104,Model A,1984,62.08,580000,Oct 2021
709,Clementi West St 2,01 to 03,91,New Generation,1980,57.83,423000,Oct 2021
715,Clementi West St 2,07 to 09,91,New Generation,1981,59,440000,Oct 2021
424,Clementi Ave 1,19 to 21,100,Model A,2013,91.08,760000,Sep 2021
330,Clementi Ave 2,04 to 06,83,New Generation,1978,55.92,495000,Sep 2021
456,Clementi Ave 3,19 to 21,92,Model A,2002,80.25,728000,Sep 2021
460,Clementi Ave 3,10 to 12,90,Model A,2002,80.33,660000,Sep 2021
462,Clementi Ave 3,10 to 12,90,Model A,2006,83.92,715000,Sep 2021
302,Clementi Ave 4,01 to 03,92,New Generation,1979,56.58,455000,Sep 2021
311A,Clementi Ave 4,07 to 09,80,Dbss,2014,92.33,730000,Sep 2021
311A,Clementi Ave 4,28 to 30,82,Dbss,2014,92.33,752888,Sep 2021
311A,Clementi Ave 4,16 to 18,82,Dbss,2014,92.33,770000,Sep 2021
311B,Clementi Ave 4,13 to 15,82,Dbss,2014,92.33,718000,Sep 2021
311C,Clementi Ave 4,19 to 21,80,Dbss,2014,92.33,743000,Sep 2021
311C,Clementi Ave 4,28 to 30,80,Dbss,2014,92.25,750000,Sep 2021
311C,Clementi Ave 4,34 to 36,82,Dbss,2014,92.33,795000,Sep 2021
312C,Clementi Ave 4,01 to 03,93,Model A,2017,94.92,705000,Sep 2021
312C,Clementi Ave 4,10 to 12,93,Model A,2017,95,795000,Sep 2021
312C,Clementi Ave 4,28 to 30,93,Model A,2017,94.92,872000,Sep 2021
317,Clementi Ave 4,04 to 06,91,New Generation,1979,56.75,530000,Sep 2021
346,Clementi Ave 5,04 to 06,92,New Generation,1979,56.5,485000,Sep 2021
118,Clementi St 13,01 to 03,104,Model A,1984,62.17,540000,Sep 2021
601,Clementi West St 1,04 to 06,92,New Generation,1979,57.25,446800,Sep 2021
602,Clementi West St 1,07 to 09,92,New Generation,1979,57.25,473000,Sep 2021
712,Clementi West St 2,10 to 12,92,New Generation,1980,57.75,435000,Sep 2021
507,West Coast Dr,10 to 12,83,New Generation,1978,56,408000,Sep 2021
330,Clementi Ave 2,10 to 12,92,New Generation,1978,56,548000,Aug 2021
428,Clementi Ave 3,04 to 06,91,New Generation,1978,55.75,555000,Aug 2021
454,Clementi Ave 3,10 to 12,86,Model A,2002,80.42,700000,Aug 2021
462,Clementi Ave 3,19 to 21,90,Model A,2006,84,762000,Aug 2021
301,Clementi Ave 4,13 to 15,92,New Generation,1979,56.67,453000,Aug 2021
311A,Clementi Ave 4,07 to 09,81,Dbss,2014,92.42,720000,Aug 2021
311A,Clementi Ave 4,37 to 39,82,Dbss,2014,92.42,780000,Aug 2021
311A,Clementi Ave 4,37 to 39,82,Dbss,2014,92.42,790000,Aug 2021
311B,Clementi Ave 4,04 to 06,81,Dbss,2014,92.42,700000,Aug 2021
311B,Clementi Ave 4,10 to 12,82,Dbss,2014,92.33,718000,Aug 2021
311B,Clementi Ave 4,10 to 12,80,Dbss,2014,92.33,725000,Aug 2021
311B,Clementi Ave 4,16 to 18,80,Dbss,2014,92.42,745000,Aug 2021
311B,Clementi Ave 4,19 to 21,81,Dbss,2014,92.42,745000,Aug 2021
311C,Clementi Ave 4,22 to 24,82,Dbss,2014,92.42,760000,Aug 2021
312B,Clementi Ave 4,37 to 39,93,Model A,2017,95.08,868888,Aug 2021
312C,Clementi Ave 4,04 to 06,93,Model A,2017,95.08,808000,Aug 2021
312C,Clementi Ave 4,31 to 33,93,Model A,2017,95.08,838000,Aug 2021
312C,Clementi Ave 4,19 to 21,93,Model A,2017,95.08,845000,Aug 2021
318,Clementi Ave 4,01 to 03,91,New Generation,1979,56.83,545000,Aug 2021
324,Clementi Ave 5,10 to 12,91,New Generation,1978,55.58,615000,Aug 2021
379,Clementi Ave 5,04 to 06,91,New Generation,1980,58.08,522888,Aug 2021
204,Clementi Ave 6,13 to 15,98,New Generation,1984,62.33,528000,Aug 2021
612,Clementi West St 1,10 to 12,104,Model A,1983,61.42,515000,Aug 2021
707,Clementi West St 2,01 to 03,91,New Generation,1980,58,375000,Aug 2021
712,Clementi West St 2,01 to 03,91,New Generation,1980,57.83,415000,Aug 2021
511,West Coast Dr,07 to 09,91,New Generation,1978,55.5,420000,Aug 2021
512,West Coast Dr,04 to 06,92,New Generation,1978,55.42,380000,Aug 2021
411,C'wealth Ave West,07 to 09,97,New Generation,1978,55.75,510000,Jul 2021
418,Clementi Ave 1,10 to 12,99,Model A,2013,91.17,760000,Jul 2021
421,Clementi Ave 1,37 to 39,96,Model A,2013,91.25,790000,Jul 2021
421,Clementi Ave 1,37 to 39,96,Model A,2013,91.25,828888,Jul 2021
335,Clementi Ave 2,04 to 06,83,New Generation,1978,56.42,438000,Jul 2021
358,Clementi Ave 2,01 to 03,92,New Generation,1978,55.58,422000,Jul 2021
441B,Clementi Ave 3,31 to 33,93,Model A,2012,90.08,900000,Jul 2021
302,Clementi Ave 4,01 to 03,92,New Generation,1979,56.75,425000,Jul 2021
311A,Clementi Ave 4,34 to 36,82,Dbss,2014,92.5,763000,Jul 2021
311A,Clementi Ave 4,37 to 39,82,Dbss,2014,92.5,770000,Jul 2021
311A,Clementi Ave 4,34 to 36,80,Dbss,2014,92.5,775000,Jul 2021
311B,Clementi Ave 4,19 to 21,80,Dbss,2014,92.5,750000,Jul 2021
311B,Clementi Ave 4,37 to 39,82,Dbss,2014,92.5,758000,Jul 2021
311C,Clementi Ave 4,25 to 27,80,Dbss,2014,92.5,730000,Jul 2021
311C,Clementi Ave 4,28 to 30,80,Dbss,2014,92.58,755888,Jul 2021
311C,Clementi Ave 4,19 to 21,80,Dbss,2014,92.5,770000,Jul 2021
312C,Clementi Ave 4,10 to 12,93,Model A,2017,95.17,798000,Jul 2021
312C,Clementi Ave 4,16 to 18,93,Model A,2017,95.17,815000,Jul 2021
