block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
17A,Circuit Rd,07 to 09,93,Model A,2016,94.08,770000,Nov 2021
18D,Circuit Rd,16 to 18,93,Model A,2016,94.08,750000,Nov 2021
36,Circuit Rd,10 to 12,83.1,Standard,1971,48.25,390000,Nov 2021
126,Geylang East Ave 1,01 to 03,110,Model A,1983,61.17,540000,Nov 2021
11,Pine Cl,04 to 06,95,Model A,2000,77.67,720000,Nov 2021
313,Ubi Ave 1,04 to 06,84,Simplified,1985,62.83,408000,Nov 2021
352,Ubi Ave 1,04 to 06,104,Model A,1989,66.33,455000,Nov 2021
29,Balam Rd,07 to 09,106,Model A,1997,74.83,630000,Oct 2021
28,Cassia Cres,07 to 09,102,Model A,1998,75.75,758888,Oct 2021
30,Cassia Cres,16 to 18,103,Model A,1998,75.75,750000,Oct 2021
32,Cassia Cres,10 to 12,95,New Generation,1981,58.83,535000,Oct 2021
32,Cassia Cres,07 to 09,107,New Generation,1981,58.83,648000,Oct 2021
42,Cassia Cres,07 to 09,93,New Generation,1981,58.75,545000,Oct 2021
56,Cassia Cres,04 to 06,102,Model A,1998,75.42,710000,Oct 2021
56,Cassia Cres,10 to 12,103,Model A,1998,75.42,760000,Oct 2021
17A,Circuit Rd,01 to 03,93,Model A,2016,94.08,716000,Oct 2021
17A,Circuit Rd,13 to 15,93,Model A,2016,94.08,788000,Oct 2021
17B,Circuit Rd,19 to 21,93,Model A,2016,94.17,790000,Oct 2021
18B,Circuit Rd,04 to 06,93,Model A,2016,94.17,735000,Oct 2021
18C,Circuit Rd,19 to 21,93,Model A,2016,94.08,790000,Oct 2021
62,Dakota Cres,04 to 06,112,Model A,1984,62.17,660000,Oct 2021
10,Eunos Cres,10 to 12,91,New Generation,1978,55.75,495000,Oct 2021
127,Geylang East Ave 1,04 to 06,107,Model A,1983,60.92,580000,Oct 2021
2D,Geylang Serai,13 to 15,95,Model A,2011,89.17,755000,Oct 2021
2D,Geylang Serai,13 to 15,93,Model A,2011,89.25,756000,Oct 2021
7,Pine Cl,01 to 03,96,Model A,2000,77.75,610000,Oct 2021
54,Pipit Rd,10 to 12,91,New Generation,1985,62.5,502000,Oct 2021
44,Sims Dr,01 to 03,88,Improved,1975,52.83,410000,Oct 2021
311,Ubi Ave 1,07 to 09,84,Simplified,1985,63.17,430000,Oct 2021
31,Balam Rd,07 to 09,91,New Generation,1985,62.58,485000,Sep 2021
56,Cassia Cres,10 to 12,102,Model A,1998,75.5,706000,Sep 2021
17A,Circuit Rd,13 to 15,93,Model A,2016,94.17,745000,Sep 2021
17A,Circuit Rd,19 to 21,93,Model A,2016,94.25,790000,Sep 2021
17B,Circuit Rd,07 to 09,93,Model A,2016,94.17,690000,Sep 2021
17B,Circuit Rd,16 to 18,93,Model A,2016,94.25,775000,Sep 2021
17B,Circuit Rd,10 to 12,93,Model A,2016,94.25,800000,Sep 2021
61,Circuit Rd,04 to 06,122,Adjoined Flat,1969,46.42,550000,Sep 2021
33,Eunos Cres,13 to 15,90,Model A,2007,84.33,722000,Sep 2021
411,Eunos Rd 5,01 to 03,107,Model A,1984,62.25,560000,Sep 2021
122,Geylang East Ctrl,01 to 03,92,New Generation,1982,59.75,488000,Sep 2021
2A,Geylang Serai,13 to 15,93,Model A,2011,89.33,720000,Sep 2021
2C,Geylang Serai,13 to 15,95,Model A,2011,89.33,760000,Sep 2021
2D,Geylang Serai,10 to 12,95,Model A,2011,89.33,740000,Sep 2021
3A,Geylang Serai,07 to 09,93,Model A,2011,89.33,702000,Sep 2021
2,Haig Rd,04 to 06,92,New Generation,1976,53.92,490000,Sep 2021
39,Jln Tiga,01 to 03,93,Model A,2005,82.58,622000,Sep 2021
49,Jln Tiga,10 to 12,85,Model A,2005,82.67,775000,Sep 2021
