block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
987C,Buangkok Green,10 to 12,92,Model A,2015,92.33,512000,Nov 2021
988A,Buangkok Green,13 to 15,93,Model A,2015,92.33,500000,Nov 2021
443,Hougang Ave 8,10 to 12,103,Model A,1990,68,500000,Nov 2021
614,Hougang Ave 8,07 to 09,84,Simplified,1986,63.25,388888,Nov 2021
637,Hougang Ave 8,07 to 09,84,Simplified,1987,64.92,400000,Nov 2021
932A,Hougang Ave 9,04 to 06,92,Model A,2017,95.08,534000,Nov 2021
910,Hougang St 91,07 to 09,90,Model A2,1997,75.08,409000,Nov 2021
926,Hougang St 91,10 to 12,101,Model A,1998,75.75,464000,Nov 2021
364B,Upp Serangoon Rd,04 to 06,92,Model A,2018,95.33,618000,Nov 2021
365A,Upp Serangoon Rd,16 to 18,92,Model A,2018,95.33,638000,Nov 2021
365A,Upp Serangoon Rd,13 to 15,93,Model A,2018,95.33,640000,Nov 2021
979C,Buangkok Cres,04 to 06,90,Model A,2003,80.83,423000,Oct 2021
981A,Buangkok Cres,13 to 15,90,Model A,2003,80.67,448000,Oct 2021
988B,Buangkok Green,04 to 06,93,Model A,2015,92.42,478000,Oct 2021
988B,Buangkok Green,04 to 06,93,Model A,2015,92.42,495000,Oct 2021
988C,Buangkok Green,13 to 15,93,Model A,2015,92.42,500000,Oct 2021
101,Hougang Ave 1,07 to 09,103,Model A,1984,61.42,442000,Oct 2021
165,Hougang Ave 1,10 to 12,92,Model A2,1997,75.17,425000,Oct 2021
169,Hougang Ave 1,04 to 06,102,Model A,1997,75.25,445000,Oct 2021
172,Hougang Ave 1,01 to 03,103,Model A,1997,75.25,465000,Oct 2021
405,Hougang Ave 10,04 to 06,91,New Generation,1985,63.17,435000,Oct 2021
247,Hougang Ave 3,07 to 09,93,New Generation,1984,61.67,453000,Oct 2021
667,Hougang Ave 4,01 to 03,104,Model A,1987,64.75,435000,Oct 2021
302,Hougang Ave 5,07 to 09,103,Model A,1983,61.08,490000,Oct 2021
308,Hougang Ave 5,01 to 03,93,New Generation,1983,61.08,390000,Oct 2021
315,Hougang Ave 5,04 to 06,92,New Generation,1993,70.58,455000,Oct 2021
422,Hougang Ave 6,01 to 03,110,Model A,1990,67.42,498000,Oct 2021
337,Hougang Ave 7,04 to 06,103,New Generation,1985,62.92,438000,Oct 2021
434,Hougang Ave 8,04 to 06,103,Model A,1989,66.75,450000,Oct 2021
435,Hougang Ave 8,04 to 06,113,Model A,1991,68.67,538000,Oct 2021
439,Hougang Ave 8,04 to 06,103,Model A,1990,68,425000,Oct 2021
611,Hougang Ave 8,10 to 12,84,Simplified,1986,63.33,395000,Oct 2021
617,Hougang Ave 8,01 to 03,104,Model A,1986,63.25,470000,Oct 2021
660,Hougang Ave 8,04 to 06,103,Model A,1987,64.75,445000,Oct 2021
677,Hougang Ave 8,01 to 03,89,Simplified,1988,66,390000,Oct 2021
680,Hougang Ave 8,04 to 06,84,Simplified,1987,64.42,390000,Oct 2021
932B,Hougang Ave 9,13 to 15,92,Model A,2017,95.17,570000,Oct 2021
933A,Hougang Ave 9,13 to 15,92,Model A,2017,95.17,560000,Oct 2021
555,Hougang St 51,10 to 12,103,Model A,1992,70,450000,Oct 2021
565,Hougang St 51,07 to 09,107,Model A,1992,70,430000,Oct 2021
909,Hougang St 91,13 to 15,103,Model A,1997,75.17,455000,Oct 2021
909,Hougang St 91,04 to 06,102,Model A,1997,75.17,458000,Oct 2021
910,Hougang St 91,04 to 06,92,Model A2,1997,75.17,428000,Oct 2021
925,Hougang St 91,04 to 06,100,Model A,1998,76,422000,Oct 2021
943,Hougang St 92,01 to 03,101,Model A,1998,76,440000,Oct 2021
143,Lor Ah Soo,04 to 06,108,Model A,1984,62.25,440000,Oct 2021
473C,Upp Serangoon Cres,10 to 12,93,Model A,2017,94.75,570000,Oct 2021
475A,Upp Serangoon Cres,04 to 06,92,Dbss,2014,92.08,590000,Oct 2021
364A,Upp Serangoon Rd,01 to 03,92,Model A,2018,95.33,570000,Oct 2021
364B,Upp Serangoon Rd,04 to 06,92,Model A,2018,95.42,625000,Oct 2021
