block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
697A,Jurong West Ctrl 3,10 to 12,93,Model A,2017,95,670000,Nov 2021
534,Jurong West St 52,01 to 03,91,New Generation,1982,59.58,390000,Nov 2021
648D,Jurong West St 61,10 to 12,91,Model A,2001,78.5,460000,Nov 2021
662C,Jurong West St 64,07 to 09,91,Model A,2001,78.92,470000,Nov 2021
664B,Jurong West St 64,13 to 15,91,Model A,2000,77.83,491088,Nov 2021
657A,Jurong West St 65,01 to 03,91,Model A,2002,79.58,435000,Nov 2021
942,Jurong West St 91,04 to 06,105,Model A,1989,66.83,390000,Nov 2021
988A,Jurong West St 93,01 to 03,94,Premium Apartment,2008,85.83,445000,Nov 2021
347,Kang Ching Rd,07 to 09,102,Model A,1997,74.58,460000,Nov 2021
196A,Boon Lay Dr,16 to 18,93,Model A,2015,92.58,570000,Oct 2021
197B,Boon Lay Dr,16 to 18,93,Model A,2015,92.58,530000,Oct 2021
197C,Boon Lay Dr,07 to 09,93,Model A,2015,92.58,523000,Oct 2021
268B,Boon Lay Dr,04 to 06,90,Model A,2002,79.42,405000,Oct 2021
365,Corporation Dr,07 to 09,102,Model A,1997,74.92,408000,Oct 2021
437,Jurong West Ave 1,04 to 06,111,Model A,1985,62.58,396000,Oct 2021
273D,Jurong West Ave 3,04 to 06,88,Model A2,2001,79.17,386000,Oct 2021
723,Jurong West Ave 5,01 to 03,111,Model A,1990,68.17,400888,Oct 2021
679C,Jurong West Ctrl 1,10 to 12,95,Premium Apartment,2000,78,480000,Oct 2021
686C,Jurong West Ctrl 1,04 to 06,93,Premium Apartment,2000,78.08,448000,Oct 2021
689,Jurong West Ctrl 1,04 to 06,99,Premium Apartment,1998,75.67,520000,Oct 2021
691,Jurong West Ctrl 1,01 to 03,100,Premium Apartment,1998,75.75,457000,Oct 2021
697A,Jurong West Ctrl 3,01 to 03,93,Model A,2017,95.08,625000,Oct 2021
697A,Jurong West Ctrl 3,10 to 12,93,Model A,2017,95.08,640000,Oct 2021
697B,Jurong West Ctrl 3,07 to 09,93,Model A,2017,95,620000,Oct 2021
698B,Jurong West Ctrl 3,01 to 03,93,Model A,2017,95.08,610000,Oct 2021
412,Jurong West St 42,10 to 12,103,Model A,1985,62.67,386000,Oct 2021
447,Jurong West St 42,07 to 09,103,Model A,1984,61.67,425000,Oct 2021
521,Jurong West St 52,10 to 12,94,New Generation,1982,60.25,448000,Oct 2021
623,Jurong West St 61,07 to 09,90,Model A,2001,78.33,462000,Oct 2021
642,Jurong West St 61,13 to 15,100,Model A,1998,76,480000,Oct 2021
643,Jurong West St 61,04 to 06,93,Model A2,1998,75.75,460000,Oct 2021
649A,Jurong West St 61,10 to 12,91,Model A,2000,78,505000,Oct 2021
668C,Jurong West St 64,04 to 06,85,Model A2,2000,77.75,438000,Oct 2021
668D,Jurong West St 64,04 to 06,85,Model A2,2000,77.83,458000,Oct 2021
674B,Jurong West St 65,07 to 09,91,Model A,2002,80.25,432000,Oct 2021
718,Jurong West St 71,04 to 06,104,Model A,1991,68.42,398000,Oct 2021
731,Jurong West St 72,10 to 12,103,Model A,1990,68.17,440000,Oct 2021
739,Jurong West St 73,01 to 03,106,Model A,1995,72.67,385000,Oct 2021
736,Jurong West St 75,01 to 03,106,Model A,1995,72.83,400000,Oct 2021
914,Jurong West St 91,01 to 03,103,Model A,1988,65.83,390000,Oct 2021
946,Jurong West St 91,10 to 12,113,Model A,1989,66.83,445000,Oct 2021
977,Jurong West St 93,01 to 03,104,Model A,1989,66.67,390000,Oct 2021
979,Jurong West St 93,04 to 06,109,Model A,1989,67,440000,Oct 2021
337D,Tah Ching Rd,10 to 12,94,Model A,2010,87.58,452000,Oct 2021
138D,Yuan Ching Rd,01 to 03,89,Dbss,2014,92,605000,Oct 2021
152,Yung Ho Rd,01 to 03,104,Model A,1990,67.92,385000,Oct 2021
175C,Yung Kuang Rd,04 to 06,93,Premium Apartment,2015,92.67,460000,Oct 2021
177,Yung Sheng Rd,07 to 09,96,Model A,2001,78.67,445000,Oct 2021
183A,Boon Lay Ave,13 to 15,92,Model A,2015,92.42,500000,Sep 2021
183D,Boon Lay Ave,07 to 09,92,Model A,2015,92.42,498000,Sep 2021
181A,Boon Lay Dr,04 to 06,93,Model A,2014,91.83,450000,Sep 2021
196A,Boon Lay Dr,16 to 18,93,Model A,2015,92.67,580000,Sep 2021
196B,Boon Lay Dr,13 to 15,93,Model A,2015,92.67,530000,Sep 2021
196B,Boon Lay Dr,16 to 18,93,Model A,2015,92.67,550000,Sep 2021
266,Boon Lay Dr,01 to 03,115,Model A,1995,72.83,455000,Sep 2021
441,Jurong West Ave 1,01 to 03,103,Model A,1984,62.08,380000,Sep 2021
488,Jurong West Ave 1,01 to 03,91,New Generation,1985,62.42,393000,Sep 2021
686A,Jurong West Ctrl 1,07 to 09,94,Premium Apartment,2000,78.08,490000,Sep 2021
686A,Jurong West Ctrl 1,13 to 15,93,Premium Apartment,2000,78.17,515000,Sep 2021
689,Jurong West Ctrl 1,01 to 03,100,Premium Apartment,1998,75.75,488000,Sep 2021
272A,Jurong West St 24,10 to 12,95,Premium Apartment,2003,81.17,412000,Sep 2021
480,Jurong West St 41,10 to 12,100,New Generation,1985,63.17,408000,Sep 2021
411,Jurong West St 42,10 to 12,104,Model A,1984,61.92,395000,Sep 2021
419,Jurong West St 42,04 to 06,88,Simplified,1985,62.67,380000,Sep 2021
449,Jurong West St 42,01 to 03,102,Model A,1985,62.5,330000,Sep 2021
551,Jurong West St 42,04 to 06,104,Model A,1985,62.42,410000,Sep 2021
531,Jurong West St 52,04 to 06,95,New Generation,1983,61,402000,Sep 2021
536,Jurong West St 52,07 to 09,93,New Generation,1983,61.08,388000,Sep 2021
655B,Jurong West St 61,01 to 03,85,Model A2,2002,80.17,450000,Sep 2021
613,Jurong West St 62,04 to 06,94,Premium Apartment,2001,78.42,477000,Sep 2021
664D,Jurong West St 64,04 to 06,91,Model A,2000,78,466000,Sep 2021
677A,Jurong West St 64,13 to 15,93,Premium Apartment,2008,85.75,450000,Sep 2021
684A,Jurong West St 64,13 to 15,93,Premium Apartment,2000,78.08,486000,Sep 2021
617,Jurong West St 65,04 to 06,90,Model A2,2000,78.25,460000,Sep 2021
657B,Jurong West St 65,16 to 18,91,Model A,2001,78.75,458000,Sep 2021
663A,Jurong West St 65,04 to 06,91,Model A,2000,77.92,455000,Sep 2021
663C,Jurong West St 65,13 to 15,91,Model A,2000,78,472000,Sep 2021
673A,Jurong West St 65,13 to 15,86,Model A2,2002,80.08,430000,Sep 2021
673A,Jurong West St 65,13 to 15,86,Model A2,2002,80.17,450000,Sep 2021
