block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
60,Marine Dr,04 to 06,87,Improved,1976,53.33,485000,Oct 2021
61,Marine Dr,07 to 09,87,Improved,1976,53.25,500000,Oct 2021
61,Marine Dr,10 to 12,87,Improved,1976,53.33,570000,Oct 2021
55,Marine Ter,07 to 09,88,Improved,1975,52.33,480000,Oct 2021
61,Marine Dr,07 to 09,87,Improved,1976,53.42,518000,Sep 2021
61,Marine Dr,10 to 12,87,Improved,1976,53.33,610000,Sep 2021
18,Marine Ter,04 to 06,88,Improved,1975,52.58,485000,Sep 2021
20,Marine Ter,07 to 09,88,Improved,1975,52.42,502000,Sep 2021
54,Marine Ter,07 to 09,88,Improved,1975,52.33,490000,Sep 2021
45,Marine Cres,13 to 15,88,Improved,1975,52.75,520000,Aug 2021
18,Marine Ter,04 to 06,88,Improved,1975,52.75,495000,Aug 2021
19,Marine Ter,07 to 09,88,Improved,1975,52.42,550000,Aug 2021
54,Marine Ter,13 to 15,88,Improved,1975,52.5,480000,Aug 2021
17,Marine Ter,13 to 15,82,Improved,1975,52.75,442000,Jul 2021
17,Marine Ter,04 to 06,82,Improved,1975,52.75,450000,Jul 2021
18,Marine Ter,01 to 03,88,Improved,1975,52.67,508000,Jul 2021
20,Marine Ter,07 to 09,88,Improved,1975,52.5,485000,Jul 2021
45,Marine Cres,04 to 06,88,Improved,1975,53,488000,Jun 2021
63,Marine Dr,04 to 06,87,Improved,1976,53.67,495000,Jun 2021
63,Marine Dr,13 to 15,87,Improved,1976,53.67,565000,Jun 2021
17,Marine Ter,10 to 12,82,Improved,1975,52.83,520000,Jun 2021
17,Marine Ter,07 to 09,82,Improved,1975,52.92,472888,May 2021
54,Marine Ter,04 to 06,88,Improved,1975,52.67,460000,May 2021
55,Marine Ter,10 to 12,88,Improved,1975,52.75,520000,May 2021
62,Marine Dr,07 to 09,87,Improved,1976,53.83,520000,Apr 2021
