block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
633,Pasir Ris Dr 3,10 to 12,104,Model A,1995,72.58,525500,Nov 2021
479,Pasir Ris Dr 4,04 to 06,103,Model A,1992,70.17,465000,Nov 2021
486,Pasir Ris Dr 4,01 to 03,104,Model A,1992,70.17,440000,Nov 2021
486,Pasir Ris Dr 4,04 to 06,104,Model A,1992,70.17,465000,Nov 2021
112,Pasir Ris St 11,04 to 06,106,Model A,1990,67.5,457000,Nov 2021
124,Pasir Ris St 11,04 to 06,103,Model A,1989,66.42,438000,Nov 2021
528B,Pasir Ris St 51,04 to 06,93,Model A,2015,92.75,585000,Nov 2021
770,Pasir Ris St 71,07 to 09,107,Model A,1996,73.83,495000,Nov 2021
530A,Pasir Ris Dr 1,13 to 15,86,Dbss,2015,92.75,680000,Oct 2021
530C,Pasir Ris Dr 1,07 to 09,86,Dbss,2015,92.67,640000,Oct 2021
634,Pasir Ris Dr 1,10 to 12,104,Model A,1995,72.83,460000,Oct 2021
414,Pasir Ris Dr 6,04 to 06,113,Model A,1990,67.5,492000,Oct 2021
427,Pasir Ris Dr 6,04 to 06,104,Model A,1988,66.08,455000,Oct 2021
446,Pasir Ris Dr 6,04 to 06,94,New Generation,1989,67.08,430000,Oct 2021
475,Pasir Ris Dr 6,04 to 06,105,Model A,1990,67.67,480000,Oct 2021
110,Pasir Ris St 11,10 to 12,103,Model A,1990,67.58,465000,Oct 2021
113,Pasir Ris St 11,04 to 06,106,Model A,1990,67.58,465000,Oct 2021
104,Pasir Ris St 12,07 to 09,108,Model A,1989,66.58,465000,Oct 2021
148,Pasir Ris St 13,04 to 06,108,Model A,1995,72.5,430000,Oct 2021
212,Pasir Ris St 21,07 to 09,108,Model A,1993,70.83,469000,Oct 2021
525A,Pasir Ris St 51,07 to 09,93,Model A,2015,92.83,576000,Oct 2021
525A,Pasir Ris St 51,10 to 12,93,Model A,2015,92.75,590000,Oct 2021
526A,Pasir Ris St 51,04 to 06,93,Model A,2015,92.83,530000,Oct 2021
526A,Pasir Ris St 51,10 to 12,93,Model A,2015,92.75,565000,Oct 2021
528C,Pasir Ris St 51,04 to 06,93,Model A,2015,92.75,570000,Oct 2021
568,Pasir Ris St 51,04 to 06,104,Model A,1992,70.17,490000,Oct 2021
574,Pasir Ris St 53,04 to 06,110,Model A,1995,73.08,558000,Oct 2021
774,Pasir Ris St 71,10 to 12,107,Model A,1996,73.92,500000,Oct 2021
776,Pasir Ris St 71,01 to 03,106,Model A,1996,74.08,471000,Oct 2021
723,Pasir Ris St 72,01 to 03,112,Model A,1996,73.83,510000,Oct 2021
610,Elias Rd,10 to 12,111,Model A,1995,72.92,478000,Sep 2021
530A,Pasir Ris Dr 1,07 to 09,86,Dbss,2015,92.75,638000,Sep 2021
530A,Pasir Ris Dr 1,07 to 09,86,Dbss,2015,92.75,668000,Sep 2021
530A,Pasir Ris Dr 1,10 to 12,86,Dbss,2015,92.83,675000,Sep 2021
530C,Pasir Ris Dr 1,07 to 09,86,Dbss,2015,92.83,620000,Sep 2021
530C,Pasir Ris Dr 1,04 to 06,86,Dbss,2015,92.75,625000,Sep 2021
530C,Pasir Ris Dr 1,04 to 06,86,Dbss,2015,92.75,635000,Sep 2021
639,Pasir Ris Dr 1,01 to 03,109,Model A,1995,72.83,450000,Sep 2021
631,Pasir Ris Dr 3,07 to 09,104,Model A,1995,72.92,480000,Sep 2021
450,Pasir Ris Dr 6,04 to 06,103,Model A,1989,67,478000,Sep 2021
467,Pasir Ris Dr 6,04 to 06,105,Model A,1989,66.83,470000,Sep 2021
473,Pasir Ris Dr 6,01 to 03,103,Model A,1989,66.92,430000,Sep 2021
110,Pasir Ris St 11,04 to 06,111,Model A,1990,67.67,540000,Sep 2021
117,Pasir Ris St 11,10 to 12,103,Model A,1990,67.58,460000,Sep 2021
124,Pasir Ris St 11,01 to 03,105,Model A,1989,66.58,428000,Sep 2021
124,Pasir Ris St 11,04 to 06,105,Model A,1989,66.58,440000,Sep 2021
229,Pasir Ris St 21,01 to 03,107,Model A,1993,70.92,420000,Sep 2021
229,Pasir Ris St 21,07 to 09,107,Model A,1993,71,460000,Sep 2021
524A,Pasir Ris St 51,07 to 09,93,Model A,2015,92.92,568000,Sep 2021
524C,Pasir Ris St 51,10 to 12,93,Model A,2015,92.92,580000,Sep 2021
524C,Pasir Ris St 51,10 to 12,93,Model A,2015,92.92,580000,Sep 2021
525B,Pasir Ris St 51,04 to 06,93,Model A,2015,92.92,575000,Sep 2021
526C,Pasir Ris St 51,07 to 09,93,Model A,2015,92.92,567000,Sep 2021
526D,Pasir Ris St 51,07 to 09,93,Model A,2015,92.92,555888,Sep 2021
528B,Pasir Ris St 51,04 to 06,93,Model A,2015,92.92,560000,Sep 2021
528C,Pasir Ris St 51,10 to 12,93,Model A,2015,93,570000,Sep 2021
551,Pasir Ris St 51,04 to 06,104,Model A,1992,70.33,465000,Sep 2021
558,Pasir Ris St 51,07 to 09,104,Model A,1993,70.92,475000,Sep 2021
560,Pasir Ris St 51,04 to 06,105,Model A,1993,71,440000,Sep 2021
521,Pasir Ris St 52,10 to 12,106,Model A,1993,71.25,470888,Sep 2021
571,Pasir Ris St 53,01 to 03,109,Model A,1995,73.17,475000,Sep 2021
753,Pasir Ris St 71,01 to 03,106,Model A,1996,74.17,420000,Sep 2021
763,Pasir Ris St 71,04 to 06,104,Model A,1996,74,462000,Sep 2021
530A,Pasir Ris Dr 1,01 to 03,86,Dbss,2015,92.92,600000,Aug 2021
530A,Pasir Ris Dr 1,04 to 06,86,Dbss,2015,92.83,645000,Aug 2021
530C,Pasir Ris Dr 1,10 to 12,86,Dbss,2015,92.92,620000,Aug 2021
530C,Pasir Ris Dr 1,07 to 09,86,Dbss,2015,92.83,645000,Aug 2021
639,Pasir Ris Dr 1,04 to 06,104,Model A,1995,73,530000,Aug 2021
738,Pasir Ris Dr 10,10 to 12,104,Model A,1996,74,465000,Aug 2021
739,Pasir Ris Dr 10,01 to 03,104,Model A,1996,74.17,440000,Aug 2021
626,Pasir Ris Dr 3,07 to 09,104,Model A,1995,73,440000,Aug 2021
626,Pasir Ris Dr 3,10 to 12,104,Model A,1995,73,460000,Aug 2021
629,Pasir Ris Dr 3,10 to 12,104,Model A,1995,72.83,445000,Aug 2021
234,Pasir Ris Dr 4,10 to 12,107,Model A,1993,70.92,465000,Aug 2021
458,Pasir Ris Dr 4,10 to 12,105,Model A,1992,70.33,450000,Aug 2021
479,Pasir Ris Dr 4,01 to 03,105,Model A,1992,70.42,470000,Aug 2021
480,Pasir Ris Dr 4,04 to 06,114,Model A,1992,70.42,470000,Aug 2021
487,Pasir Ris Dr 4,01 to 03,104,Model A,1992,70.42,450000,Aug 2021
405,Pasir Ris Dr 6,10 to 12,106,Model A,1989,67.5,475000,Aug 2021
405,Pasir Ris Dr 6,07 to 09,107,Model A,1989,67.33,481000,Aug 2021
