block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
120A,Edgedale Plains,01 to 03,93,Model A,2017,94.58,453888,Nov 2021
120A,Edgedale Plains,07 to 09,93,Model A,2017,94.58,460000,Nov 2021
135,Edgedale Plains,13 to 15,91,Premium Apartment,2003,81.08,446000,Nov 2021
118,Edgefield Plains,01 to 03,95,Premium Apartment,2003,80.67,415000,Nov 2021
670B,Edgefield Plains,04 to 06,93,Premium Apartment,2016,93.67,460000,Nov 2021
671B,Edgefield Plains,07 to 09,90,Model A,2015,93.17,476888,Nov 2021
672D,Edgefield Plains,07 to 09,90,Model A,2015,93.17,478000,Nov 2021
619A,Punggol Dr,13 to 15,93,Premium Apartment,2013,90.92,500000,Nov 2021
667A,Punggol Dr,10 to 12,93,Premium Apartment,2016,93.42,522000,Nov 2021
168B,Punggol East,13 to 15,92,Premium Apartment,2009,86.42,498888,Nov 2021
258A,Punggol Field,07 to 09,93,Model A,2016,93.67,498000,Nov 2021
258A,Punggol Field,16 to 18,93,Model A,2016,93.67,530000,Nov 2021
267A,Punggol Field,10 to 12,97,Premium Apartment,2013,90.25,595000,Nov 2021
302D,Punggol Pl,04 to 06,93,Premium Apartment,2011,88.42,530000,Nov 2021
211B,Punggol Walk,04 to 06,92,Model A,2014,91.5,452000,Nov 2021
271C,Punggol Walk,07 to 09,93,Premium Apartment,2014,91.5,592000,Nov 2021
308B,Punggol Walk,01 to 03,92,Premium Apartment,2016,93.42,517000,Nov 2021
310B,Punggol Walk,16 to 18,92,Premium Apartment,2016,93.67,540000,Nov 2021
260B,Punggol Way,01 to 03,93,Model A,2016,93.67,460000,Nov 2021
264A,Punggol Way,10 to 12,92,Model A,2015,92.67,530000,Nov 2021
314B,Punggol Way,01 to 03,93,Premium Apartment,2017,94.92,500000,Nov 2021
217D,Sumang Walk,13 to 15,92,Model A,2017,94.75,541888,Nov 2021
256B,Sumang Walk,10 to 12,93,Model A,2016,94.17,530000,Nov 2021
120A,Edgedale Plains,04 to 06,93,Model A,2017,94.67,453000,Oct 2021
121B,Edgedale Plains,01 to 03,93,Model A,2017,94.75,430000,Oct 2021
121B,Edgedale Plains,10 to 12,93,Model A,2017,94.67,475000,Oct 2021
122A,Edgedale Plains,07 to 09,93,Model A,2017,94.67,456000,Oct 2021
122A,Edgedale Plains,13 to 15,93,Model A,2017,94.67,498888,Oct 2021
122B,Edgedale Plains,10 to 12,93,Model A,2017,94.67,470000,Oct 2021
122B,Edgedale Plains,13 to 15,93,Model A,2017,94.67,485000,Oct 2021
134,Edgedale Plains,01 to 03,91,Premium Apartment,2003,81.17,400000,Oct 2021
661A,Edgedale Plains,19 to 21,92,Premium Apartment,2017,94.67,542000,Oct 2021
661B,Edgedale Plains,07 to 09,92,Premium Apartment,2017,94.67,480000,Oct 2021
661B,Edgedale Plains,04 to 06,92,Premium Apartment,2017,94.67,490000,Oct 2021
661B,Edgedale Plains,16 to 18,92,Premium Apartment,2017,94.67,515000,Oct 2021
661B,Edgedale Plains,13 to 15,92,Premium Apartment,2017,94.67,522000,Oct 2021
661C,Edgedale Plains,13 to 15,92,Premium Apartment,2017,94.58,560000,Oct 2021
662A,Edgedale Plains,07 to 09,92,Premium Apartment,2017,94.67,475000,Oct 2021
662A,Edgedale Plains,04 to 06,92,Premium Apartment,2017,94.67,495000,Oct 2021
662A,Edgedale Plains,07 to 09,92,Premium Apartment,2017,94.67,508000,Oct 2021
662B,Edgedale Plains,04 to 06,92,Premium Apartment,2017,94.58,520000,Oct 2021
662C,Edgedale Plains,13 to 15,92,Premium Apartment,2017,94.67,516000,Oct 2021
662D,Edgedale Plains,04 to 06,92,Premium Apartment,2017,94.67,500000,Oct 2021
662D,Edgedale Plains,10 to 12,92,Premium Apartment,2017,94.67,510000,Oct 2021
662D,Edgedale Plains,10 to 12,92,Premium Apartment,2017,94.58,520000,Oct 2021
105B,Edgefield Plains,13 to 15,90,Model A,2003,80.67,520000,Oct 2021
615A,Edgefield Plains,07 to 09,92,Model A,2012,90.25,500000,Oct 2021
668A,Edgefield Plains,07 to 09,93,Premium Apartment,2016,93.75,515000,Oct 2021
668A,Edgefield Plains,13 to 15,93,Premium Apartment,2016,93.67,568000,Oct 2021
670B,Edgefield Plains,10 to 12,93,Premium Apartment,2016,93.75,530000,Oct 2021
671B,Edgefield Plains,04 to 06,90,Model A,2015,93.17,485000,Oct 2021
671B,Edgefield Plains,13 to 15,90,Model A,2015,93.25,508000,Oct 2021
672D,Edgefield Plains,07 to 09,90,Model A,2015,93.25,465000,Oct 2021
673C,Edgefield Plains,16 to 18,90,Model A,2015,93.25,482000,Oct 2021
162A,Punggol Ctrl,13 to 15,95,Premium Apartment,2004,81.67,458000,Oct 2021
166B,Punggol Ctrl,16 to 18,95,Premium Apartment,2004,81.67,440000,Oct 2021
303A,Punggol Ctrl,01 to 03,93,Premium Apartment,2010,87.83,515000,Oct 2021
601B,Punggol Ctrl,07 to 09,93,Model A,2012,89.83,490000,Oct 2021
602C,Punggol Ctrl,10 to 12,93,Model A,2012,89.75,495000,Oct 2021
622A,Punggol Ctrl,04 to 06,95,Model A,2014,91.58,460000,Oct 2021
