block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
333,Sembawang Cl,04 to 06,101,Model A,1999,76.75,428888,Nov 2021
354C,Admiralty Dr,10 to 12,93,Model A,2001,79.25,447000,Oct 2021
485,Admiralty Link,01 to 03,85,Model A2,2003,80.83,385000,Oct 2021
485,Admiralty Link,13 to 15,86,Model A2,2003,80.83,398000,Oct 2021
489,Admiralty Link,16 to 18,94,Model A,2010,87.83,455000,Oct 2021
302,Canberra Rd,01 to 03,91,Model A2,1998,76.08,405000,Oct 2021
424,Canberra Rd,13 to 15,90,Model A,2001,78.58,428000,Oct 2021
589B,Montreal Dr,13 to 15,85,Model A2,2002,80.25,410000,Oct 2021
592B,Montreal Link,07 to 09,93,Model A,2015,92.58,480000,Oct 2021
593A,Montreal Link,13 to 15,93,Model A,2015,92.5,483000,Oct 2021
327,Sembawang Cres,01 to 03,101,Model A,1999,76.58,408800,Oct 2021
463B,Sembawang Dr,04 to 06,92,Model A,2015,92.67,420000,Oct 2021
466A,Sembawang Dr,16 to 18,93,Premium Apartment,2006,83.33,480000,Oct 2021
466D,Sembawang Dr,10 to 12,90,Premium Apartment,2006,83.33,455000,Oct 2021
508B,Wellington Circle,07 to 09,90,Model A,2004,81.92,435000,Oct 2021
509B,Wellington Circle,07 to 09,90,Model A,2004,81.92,425000,Oct 2021
510B,Wellington Circle,13 to 15,90,Model A,2004,82.08,436000,Oct 2021
356B,Admiralty Dr,01 to 03,95,Premium Apartment,2001,78.83,430000,Sep 2021
401,Admiralty Link,13 to 15,90,Model A,2001,78.58,412000,Sep 2021
405,Admiralty Link,04 to 06,86,Model A2,2001,78.42,375000,Sep 2021
405,Admiralty Link,13 to 15,86,Model A2,2001,78.42,403888,Sep 2021
484,Admiralty Link,04 to 06,90,Model A,2003,80.92,388000,Sep 2021
485,Admiralty Link,07 to 09,85,Model A2,2003,80.83,385000,Sep 2021
486,Admiralty Link,01 to 03,90,Model A,2004,81.67,358000,Sep 2021
486,Admiralty Link,04 to 06,90,Model A,2004,81.67,375000,Sep 2021
589B,Montreal Dr,04 to 06,85,Model A2,2002,80.33,410000,Sep 2021
314,Sembawang Dr,10 to 12,90,Model A2,1999,76.58,402000,Sep 2021
406,Sembawang Dr,01 to 03,86,Model A2,2001,78.67,370888,Sep 2021
410,Sembawang Dr,04 to 06,90,Model A,2001,78.58,386000,Sep 2021
463C,Sembawang Dr,22 to 24,92,Model A,2015,92.75,500000,Sep 2021
463C,Sembawang Dr,19 to 21,92,Model A,2015,92.67,500000,Sep 2021
318,Sembawang Vista,01 to 03,100,Model A,1999,76.5,417000,Sep 2021
318,Sembawang Vista,16 to 18,101,Model A,1999,76.58,450000,Sep 2021
508A,Wellington Circle,01 to 03,90,Model A,2004,82,400000,Sep 2021
508B,Wellington Circle,07 to 09,90,Model A,2004,82,450000,Sep 2021
510A,Wellington Circle,07 to 09,90,Model A,2004,82,415000,Sep 2021
360A,Admiralty Dr,10 to 12,94,Premium Apartment,2001,79.17,427888,Aug 2021
482,Admiralty Link,07 to 09,87,Model A2,2004,81.58,395000,Aug 2021
487,Admiralty Link,01 to 03,96,Model A,2010,88,416000,Aug 2021
489,Admiralty Link,10 to 12,94,Model A,2010,88.08,417000,Aug 2021
489,Admiralty Link,10 to 12,94,Model A,2010,88.08,435000,Aug 2021
119A,Canberra Cres,04 to 06,93,Model A,2018,95.58,485000,Aug 2021
590B,Montreal Link,13 to 15,93,Model A,2015,92.75,490000,Aug 2021
592A,Montreal Link,13 to 15,93,Model A,2015,92.75,468000,Aug 2021
592B,Montreal Link,07 to 09,93,Model A,2015,92.67,500888,Aug 2021
593A,Montreal Link,07 to 09,93,Model A,2015,92.75,477000,Aug 2021
324,Sembawang Cl,04 to 06,100,Model A,1999,76.83,420000,Aug 2021
334,Sembawang Cl,13 to 15,100,Model A,1999,77.33,448000,Aug 2021
339B,Sembawang Cl,04 to 06,95,Premium Apartment,2001,78.83,415000,Aug 2021
508B,Wellington Circle,13 to 15,90,Model A,2004,82.08,435000,Aug 2021
509A,Wellington Circle,04 to 06,90,Model A,2004,82.08,440000,Aug 2021
510B,Wellington Circle,01 to 03,90,Model A,2004,82.25,400000,Aug 2021
360B,Admiralty Dr,01 to 03,95,Premium Apartment,2001,79.17,420000,Jul 2021
