block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
327C,Anchorvale Rd,07 to 09,92,Premium Apartment,2015,92.5,485000,Nov 2021
330B,Anchorvale St,01 to 03,93,Model A,2015,92.83,460000,Nov 2021
278A,Compassvale Bow,13 to 15,92,Model A,2017,95.08,633888,Nov 2021
289A,Compassvale Cres,04 to 06,93,Premium Apartment,2017,95.08,495000,Nov 2021
293D,Compassvale Cres,10 to 12,93,Model A,2016,94.08,510000,Nov 2021
294A,Compassvale Cres,04 to 06,93,Model A,2016,94.08,505000,Nov 2021
215B,Compassvale Dr,13 to 15,92,Premium Apartment,2017,94.58,640000,Nov 2021
216D,Compassvale Dr,07 to 09,92,Premium Apartment,2017,94.67,633000,Nov 2021
217C,Compassvale Dr,10 to 12,92,Premium Apartment,2017,94.58,633000,Nov 2021
206A,Compassvale Lane,01 to 03,101,Model A,1999,76.83,424000,Nov 2021
269C,Compassvale Link,13 to 15,91,Premium Apartment,2006,83.33,515000,Nov 2021
273B,Compassvale Link,07 to 09,90,Premium Apartment,2009,86.83,610000,Nov 2021
275A,Compassvale Link,01 to 03,90,Premium Apartment,2009,86.67,563000,Nov 2021
277C,Compassvale Link,01 to 03,90,Premium Apartment,2009,86.75,500000,Nov 2021
257B,Compassvale Rd,07 to 09,85,Model A2,2001,78.42,452000,Nov 2021
404B,Fernvale Lane,19 to 21,92,Premium Apartment,2004,81.58,450000,Nov 2021
415B,Fernvale Link,16 to 18,93,Model A,2016,93.25,535000,Nov 2021
416A,Fernvale Link,04 to 06,93,Model A,2016,93.25,475000,Nov 2021
430D,Fernvale Link,04 to 06,92,Model A,2015,92.58,485000,Nov 2021
467B,Fernvale Link,19 to 21,93,Model A,2016,93.83,495000,Nov 2021
468B,Fernvale Link,16 to 18,93,Model A,2016,93.83,515000,Nov 2021
406B,Fernvale Rd,19 to 21,90,Premium Apartment,2004,82.08,448000,Nov 2021
435B,Fernvale Rd,13 to 15,94,Premium Apartment,2013,90.67,515000,Nov 2021
453C,Fernvale Rd,13 to 15,92,Model A,2015,92.75,498000,Nov 2021
163B,Rivervale Cres,10 to 12,93,Model A,2017,94.58,468000,Nov 2021
163B,Rivervale Cres,16 to 18,93,Model A,2017,94.58,490000,Nov 2021
164B,Rivervale Cres,16 to 18,93,Model A,2017,94.58,495000,Nov 2021
190B,Rivervale Dr,13 to 15,95,Model A,2000,77.58,413000,Nov 2021
140,Rivervale St,16 to 18,90,Model A2,1999,76.25,405000,Nov 2021
105,Rivervale Walk,01 to 03,101,Model A,1999,76.42,432000,Nov 2021
271C,Sengkang Ctrl,04 to 06,93,Premium Apartment,2010,87.58,578000,Nov 2021
432A,Sengkang West Way,25 to 27,93,Model A,2014,92,520000,Nov 2021
433B,Sengkang West Way,01 to 03,93,Model A,2014,92,440000,Nov 2021
335A,Anchorvale Cres,07 to 09,92,Premium Apartment,2015,93.25,510000,Oct 2021
335C,Anchorvale Cres,01 to 03,92,Premium Apartment,2015,93.25,480000,Oct 2021
336C,Anchorvale Cres,01 to 03,92,Premium Apartment,2015,93.17,475000,Oct 2021
301A,Anchorvale Dr,13 to 15,90,Model A,2001,78.83,440000,Oct 2021
301B,Anchorvale Dr,04 to 06,90,Model A,2001,78.92,428000,Oct 2021
301B,Anchorvale Dr,07 to 09,90,Model A,2001,78.83,448000,Oct 2021
306C,Anchorvale Link,01 to 03,90,Model A,2002,79.25,398000,Oct 2021
333A,Anchorvale Link,01 to 03,92,Model A,2015,92.67,490000,Oct 2021
