block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
116,Simei St 1,07 to 09,104,Model A,1988,66.08,490000,Nov 2021
123,Simei St 1,07 to 09,104,Model A,1988,66.08,510000,Nov 2021
890B,Tampines Ave 1,10 to 12,93,Model A,2015,92.92,610000,Nov 2021
878,Tampines Ave 8,10 to 12,104,Model A,1988,66.08,480000,Nov 2021
524A,Tampines Ctrl 7,10 to 12,93,Model A,2015,92.83,606000,Nov 2021
519A,Tampines Ctrl 8,04 to 06,83,Dbss,2014,91.67,660000,Nov 2021
519A,Tampines Ctrl 8,10 to 12,84,Dbss,2014,91.67,708888,Nov 2021
141,Tampines St 12,10 to 12,107,Model A,1984,61.92,550000,Nov 2021
246,Tampines St 21,10 to 12,93,New Generation,1984,62.08,495000,Nov 2021
260,Tampines St 21,10 to 12,103,Model A,1984,62,463000,Nov 2021
272,Tampines St 22,10 to 12,103,Model A,1984,61.75,500000,Nov 2021
274,Tampines St 22,07 to 09,103,Model A,1984,61.75,460000,Nov 2021
222,Tampines St 24,10 to 12,104,Model A,1985,62.25,505000,Nov 2021
406,Tampines St 41,07 to 09,89,Simplified,1986,64,475000,Nov 2021
418,Tampines St 41,04 to 06,104,Model A,1985,62.67,420000,Nov 2021
489A,Tampines St 45,07 to 09,104,Model A,1989,66.58,468888,Nov 2021
491F,Tampines St 45,13 to 15,105,Model A,1993,70.75,480000,Nov 2021
729,Tampines St 71,07 to 09,103,Model A,1997,74.92,490000,Nov 2021
814,Tampines St 81,04 to 06,105,Model A,1984,61.83,500000,Nov 2021
842H,Tampines St 82,07 to 09,106,Model A,1995,72.83,530000,Nov 2021
871A,Tampines St 84,10 to 12,113,Model A,1989,66.5,490000,Nov 2021
871B,Tampines St 86,10 to 12,94,Model A,2017,94.33,585000,Nov 2021
167C,Simei Lane,07 to 09,94,Dbss,2011,88.5,675000,Oct 2021
102,Simei St 1,10 to 12,104,Model A,1988,66.17,516000,Oct 2021
112,Simei St 1,04 to 06,103,Model A,1988,65.33,493000,Oct 2021
116,Simei St 1,04 to 06,104,Model A,1988,66.17,503000,Oct 2021
129,Simei St 1,04 to 06,84,Simplified,1987,65,415000,Oct 2021
131,Simei St 1,01 to 03,104,Model A,1988,65.92,528000,Oct 2021
134,Simei St 1,07 to 09,88,Simplified,1988,65.92,428000,Oct 2021
136,Simei St 1,01 to 03,84,Simplified,1988,66,397000,Oct 2021
254,Simei St 1,01 to 03,101,Model A,1996,73.92,535000,Oct 2021
227,Simei St 4,04 to 06,104,Model A,1988,65.83,472000,Oct 2021
803,Tampines Ave 4,04 to 06,94,New Generation,1984,62.25,452500,Oct 2021
805,Tampines Ave 4,04 to 06,92,New Generation,1985,62.5,470000,Oct 2021
806,Tampines Ave 4,07 to 09,104,Model A,1984,61.5,488000,Oct 2021
811,Tampines Ave 4,10 to 12,91,New Generation,1985,62.5,468000,Oct 2021
868A,Tampines Ave 8,01 to 03,92,Model A,2015,92.75,496500,Oct 2021
869A,Tampines Ave 8,13 to 15,92,Model A,2015,92.75,570000,Oct 2021
878A,Tampines Ave 8,13 to 15,93,Model A,2017,94.75,572000,Oct 2021
878A,Tampines Ave 8,13 to 15,93,Model A,2017,94.75,600000,Oct 2021
878A,Tampines Ave 8,10 to 12,93,Model A,2017,94.75,608000,Oct 2021
878B,Tampines Ave 8,04 to 06,93,Model A,2017,94.75,535000,Oct 2021
878B,Tampines Ave 8,13 to 15,93,Model A,2017,94.75,565000,Oct 2021
879A,Tampines Ave 8,01 to 03,93,Model A,2017,94.75,528000,Oct 2021
879A,Tampines Ave 8,07 to 09,93,Model A,2017,94.75,600000,Oct 2021
879B,Tampines Ave 8,04 to 06,93,Model A,2017,94.75,540000,Oct 2021
879B,Tampines Ave 8,13 to 15,93,Model A,2017,94.83,590000,Oct 2021
522A,Tampines Ctrl 7,04 to 06,93,Model A,2015,92.83,575000,Oct 2021
523D,Tampines Ctrl 7,10 to 12,93,Model A,2015,92.92,620000,Oct 2021
519A,Tampines Ctrl 8,07 to 09,83,Dbss,2014,91.75,700000,Oct 2021
519B,Tampines Ctrl 8,16 to 18,84,Dbss,2014,91.75,700000,Oct 2021
520C,Tampines Ctrl 8,10 to 12,84,Dbss,2014,91.75,680000,Oct 2021
102,Tampines St 11,10 to 12,105,Model A,1983,61,492888,Oct 2021
107,Tampines St 11,07 to 09,105,Model A,1984,62,500000,Oct 2021
108,Tampines St 11,07 to 09,107,Model A,1984,61.83,430000,Oct 2021
144,Tampines St 12,04 to 06,104,Model A,1985,62.5,550000,Oct 2021
145,Tampines St 12,07 to 09,103,Model A,1984,62.25,510000,Oct 2021
165,Tampines St 12,10 to 12,103,Model A,1984,61.83,472000,Oct 2021
236,Tampines St 21,04 to 06,104,Model A,1984,62.08,500000,Oct 2021
240,Tampines St 21,10 to 12,105,Model A,1984,61.92,555000,Oct 2021
248,Tampines St 21,07 to 09,91,New Generation,1984,62.17,477000,Oct 2021
269,Tampines St 21,04 to 06,104,Model A,1984,61.5,480000,Oct 2021
284,Tampines St 22,07 to 09,102,Model A,1984,61.83,480000,Oct 2021
212,Tampines St 23,07 to 09,104,Model A,1985,62.58,460000,Oct 2021
213,Tampines St 23,10 to 12,105,Model A,1985,62.5,494000,Oct 2021
340,Tampines St 33,10 to 12,109,Model A,1995,73.25,435000,Oct 2021
342,Tampines St 33,04 to 06,111,Model A,1995,73.25,470000,Oct 2021
348,Tampines St 33,01 to 03,109,Model A,1996,73.67,430000,Oct 2021
366,Tampines St 34,07 to 09,102,Model A,1997,74.5,450000,Oct 2021
