block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
9,Joo Seng Rd,01 to 03,93,Model A,2017,94.33,580000,Nov 2021
17,Joo Seng Rd,13 to 15,103,Model A,1983,61.17,485000,Nov 2021
153A,Lor 1 Toa Payoh,16 to 18,104,Model A,1999,76.25,780000,Nov 2021
73,Lor 4 Toa Payoh,10 to 12,124,Adjoined Flat,1973,50.25,655000,Nov 2021
191,Lor 4 Toa Payoh,10 to 12,84,Improved,1974,51.75,506000,Nov 2021
193,Lor 4 Toa Payoh,04 to 06,84,Improved,1974,51.75,500000,Nov 2021
222,Lor 8 Toa Payoh,19 to 21,82,Improved,1976,53.42,435000,Nov 2021
79A,Toa Payoh Ctrl,31 to 33,76,Model A,2009,86.5,750000,Nov 2021
79E,Toa Payoh Ctrl,31 to 33,76,Model A,2009,86.5,720000,Nov 2021
201,Toa Payoh Nth,01 to 03,87,Improved,1973,50.83,405000,Nov 2021
244,Kim Keat Link,07 to 09,104,Model A,1989,66.42,528000,Oct 2021
244,Kim Keat Link,04 to 06,104,Model A,1989,66.42,550000,Oct 2021
138B,Lor 1A Toa Payoh,37 to 39,91,Dbss,2012,89.58,858000,Oct 2021
84,Lor 2 Toa Payoh,04 to 06,107,Model A,1997,74.67,656000,Oct 2021
84A,Lor 2 Toa Payoh,04 to 06,104,Model A,1997,74.58,761388,Oct 2021
86,Lor 2 Toa Payoh,01 to 03,105,Model A,1997,74.67,640000,Oct 2021
122,Lor 2 Toa Payoh,10 to 12,101,Model A,1999,77.25,750000,Oct 2021
152,Lor 2 Toa Payoh,04 to 06,91,Model A,2006,83.33,708000,Oct 2021
152,Lor 2 Toa Payoh,07 to 09,91,Model A,2006,83.33,755000,Oct 2021
154,Lor 2 Toa Payoh,10 to 12,101,Model A,2001,78.42,766618,Oct 2021
36,Lor 5 Toa Payoh,10 to 12,102,Model A,1997,75,688000,Oct 2021
37,Lor 5 Toa Payoh,04 to 06,102,Model A,1997,74.92,635000,Oct 2021
43,Lor 5 Toa Payoh,04 to 06,109,Model A,1993,70.5,615000,Oct 2021
6,Lor 7 Toa Payoh,04 to 06,100,Model A,1998,76,580000,Oct 2021
14,Lor 7 Toa Payoh,13 to 15,106,Model A,1998,75.83,675000,Oct 2021
14B,Lor 7 Toa Payoh,13 to 15,106,Model A,1998,75.83,644000,Oct 2021
11,Lor 8 Toa Payoh,01 to 03,103,Model A,1998,75.42,618888,Oct 2021
213,Lor 8 Toa Payoh,04 to 06,82,Improved,1975,52.33,375000,Oct 2021
213,Lor 8 Toa Payoh,16 to 18,82,Improved,1975,52.33,400000,Oct 2021
214,Lor 8 Toa Payoh,16 to 18,82,Improved,1975,52.83,428000,Oct 2021
117,Potong Pasir Ave 1,04 to 06,96,New Generation,1984,62,492888,Oct 2021
120,Potong Pasir Ave 1,07 to 09,100,New Generation,1984,62.08,498888,Oct 2021
142,Potong Pasir Ave 3,07 to 09,106,Model A,1984,61.75,655000,Oct 2021
79A,Toa Payoh Ctrl,31 to 33,76,Model A,2009,86.58,770000,Oct 2021
79C,Toa Payoh Ctrl,01 to 03,92,Model A,2009,86.58,700000,Oct 2021
79E,Toa Payoh Ctrl,10 to 12,76,Model A,2009,86.58,630000,Oct 2021
79E,Toa Payoh Ctrl,31 to 33,91,Model A,2009,86.5,819000,Oct 2021
200,Toa Payoh Nth,10 to 12,87,Improved,1973,50.83,375000,Oct 2021
200,Toa Payoh Nth,10 to 12,87,Improved,1973,50.92,400000,Oct 2021
204,Toa Payoh Nth,01 to 03,87,Improved,1973,50.75,388000,Oct 2021
208,Toa Payoh Nth,07 to 09,81,Improved,1973,50.83,390000,Oct 2021
7,Upp Aljunied Lane,10 to 12,93,Model A,2017,94.42,720000,Oct 2021
17,Joo Seng Rd,07 to 09,106,Model A,1983,61.33,460000,Sep 2021
18,Joo Seng Rd,01 to 03,106,Model A,1984,61.5,453000,Sep 2021
153A,Lor 1 Toa Payoh,19 to 21,101,Model A,1999,76.33,788000,Sep 2021
138C,Lor 1A Toa Payoh,10 to 12,91,Dbss,2012,89.67,850000,Sep 2021
138C,Lor 1A Toa Payoh,22 to 24,91,Dbss,2012,89.75,868000,Sep 2021
142,Lor 2 Toa Payoh,10 to 12,85,Model A,2001,78.42,652000,Sep 2021
153,Lor 2 Toa Payoh,19 to 21,101,Model A,1999,76.92,800000,Sep 2021
154,Lor 2 Toa Payoh,04 to 06,101,Model A,2001,78.5,702000,Sep 2021
62,Lor 4 Toa Payoh,13 to 15,100,Model A,1999,77.25,695000,Sep 2021
