block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
101,Jln Rajah,13 to 15,94,New Generation,1980,58.17,542500,Nov 2021
102,Jln Rajah,04 to 06,94,New Generation,1981,58.42,450000,Nov 2021
117A,Jln Tenteram,28 to 30,93,Model A,2017,95.17,758888,Nov 2021
117B,Jln Tenteram,19 to 21,93,Model A,2017,95.08,750000,Nov 2021
113B,Mcnair Rd,28 to 30,93,Premium Apartment,2017,95.17,910000,Nov 2021
8A,Upp Boon Keng Rd,13 to 15,88,Premium Apartment,2017,94.75,850000,Nov 2021
8C,Upp Boon Keng Rd,10 to 12,95,Premium Apartment,2017,94.83,900000,Nov 2021
39A,Bendemeer Rd,01 to 03,92,Model A,2012,89.67,665000,Oct 2021
9,Boon Keng Rd,19 to 21,94,Dbss,2011,88.33,878000,Oct 2021
9,Boon Keng Rd,37 to 39,94,Dbss,2011,88.33,918000,Oct 2021
37,Cambridge Rd,04 to 06,100,Model A,1997,75.17,665000,Oct 2021
15,Farrer Pk Rd,19 to 21,75,Model A,2004,81.75,695888,Oct 2021
59C,Geylang Bahru,04 to 06,100,Model A,1998,76.25,627000,Oct 2021
60,Geylang Bahru,01 to 03,102,Model A,1999,76.25,590000,Oct 2021
60,Geylang Bahru,01 to 03,100,Model A,1999,76.33,616000,Oct 2021
60,Geylang Bahru,10 to 12,101,Model A,1999,76.25,661000,Oct 2021
9,Gloucester Rd,01 to 03,91,New Generation,1976,54.17,478000,Oct 2021
9,Gloucester Rd,07 to 09,92,New Generation,1976,54.17,504888,Oct 2021
813,Jellicoe Rd,01 to 03,90,Model A,2003,80.5,730000,Oct 2021
101,Jln Rajah,13 to 15,94,New Generation,1980,58.25,485000,Oct 2021
16,Jln Tenteram,07 to 09,85,Model A,2002,80,520000,Oct 2021
16,Jln Tenteram,07 to 09,86,Model A,2002,80,540000,Oct 2021
116A,Jln Tenteram,16 to 18,93,Model A,2017,95.17,735000,Oct 2021
116B,Jln Tenteram,25 to 27,93,Model A,2017,95.17,733000,Oct 2021
108,Mcnair Rd,01 to 03,103,Model A,1987,64.83,525000,Oct 2021
111,Mcnair Rd,10 to 12,104,Model A,1987,64.58,640000,Oct 2021
113C,Mcnair Rd,16 to 18,93,Premium Apartment,2017,95.17,888000,Oct 2021
104,Towner Rd,10 to 12,109,Model A,1983,60.67,678000,Oct 2021
2A,Upp Boon Keng Rd,07 to 09,90,Model A,2006,84.17,720000,Oct 2021
2B,Upp Boon Keng Rd,19 to 21,90,Model A,2006,84.08,800888,Oct 2021
3A,Upp Boon Keng Rd,22 to 24,90,Model A,2006,84,798000,Oct 2021
8C,Upp Boon Keng Rd,07 to 09,88,Premium Apartment,2017,94.83,810000,Oct 2021
15,Upp Boon Keng Rd,04 to 06,88,Improved,1975,52.42,476000,Oct 2021
100,Whampoa Dr,13 to 15,91,Improved,1974,51.5,448000,Oct 2021
17,Beach Rd,13 to 15,77,Improved,1975,52.42,500000,Sep 2021
9,Boon Keng Rd,16 to 18,95,Dbss,2011,88.42,845000,Sep 2021
39,Cambridge Rd,04 to 06,100,Model A,1997,75.17,710000,Sep 2021
49,Dorset Rd,07 to 09,102,New Generation,1979,56.83,590000,Sep 2021
12,Farrer Pk Rd,28 to 30,90,Model A,2004,81.83,754000,Sep 2021
59C,Geylang Bahru,13 to 15,102,Model A,1998,76.25,668000,Sep 2021
102,Jln Rajah,04 to 06,94,New Generation,1981,58.5,450000,Sep 2021
116A,Jln Tenteram,28 to 30,93,Model A,2017,95.25,738000,Sep 2021
116A,Jln Tenteram,22 to 24,93,Model A,2017,95.17,741888,Sep 2021
116A,Jln Tenteram,16 to 18,93,Model A,2017,95.25,760000,Sep 2021
116B,Jln Tenteram,16 to 18,93,Model A,2017,95.25,718000,Sep 2021
116B,Jln Tenteram,22 to 24,93,Model A,2017,95.17,742000,Sep 2021
117B,Jln Tenteram,16 to 18,93,Model A,2017,95.25,705000,Sep 2021
117B,Jln Tenteram,10 to 12,93,Model A,2017,95.25,708000,Sep 2021
117B,Jln Tenteram,10 to 12,93,Model A,2017,95.25,718000,Sep 2021
117B,Jln Tenteram,19 to 21,93,Model A,2017,95.17,722000,Sep 2021
117B,Jln Tenteram,25 to 27,93,Model A,2017,95.17,738000,Sep 2021
117B,Jln Tenteram,25 to 27,93,Model A,2017,95.25,740000,Sep 2021
113C,Mcnair Rd,04 to 06,93,Premium Apartment,2017,95.33,865000,Sep 2021
2C,Upp Boon Keng Rd,13 to 15,90,Model A,2006,84.17,715000,Sep 2021
2D,Upp Boon Keng Rd,01 to 03,90,Model A,2006,84,635000,Sep 2021
8A,Upp Boon Keng Rd,04 to 06,95,Premium Apartment,2017,94.92,840000,Sep 2021
8C,Upp Boon Keng Rd,01 to 03,88,Premium Apartment,2017,94.83,780000,Sep 2021
8C,Upp Boon Keng Rd,13 to 15,88,Premium Apartment,2017,94.92,850000,Sep 2021
14,Upp Boon Keng Rd,07 to 09,101,Model A,1999,76.75,640000,Sep 2021
15,Upp Boon Keng Rd,13 to 15,88,Improved,1975,52.5,430000,Sep 2021
83,Whampoa Dr,01 to 03,91,Improved,1974,51.42,368000,Sep 2021
101,Whampoa Dr,22 to 24,91,Improved,1974,51.58,450000,Sep 2021
104,Whampoa Dr,10 to 12,101,Model A,1998,76.17,617500,Sep 2021
17,Beach Rd,13 to 15,77,Improved,1975,52.5,490000,Aug 2021
10A,Bendemeer Rd,22 to 24,93,Model A,2017,95.42,845000,Aug 2021
6,Boon Keng Rd,01 to 03,108,Model A,1996,74.33,650000,Aug 2021
7,Boon Keng Rd,16 to 18,94,Dbss,2011,88.5,870000,Aug 2021
22,Boon Keng Rd,04 to 06,88,Improved,1974,51.5,450000,Aug 2021
11,Farrer Pk Rd,01 to 03,90,Model A,2004,81.92,630000,Aug 2021
12,Farrer Pk Rd,07 to 09,90,Model A,2004,81.92,735000,Aug 2021
59B,Geylang Bahru,13 to 15,102,Model A,1998,76.42,642000,Aug 2021
9,Gloucester Rd,10 to 12,91,New Generation,1976,54.33,525000,Aug 2021
16,Jln Tenteram,10 to 12,75,Model A,2002,80.17,463800,Aug 2021
116A,Jln Tenteram,04 to 06,93,Model A,2017,95.33,645000,Aug 2021
116A,Jln Tenteram,07 to 09,93,Model A,2017,95.33,708000,Aug 2021
116A,Jln Tenteram,19 to 21,93,Model A,2017,95.25,748000,Aug 2021
116B,Jln Tenteram,22 to 24,93,Model A,2017,95.33,725000,Aug 2021
116B,Jln Tenteram,16 to 18,93,Model A,2017,95.33,730000,Aug 2021
117B,Jln Tenteram,01 to 03,93,Model A,2017,95.25,655000,Aug 2021
108B,Mcnair Rd,19 to 21,90,Model A,2004,82.33,720000,Aug 2021
122,Mcnair Rd,07 to 09,83,Simplified,1987,64.75,515000,Aug 2021
122,Mcnair Rd,13 to 15,104,Model A,1987,64.75,590000,Aug 2021
4B,St. George's Lane,01 to 03,105,Model A,1996,74.42,570000,Aug 2021
9,St. George's Rd,04 to 06,84,Simplified,1985,62.75,425000,Aug 2021
683,Tessensohn Rd,04 to 06,103,Model A,1986,64.42,580000,Aug 2021
683,Tessensohn Rd,01 to 03,113,Model A,1986,64.42,628000,Aug 2021
2A,Upp Boon Keng Rd,10 to 12,85,Model A,2006,84.42,720888,Aug 2021
