block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
33,Marsiling Dr,01 to 03,98,New Generation,1978,55.25,350000,Nov 2021
618,Woodlands Ave 4,04 to 06,91,Model A2,1998,75.75,395000,Nov 2021
741,Woodlands Circle,07 to 09,102,Model A,1997,74.83,450000,Nov 2021
780C,Woodlands Cres,07 to 09,92,Model A,2015,92.83,488000,Nov 2021
523,Woodlands Dr 14,10 to 12,104,Premium Apartment,2000,77.67,448000,Nov 2021
588,Woodlands Dr 16,04 to 06,91,Model A,2001,78.5,473000,Nov 2021
889D,Woodlands Dr 50,04 to 06,93,Model A,2017,94.75,500000,Nov 2021
890B,Woodlands Dr 50,04 to 06,93,Model A,2017,94.75,508000,Nov 2021
554,Woodlands Dr 53,07 to 09,90,Model A2,1999,77.17,405000,Nov 2021
711,Woodlands Dr 70,07 to 09,101,Model A,1997,74.42,435888,Nov 2021
688F,Woodlands Dr 75,13 to 15,90,Premium Apartment,2004,81.5,438000,Nov 2021
437,Woodlands St 41,01 to 03,104,Model A,1996,73.83,400000,Nov 2021
801,Woodlands St 81,04 to 06,84,Simplified,1989,67,373000,Nov 2021
809,Woodlands St 81,04 to 06,106,Model A,1995,73.08,420000,Nov 2021
822,Woodlands St 82,01 to 03,111,Model A,1996,73.42,455000,Nov 2021
856,Woodlands St 83,10 to 12,106,Model A,1996,73.42,425000,Nov 2021
856,Woodlands St 83,07 to 09,106,Model A,1996,73.42,445000,Nov 2021
213,Marsiling Cres,01 to 03,104,Model A,1982,60.08,361000,Oct 2021
29,Marsiling Dr,13 to 15,97,New Generation,1979,57.08,360000,Oct 2021
33,Marsiling Dr,07 to 09,98,New Generation,1978,55.33,342000,Oct 2021
201,Marsiling Dr,04 to 06,91,New Generation,1980,58,340000,Oct 2021
337,Woodlands Ave 1,07 to 09,83,Simplified,1985,63.17,382000,Oct 2021
338,Woodlands Ave 1,04 to 06,84,Simplified,1989,67,380000,Oct 2021
