block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
426D,Yishun Ave 11,04 to 06,92,Model A,2015,92.42,450000,Nov 2021
439,Yishun Ave 11,10 to 12,84,Simplified,1988,65.83,370000,Nov 2021
507A,Yishun Ave 4,04 to 06,93,Model A,2018,95.58,510000,Nov 2021
508B,Yishun Ave 4,04 to 06,93,Model A,2018,95.5,490000,Nov 2021
389,Yishun Ave 6,01 to 03,84,Simplified,1988,65.75,338000,Nov 2021
389,Yishun Ave 6,10 to 12,84,Simplified,1988,65.58,380000,Nov 2021
433,Yishun Ave 6,07 to 09,104,Model A,1988,65.83,413000,Nov 2021
137,Yishun Ring Rd,01 to 03,93,New Generation,1985,62.25,370000,Nov 2021
794,Yishun Ring Rd,04 to 06,84,Simplified,1987,64.33,428000,Nov 2021
259,Yishun St 22,10 to 12,84,Simplified,1986,63.67,365000,Nov 2021
274,Yishun St 22,10 to 12,104,Model A,1986,63.33,450000,Nov 2021
505D,Yishun St 51,01 to 03,93,Model A,2016,93.42,465000,Nov 2021
511A,Yishun St 51,01 to 03,93,Model A,2017,94.83,460000,Nov 2021
512B,Yishun St 51,07 to 09,93,Model A,2017,94.83,500000,Nov 2021
635,Yishun St 61,07 to 09,84,Simplified,1987,64.83,378000,Nov 2021
752,Yishun St 72,10 to 12,91,New Generation,1984,61.5,460000,Nov 2021
431B,Yishun Ave 1,04 to 06,92,Model A,2015,93,430000,Oct 2021
431D,Yishun Ave 1,10 to 12,92,Model A,2015,93,485000,Oct 2021
343,Yishun Ave 11,10 to 12,104,Model A,1988,65.83,420000,Oct 2021
347A,Yishun Ave 11,13 to 15,92,Dbss,2013,91,632500,Oct 2021
347B,Yishun Ave 11,10 to 12,92,Dbss,2013,91,608000,Oct 2021
347B,Yishun Ave 11,07 to 09,92,Dbss,2013,91,628000,Oct 2021
348A,Yishun Ave 11,04 to 06,92,Dbss,2013,90.92,585000,Oct 2021
348A,Yishun Ave 11,13 to 15,92,Dbss,2013,91,620000,Oct 2021
348B,Yishun Ave 11,13 to 15,92,Dbss,2013,91,632000,Oct 2021
424C,Yishun Ave 11,01 to 03,92,Model A,2015,93.25,420000,Oct 2021
426B,Yishun Ave 11,07 to 09,92,Model A,2015,92.5,475888,Oct 2021
429A,Yishun Ave 11,04 to 06,92,Model A,2015,93.25,450000,Oct 2021
429A,Yishun Ave 11,04 to 06,92,Model A,2015,93.25,480000,Oct 2021
430A,Yishun Ave 11,07 to 09,92,Model A,2015,93.17,448000,Oct 2021
430A,Yishun Ave 11,10 to 12,92,Model A,2015,93.25,505000,Oct 2021
439,Yishun Ave 11,04 to 06,84,Simplified,1988,65.92,350000,Oct 2021
458,Yishun Ave 11,10 to 12,93,Model A,2013,90.92,468888,Oct 2021
506A,Yishun Ave 4,10 to 12,93,Model A,2018,95.58,518888,Oct 2021
506A,Yishun Ave 4,13 to 15,93,Model A,2018,95.58,520000,Oct 2021
508A,Yishun Ave 4,04 to 06,93,Model A,2018,95.58,475000,Oct 2021
671A,Yishun Ave 4,10 to 12,93,Model A,2018,95.33,525000,Oct 2021
862,Yishun Ave 4,10 to 12,105,Model A,1988,65.83,440000,Oct 2021
734,Yishun Ave 5,04 to 06,93,New Generation,1985,62.42,420000,Oct 2021
740,Yishun Ave 5,10 to 12,93,New Generation,1985,62.5,436000,Oct 2021
289,Yishun Ave 6,10 to 12,84,Simplified,1987,64.83,370000,Oct 2021
289,Yishun Ave 6,10 to 12,84,Simplified,1987,64.83,375000,Oct 2021
390,Yishun Ave 6,10 to 12,84,Simplified,1988,65.92,360000,Oct 2021
404,Yishun Ave 6,10 to 12,84,Simplified,1988,66,368000,Oct 2021
404,Yishun Ave 6,04 to 06,104,Model A,1988,66,428000,Oct 2021
170,Yishun Ave 7,01 to 03,104,Model A,1986,63.92,385000,Oct 2021
172,Yishun Ave 7,13 to 15,103,Model A,1988,65.83,455000,Oct 2021
174,Yishun Ave 7,10 to 12,84,Simplified,1987,65.17,363000,Oct 2021
315A,Yishun Ave 9,10 to 12,92,Model A,2015,93,510000,Oct 2021
316C,Yishun Ave 9,10 to 12,92,Model A,2015,93.08,480000,Oct 2021
317B,Yishun Ave 9,13 to 15,92,Model A,2015,93.08,475000,Oct 2021
317C,Yishun Ave 9,01 to 03,92,Model A,2015,93,465000,Oct 2021
318C,Yishun Ave 9,10 to 12,92,Model A,2015,93.08,485000,Oct 2021
302,Yishun Ctrl,04 to 06,108,Model A,1988,65.42,430000,Oct 2021
114,Yishun Ring Rd,01 to 03,104,Model A,1983,60.75,350000,Oct 2021
115C,Yishun Ring Rd,10 to 12,91,Model A,2001,78.75,420000,Oct 2021
309,Yishun Ring Rd,07 to 09,108,Model A,1995,72.42,440000,Oct 2021
311,Yishun Ring Rd,10 to 12,84,Simplified,1987,64.67,341888,Oct 2021
329,Yishun Ring Rd,10 to 12,84,Simplified,1988,65.33,376800,Oct 2021
342C,Yishun Ring Rd,10 to 12,96,Premium Apartment,2016,93.25,516000,Oct 2021
395,Yishun Ring Rd,04 to 06,104,Model A,1988,66,415000,Oct 2021
409,Yishun Ring Rd,04 to 06,104,Model A,1988,66.25,438000,Oct 2021
448,Yishun Ring Rd,10 to 12,92,Model A,2012,89.83,460000,Oct 2021
621,Yishun Ring Rd,07 to 09,107,Model A,1988,65.42,495000,Oct 2021
624,Yishun Ring Rd,04 to 06,83,Simplified,1987,64.5,418000,Oct 2021
799,Yishun Ring Rd,10 to 12,83,Simplified,1987,64.25,440000,Oct 2021
121,Yishun St 11,04 to 06,93,New Generation,1984,62.17,422000,Oct 2021
122,Yishun St 11,10 to 12,96,New Generation,1984,62.17,450000,Oct 2021
153,Yishun St 11,04 to 06,96,New Generation,1986,63.33,435000,Oct 2021
201,Yishun St 21,01 to 03,99,New Generation,1985,62.75,420000,Oct 2021
210,Yishun St 21,07 to 09,99,New Generation,1985,63,460000,Oct 2021
223,Yishun St 21,07 to 09,93,New Generation,1986,63.33,428000,Oct 2021
280,Yishun St 22,07 to 09,84,Simplified,1985,62.75,360000,Oct 2021
333A,Yishun St 31,10 to 12,92,Model A,2015,93.17,480000,Oct 2021
335B,Yishun St 31,04 to 06,92,Model A,2015,93.17,450000,Oct 2021
335B,Yishun St 31,07 to 09,92,Model A,2015,93.17,470000,Oct 2021
336B,Yishun St 31,04 to 06,92,Model A,2015,93.17,462000,Oct 2021
501B,Yishun St 51,07 to 09,92,Model A,2018,95.33,488000,Oct 2021
511A,Yishun St 51,01 to 03,93,Model A,2017,94.92,460000,Oct 2021
511C,Yishun St 51,07 to 09,93,Model A,2017,94.92,480000,Oct 2021
