block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
108,ANG MO KIO AVE 4,01 TO 03,67,New Generation,1978,60.58,250000,2017-01,0.211562,3 ROOM
602,ANG MO KIO AVE 5,01 TO 03,67,New Generation,1980,62.42,262000,2017-01,0.211562,3 ROOM
465,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1980,62.08,265000,2017-01,0.211562,3 ROOM
601,ANG MO KIO AVE 5,01 TO 03,67,New Generation,1980,62.42,265000,2017-01,0.211562,3 ROOM
150,ANG MO KIO AVE 5,01 TO 03,68,New Generation,1981,63,275000,2017-01,0.211562,3 ROOM
447,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1979,61.5,280000,2017-01,0.211562,3 ROOM
218,ANG MO KIO AVE 1,04 TO 06,67,New Generation,1976,58.33,285000,2017-01,0.211562,3 ROOM
447,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1979,61.5,285000,2017-01,0.211562,3 ROOM
571,ANG MO KIO AVE 3,01 TO 03,67,New Generation,1979,61.33,285000,2017-01,0.211562,3 ROOM
534,ANG MO KIO AVE 10,01 TO 03,68,New Generation,1980,62.08,288500,2017-01,0.211562,3 ROOM
233,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1977,59.67,295000,2017-01,0.211562,3 ROOM
235,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1977,59.67,295000,2017-01,0.211562,3 ROOM
219,ANG MO KIO AVE 1,07 TO 09,67,New Generation,1977,59.5,297000,2017-01,0.211562,3 ROOM
536,ANG MO KIO AVE 10,07 TO 09,68,New Generation,1980,62.08,298000,2017-01,0.211562,3 ROOM
230,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1978,60,298000,2017-01,0.211562,3 ROOM
570,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1979,61.33,300000,2017-01,0.211562,3 ROOM
624,ANG MO KIO AVE 4,04 TO 06,68,New Generation,1980,62.67,301000,2017-01,0.211562,3 ROOM
441,ANG MO KIO AVE 10,07 TO 09,67,New Generation,1979,61,306000,2017-01,0.211562,3 ROOM
625,ANG MO KIO AVE 9,04 TO 06,68,New Generation,1980,62.67,312000,2017-01,0.211562,3 ROOM
119,ANG MO KIO AVE 3,07 TO 09,67,New Generation,1978,60.83,312000,2017-01,0.211562,3 ROOM
255,ANG MO KIO AVE 4,04 TO 06,73,New Generation,1977,59.5,321000,2017-01,0.211562,3 ROOM
432,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1979,61,325000,2017-01,0.211562,3 ROOM
211,ANG MO KIO AVE 3,01 TO 03,67,New Generation,1977,59.25,325000,2017-01,0.211562,3 ROOM
584,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1979,61.42,328000,2017-01,0.211562,3 ROOM
118,ANG MO KIO AVE 4,07 TO 09,74,New Generation,1978,60.33,330000,2017-01,0.211562,3 ROOM
333,ANG MO KIO AVE 1,07 TO 09,68,New Generation,1981,63,330000,2017-01,0.211562,3 ROOM
256,ANG MO KIO AVE 4,10 TO 12,73,New Generation,1977,59.5,335000,2017-01,0.211562,3 ROOM
330,ANG MO KIO AVE 1,07 TO 09,68,New Generation,1981,63,338000,2017-01,0.211562,3 ROOM
557,ANG MO KIO AVE 10,10 TO 12,82,New Generation,1980,62,366000,2017-01,0.211562,3 ROOM
302,ANG MO KIO AVE 3,10 TO 12,73,New Generation,1978,60.25,373000,2017-01,0.211562,3 ROOM
575,ANG MO KIO AVE 10,07 TO 09,82,New Generation,1980,62,375000,2017-01,0.211562,3 ROOM
509,ANG MO KIO AVE 8,01 TO 03,81,New Generation,1980,62.42,390000,2017-01,0.211562,3 ROOM
180,ANG MO KIO AVE 5,01 TO 03,68,New Generation,1981,63.17,253000,2017-02,0.211562,3 ROOM
608,ANG MO KIO AVE 5,04 TO 06,67,New Generation,1980,62.33,270000,2017-02,0.211562,3 ROOM
605,ANG MO KIO AVE 5,04 TO 06,67,New Generation,1980,62.33,276000,2017-02,0.211562,3 ROOM
202,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1977,59.17,285000,2017-02,0.211562,3 ROOM
133,ANG MO KIO AVE 3,01 TO 03,73,New Generation,1979,61,290000,2017-02,0.211562,3 ROOM
108,ANG MO KIO AVE 4,07 TO 09,67,New Generation,1978,60.5,295000,2017-02,0.211562,3 ROOM
564,ANG MO KIO AVE 3,01 TO 03,68,New Generation,1985,66.92,300000,2017-02,0.211562,3 ROOM
465,ANG MO KIO AVE 10,07 TO 09,68,New Generation,1980,62,312000,2017-02,0.211562,3 ROOM
577,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1980,62,313000,2017-02,0.211562,3 ROOM
556,ANG MO KIO AVE 10,07 TO 09,68,New Generation,1980,61.92,315000,2017-02,0.211562,3 ROOM
319,ANG MO KIO AVE 1,01 TO 03,73,New Generation,1977,59.25,315000,2017-02,0.211562,3 ROOM
110,ANG MO KIO AVE 4,07 TO 09,67,New Generation,1978,60.5,315000,2017-02,0.211562,3 ROOM
126,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1978,60.58,316000,2017-02,0.211562,3 ROOM
120,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1978,60.67,320000,2017-02,0.211562,3 ROOM
