block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
341,BT BATOK ST 34,04 TO 06,73,Model A,1986,68,243000,2017-04,0.0901673,3 ROOM
259,BT BATOK EAST AVE 4,04 TO 06,69,New Generation,1985,67.25,255000,2017-04,0.0901673,3 ROOM
425,BT BATOK WEST AVE 2,01 TO 03,64,Simplified,1987,69.67,258000,2017-04,0.0901673,3 ROOM
321,BT BATOK ST 33,07 TO 09,68,New Generation,1986,67.92,260000,2017-04,0.0901673,3 ROOM
536,BT BATOK ST 52,10 TO 12,73,Model A,1986,68.33,260000,2017-04,0.0901673,3 ROOM
413,BT BATOK WEST AVE 4,04 TO 06,64,Simplified,1987,69.67,260000,2017-04,0.0901673,3 ROOM
267,BT BATOK EAST AVE 4,10 TO 12,64,Simplified,1987,68.75,265000,2017-04,0.0901673,3 ROOM
182,BT BATOK WEST AVE 8,04 TO 06,67,New Generation,1984,66.75,265000,2017-04,0.0901673,3 ROOM
231,BT BATOK EAST AVE 5,01 TO 03,67,New Generation,1985,67.17,268000,2017-04,0.0901673,3 ROOM
359,BT BATOK ST 31,01 TO 03,64,Simplified,1988,70.17,268000,2017-04,0.0901673,3 ROOM
316,BT BATOK ST 32,01 TO 03,68,New Generation,1986,67.75,270000,2017-04,0.0901673,3 ROOM
180,BT BATOK WEST AVE 8,07 TO 09,67,New Generation,1984,66.5,270000,2017-04,0.0901673,3 ROOM
230,BT BATOK EAST AVE 3,04 TO 06,67,New Generation,1985,67.5,274000,2017-04,0.0901673,3 ROOM
260,BT BATOK EAST AVE 4,04 TO 06,73,Model A,1985,67.17,278000,2017-04,0.0901673,3 ROOM
345,BT BATOK ST 34,04 TO 06,73,Model A,1987,68.92,278000,2017-04,0.0901673,3 ROOM
226,BT BATOK CTRL,04 TO 06,67,New Generation,1984,66.67,280000,2017-04,0.0901673,3 ROOM
