block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
116,BT MERAH VIEW,01 TO 03,59,Improved,1974,55.83,268000,2017-05,0.0901673,3 ROOM
43,TELOK BLANGAH RISE,07 TO 09,59,Improved,1976,57.92,290000,2017-05,0.0901673,3 ROOM
131,JLN BT MERAH,04 TO 06,65,Improved,1976,57.67,300000,2017-05,0.0901673,3 ROOM
16,TELOK BLANGAH CRES,04 TO 06,65,Improved,1975,56.92,306000,2017-05,0.0901673,3 ROOM
12,TAMAN HO SWEE,04 TO 06,54,Standard,1970,51.67,312000,2017-05,0.0901673,3 ROOM
142,JLN BT MERAH,10 TO 12,67,New Generation,1979,60.67,318000,2017-05,0.0901673,3 ROOM
28,HOY FATT RD,13 TO 15,60,Standard,1967,49.08,330000,2017-05,0.0901673,3 ROOM
12,TELOK BLANGAH CRES,13 TO 15,59,Improved,1975,56.92,330000,2017-05,0.0901673,3 ROOM
20,TELOK BLANGAH CRES,01 TO 03,76,Improved,1975,56.92,330000,2017-05,0.0901673,3 ROOM
146,JLN BT MERAH,07 TO 09,67,New Generation,1981,63.42,340000,2017-05,0.0901673,3 ROOM
12,TELOK BLANGAH CRES,07 TO 09,70,Improved,1975,56.92,340000,2017-05,0.0901673,3 ROOM
13,TELOK BLANGAH CRES,13 TO 15,65,Improved,1975,57.58,340000,2017-05,0.0901673,3 ROOM
119,BT MERAH VIEW,10 TO 12,65,Improved,1983,64.75,360000,2017-05,0.0901673,3 ROOM
119,BT MERAH VIEW,07 TO 09,65,Improved,1983,64.67,365000,2017-05,0.0901673,3 ROOM
119,BT MERAH VIEW,10 TO 12,65,Improved,1983,64.67,370000,2017-05,0.0901673,3 ROOM
104,BT PURMEI RD,07 TO 09,75,Model A,1984,65.92,380000,2017-05,0.0901673,3 ROOM
108,JLN BT MERAH,07 TO 09,74,Model A,1984,66.17,380000,2017-05,0.0901673,3 ROOM
148,SILAT AVE,10 TO 12,67,New Generation,1982,64.42,380888,2017-05,0.0901673,3 ROOM
18,TAMAN HO SWEE,07 TO 09,54,Standard,1970,51.67,405000,2017-05,0.0901673,3 ROOM
112,BT PURMEI RD,07 TO 09,74,Model A,1985,66.83,420000,2017-05,0.0901673,3 ROOM
4,EVERTON PK,07 TO 09,72,New Generation,1980,62.5,440000,2017-05,0.0901673,3 ROOM
13,CANTONMENT CL,01 TO 03,60,Model A,2003,84.67,449000,2017-05,0.0901673,3 ROOM
127A,KIM TIAN RD,31 TO 33,62,Model A,2013,94.75,540000,2017-05,0.0901673,3 ROOM
57,HAVELOCK RD,10 TO 12,69,Model A,2013,95,542800,2017-05,0.0901673,3 ROOM
127C,KIM TIAN RD,28 TO 30,62,Model A,2013,94.75,550000,2017-05,0.0901673,3 ROOM
80C,TELOK BLANGAH ST 31,10 TO 12,68,Premium Apartment,2013,95.25,553000,2017-05,0.0901673,3 ROOM
54,HAVELOCK RD,07 TO 09,69,Model A,2013,95,575000,2017-05,0.0901673,3 ROOM
38,KIM PONG RD,04 TO 06,88,Standard,1974,55.67,615000,2017-05,0.0901673,3 ROOM
34,KIM CHENG ST,01 TO 03,88,Standard,1973,54.67,668000,2017-05,0.0901673,3 ROOM
62,TELOK BLANGAH HTS,01 TO 03,73,New Generation,1976,58.25,280000,2017-06,0.0901673,3 ROOM
8,TELOK BLANGAH CRES,04 TO 06,59,Improved,1975,56.83,300000,2017-06,0.0901673,3 ROOM
113,JLN BT MERAH,10 TO 12,60,Standard,1969,50.58,308000,2017-06,0.0901673,3 ROOM
130,BT MERAH VIEW,01 TO 03,65,Improved,1973,55.08,308888,2017-06,0.0901673,3 ROOM
20,TELOK BLANGAH CRES,04 TO 06,65,Improved,1975,56.92,315000,2017-06,0.0901673,3 ROOM
101,BT PURMEI RD,07 TO 09,69,New Generation,1983,65.17,335000,2017-06,0.0901673,3 ROOM
77,TELOK BLANGAH DR,01 TO 03,67,New Generation,1978,59.58,335000,2017-06,0.0901673,3 ROOM
150,SILAT AVE,01 TO 03,67,New Generation,1982,64.17,340000,2017-06,0.0901673,3 ROOM
142,JLN BT MERAH,07 TO 09,67,New Generation,1979,60.58,342000,2017-06,0.0901673,3 ROOM
75,TELOK BLANGAH DR,10 TO 12,67,New Generation,1978,59.58,350000,2017-06,0.0901673,3 ROOM
101,BT PURMEI RD,10 TO 12,72,New Generation,1983,65.17,360000,2017-06,0.0901673,3 ROOM
24,BEO CRES,07 TO 09,59,Standard,1971,53.08,375000,2017-06,0.0901673,3 ROOM
22,HAVELOCK RD,13 TO 15,73,Standard,1969,51.08,405000,2017-06,0.0901673,3 ROOM
52,HAVELOCK RD,07 TO 09,69,Model A,2013,95,470000,2017-06,0.0901673,3 ROOM
13,CANTONMENT CL,07 TO 09,60,Model A,2003,84.67,480000,2017-06,0.0901673,3 ROOM
127C,KIM TIAN RD,16 TO 18,62,Model A,2013,94.67,543000,2017-06,0.0901673,3 ROOM
80B,TELOK BLANGAH ST 31,07 TO 09,67,Premium Apartment,2013,95.17,570000,2017-06,0.0901673,3 ROOM
52,HAVELOCK RD,19 TO 21,69,Model A,2013,94.92,590000,2017-06,0.0901673,3 ROOM
52,HAVELOCK RD,07 TO 09,69,Model A,2013,95,470000,2017-06,0.0901673,3 ROOM
33,TELOK BLANGAH WAY,07 TO 09,59,Improved,1976,57.75,265000,2017-07,0.0901673,3 ROOM
116,BT MERAH VIEW,01 TO 03,59,Improved,1974,55.67,270000,2017-07,0.0901673,3 ROOM
33,TELOK BLANGAH WAY,10 TO 12,59,Improved,1976,57.75,285000,2017-07,0.0901673,3 ROOM
22,TELOK BLANGAH CRES,10 TO 12,59,Improved,1975,56.83,295000,2017-07,0.0901673,3 ROOM
30,TELOK BLANGAH RISE,10 TO 12,59,Improved,1976,57.83,306000,2017-07,0.0901673,3 ROOM
130,BT MERAH VIEW,01 TO 03,65,Improved,1973,55,308000,2017-07,0.0901673,3 ROOM
16,TAMAN HO SWEE,04 TO 06,54,Standard,1970,51.5,310000,2017-07,0.0901673,3 ROOM
77,TELOK BLANGAH DR,07 TO 09,67,New Generation,1978,59.58,320000,2017-07,0.0901673,3 ROOM
107,BT PURMEI RD,04 TO 06,67,New Generation,1983,64.5,327888,2017-07,0.0901673,3 ROOM
