block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
67,CIRCUIT RD,01 TO 03,59,Standard,1969,50.17,220000,2017-11,0.0573088,3 ROOM
91,PAYA LEBAR WAY,04 TO 06,58,Improved,1972,53.92,222000,2017-11,0.0573088,3 ROOM
49,CIRCUIT RD,01 TO 03,56,Standard,1969,50.17,226000,2017-11,0.0573088,3 ROOM
58,CIRCUIT RD,04 TO 06,56,Standard,1969,50.17,230000,2017-11,0.0573088,3 ROOM
24,BALAM RD,04 TO 06,60,Standard,1967,48.17,233000,2017-11,0.0573088,3 ROOM
62,CIRCUIT RD,01 TO 03,56,Standard,1967,48.17,240000,2017-11,0.0573088,3 ROOM
91,PAYA LEBAR WAY,04 TO 06,58,Improved,1972,53.83,246000,2017-11,0.0573088,3 ROOM
93,PAYA LEBAR WAY,04 TO 06,58,Improved,1972,53.83,248000,2017-11,0.0573088,3 ROOM
24,BALAM RD,07 TO 09,60,Standard,1967,48.17,265000,2017-11,0.0573088,3 ROOM
16,EUNOS CRES,07 TO 09,59,Improved,1977,58.5,270000,2017-11,0.0573088,3 ROOM
19,EUNOS CRES,10 TO 12,76,Improved,1977,58.5,285000,2017-11,0.0573088,3 ROOM
302,UBI AVE 1,01 TO 03,64,Simplified,2000,81.58,292000,2017-11,0.0573088,3 ROOM
25,EUNOS CRES,10 TO 12,59,Improved,1977,58.5,295000,2017-11,0.0573088,3 ROOM
93,JLN DUA,01 TO 03,62,Standard,1969,50.17,300000,2017-11,0.0573088,3 ROOM
305,UBI AVE 1,01 TO 03,63,Simplified,2000,81.5,300000,2017-11,0.0573088,3 ROOM
99,ALJUNIED CRES,07 TO 09,67,New Generation,1978,59.17,300888,2017-11,0.0573088,3 ROOM
102,ALJUNIED CRES,07 TO 09,67,New Generation,1978,59.17,303000,2017-11,0.0573088,3 ROOM
111,ALJUNIED CRES,04 TO 06,67,New Generation,1978,59.17,310000,2017-11,0.0573088,3 ROOM
108,ALJUNIED CRES,01 TO 03,68,New Generation,1981,62.42,333000,2017-11,0.0573088,3 ROOM
325,UBI AVE 1,04 TO 06,64,Simplified,1985,66.92,338000,2017-11,0.0573088,3 ROOM
112,ALJUNIED CRES,07 TO 09,67,New Generation,1980,61.83,345000,2017-11,0.0573088,3 ROOM
