block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
703,HOUGANG AVE 2,07 TO 09,82,New Generation,1986,67.58,310000,2017-12,0.0573088,3 ROOM
21,HOUGANG AVE 3,01 TO 03,73,New Generation,1978,59.42,267000,2017-12,0.0573088,3 ROOM
21,HOUGANG AVE 3,04 TO 06,73,New Generation,1978,59.42,275000,2017-12,0.0573088,3 ROOM
667,HOUGANG AVE 4,01 TO 03,74,Model A,1987,68.5,310000,2017-12,0.0573088,3 ROOM
309,HOUGANG AVE 5,07 TO 09,67,New Generation,1982,63.83,290000,2017-12,0.0573088,3 ROOM
642,HOUGANG AVE 8,07 TO 09,60,Improved,1987,69,283000,2017-12,0.0573088,3 ROOM
620,HOUGANG AVE 8,10 TO 12,60,Improved,1985,66.67,260000,2017-12,0.0573088,3 ROOM
652,HOUGANG AVE 8,04 TO 06,60,Improved,1988,69.42,250000,2017-12,0.0573088,3 ROOM
689,HOUGANG ST 61,04 TO 06,74,Model A,1987,68.67,280000,2017-12,0.0573088,3 ROOM
689,HOUGANG ST 61,01 TO 03,74,Model A,1987,68.67,283000,2017-12,0.0573088,3 ROOM
642,HOUGANG AVE 8,01 TO 03,69,Improved,1987,68.92,255000,2018-01,0.0573088,3 ROOM
21,HOUGANG AVE 3,01 TO 03,73,New Generation,1978,59.42,262500,2018-01,0.0573088,3 ROOM
328,HOUGANG AVE 5,04 TO 06,67,New Generation,1983,64.58,285000,2018-01,0.0573088,3 ROOM
665,HOUGANG AVE 4,04 TO 06,74,Model A,1988,69.92,290000,2018-01,0.0573088,3 ROOM
623,HOUGANG AVE 8,07 TO 09,69,Improved,1985,66.67,290000,2018-01,0.0573088,3 ROOM
986A,BUANGKOK CRES,04 TO 06,67,Model A,2012,93.33,318500,2018-01,0.0573088,3 ROOM
23,HOUGANG AVE 3,07 TO 09,73,New Generation,1978,59.33,338000,2018-01,0.0573088,3 ROOM
644,HOUGANG AVE 8,07 TO 09,60,Improved,1987,68,260000,2018-02,0.0573088,3 ROOM
631,HOUGANG AVE 8,04 TO 06,60,Improved,1985,66.5,270000,2018-02,0.0573088,3 ROOM
154,HOUGANG ST 11,04 TO 06,67,New Generation,1984,65.83,270000,2018-02,0.0573088,3 ROOM
115,HOUGANG AVE 1,07 TO 09,67,New Generation,1981,62.58,273888,2018-02,0.0573088,3 ROOM
689,HOUGANG ST 61,04 TO 06,74,Model A,1987,68.5,280000,2018-02,0.0573088,3 ROOM
319,HOUGANG AVE 5,01 TO 03,67,New Generation,1983,64.42,293000,2018-02,0.0573088,3 ROOM
1,HOUGANG AVE 3,04 TO 06,59,Improved,1975,56.42,243000,2018-03,0.0573088,3 ROOM
252,HOUGANG AVE 3,04 TO 06,71,New Generation,1985,65.83,258000,2018-03,0.0573088,3 ROOM
116,HOUGANG AVE 1,07 TO 09,67,New Generation,1981,62.58,261000,2018-03,0.0573088,3 ROOM
317,HOUGANG AVE 7,01 TO 03,67,New Generation,1983,64.33,263000,2018-03,0.0573088,3 ROOM
696,HOUGANG ST 61,01 TO 03,74,Model A,1987,68.58,263000,2018-03,0.0573088,3 ROOM
252,HOUGANG AVE 3,07 TO 09,67,New Generation,1985,65.83,275000,2018-03,0.0573088,3 ROOM
677,HOUGANG AVE 8,07 TO 09,64,Simplified,1988,69.67,280000,2018-03,0.0573088,3 ROOM
116,HOUGANG AVE 1,10 TO 12,67,New Generation,1981,62.5,285000,2018-03,0.0573088,3 ROOM
623,HOUGANG AVE 8,07 TO 09,69,Improved,1985,66.5,285000,2018-03,0.0573088,3 ROOM
698,HOUGANG ST 61,04 TO 06,64,Simplified,1986,67.58,288000,2018-03,0.0573088,3 ROOM
22,HOUGANG AVE 3,01 TO 03,73,New Generation,1978,59.25,290000,2018-03,0.0573088,3 ROOM
123,HOUGANG AVE 1,10 TO 12,67,New Generation,1981,62.5,300000,2018-03,0.0573088,3 ROOM
631,HOUGANG AVE 8,10 TO 12,69,Improved,1985,66.5,320000,2018-03,0.0573088,3 ROOM
662,HOUGANG AVE 4,07 TO 09,74,Model A,1987,68.42,332000,2018-03,0.0573088,3 ROOM
2,HOUGANG AVE 3,10 TO 12,59,Improved,1975,56.33,230000,2018-04,0.0573088,3 ROOM
2,HOUGANG AVE 3,07 TO 09,59,Improved,1975,56.33,235000,2018-04,0.0573088,3 ROOM
645,HOUGANG AVE 8,10 TO 12,60,Improved,1987,67.75,258000,2018-04,0.0573088,3 ROOM
678,HOUGANG AVE 8,01 TO 03,64,Simplified,1988,69.67,260000,2018-04,0.0573088,3 ROOM
154,HOUGANG ST 11,04 TO 06,67,New Generation,1984,65.67,260000,2018-04,0.0573088,3 ROOM
112,HOUGANG AVE 1,01 TO 03,67,New Generation,1981,62.75,262000,2018-04,0.0573088,3 ROOM
242,HOUGANG ST 22,07 TO 09,67,New Generation,1984,65.5,268000,2018-04,0.0573088,3 ROOM
327,HOUGANG AVE 5,04 TO 06,67,New Generation,1983,63.92,280000,2018-04,0.0573088,3 ROOM
322,HOUGANG AVE 5,04 TO 06,67,New Generation,1983,63.92,290000,2018-04,0.0573088,3 ROOM
328,HOUGANG AVE 5,04 TO 06,67,New Generation,1983,64.25,298000,2018-04,0.0573088,3 ROOM
327,HOUGANG AVE 5,04 TO 06,67,New Generation,1983,63.92,309000,2018-04,0.0573088,3 ROOM
