block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
187,BOON LAY AVE,07 TO 09,59,Improved,1978,59.5,205000,2018-02,0.0901673,3 ROOM
119,HO CHING RD,10 TO 12,67,Improved,1972,52.92,212000,2018-02,0.0901673,3 ROOM
119,HO CHING RD,04 TO 06,67,Improved,1972,53,230000,2018-02,0.0901673,3 ROOM
207,BOON LAY PL,07 TO 09,65,Improved,1976,57.33,235000,2018-02,0.0901673,3 ROOM
210,BOON LAY PL,19 TO 21,65,Improved,1977,58.58,235000,2018-02,0.0901673,3 ROOM
121,YUAN CHING RD,01 TO 03,61,Improved,1974,55.33,235000,2018-02,0.0901673,3 ROOM
122,YUAN CHING RD,04 TO 06,61,Improved,1974,55.33,238000,2018-02,0.0901673,3 ROOM
929,JURONG WEST ST 92,01 TO 03,73,Model A,1989,69.92,245000,2018-02,0.0901673,3 ROOM
473,JURONG WEST ST 41,04 TO 06,67,New Generation,1984,65.83,253000,2018-02,0.0901673,3 ROOM
462,JURONG WEST ST 41,07 TO 09,73,Model A,1984,65.33,270000,2018-02,0.0901673,3 ROOM
939,JURONG WEST ST 91,04 TO 06,73,Model A,1989,70.08,270000,2018-02,0.0901673,3 ROOM
481,JURONG WEST ST 41,04 TO 06,67,New Generation,1985,66.17,273000,2018-02,0.0901673,3 ROOM
508,JURONG WEST ST 52,01 TO 03,74,Model A,1986,67.17,275000,2018-02,0.0901673,3 ROOM
939,JURONG WEST ST 91,07 TO 09,73,Model A,1989,70.08,275000,2018-02,0.0901673,3 ROOM
181A,BOON LAY DR,01 TO 03,68,Model A,2014,95.25,282000,2018-02,0.0901673,3 ROOM
338B,KANG CHING RD,04 TO 06,70,Model A,2012,93.08,308000,2018-02,0.0901673,3 ROOM
511,JURONG WEST ST 52,04 TO 06,74,Model A,1984,65.08,309000,2018-02,0.0901673,3 ROOM
525,JURONG WEST ST 52,07 TO 09,67,New Generation,1982,63.83,316000,2018-02,0.0901673,3 ROOM
180C,BOON LAY DR,13 TO 15,68,Model A,2014,95.25,330000,2018-02,0.0901673,3 ROOM
112,HO CHING RD,01 TO 03,67,Improved,1970,51.58,185000,2018-03,0.0901673,3 ROOM
185,BOON LAY AVE,19 TO 21,59,Improved,1975,56.58,200000,2018-03,0.0901673,3 ROOM
