block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
5,CHANGI VILLAGE RD,04 TO 06,66,Improved,1981,62.08,280000,2018-07,0.0901673,3 ROOM
1,CHANGI VILLAGE RD,04 TO 06,66,Improved,1980,61,300000,2018-07,0.0901673,3 ROOM
5,CHANGI VILLAGE RD,04 TO 06,66,Improved,1981,62,220000,2018-08,0.0901673,3 ROOM
1,CHANGI VILLAGE RD,01 TO 03,66,Improved,1980,60.67,275000,2018-11,0.0901673,3 ROOM
1,CHANGI VILLAGE RD,04 TO 06,67,Improved,1980,60.67,300000,2018-11,0.0901673,3 ROOM
1,CHANGI VILLAGE RD,01 TO 03,67,Improved,1980,59.92,270000,2019-08,0.0901673,3 ROOM
4,CHANGI VILLAGE RD,04 TO 06,66,Improved,1980,59.92,280000,2019-08,0.0901673,3 ROOM
527B,PASIR RIS ST 51,10 TO 12,68,Model A,2015,94.92,400000,2019-08,0.0901673,3 ROOM
5,CHANGI VILLAGE RD,01 TO 03,66,Improved,1981,60.75,180000,2019-10,0.0901673,3 ROOM
1,CHANGI VILLAGE RD,04 TO 06,66,Improved,1980,59.75,215000,2019-10,0.0901673,3 ROOM
527B,PASIR RIS ST 51,10 TO 12,68,Model A,2015,94.75,367000,2019-10,0.0901673,3 ROOM
528A,PASIR RIS ST 51,01 TO 03,68,Model A,2015,94.75,370000,2019-11,0.0901673,3 ROOM
527C,PASIR RIS ST 51,10 TO 12,68,Model A,2015,94.67,380000,2019-11,0.0901673,3 ROOM
528A,PASIR RIS ST 51,10 TO 12,68,Model A,2015,94.67,398000,2019-11,0.0901673,3 ROOM
5,CHANGI VILLAGE RD,04 TO 06,66,Improved,1981,60.58,280000,2019-12,0.0901673,3 ROOM
527B,PASIR RIS ST 51,13 TO 15,68,Model A,2015,94.58,378000,2019-12,0.0901673,3 ROOM
528A,PASIR RIS ST 51,13 TO 15,68,Model A,2015,94.58,384000,2019-12,0.0901673,3 ROOM
527C,PASIR RIS ST 51,04 TO 06,68,Model A,2015,94.58,370000,2019-12,0.0901673,3 ROOM
528A,PASIR RIS ST 51,07 TO 09,68,Model A,2015,94.58,385000,2019-12,0.0901673,3 ROOM
527B,PASIR RIS ST 51,07 TO 09,68,Model A,2015,94.58,372500,2020-01,0.0901673,3 ROOM
527B,PASIR RIS ST 51,04 TO 06,68,Model A,2015,94.58,404000,2020-01,0.0901673,3 ROOM
527B,PASIR RIS ST 51,04 TO 06,68,Model A,2015,94.5,368000,2020-01,0.0901673,3 ROOM
528A,PASIR RIS ST 51,04 TO 06,68,Model A,2015,94.5,380000,2020-01,0.0901673,3 ROOM
528A,PASIR RIS ST 51,07 TO 09,68,Model A,2015,94.5,380000,2020-01,0.0901673,3 ROOM
527D,PASIR RIS ST 51,04 TO 06,68,Model A,2015,94.5,380000,2020-01,0.0901673,3 ROOM
527D,PASIR RIS ST 51,07 TO 09,68,Model A,2015,94.42,380000,2020-02,0.0901673,3 ROOM
528A,PASIR RIS ST 51,04 TO 06,68,Model A,2015,94.42,380000,2020-02,0.0901673,3 ROOM
5,CHANGI VILLAGE RD,04 TO 06,66,Improved,1981,60.42,270800,2020-03,0.0901673,3 ROOM
527D,PASIR RIS ST 51,13 TO 15,68,Model A,2015,94.33,390000,2020-03,0.0901673,3 ROOM
527D,PASIR RIS ST 51,10 TO 12,68,Model A,2015,94.25,385000,2020-05,0.0901673,3 ROOM
527B,PASIR RIS ST 51,07 TO 09,68,Model A,2015,94.17,360000,2020-05,0.0901673,3 ROOM
527D,PASIR RIS ST 51,04 TO 06,68,Model A,2015,94.25,372000,2020-06,0.0901673,3 ROOM
527C,PASIR RIS ST 51,13 TO 15,68,Model A,2015,94.25,385000,2020-06,0.0901673,3 ROOM
527B,PASIR RIS ST 51,04 TO 06,68,Model A,2015,94.08,385000,2020-06,0.0901673,3 ROOM
527C,PASIR RIS ST 51,07 TO 09,68,Model A,2015,94.17,398000,2020-06,0.0901673,3 ROOM
527D,PASIR RIS ST 51,07 TO 09,68,Model A,2015,94.17,382000,2020-06,0.0901673,3 ROOM
528A,PASIR RIS ST 51,04 TO 06,68,Model A,2015,94,380000,2020-07,0.0901673,3 ROOM
5,CHANGI VILLAGE RD,04 TO 06,66,Improved,1981,60,277000,2020-07,0.0901673,3 ROOM
528A,PASIR RIS ST 51,13 TO 15,68,Model A,2015,94.08,385000,2020-07,0.0901673,3 ROOM
528A,PASIR RIS ST 51,01 TO 03,68,Model A,2015,94.08,370000,2020-07,0.0901673,3 ROOM
527C,PASIR RIS ST 51,10 TO 12,68,Model A,2015,94.08,410000,2020-07,0.0901673,3 ROOM
527B,PASIR RIS ST 51,01 TO 03,68,Model A,2015,94.25,360000,2020-07,0.0901673,3 ROOM
527D,PASIR RIS ST 51,07 TO 09,68,Model A,2015,94.08,378000,2020-07,0.0901673,3 ROOM
528A,PASIR RIS ST 51,01 TO 03,68,Model A,2015,94,375000,2020-07,0.0901673,3 ROOM
527D,PASIR RIS ST 51,01 TO 03,68,Model A,2015,94,378000,2020-07,0.0901673,3 ROOM
530B,PASIR RIS DR 1,04 TO 06,65,DBSS,2015,93.75,445000,2020-09,0.0901673,3 ROOM
530A,PASIR RIS DR 1,01 TO 03,65,DBSS,2015,93.75,401000,2020-09,0.0901673,3 ROOM
527D,PASIR RIS ST 51,13 TO 15,68,Model A,2015,93.92,390000,2020-09,0.0901673,3 ROOM
527D,PASIR RIS ST 51,07 TO 09,68,Model A,2015,93.83,392000,2020-10,0.0901673,3 ROOM
528A,PASIR RIS ST 51,10 TO 12,68,Model A,2015,93.83,380000,2020-10,0.0901673,3 ROOM
