block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
623B,PUNGGOL CTRL,07 TO 09,69,Model A,2014,94.92,323000,2018-06,0.0573088,3 ROOM
601D,PUNGGOL CTRL,01 TO 03,70,Model A,2012,93.17,325000,2018-06,0.0573088,3 ROOM
622B,PUNGGOL CTRL,13 TO 15,69,Model A,2014,94.92,335000,2018-06,0.0573088,3 ROOM
211C,PUNGGOL WALK,13 TO 15,67,Model A,2014,94.92,335000,2018-06,0.0573088,3 ROOM
622C,PUNGGOL CTRL,07 TO 09,69,Model A,2014,94.83,338000,2018-06,0.0573088,3 ROOM
208C,PUNGGOL PL,07 TO 09,67,Model A,2014,95.08,340000,2018-06,0.0573088,3 ROOM
210C,PUNGGOL PL,13 TO 15,67,Model A,2014,95.58,345000,2018-06,0.0573088,3 ROOM
601C,PUNGGOL CTRL,10 TO 12,70,Model A,2012,93.17,347000,2018-06,0.0573088,3 ROOM
208B,PUNGGOL PL,10 TO 12,67,Model A,2014,95.08,348000,2018-06,0.0573088,3 ROOM
288C,PUNGGOL PL,01 TO 03,70,Premium Apartment,2013,93.83,350000,2018-06,0.0573088,3 ROOM
207C,PUNGGOL PL,10 TO 12,67,Model A,2014,95.08,362000,2018-06,0.0573088,3 ROOM
209C,PUNGGOL PL,13 TO 15,67,Model A,2014,95.58,370000,2018-06,0.0573088,3 ROOM
288C,PUNGGOL PL,01 TO 03,70,Premium Apartment,2013,93.83,370000,2018-06,0.0573088,3 ROOM
208B,PUNGGOL PL,16 TO 18,67,Model A,2014,95.08,380000,2018-06,0.0573088,3 ROOM
305B,PUNGGOL RD,13 TO 15,67,Premium Apartment,2012,93.17,383000,2018-06,0.0573088,3 ROOM
602C,PUNGGOL CTRL,01 TO 03,70,Model A,2012,93.08,297500,2018-07,0.0573088,3 ROOM
623A,PUNGGOL CTRL,01 TO 03,69,Model A,2014,94.75,315000,2018-07,0.0573088,3 ROOM
288C,PUNGGOL PL,04 TO 06,72,Premium Apartment,2013,93.75,330000,2018-07,0.0573088,3 ROOM
208C,PUNGGOL PL,04 TO 06,67,Model A,2014,95,338000,2018-07,0.0573088,3 ROOM
210C,PUNGGOL PL,10 TO 12,67,Model A,2014,95.5,340000,2018-07,0.0573088,3 ROOM
209C,PUNGGOL PL,04 TO 06,67,Model A,2014,95.42,345000,2018-07,0.0573088,3 ROOM
622C,PUNGGOL CTRL,07 TO 09,69,Model A,2014,94.83,350000,2018-07,0.0573088,3 ROOM
622C,PUNGGOL CTRL,10 TO 12,69,Model A,2014,94.75,350000,2018-07,0.0573088,3 ROOM
624C,PUNGGOL CTRL,16 TO 18,69,Model A,2014,94.83,350000,2018-07,0.0573088,3 ROOM
289A,PUNGGOL PL,04 TO 06,73,Premium Apartment,2013,93.67,352000,2018-07,0.0573088,3 ROOM
623A,PUNGGOL CTRL,16 TO 18,69,Model A,2014,94.83,355000,2018-07,0.0573088,3 ROOM
601A,PUNGGOL CTRL,01 TO 03,70,Model A,2012,93,360000,2018-07,0.0573088,3 ROOM
208B,PUNGGOL PL,07 TO 09,67,Model A,2014,94.92,360000,2018-07,0.0573088,3 ROOM
209C,PUNGGOL PL,10 TO 12,67,Model A,2014,95.42,365000,2018-07,0.0573088,3 ROOM
211D,PUNGGOL WALK,10 TO 12,67,Model A,2014,94.75,365000,2018-07,0.0573088,3 ROOM
208C,PUNGGOL PL,16 TO 18,67,Model A,2014,95,369500,2018-07,0.0573088,3 ROOM
207C,PUNGGOL PL,13 TO 15,67,Model A,2014,94.92,370000,2018-07,0.0573088,3 ROOM
289A,PUNGGOL PL,10 TO 12,73,Premium Apartment,2013,93.75,375888,2018-07,0.0573088,3 ROOM
209C,PUNGGOL PL,13 TO 15,67,Model A,2014,95.42,378000,2018-07,0.0573088,3 ROOM
212A,PUNGGOL WALK,01 TO 03,67,Model A,2015,95.67,295000,2018-08,0.0573088,3 ROOM
289A,PUNGGOL PL,01 TO 03,73,Premium Apartment,2013,93.58,328000,2018-08,0.0573088,3 ROOM
211B,PUNGGOL WALK,13 TO 15,67,Model A,2014,94.67,342000,2018-08,0.0573088,3 ROOM
289A,PUNGGOL PL,01 TO 03,70,Premium Apartment,2013,93.58,345000,2018-08,0.0573088,3 ROOM
624C,PUNGGOL CTRL,10 TO 12,69,Model A,2014,94.75,350000,2018-08,0.0573088,3 ROOM
212B,PUNGGOL WALK,10 TO 12,67,Model A,2015,95.67,358000,2018-08,0.0573088,3 ROOM
209B,PUNGGOL PL,10 TO 12,67,Model A,2014,95.33,360000,2018-08,0.0573088,3 ROOM
210A,PUNGGOL PL,10 TO 12,67,Model A,2014,95.33,366000,2018-08,0.0573088,3 ROOM
208B,PUNGGOL PL,10 TO 12,67,Model A,2014,94.83,370000,2018-08,0.0573088,3 ROOM
305A,PUNGGOL RD,10 TO 12,69,Premium Apartment,2012,92.92,370000,2018-08,0.0573088,3 ROOM
211A,PUNGGOL WALK,10 TO 12,67,Model A,2014,94.67,370000,2018-08,0.0573088,3 ROOM
207C,PUNGGOL PL,16 TO 18,67,Model A,2014,94.83,385000,2018-08,0.0573088,3 ROOM
601B,PUNGGOL CTRL,01 TO 03,70,Model A,2012,92.92,316000,2018-09,0.0573088,3 ROOM
210C,PUNGGOL PL,04 TO 06,67,Model A,2014,95.33,325000,2018-09,0.0573088,3 ROOM
210B,PUNGGOL PL,04 TO 06,67,Model A,2014,95.25,330000,2018-09,0.0573088,3 ROOM
602A,PUNGGOL CTRL,04 TO 06,70,Model A,2012,92.92,342000,2018-09,0.0573088,3 ROOM
624C,PUNGGOL CTRL,07 TO 09,69,Model A,2014,94.58,345000,2018-09,0.0573088,3 ROOM
288C,PUNGGOL PL,04 TO 06,70,Premium Apartment,2013,93.5,345000,2018-09,0.0573088,3 ROOM
602A,PUNGGOL CTRL,13 TO 15,70,Model A,2012,92.83,358000,2018-09,0.0573088,3 ROOM
623B,PUNGGOL CTRL,10 TO 12,69,Model A,2014,94.58,360888,2018-09,0.0573088,3 ROOM
601B,PUNGGOL CTRL,16 TO 18,70,Model A,2012,92.92,367000,2018-09,0.0573088,3 ROOM
208B,PUNGGOL PL,13 TO 15,67,Model A,2014,94.75,368888,2018-09,0.0573088,3 ROOM
209C,PUNGGOL PL,10 TO 12,67,Model A,2014,95.25,369000,2018-09,0.0573088,3 ROOM
208C,PUNGGOL PL,04 TO 06,67,Model A,2014,94.67,310000,2018-10,0.0573088,3 ROOM
604C,PUNGGOL RD,01 TO 03,68,Model A,2012,92.92,310000,2018-10,0.0573088,3 ROOM
602B,PUNGGOL CTRL,04 TO 06,70,Model A,2012,92.83,315000,2018-10,0.0573088,3 ROOM
208A,PUNGGOL PL,01 TO 03,67,Model A,2014,94.75,320000,2018-10,0.0573088,3 ROOM
622A,PUNGGOL CTRL,01 TO 03,69,Model A,2014,94.5,321000,2018-10,0.0573088,3 ROOM
209C,PUNGGOL PL,04 TO 06,67,Model A,2014,95.25,330000,2018-10,0.0573088,3 ROOM
622B,PUNGGOL CTRL,04 TO 06,69,Model A,2014,94.5,333000,2018-10,0.0573088,3 ROOM
601D,PUNGGOL CTRL,07 TO 09,70,Model A,2012,92.75,342000,2018-10,0.0573088,3 ROOM
623A,PUNGGOL CTRL,07 TO 09,69,Model A,2014,94.5,343000,2018-10,0.0573088,3 ROOM
210C,PUNGGOL PL,13 TO 15,67,Model A,2014,95.25,348000,2018-10,0.0573088,3 ROOM
211A,PUNGGOL WALK,10 TO 12,67,Model A,2014,94.5,360888,2018-10,0.0573088,3 ROOM
208C,PUNGGOL PL,13 TO 15,67,Model A,2014,94.67,365000,2018-10,0.0573088,3 ROOM
211D,PUNGGOL WALK,10 TO 12,67,Model A,2014,94.58,365000,2018-10,0.0573088,3 ROOM
212B,PUNGGOL WALK,13 TO 15,67,Model A,2015,95.5,368000,2018-10,0.0573088,3 ROOM
211D,PUNGGOL WALK,13 TO 15,67,Model A,2014,94.5,369000,2018-10,0.0573088,3 ROOM
212B,PUNGGOL WALK,01 TO 03,67,Model A,2015,95.5,320000,2018-11,0.0573088,3 ROOM
306B,PUNGGOL PL,04 TO 06,67,Premium Apartment,2012,92.67,325000,2018-11,0.0573088,3 ROOM
212B,PUNGGOL WALK,07 TO 09,67,Model A,2015,95.5,340000,2018-11,0.0573088,3 ROOM
208A,PUNGGOL PL,04 TO 06,67,Model A,2014,94.58,342000,2018-11,0.0573088,3 ROOM
209A,PUNGGOL PL,07 TO 09,67,Model A,2014,95.17,345000,2018-11,0.0573088,3 ROOM
210B,PUNGGOL PL,10 TO 12,67,Model A,2014,95.08,370000,2018-11,0.0573088,3 ROOM
209B,PUNGGOL PL,07 TO 09,67,Model A,2014,95.17,380000,2018-11,0.0573088,3 ROOM
209B,PUNGGOL PL,07 TO 09,67,Model A,2014,95,360000,2018-12,0.0573088,3 ROOM
601C,PUNGGOL CTRL,10 TO 12,70,Model A,2012,92.58,344000,2018-12,0.0573088,3 ROOM
208A,PUNGGOL PL,04 TO 06,67,Model A,2014,94.58,360000,2018-12,0.0573088,3 ROOM
208B,PUNGGOL PL,01 TO 03,67,Model A,2014,94.58,338000,2018-12,0.0573088,3 ROOM
210C,PUNGGOL PL,13 TO 15,67,Model A,2014,95,348000,2018-12,0.0573088,3 ROOM
305B,PUNGGOL RD,10 TO 12,69,Premium Apartment,2012,92.58,360000,2018-12,0.0573088,3 ROOM
211D,PUNGGOL WALK,13 TO 15,67,Model A,2014,94.42,375000,2018-12,0.0573088,3 ROOM
212B,PUNGGOL WALK,04 TO 06,67,Model A,2015,95.42,330000,2018-12,0.0573088,3 ROOM
212A,PUNGGOL WALK,04 TO 06,67,Model A,2015,95.33,315000,2018-12,0.0573088,3 ROOM
212B,PUNGGOL WALK,07 TO 09,67,Model A,2015,95.33,343000,2018-12,0.0573088,3 ROOM
601A,PUNGGOL CTRL,10 TO 12,70,Model A,2012,92.5,320000,2019-01,0.0573088,3 ROOM
622A,PUNGGOL CTRL,10 TO 12,69,Model A,2014,94.25,330000,2019-01,0.0573088,3 ROOM
266C,PUNGGOL WAY,01 TO 03,67,Model A,2015,95.42,341000,2019-01,0.0573088,3 ROOM
208A,PUNGGOL PL,04 TO 06,67,Model A,2014,94.42,343888,2019-01,0.0573088,3 ROOM
622A,PUNGGOL CTRL,16 TO 18,69,Model A,2014,94.25,355000,2019-01,0.0573088,3 ROOM
210B,PUNGGOL PL,10 TO 12,67,Model A,2014,95,365000,2019-01,0.0573088,3 ROOM
624C,PUNGGOL CTRL,16 TO 18,69,Model A,2014,94.42,368888,2019-01,0.0573088,3 ROOM
288B,PUNGGOL PL,07 TO 09,70,Premium Apartment,2013,93.17,370000,2019-01,0.0573088,3 ROOM
289B,PUNGGOL PL,07 TO 09,70,Premium Apartment,2013,93.17,370000,2019-01,0.0573088,3 ROOM
289B,PUNGGOL PL,16 TO 18,70,Premium Apartment,2013,93.17,390000,2019-01,0.0573088,3 ROOM
212B,PUNGGOL WALK,10 TO 12,67,Model A,2015,95.17,338000,2019-02,0.0573088,3 ROOM
210B,PUNGGOL PL,01 TO 03,67,Model A,2014,94.83,340000,2019-02,0.0573088,3 ROOM
613B,PUNGGOL DR,13 TO 15,68,Model A,2012,92.83,353000,2019-02,0.0573088,3 ROOM
208B,PUNGGOL PL,10 TO 12,67,Model A,2014,94.42,370000,2019-02,0.0573088,3 ROOM
288C,PUNGGOL PL,04 TO 06,72,Premium Apartment,2013,93.08,372000,2019-02,0.0573088,3 ROOM
211D,PUNGGOL WALK,07 TO 09,67,Model A,2014,94.17,372000,2019-02,0.0573088,3 ROOM
209B,PUNGGOL PL,07 TO 09,67,Model A,2014,94.75,333000,2019-03,0.0573088,3 ROOM
623A,PUNGGOL CTRL,07 TO 09,69,Model A,2014,94.17,335000,2019-03,0.0573088,3 ROOM
602C,PUNGGOL CTRL,07 TO 09,70,Model A,2012,92.33,340000,2019-03,0.0573088,3 ROOM
210C,PUNGGOL PL,04 TO 06,67,Model A,2014,94.75,340000,2019-03,0.0573088,3 ROOM
212B,PUNGGOL WALK,10 TO 12,67,Model A,2015,95.08,342000,2019-03,0.0573088,3 ROOM
210C,PUNGGOL PL,16 TO 18,67,Model A,2014,94.75,343000,2019-03,0.0573088,3 ROOM
212A,PUNGGOL WALK,10 TO 12,67,Model A,2015,95.08,350000,2019-03,0.0573088,3 ROOM
212A,PUNGGOL WALK,10 TO 12,67,Model A,2015,95.08,353000,2019-03,0.0573088,3 ROOM
211D,PUNGGOL WALK,13 TO 15,67,Model A,2014,94.08,370000,2019-03,0.0573088,3 ROOM
266C,PUNGGOL WAY,16 TO 18,67,Model A,2015,95.25,396000,2019-03,0.0573088,3 ROOM
209A,PUNGGOL PL,01 TO 03,67,Model A,2014,94.75,327000,2019-04,0.0573088,3 ROOM
210C,PUNGGOL PL,01 TO 03,67,Model A,2014,94.75,345000,2019-04,0.0573088,3 ROOM
622B,PUNGGOL CTRL,07 TO 09,69,Model A,2014,94.08,347000,2019-04,0.0573088,3 ROOM
266C,PUNGGOL WAY,01 TO 03,67,Model A,2015,95.17,350000,2019-04,0.0573088,3 ROOM
210C,PUNGGOL PL,07 TO 09,67,Model A,2014,94.67,350000,2019-04,0.0573088,3 ROOM
210C,PUNGGOL PL,10 TO 12,67,Model A,2014,94.67,352000,2019-04,0.0573088,3 ROOM
266C,PUNGGOL WAY,10 TO 12,67,Model A,2015,95.17,368000,2019-04,0.0573088,3 ROOM
266B,PUNGGOL WAY,13 TO 15,67,Model A,2015,95.17,370000,2019-04,0.0573088,3 ROOM
