block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
92,C'WEALTH DR,07 TO 09,60,Standard,1967,47.5,250000,2018-07,0.0573088,3 ROOM
93,C'WEALTH DR,01 TO 03,60,Standard,1967,47.5,258000,2018-07,0.0573088,3 ROOM
162,MEI LING ST,07 TO 09,66,Improved,1970,50.5,280000,2018-07,0.0573088,3 ROOM
89,C'WEALTH DR,04 TO 06,60,Standard,1967,47.5,285000,2018-07,0.0573088,3 ROOM
170,STIRLING RD,13 TO 15,60,Improved,1970,51.08,285000,2018-07,0.0573088,3 ROOM
3,GHIM MOH RD,07 TO 09,65,Improved,1976,57.08,295000,2018-07,0.0573088,3 ROOM
19,GHIM MOH RD,04 TO 06,65,Improved,1977,57.83,300000,2018-07,0.0573088,3 ROOM
93,C'WEALTH DR,07 TO 09,60,Standard,1967,47.58,302000,2018-07,0.0573088,3 ROOM
154,MEI LING ST,10 TO 12,67,Improved,1970,50.5,313000,2018-07,0.0573088,3 ROOM
20,DOVER CRES,07 TO 09,65,Improved,1978,58.5,320000,2018-07,0.0573088,3 ROOM
161,MEI LING ST,04 TO 06,72,Improved,1970,51.08,320000,2018-07,0.0573088,3 ROOM
93,C'WEALTH DR,07 TO 09,68,Standard,1967,47.58,340000,2018-07,0.0573088,3 ROOM
23A,QUEEN'S CL,10 TO 12,65,Improved,1973,53.83,340000,2018-07,0.0573088,3 ROOM
5,GHIM MOH RD,13 TO 15,65,Improved,1976,57.08,343000,2018-07,0.0573088,3 ROOM
160,MEI LING ST,13 TO 15,72,Improved,1970,51.08,350000,2018-07,0.0573088,3 ROOM
6,HOLLAND CL,10 TO 12,65,Improved,1974,54.83,352000,2018-07,0.0573088,3 ROOM
6,HOLLAND CL,19 TO 21,65,Improved,1974,54.92,352000,2018-07,0.0573088,3 ROOM
161,MEI LING ST,07 TO 09,72,Improved,1970,51.08,362000,2018-07,0.0573088,3 ROOM
4,HOLLAND CL,16 TO 18,73,Improved,1974,54.92,370000,2018-07,0.0573088,3 ROOM
160,MEI LING ST,16 TO 18,72,Improved,1970,51,370000,2018-07,0.0573088,3 ROOM
6,HOLLAND CL,19 TO 21,65,Improved,1974,54.92,380000,2018-07,0.0573088,3 ROOM
161,MEI LING ST,16 TO 18,72,Improved,1970,51,380000,2018-07,0.0573088,3 ROOM
4,HOLLAND CL,04 TO 06,65,Improved,1974,54.92,380000,2018-07,0.0573088,3 ROOM
5,GHIM MOH RD,01 TO 03,76,Improved,1976,57,390000,2018-07,0.0573088,3 ROOM
21,DOVER CRES,13 TO 15,73,Improved,1976,57.08,408000,2018-07,0.0573088,3 ROOM
2,HOLLAND AVE,22 TO 24,65,Improved,1974,54.92,420000,2018-07,0.0573088,3 ROOM
12,HOLLAND AVE,19 TO 21,65,Improved,1975,55.5,428000,2018-07,0.0573088,3 ROOM
50,C'WEALTH DR,01 TO 03,63,Model A,2015,95.58,445000,2018-07,0.0573088,3 ROOM
28C,DOVER CRES,13 TO 15,69,Model A,2012,92.75,478000,2018-07,0.0573088,3 ROOM
62B,STRATHMORE AVE,01 TO 03,69,Model A,2011,92.17,489000,2018-07,0.0573088,3 ROOM
50,C'WEALTH DR,01 TO 03,68,Model A,2015,95.58,500000,2018-07,0.0573088,3 ROOM
53,C'WEALTH DR,04 TO 06,63,Model A,2015,95.58,520000,2018-07,0.0573088,3 ROOM
51,C'WEALTH DR,10 TO 12,63,Model A,2015,95.67,560000,2018-07,0.0573088,3 ROOM
