block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
180A,RIVERVALE CRES,07 TO 09,67,Model A,2015,95.58,300000,2018-09,0.0573088,3 ROOM
180D,RIVERVALE CRES,10 TO 12,67,Model A,2015,95.5,305000,2018-09,0.0573088,3 ROOM
447B,JLN KAYU,04 TO 06,67,Model A,2013,94.17,330000,2018-09,0.0573088,3 ROOM
430C,FERNVALE LINK,16 TO 18,67,Model A,2015,95.75,348000,2018-09,0.0573088,3 ROOM
432B,SENGKANG WEST WAY,25 TO 27,67,Model A,2014,95.17,350000,2018-09,0.0573088,3 ROOM
211D,COMPASSVALE LANE,10 TO 12,68,Model A,2013,93.42,360000,2018-09,0.0573088,3 ROOM
433A,SENGKANG WEST WAY,25 TO 27,67,Model A,2014,95.17,360000,2018-09,0.0573088,3 ROOM
180D,RIVERVALE CRES,01 TO 03,67,Model A,2015,95.42,296000,2018-10,0.0573088,3 ROOM
450A,SENGKANG WEST WAY,01 TO 03,67,Model A,2014,94.75,305000,2018-10,0.0573088,3 ROOM
180A,RIVERVALE CRES,16 TO 18,67,Model A,2015,95.42,318000,2018-10,0.0573088,3 ROOM
448A,SENGKANG WEST WAY,16 TO 18,67,Model A,2014,94.75,329000,2018-10,0.0573088,3 ROOM
448A,SENGKANG WEST WAY,19 TO 21,67,Model A,2014,94.75,340000,2018-10,0.0573088,3 ROOM
432A,SENGKANG WEST WAY,10 TO 12,67,Model A,2014,95,345000,2018-10,0.0573088,3 ROOM
448B,SENGKANG WEST WAY,13 TO 15,67,Model A,2014,94.75,345000,2018-10,0.0573088,3 ROOM
450C,SENGKANG WEST WAY,22 TO 24,67,Model A,2014,94.75,348000,2018-10,0.0573088,3 ROOM
433A,SENGKANG WEST WAY,13 TO 15,67,Model A,2014,95,350000,2018-10,0.0573088,3 ROOM
209C,COMPASSVALE LANE,13 TO 15,67,Model A,2011,92.08,352000,2018-10,0.0573088,3 ROOM
209B,COMPASSVALE LANE,16 TO 18,67,Model A,2011,92,354000,2018-11,0.0573088,3 ROOM
180B,RIVERVALE CRES,01 TO 03,67,Model A,2015,95.33,290000,2018-11,0.0573088,3 ROOM
180D,RIVERVALE CRES,16 TO 18,67,Model A,2015,95.33,315000,2018-11,0.0573088,3 ROOM
430B,FERNVALE LINK,07 TO 09,67,Model A,2015,95.5,322000,2018-11,0.0573088,3 ROOM
443B,FERNVALE RD,04 TO 06,67,Model A,2012,93,328000,2018-11,0.0573088,3 ROOM
441D,FERNVALE RD,16 TO 18,69,Model A,2012,92.25,330000,2018-11,0.0573088,3 ROOM
448A,SENGKANG WEST WAY,13 TO 15,67,Model A,2014,94.67,334000,2018-11,0.0573088,3 ROOM
430C,FERNVALE LINK,16 TO 18,67,Model A,2015,95.58,345000,2018-11,0.0573088,3 ROOM
450C,SENGKANG WEST WAY,13 TO 15,67,Model A,2014,94.67,353000,2018-11,0.0573088,3 ROOM
436D,FERNVALE RD,16 TO 18,70,Model A,2010,90.33,356000,2018-11,0.0573088,3 ROOM
448B,SENGKANG WEST WAY,22 TO 24,67,Model A,2014,94.67,358000,2018-11,0.0573088,3 ROOM
209B,COMPASSVALE LANE,07 TO 09,67,Model A,2011,92,360000,2018-11,0.0573088,3 ROOM
430B,FERNVALE LINK,19 TO 21,67,Model A,2015,95.42,345000,2018-12,0.0573088,3 ROOM
430C,FERNVALE LINK,13 TO 15,67,Model A,2015,95.42,340000,2018-12,0.0573088,3 ROOM
180D,RIVERVALE CRES,13 TO 15,67,Model A,2015,95.33,320000,2018-12,0.0573088,3 ROOM
450B,SENGKANG WEST WAY,04 TO 06,67,Model A,2014,94.58,320000,2018-12,0.0573088,3 ROOM
450A,SENGKANG WEST WAY,04 TO 06,67,Model A,2014,94.58,315000,2018-12,0.0573088,3 ROOM
432A,SENGKANG WEST WAY,16 TO 18,67,Model A,2014,94.83,345000,2018-12,0.0573088,3 ROOM
448A,SENGKANG WEST WAY,04 TO 06,67,Model A,2014,94.5,300000,2019-01,0.0573088,3 ROOM
180D,RIVERVALE CRES,04 TO 06,67,Model A,2015,95.17,305000,2019-01,0.0573088,3 ROOM
180D,RIVERVALE CRES,13 TO 15,67,Model A,2015,95.17,315000,2019-01,0.0573088,3 ROOM
448A,SENGKANG WEST WAY,13 TO 15,67,Model A,2014,94.58,318000,2019-01,0.0573088,3 ROOM
450B,SENGKANG WEST WAY,22 TO 24,67,Model A,2014,94.5,325000,2019-01,0.0573088,3 ROOM
439C,SENGKANG WEST AVE,07 TO 09,69,Model A,2011,91.08,327000,2019-01,0.0573088,3 ROOM
180D,RIVERVALE CRES,13 TO 15,67,Model A,2015,95.17,328500,2019-01,0.0573088,3 ROOM
447B,JLN KAYU,16 TO 18,67,Model A,2013,93.83,333000,2019-01,0.0573088,3 ROOM
445A,FERNVALE RD,25 TO 27,68,Model A,2012,92.92,338000,2019-01,0.0573088,3 ROOM
430C,FERNVALE LINK,13 TO 15,67,Model A,2015,95.33,340000,2019-01,0.0573088,3 ROOM
450B,SENGKANG WEST WAY,13 TO 15,67,Model A,2014,94.58,352000,2019-01,0.0573088,3 ROOM
433A,SENGKANG WEST WAY,19 TO 21,67,Model A,2014,94.75,356000,2019-01,0.0573088,3 ROOM
450A,SENGKANG WEST WAY,22 TO 24,67,Model A,2014,94.5,356000,2019-01,0.0573088,3 ROOM
180B,RIVERVALE CRES,01 TO 03,67,Model A,2015,95.08,295000,2019-02,0.0573088,3 ROOM
450C,SENGKANG WEST WAY,04 TO 06,67,Model A,2014,94.5,310000,2019-02,0.0573088,3 ROOM
