block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
22,MARSILING DR,04 TO 06,67,New Generation,1977,57.33,194000,2019-02,0.0573088,3 ROOM
129,MARSILING RISE,01 TO 03,60,Improved,1985,64.92,200000,2019-02,0.0573088,3 ROOM
1,MARSILING DR,01 TO 03,65,Improved,1974,54.42,208000,2019-02,0.0573088,3 ROOM
23,MARSILING DR,07 TO 09,82,New Generation,1977,57.75,226000,2019-02,0.0573088,3 ROOM
6,MARSILING DR,10 TO 12,65,Improved,1976,56,230000,2019-02,0.0573088,3 ROOM
212,MARSILING CRES,10 TO 12,74,Model A,1983,63.08,240000,2019-02,0.0573088,3 ROOM
145,WOODLANDS ST 13,10 TO 12,68,New Generation,1985,65.08,253000,2019-02,0.0573088,3 ROOM
149,WOODLANDS ST 13,07 TO 09,68,New Generation,1985,65.08,255000,2019-02,0.0573088,3 ROOM
161,WOODLANDS ST 13,04 TO 06,73,Model A,1990,70.17,275000,2019-02,0.0573088,3 ROOM
160,WOODLANDS ST 13,07 TO 09,73,Model A,1990,70.33,280000,2019-02,0.0573088,3 ROOM
570A,WOODLANDS AVE 1,04 TO 06,67,Model A,2013,93.83,290000,2019-02,0.0573088,3 ROOM
886D,WOODLANDS DR 50,10 TO 12,67,Premium Apartment,2015,95.08,322000,2019-02,0.0573088,3 ROOM
780B,WOODLANDS CRES,04 TO 06,67,Model A,2015,95.42,325000,2019-02,0.0573088,3 ROOM
887B,WOODLANDS DR 50,13 TO 15,67,Premium Apartment,2015,95,335000,2019-02,0.0573088,3 ROOM
12,MARSILING LANE,07 TO 09,76,Improved,1976,56,200000,2019-03,0.0573088,3 ROOM
17,MARSILING LANE,01 TO 03,65,Improved,1984,64.67,210000,2019-03,0.0573088,3 ROOM
15,MARSILING LANE,04 TO 06,65,Improved,1976,55.83,220000,2019-03,0.0573088,3 ROOM
206,MARSILING DR,01 TO 03,68,New Generation,1981,61.08,225000,2019-03,0.0573088,3 ROOM
206,MARSILING DR,04 TO 06,68,New Generation,1981,61.08,225000,2019-03,0.0573088,3 ROOM
782C,WOODLANDS CRES,04 TO 06,67,Model A,2015,95.25,240000,2019-03,0.0573088,3 ROOM
101,WOODLANDS ST 13,01 TO 03,67,New Generation,1985,65.17,255000,2019-03,0.0573088,3 ROOM
419,WOODLANDS ST 41,01 TO 03,68,New Generation,1995,75.58,268000,2019-03,0.0573088,3 ROOM
780A,WOODLANDS CRES,07 TO 09,67,Model A,2015,95.42,275000,2019-03,0.0573088,3 ROOM
151,WOODLANDS ST 13,07 TO 09,73,Model A,1985,65,276000,2019-03,0.0573088,3 ROOM
571C,WOODLANDS AVE 1,07 TO 09,67,Model A,2013,93.67,280000,2019-03,0.0573088,3 ROOM
12A,MARSILING LANE,19 TO 21,67,Model A,2013,93.25,295000,2019-03,0.0573088,3 ROOM
160,WOODLANDS ST 13,10 TO 12,73,Model A,1990,70.17,295000,2019-03,0.0573088,3 ROOM
570A,WOODLANDS AVE 1,07 TO 09,67,Model A,2013,93.67,295000,2019-03,0.0573088,3 ROOM
780C,WOODLANDS CRES,13 TO 15,67,Model A,2015,95.33,309000,2019-03,0.0573088,3 ROOM
886C,WOODLANDS DR 50,07 TO 09,67,Premium Apartment,2015,94.92,310000,2019-03,0.0573088,3 ROOM
886C,WOODLANDS DR 50,07 TO 09,67,Premium Apartment,2015,94.92,310000,2019-03,0.0573088,3 ROOM
886A,WOODLANDS DR 50,10 TO 12,67,Premium Apartment,2015,94.92,315000,2019-03,0.0573088,3 ROOM
780B,WOODLANDS CRES,13 TO 15,67,Model A,2015,95.33,320000,2019-03,0.0573088,3 ROOM
15,MARSILING LANE,01 TO 03,65,Improved,1976,55.83,183500,2019-04,0.0573088,3 ROOM
12,MARSILING LANE,01 TO 03,76,Improved,1976,55.92,196000,2019-04,0.0573088,3 ROOM
213,MARSILING CRES,01 TO 03,74,Model A,1982,62.5,200000,2019-04,0.0573088,3 ROOM
6,MARSILING DR,07 TO 09,65,Improved,1976,55.75,208000,2019-04,0.0573088,3 ROOM
131,MARSILING RISE,04 TO 06,60,Improved,1985,64.75,210000,2019-04,0.0573088,3 ROOM
12,MARSILING LANE,10 TO 12,65,Improved,1976,55.92,212000,2019-04,0.0573088,3 ROOM
31,MARSILING DR,04 TO 06,73,New Generation,1977,57.08,215000,2019-04,0.0573088,3 ROOM
2,MARSILING DR,04 TO 06,65,Improved,1974,54.25,220000,2019-04,0.0573088,3 ROOM
145,WOODLANDS ST 13,04 TO 06,68,New Generation,1985,64.92,230000,2019-04,0.0573088,3 ROOM
213,MARSILING CRES,10 TO 12,74,Model A,1982,62.5,238000,2019-04,0.0573088,3 ROOM
204,MARSILING DR,10 TO 12,68,New Generation,1981,61,238000,2019-04,0.0573088,3 ROOM
30,MARSILING DR,04 TO 06,73,New Generation,1977,57,243000,2019-04,0.0573088,3 ROOM
166,WOODLANDS ST 13,04 TO 06,67,New Generation,1986,66.5,250000,2019-04,0.0573088,3 ROOM
402,WOODLANDS ST 41,01 TO 03,68,New Generation,1995,75.17,260000,2019-04,0.0573088,3 ROOM
887C,WOODLANDS DR 50,01 TO 03,67,Premium Apartment,2015,94.83,270000,2019-04,0.0573088,3 ROOM
780A,WOODLANDS CRES,01 TO 03,67,Model A,2015,95.25,280000,2019-04,0.0573088,3 ROOM
157,WOODLANDS ST 13,07 TO 09,73,Model A,1985,64.92,290000,2019-04,0.0573088,3 ROOM
570B,WOODLANDS AVE 1,07 TO 09,67,Model A,2013,93.58,300000,2019-04,0.0573088,3 ROOM
780C,WOODLANDS CRES,07 TO 09,67,Model A,2015,95.25,300000,2019-04,0.0573088,3 ROOM
780F,WOODLANDS CRES,07 TO 09,67,Model A,2015,95.25,300000,2019-04,0.0573088,3 ROOM
6,MARSILING DR,07 TO 09,65,Improved,1976,55.67,198000,2019-05,0.0573088,3 ROOM
131,MARSILING RISE,01 TO 03,69,Improved,1985,64.67,215000,2019-05,0.0573088,3 ROOM
2,MARSILING DR,13 TO 15,65,Improved,1974,54.25,230000,2019-05,0.0573088,3 ROOM
30,MARSILING DR,07 TO 09,73,New Generation,1977,57,230000,2019-05,0.0573088,3 ROOM
149,WOODLANDS ST 13,10 TO 12,68,New Generation,1985,64.83,260200,2019-05,0.0573088,3 ROOM
166,WOODLANDS ST 13,01 TO 03,82,New Generation,1986,66.33,265000,2019-05,0.0573088,3 ROOM
111,WOODLANDS ST 13,01 TO 03,78,Model A,1995,74.67,275000,2019-05,0.0573088,3 ROOM
782C,WOODLANDS CRES,04 TO 06,67,Model A,2015,95.08,280000,2019-05,0.0573088,3 ROOM
12A,MARSILING LANE,10 TO 12,67,Model A,2013,93.08,281000,2019-05,0.0573088,3 ROOM
782C,WOODLANDS CRES,10 TO 12,67,Model A,2015,95.08,305000,2019-05,0.0573088,3 ROOM
886A,WOODLANDS DR 50,04 TO 06,67,Premium Apartment,2015,94.75,312888,2019-05,0.0573088,3 ROOM
12A,MARSILING LANE,22 TO 24,67,Model A,2013,93.08,315000,2019-05,0.0573088,3 ROOM
24,MARSILING DR,07 TO 09,67,New Generation,1977,57,197000,2019-06,0.0573088,3 ROOM
13,MARSILING LANE,07 TO 09,65,Improved,1976,55.75,197288,2019-06,0.0573088,3 ROOM
1,MARSILING DR,04 TO 06,65,Improved,1974,54.08,220000,2019-06,0.0573088,3 ROOM
1,MARSILING DR,04 TO 06,65,Improved,1974,54.08,221000,2019-06,0.0573088,3 ROOM
18,MARSILING LANE,01 TO 03,60,Improved,1987,67.25,223000,2019-06,0.0573088,3 ROOM
12,MARSILING LANE,10 TO 12,65,Improved,1976,55.83,225000,2019-06,0.0573088,3 ROOM
1,MARSILING DR,10 TO 12,76,Improved,1974,54.08,225000,2019-06,0.0573088,3 ROOM
204,MARSILING DR,01 TO 03,82,New Generation,1981,60.83,228000,2019-06,0.0573088,3 ROOM
15,MARSILING LANE,04 TO 06,65,Improved,1976,55.58,233000,2019-06,0.0573088,3 ROOM
212,MARSILING CRES,07 TO 09,74,Model A,1983,62.67,235000,2019-06,0.0573088,3 ROOM
204,MARSILING DR,10 TO 12,68,New Generation,1981,60.83,235000,2019-06,0.0573088,3 ROOM
204,MARSILING DR,13 TO 15,68,New Generation,1981,60.83,236000,2019-06,0.0573088,3 ROOM
782C,WOODLANDS CRES,01 TO 03,67,Model A,2015,95.08,240000,2019-06,0.0573088,3 ROOM
152,WOODLANDS ST 13,01 TO 03,73,Model A,1985,64.75,246800,2019-06,0.0573088,3 ROOM
780A,WOODLANDS CRES,04 TO 06,67,Model A,2015,95.17,280000,2019-06,0.0573088,3 ROOM
780A,WOODLANDS CRES,10 TO 12,67,Model A,2015,95.08,295000,2019-06,0.0573088,3 ROOM
886C,WOODLANDS DR 50,10 TO 12,67,Premium Apartment,2015,94.67,300000,2019-06,0.0573088,3 ROOM
886B,WOODLANDS DR 50,07 TO 09,67,Premium Apartment,2015,94.67,306888,2019-06,0.0573088,3 ROOM
887B,WOODLANDS DR 50,10 TO 12,67,Premium Apartment,2015,94.67,310000,2019-06,0.0573088,3 ROOM
570B,WOODLANDS AVE 1,04 TO 06,67,Model A,2013,93.42,315000,2019-06,0.0573088,3 ROOM
886C,WOODLANDS DR 50,13 TO 15,67,Premium Apartment,2015,94.67,322000,2019-06,0.0573088,3 ROOM
886A,WOODLANDS DR 50,16 TO 18,67,Premium Apartment,2015,94.67,325000,2019-06,0.0573088,3 ROOM
886A,WOODLANDS DR 50,10 TO 12,67,Premium Apartment,2015,94.67,328000,2019-06,0.0573088,3 ROOM
