Mall,lat,lng
100 AM Singapore,1.2750063,103.8435656
313@Somerset Singapore,1.300898,103.838361
Aperia Singapore,1.310458,103.8641669
Balestier Hill Shopping Centre Singapore,1.3258546,103.8428618
Bugis Cube Singapore,1.2981918,103.8556572
Bugis Junction Singapore,1.2993754,103.8555261
Bugis+ Singapore,1.2995955,103.8542191
Capitol Piazza Singapore,1.2929876,103.8511619
Cathay Cineleisure Orchard Singapore,1.301527,103.8363441
Clarke Quay Central Singapore,1.2890252,103.8466098
The Centrepoint Singapore,1.3015383,103.8401372
City Square Mall Singapore,1.3114516,103.8561608
City Gate Mall Singapore,1.3022509,103.8625132
CityLink Mall Singapore,1.2913005,103.8551976
Duo Singapore,1.2992641,103.8579913
Far East Plaza Singapore,1.307547,103.8336949
Funan Singapore,1.2912647,103.8501932
Great World City Singapore,1.2936417,103.8319293
HDB Hub Singapore,1.3323583,103.8479611
Holland Village Shopping Mall Singapore,1.3102049,103.7953005
ION Orchard Singapore,1.3039288,103.8319512
Junction 8 Singapore,1.3506808,103.8487631
Knightsbridge Singapore,1.3030644,103.8361853
Liat Towers Singapore,1.3051925,103.8305905
Lucky Plaza Singapore,1.3045795,103.8340621
Marina Bay Sands Singapore,1.2846547,103.8609937
The Shoppes at Marina Bay Sands Singapore,1.2842759,103.8600338
Marina Bay Link Mall Singapore,1.2795303,103.8543391
Marina Square Singapore,1.2911534,103.8576778
Millenia Walk Singapore,1.2928181,103.8598344
Mustafa Shopping Centre Singapore,1.309637,103.8558162
Ngee Ann City Singapore,1.3025572,103.834568
Orchard Central Singapore,1.3006295,103.8398742
Orchard Gateway Singapore,1.300459,103.8393516
Orchard Plaza Singapore,1.3048205,103.8321984
Midpoint Orchard Singapore,1.3015954,103.8386169
Palais Renaissance Singapore,1.3067391,103.829583
People's Park Centre Singapore,1.2857964,103.8440022
People's Park Complex Singapore,1.2841977,103.8425488
Plaza Singapura Singapore,1.3005317,103.8452356
PoMo Singapore,1.3001949,103.8492265
Raffles City Singapore,1.29401,103.8531473
Scotts Square Singapore,1.3058788,103.8329554
Shaw House and Centre Singapore,1.3062932,103.8318472
Sim Lim Square Singapore,1.3030433,103.8529208
Singapore Shopping Centre Singapore,1.2980833,103.8440979
The South Beach Singapore,1.2944688,103.8557929
Square 2 Singapore,1.3208322,103.8441474
Sunshine Plaza[ Singapore,1.3004038,103.8511253
Suntec City Singapore,1.29503,103.8583026
Tanglin Mall[ Singapore,1.3048437,103.8238278
Tanjong Pagar Centre Singapore,1.276951,103.8458291
Tekka Centre Singapore,1.306251,103.850654
The Adelphi Singapore,1.2911845,103.8512167
The Paragon Singapore,1.3039633,103.8360565
Tiong Bahru Plaza Singapore,1.2862842,103.8277824
The Poiz[ Singapore,1.3310663,103.8674327
Thomson Plaza Singapore,1.3548,103.8308
United Square[ Singapore,1.3171849,103.8436045
Velocity@Novena Square Singapore,1.3200049,103.8439137
Wheelock Place Singapore,1.3047145,103.8305375
Wisma Atria Singapore,1.3037148,103.8332642
Zhongshan Mall[ Singapore,1.3270618,103.8464431
Bedok Mall Singapore,1.3243963,103.9293061
Bedok Point Singapore,1.3249305,103.9323811
Century Square Singapore,1.3523888,103.9438567
Our Tampines Hub Singapore,1.3531079,103.9403612
Changi City Point Singapore,1.3342732,103.9627387
Downtown East Singapore,1.3776279,103.9546233
Djitsun Mall Bedok Singapore,1.3261273,103.9295407
Eastpoint Mall Singapore,1.3427145,103.9530415
Jewel Changi Airport Singapore,1.3602082,103.9897593
KINEX (formerly OneKM) Singapore,1.3147221,103.8947554
Katong Shopping Centre Singapore,1.303903,103.9011732
Katong Square[ Singapore,1.3047255,103.9046894
Kallang Wave Mall Singapore,1.3032243,103.8728714
Leisure Park Kallang Singapore,1.3023423,103.8765402
i12 Katong Singapore,1.3052934,103.9051599
Parkway Parade Singapore,1.3013366,103.9052333
Paya Lebar Square Singapore,1.3191484,103.8925321
Paya Lebar Quarter (PLQ) Singapore,1.3175284,103.8928037
Roxy Square[ Singapore,1.3044974,103.9028598
Singpost Centre[ Singapore,1.318903,103.894049
Tampines 1 Singapore,1.3540351,103.9453692
Tampines Mall Singapore,1.3522589,103.9450627
White Sands Singapore,1.3724166,103.9496584
City Plaza[ Singapore,1.3147665,103.8934127
Elias Mall[ Singapore,1.3783052,103.9418722
Loyang Point[ Singapore,1.3669795,103.9645538
888 Plaza[ Singapore,1.438178,103.7955224
Admiralty Place Singapore,1.4398814,103.8007278
AMK Hub Singapore,1.36953,103.8484398
Canberra Plaza Singapore,1.443306,103.8305883
Causeway Point Singapore,1.4360933,103.7859471
Woodlands Civic Centre Singapore,1.4349053,103.78678
Broadway Plaza Singapore,1.3719487,103.8459981
Djitsun Mall Singapore,1.3728776,103.8477199
Jubilee Square Singapore,1.3717025,103.8476215
Marsiling Mall Singapore,1.4334272,103.7797206
Northpoint City Singapore,1.4293478,103.8358671
Sembawang Shopping Centre Singapore,1.4418355,103.8248907
Sun Plaza Singapore,1.4482678,103.8196887
Vista Point Singapore,1.4308341,103.7940801
Wisteria Mall Singapore,1.418208,103.8411267
Woodlands Mart Singapore,1.4459095,103.7979427
Woodlands North Plaza Singapore,1.4426674,103.7907333
Waterway Point Singapore,1.4066991,103.9023987
Compass One Singapore,1.3920064,103.89505
Hougang Mall Singapore,1.3725894,103.8937225
Heartland Mall Singapore,1.359469,103.8851289
NEX Singapore,1.3504646,103.8727453
Greenwich V Singapore,1.3874274,103.8690715
Hougang 1 Singapore,1.3760614,103.8791547
Hougang Green Shopping Mall Singapore,1.3795596,103.8880715
myVillage At Serangoon Garden Singapore,1.3650699,103.8652075
Northshore Plaza Singapore,1.4185687,103.9061276
Oasis Terraces Singapore,1.4023703,103.9132022
Punggol Plaza Singapore,1.394228,103.913016
Rivervale Mall Singapore,1.3922624,103.9044463
Rivervale Plaza Singapore,1.385387,103.9018653
The Seletar Mall Singapore,1.3915208,103.8760834
Buangkok Square Singapore,1.3847829,103.8819612
Upper Serangoon Shopping Centre Singapore,1.3576474,103.8824703
Beauty World Centre Singapore,1.342311,103.7763425
Beauty World Plaza Singapore,1.3417496,103.7761978
Bukit Panjang Plaza Singapore,1.3800396,103.7642339
Bukit Timah Plaza Singapore,1.3387468,103.7786758
Fajar Shopping Centre Singapore,1.3838672,103.7705214
Greenridge Shopping Centre Singapore,1.3854081,103.7663598
Hillion Mall Singapore,1.3774142,103.7719498
HillV2 Singapore,1.363354,103.7643204
Junction 10 Singapore,1.3803079,103.7601697
Keat Hong Shopping Centre Singapore,1.3767665,103.74459
Limbang Shopping Centre Singapore,1.3920533,103.7433578
Lot One Singapore,1.3851169,103.7449142
Rail Mall Singapore,1.3581599,103.7678472
Sunshine Place Singapore,1.3782168,103.739034
Teck Whye Shopping Centre Singapore,1.3811374,103.7523181
West Mall Singapore,1.3500565,103.749223
Yew Tee Point Singapore,1.39716,103.7468352
Yew Tee Square Singapore,1.3980053,103.7468974
VivoCity Singapore,1.2644032,103.8222071
HarbourFront Centre Singapore,1.2643689,103.8200727
Alexandra Retail Centre Singapore,1.2739139,103.8015008
321 Clementi Singapore,1.311991,103.765006
The Clementi Mall Singapore,1.314918,103.7643089
IMM Singapore,1.3348154,103.7468395
JCube Singapore,1.3333104,103.7401991
Jem Singapore,1.3334945,103.7437122
Westgate Singapore,1.3345013,103.7426077
Jurong Point Singapore,1.3397443,103.7067297
Pioneer Mall Singapore,1.3418699,103.6973858
The Star Vista Singapore,1.3068072,103.7883997
Alexandra Central Singapore,1.2873768,103.8052016
Anchorpoint Singapore,1.2887706,103.8050762
OD Mall Singapore,1.3380084,103.7934418
Boon Lay Shopping Centre Singapore,1.34665,103.7119519
Grantral Mall Singapore,1.3142983,103.7651586
Fairprice Hub Singapore,1.3266567,103.678899
Gek Poh Shopping Centre Singapore,1.3487594,103.6974711
Rochester Mall Singapore,1.3055784,103.7882008
Taman Jurong Shopping Centre Singapore,1.334643,103.7204943
West Coast Plaza Singapore,1.303702,103.7659312
Queensway Shopping Centre Singapore,1.2875526,103.8034685
