MRT,lat,lng
Canberra MRT,1.443283,103.829575
Marina Bay MRT,1.2760574,103.8548902
Tanah Merah MRT,1.3272444,103.9464897
Bedok MRT,1.3239319,103.9296448
Kembangan MRT,1.3209998,103.9129039
Eunos MRT,1.3197342,103.9028883
Paya Lebar MRT,1.3181607,103.8931436
Aljunied MRT,1.31643,103.88291
Kallang MRT,1.3114865,103.8713507
Lavender MRT,1.3073198,103.8629375
Bugis MRT,1.3001701,103.8561248
Jurong East MRT,1.3331441,103.7423401
Chinese Garden MRT,1.3424249,103.7325924
Lakeside MRT,1.3443083,103.7208642
Boon Lay MRT,1.3384284,103.7059287
Yio Chu Kang MRT,1.3816929,103.8450516
Ang Mo Kio MRT,1.36993,103.84956
Bishan MRT,1.3508449,103.8481737
Braddell MRT,1.3406792,103.8472157
Toa Payoh MRT,1.3323297,103.8474252
Changi Airport MRT,1.35731,103.98836
Caldecott MRT,1.337716,103.8398365
Botanic Gardens MRT,1.3223117,103.8149268
Farrer Road MRT,1.3175983,103.8074697
Holland Village MRT,1.3111457,103.7961408
Buona Vista MRT,1.3072117,103.7905994
one-north MRT,1.2998113,103.7875947
Kent Ridge MRT,1.29346,103.78463
Haw Par Villa MRT,1.283106,103.7819799
Pasir Panjang MRT,1.2760684,103.7919037
Labrador Park MRT,1.27233,103.80294
Telok Blangah MRT,1.2707282,103.8098786
HarbourFront MRT,1.2654726,103.8214431
Yew Tee MRT,1.3975657,103.7474517
Kranji MRT,1.4252268,103.7620278
Marsiling MRT,1.43251,103.77407
Woodlands MRT,1.43696,103.78648
Admiralty MRT,1.44059,103.80099
Sembawang MRT,1.44909,103.820049
Expo MRT,1.3344041,103.9614807
Bukit Batok MRT,1.349061,103.7495977
Bukit Gombak MRT,1.3589147,103.7518308
Choa Chu Kang MRT,1.3848277,103.7445257
Novena MRT,1.32044,103.84383
Newton MRT,1.31377,103.83806
Orchard MRT,1.3040026,103.8317667
Somerset MRT,1.3005159,103.8385
Dhoby Ghaut MRT,1.2989432,103.8455015
City Hall MRT,1.2931159,103.8520125
Raffles Place MRT,1.2830173,103.8513365
Tanjong Pagar MRT,1.27652,103.84586
Outram Park MRT,1.2814265,103.8391803
Tiong Bahru MRT,1.285734,103.8269413
Redhill MRT,1.2893577,103.8169911
Queenstown MRT,1.294207,103.8060752
Commonwealth MRT,1.3023957,103.7983157
Clementi MRT,1.3154228,103.7650786
Bayfront MRT,1.2813386,103.8589551
Buangkok MRT,1.3829831,103.8933556
Pasir Ris MRT,1.3732127,103.949277
Tampines MRT,1.3533166,103.945221
Simei MRT,1.3431679,103.9533581
Bras Basah MRT,1.2976541,103.850506
Esplanade MRT,1.2940432,103.8554093
Promenade MRT,1.2940693,103.8602713
Nicoll Highway MRT,1.3002063,103.8634707
Stadium MRT,1.30284,103.87535
Mountbatten MRT,1.3060844,103.8831531
Dakota MRT,1.30841,103.888814
MacPherson MRT,1.3267117,103.8899851
Tai Seng MRT,1.3358756,103.8877164
Gul Circle MRT,1.3188497,103.6603681
Tuas Crescent MRT,1.3210113,103.6489969
Tuas West Road MRT,1.3298353,103.6393239
Tuas Link MRT,1.3402502,103.6367189
Dover MRT,1.3113849,103.7786069
Yishun MRT,1.4294431,103.835005
Khatib MRT,1.4173483,103.8329731
Chinatown MRT,1.2847875,103.8439312
Clarke Quay MRT,1.288477,103.846756
Little India MRT,1.3062896,103.8493919
Farrer Park MRT,1.31236,103.85418
Boon Keng MRT,1.3200375,103.861623
Potong Pasir MRT,1.3311575,103.8690734
Serangoon MRT,1.3499214,103.8734606
Kovan MRT,1.359746,103.8842776
Hougang MRT,1.3716089,103.8929679
Sengkang MRT,1.3916609,103.8954533
Punggol MRT,1.40517,103.9023559
Woodleigh MRT,1.3387655,103.870496
Fort Canning MRT,1.2924361,103.8442123
Bencoolen MRT,1.2985238,103.8499
Jalan Besar MRT,1.3056519,103.8553192
Bendemeer MRT,1.3135724,103.8632588
Geylang Bahru MRT,1.3214834,103.8716214
Mattar MRT,1.3268461,103.8833045
Ubi MRT,1.3299501,103.8989888
Kaki Bukit MRT,1.3349196,103.908965
Bedok North MRT,1.3352441,103.9180455
Bedok Reservoir MRT,1.33661,103.93223
Tampines West MRT,1.3455617,103.9382061
Tampines East MRT,1.3555824,103.9552009
Upper Changi MRT,1.34174,103.96147
Downtown MRT,1.2795384,103.852985
