iter	RMSE
0	114116.5583
1	111090.9225
2	108044.5444
3	105146.4076
4	102293.1391
5	99564.57961
6	97004.22511
7	94498.42747
8	92453.60514
9	90447.1864
10	88296.07602
11	86318.92697
12	84569.65541
13	82628.56599
14	80926.19214
15	79246.52198
16	77331.81735
17	75767.65509
18	74230.68101
19	72777.2937
20	71403.70417
21	70179.54166
22	69037.70773
23	67687.11378
24	66625.87705
25	65617.39379
26	64497.51021
27	63567.1504
28	62336.33684
29	61433.8599
30	60416.74022
31	59792.86492
32	59000.47583
33	57966.19154
34	57091.99779
35	56365.59424
36	55647.80846
37	54913.35944
38	54200.24621
39	53553.25617
40	52798.58732
41	52288.05495
42	51904.5444
43	51357.42973
44	50970.81885
45	50433.11558
46	49883.63945
47	49509.8257
48	49142.07738
49	48816.2147
50	48322.99087
51	48003.65792
52	47735.78701
53	47146.39852
54	46724.88659
55	46414.47827
56	46073.58522
57	45715.6999
58	45448.76616
59	45221.65127
60	44903.58718
61	44661.44912
62	44352.60537
63	44031.03974
64	43811.75885
65	43514.77338
66	43259.1502
67	43032.35105
68	42724.73059
69	42497.26424
70	42170.3144
71	42028.46256
72	41774.46716
73	41631.33211
74	41517.65903
75	41266.86107
76	41092.6291
77	40850.35083
78	40705.46639
79	40494.92738
80	40338.23378
81	40199.44951
82	39985.31049
83	39822.96453
84	39707.19015
85	39576.53143
86	39365.79663
87	39211.17657
88	39048.63401
89	38942.35707
90	38841.40426
91	38733.45017
92	38623.14268
93	38452.42344
94	38343.88172
95	38171.51654
96	37983.01979
97	37890.92653
98	37715.49389
99	37619.69788
100	37472.6584
101	37325.33965
102	37224.22995
103	37100.87947
104	37028.32619
105	36968.91012
106	36823.00671
107	36755.94042
108	36635.72841
109	36557.93496
110	36439.22714
111	36347.60014
112	36252.23443
113	36174.80085
114	36106.09945
115	35945.35044
116	35853.46021
117	35717.34914
118	35611.34334
119	35527.82685
120	35447.51694
121	35387.25093
122	35300.0263
123	35271.60632
124	35200.04449
125	35148.06338
126	35085.61513
127	35027.68741
128	34953.6881
129	34884.87316
130	34803.94787
131	34730.52475
132	34681.26828
133	34633.93183
134	34561.35045
135	34488.12661
136	34442.76234
137	34404.2573
138	34270.12145
139	34178.53635
140	34127.15034
141	34003.38718
142	33942.84845
143	33884.6932
144	33751.96058
145	33709.6486
146	33649.61117
147	33553.87029
148	33455.8507
149	33392.00895
150	33341.18948
151	33237.14644
152	33182.85417
153	33132.31483
154	33081.24394
155	33005.77569
156	32916.86301
157	32852.97207
158	32792.06136
159	32742.25543
160	32709.15481
161	32643.9355
162	32593.3004
163	32557.38908
164	32529.67317
165	32472.93197
166	32408.27363
167	32368.40688
168	32308.12951
169	32244.6163
170	32133.11915
171	32065.7759
172	31977.94513
173	31953.89959
174	31862.55133
175	31804.8926
176	31727.61402
177	31670.60148
178	31618.59087
179	31554.01419
180	31506.81009
181	31465.1365
182	31429.09528
183	31384.58939
184	31364.03228
185	31302.79159
186	31264.59475
187	31227.84708
188	31189.58006
189	31148.02417
190	31091.7154
191	31022.8129
192	30999.93132
193	30927.11575
194	30855.28221
195	30777.0377
196	30727.98639
197	30677.84975
198	30639.009
199	30588.04447
200	30527.50137
201	30461.32845
202	30421.59439
203	30377.73804
204	30351.43716
205	30313.86226
206	30248.09107
207	30187.88227
208	30157.67171
209	30107.75633
210	30056.082
211	30041.86612
212	29995.36076
213	29958.66971
214	29904.67716
215	29836.89237
216	29802.80959
217	29728.93522
218	29689.49823
219	29656.67489
220	29608.08878
221	29571.67041
222	29509.06902
223	29456.70576
224	29425.40237
225	29375.06265
226	29311.42665
227	29268.48477
228	29238.92356
229	29197.3367
230	29154.84267
231	29102.47449
232	29065.01485
233	28997.24436
234	28962.59161
235	28928.2395
236	28883.33821
237	28813.49118
238	28754.79049
239	28741.20546
240	28706.30107
241	28688.5108
242	28674.12606
243	28632.61505
244	28547.65865
245	28533.16577
246	28511.33373
247	28441.40344
248	28417.46547
249	28375.56044
250	28308.50971
251	28268.03992
252	28251.30191
253	28208.37172
254	28175.65552
255	28119.00065
256	28067.82769
257	28043.13285
258	28024.33669
259	28002.97243
260	27961.47907
261	27920.88277
262	27862.64917
263	27814.06792
264	27801.78158
265	27754.44641
266	27743.80109
267	27699.84578
268	27673.40252
269	27615.75797
270	27571.61175
271	27537.51118
272	27506.3497
273	27468.53477
274	27403.08771
275	27349.9167
276	27339.74543
277	27285.95601
278	27255.90922
279	27228.06017
280	27175.14492
281	27147.21777
282	27109.26661
283	27077.32147
284	27045.1237
285	27025.31345
286	27002.51912
287	26952.434
288	26890.73174
289	26868.0361
290	26826.85099
291	26768.64654
292	26731.58785
293	26676.0081
294	26650.81373
295	26596.4319
296	26568.42532
297	26516.0329
298	26489.02357
299	26447.9589
300	26389.73846
301	26350.52832
302	26334.50648
303	26310.88911
304	26285.18405
305	26246.79257
306	26230.89852
307	26183.52921
308	26152.39929
309	26113.1718
310	26063.84345
311	26017.30497
312	25990.98496
313	25948.27974
314	25911.63027
315	25871.88672
316	25834.60356
317	25799.88169
318	25755.94697
319	25693.12759
320	25639.59207
321	25601.15789
322	25593.05864
323	25548.87663
324	25521.0467
325	25496.86099
326	25466.25587
327	25428.56678
328	25396.08406
329	25381.1052
330	25345.89469
331	25315.13467
332	25282.47737
333	25247.60631
334	25213.62729
335	25181.47766
336	25149.14622
337	25122.62987
338	25094.22208
339	25063.8455
340	25028.03209
341	24992.96695
342	24958.20648
343	24911.05278
344	24862.65182
345	24850.99876
346	24818.1648
347	24788.9372
348	24763.59816
349	24748.18641
350	24724.28596
351	24694.16474
352	24655.75484
353	24639.30154
354	24615.77274
355	24602.65344
356	24576.67813
357	24546.33324
358	24518.63391
359	24496.07367
360	24477.17515
361	24471.64834
362	24452.76368
363	24429.56018
364	24384.63392
365	24346.11723
366	24331.04058
367	24318.16552
368	24307.372
369	24302.21419
370	24275.48986
371	24271.11637
372	24236.46133
373	24233.56633
374	24214.88423
375	24201.92149
376	24199.3663
377	24163.22812
378	24132.68498
379	24106.14404
380	24057.66597
381	24027.97411
382	24008.71259
383	23979.23489
384	23945.82995
385	23928.92726
386	23900.14146
387	23882.94502
388	23832.58143
389	23812.77697
390	23786.95548
391	23751.167
392	23735.29418
393	23703.24922
394	23700.51013
395	23682.37058
396	23648.32595
397	23629.40794
398	23578.68519
399	23550.44069
400	23525.28691
401	23511.27341
402	23508.10967
403	23463.66453
404	23439.81269
405	23420.93823
406	23377.86693
407	23347.02916
408	23330.73269
409	23285.08646
410	23252.71611
411	23235.47944
412	23218.59525
413	23211.5878
414	23162.83874
415	23160.03754
416	23116.25813
417	23083.07637
418	23064.20727
419	23046.67365
420	23025.05974
421	22992.95582
422	22965.75562
423	22945.39336
424	22903.5599
425	22867.42076
426	22845.49061
427	22829.5829
428	22815.99744
429	22784.49824
430	22756.31119
431	22716.49424
432	22695.64797
433	22667.72391
434	22651.24608
435	22607.37749
436	22592.61715
437	22565.28519
438	22562.42625
439	22524.47634
440	22506.49802
441	22483.71602
442	22471.89812
443	22460.75193
444	22447.38202
445	22431.43191
446	22411.94115
447	22370.33411
448	22313.99297
449	22288.37459
450	22271.2798
451	22267.67077
452	22231.18677
453	22206.29896
454	22186.95217
455	22171.37978
456	22148.20998
457	22126.4784
458	22098.34936
459	22064.7716
460	22039.0773
461	22035.39607
462	22011.86634
463	21972.28045
464	21941.69485
465	21920.25433
466	21890.28551
467	21863.26043
468	21824.00153
469	21793.24067
470	21758.35821
471	21739.05395
472	21736.30752
473	21701.68269
474	21683.41792
475	21663.1202
476	21649.77743
477	21646.59622
478	21632.75769
479	21609.3429
480	21582.44522
481	21568.30451
482	21532.32958
483	21513.33918
484	21485.78493
485	21470.11947
486	21442.51223
487	21408.19561
488	21390.20104
489	21365.35358
490	21334.06781
491	21306.28918
492	21304.26155
493	21289.52435
494	21274.48717
495	21258.80556
496	21236.38545
497	21210.13552
498	21179.0911
499	21166.26308
500	21153.47931
501	21133.99708
502	21113.33539
503	21071.08914
504	21056.44137
505	21038.70955
506	21014.86805
507	20997.71269
508	20982.83853
509	20964.31669
510	20939.50066
511	20925.26501
512	20893.36314
513	20869.61636
514	20841.94259
515	20839.63082
516	20816.80082
517	20799.04497
518	20764.35346
519	20755.32519
520	20722.61125
521	20704.01819
522	20692.74938
523	20681.64798
524	20646.03191
525	20637.43345
526	20621.43367
527	20606.95025
528	20599.96397
529	20583.12543
530	20565.16653
531	20548.31866
532	20519.83634
533	20504.56297
534	20501.69937
535	20470.43518
536	20454.87163
537	20435.12703
538	20432.80023
539	20420.00765
540	20405.76764
541	20375.53223
542	20365.13163
543	20348.31251
544	20331.63333
545	20317.7344
546	20304.79644
547	20295.60282
548	20252.49594
549	20232.43237
550	20212.81444
551	20198.29285
552	20168.64702
553	20152.11294
554	20143.72956
555	20128.18423
556	20108.54833
557	20094.74674
558	20071.28245
559	20059.63877
560	20047.03316
561	20035.59683
562	20016.78557
563	19997.50994
564	19977.23538
565	19971.21253
566	19955.59709
567	19939.55725
568	19926.57279
569	19909.48828
570	19900.31377
571	19898.37497
572	19889.96729
573	19876.60915
574	19847.33972
575	19829.38283
576	19819.7489
577	19798.8174
578	19796.99193
579	19784.23438
580	19770.06199
581	19753.93143
582	19743.5678
583	19729.19896
584	19714.07224
585	19700.38329
586	19691.03859
587	19673.74831
588	19666.34517
589	19644.54898
590	19629.33489
591	19611.13655
592	19590.55969
593	19573.08824
594	19554.96452
595	19553.22092
596	19533.8035
597	19509.84575
598	19497.9834
599	19479.39783
600	19463.46806
601	19450.16383
602	19427.43771
603	19405.13913
604	19398.83423
605	19386.11048
606	19372.94766
607	19348.5222
608	19346.7904
609	19329.7316
