block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
228,Bt Batok Ctrl,04 to 06,67,New Generation,1985,62.58,358000,Nov 2021
230,Bt Batok East Ave 3,10 to 12,69,New Generation,1985,63,350000,Nov 2021
250,Bt Batok East Ave 5,07 to 09,73,Model A,1985,62.58,337000,Nov 2021
162,Bt Batok St 11,01 to 03,74,Model A,1985,62.33,330000,Nov 2021
207,Bt Batok St 21,07 to 09,73,Model A,1983,60.83,357000,Nov 2021
318,Bt Batok St 32,10 to 12,68,New Generation,1986,63.5,335000,Nov 2021
109,Bt Batok West Ave 6,07 to 09,59,Improved,1985,62.25,320000,Nov 2021
255,Bt Batok East Ave 4,01 to 03,67,New Generation,1985,63.08,345000,Oct 2021
260,Bt Batok East Ave 4,10 to 12,73,Model A,1985,62.75,330000,Oct 2021
265,Bt Batok East Ave 4,04 to 06,67,New Generation,1985,63,305000,Oct 2021
244,Bt Batok East Ave 5,04 to 06,67,New Generation,1985,63.17,330000,Oct 2021
248,Bt Batok East Ave 5,07 to 09,73,Model A,1985,62.83,358000,Oct 2021
212,Bt Batok St 21,04 to 06,67,New Generation,1985,62.83,330000,Oct 2021
212,Bt Batok St 21,07 to 09,67,New Generation,1985,62.92,355000,Oct 2021
316,Bt Batok St 32,10 to 12,68,New Generation,1986,63.25,333000,Oct 2021
333,Bt Batok St 32,01 to 03,64,Simplified,1987,65.25,300000,Oct 2021
347,Bt Batok St 34,01 to 03,64,Simplified,1988,65.75,326000,Oct 2021
537,Bt Batok St 52,07 to 09,73,Model A,1987,64.67,343000,Oct 2021
410,Bt Batok West Ave 4,04 to 06,68,New Generation,1988,65.67,310000,Oct 2021
416,Bt Batok West Ave 4,04 to 06,73,Model A,1987,65.17,320000,Oct 2021
417,Bt Batok West Ave 4,10 to 12,73,Model A,1986,63.75,320000,Oct 2021
138,Bt Batok West Ave 6,04 to 06,68,New Generation,1984,61.92,315000,Oct 2021
144,Bt Batok West Ave 6,04 to 06,68,New Generation,1984,61.58,318000,Oct 2021
194B,Bt Batok West Ave 6,10 to 12,68,Premium Apartment,2017,94.83,440000,Oct 2021
194B,Bt Batok West Ave 6,13 to 15,68,Premium Apartment,2017,94.83,460000,Oct 2021
