block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
28,Jln Bt Merah,07 to 09,60,Standard,1967,44.67,288000,Nov 2021
137,Jln Bt Merah,07 to 09,59,Improved,1975,52.58,270000,Nov 2021
42,Telok Blangah Rise,04 to 06,70,Improved,1976,53.58,320000,Nov 2021
38,Beo Cres,07 to 09,59,Standard,1971,48.33,295000,Oct 2021
128,Bt Merah View,16 to 18,65,Improved,1973,50.83,356000,Oct 2021
103,Bt Purmei Rd,01 to 03,67,New Generation,1982,60.25,378000,Oct 2021
12,Cantonment Cl,25 to 27,60,Model A,2003,80.33,570000,Oct 2021
18,Cantonment Cl,13 to 15,60,Model A,2002,80.17,580000,Oct 2021
7,Everton Pk,01 to 03,84,New Generation,1980,58.08,456000,Oct 2021
105,Henderson Cres,16 to 18,65,Improved,1975,52.42,330000,Oct 2021
28,Hoy Fatt Rd,16 to 18,60,Standard,1967,44.75,262888,Oct 2021
77,Indus Rd,07 to 09,63,Improved,1973,50.33,350000,Oct 2021
8,Jln Bt Ho Swee,01 to 03,55,Standard,1971,48.83,253888,Oct 2021
8,Jln Bt Ho Swee,07 to 09,56,Standard,1971,48.83,300080,Oct 2021
46,Jln Bt Ho Swee,01 to 03,62,Standard,1970,47.33,310000,Oct 2021
1,Jln Bt Merah,04 to 06,64,Improved,1983,60.5,298000,Oct 2021
107,Jln Bt Merah,04 to 06,63,Standard,1970,47.33,268000,Oct 2021
108,Jln Bt Merah,07 to 09,74,Model A,1984,61.83,418000,Oct 2021
113,Jln Bt Merah,01 to 03,60,Standard,1969,46.33,265000,Oct 2021
113,Jln Bt Merah,07 to 09,71,Standard,1969,46.42,323000,Oct 2021
132,Jln Bt Merah,07 to 09,59,Improved,1975,52.67,290000,Oct 2021
132,Jln Bt Merah,07 to 09,70,Improved,1975,52.67,338888,Oct 2021
141,Jln Bt Merah,01 to 03,67,New Generation,1979,56.33,308000,Oct 2021
28,Jln Klinik,07 to 09,58,Standard,1969,46.83,328000,Oct 2021
37,Jln Rumah Tinggi,10 to 12,53,Standard,1969,46.75,262000,Oct 2021
45,Kim Cheng St,01 to 03,75,Standard,1973,50.25,600000,Oct 2021
49,Kim Pong Rd,01 to 03,88,Standard,1973,50.42,638000,Oct 2021
126C,Kim Tian Rd,31 to 33,62,Model A,2013,90.42,630000,Oct 2021
127A,Kim Tian Rd,31 to 33,62,Model A,2013,90.42,625000,Oct 2021
127C,Kim Tian Rd,25 to 27,62,Model A,2013,90.42,610000,Oct 2021
36,Moh Guan Ter,01 to 03,88,Standard,1973,50.33,690000,Oct 2021
47,Moh Guan Ter,01 to 03,77,Standard,1973,50.25,595000,Oct 2021
86,Redhill Cl,04 to 06,59,Improved,1973,50.33,341499,Oct 2021
86,Redhill Cl,07 to 09,59,Improved,1973,50.33,360000,Oct 2021
148,Silat Ave,04 to 06,67,New Generation,1982,60.08,340000,Oct 2021
18,Taman Ho Swee,07 to 09,54,Standard,1970,47.25,299998,Oct 2021
1,Telok Blangah Cres,13 to 15,74,Improved,1983,60.58,360800,Oct 2021
6,Telok Blangah Cres,07 to 09,65,Improved,1975,52.33,310000,Oct 2021
8,Telok Blangah Cres,04 to 06,59,Improved,1975,52.58,290000,Oct 2021
8,Telok Blangah Cres,04 to 06,72,Improved,1975,52.58,385000,Oct 2021
12,Telok Blangah Cres,13 to 15,70,Improved,1975,52.58,368000,Oct 2021
54,Telok Blangah Dr,01 to 03,73,New Generation,1978,55.33,382500,Oct 2021
64,Telok Blangah Dr,10 to 12,67,New Generation,1978,55.83,386000,Oct 2021
62,Telok Blangah Hts,04 to 06,88,New Generation,1976,54,408000,Oct 2021
70B,Telok Blangah Hts,07 to 09,68,Model A,2017,94.58,615000,Oct 2021
32,Telok Blangah Rise,13 to 15,59,Improved,1976,53.67,318000,Oct 2021
80B,Telok Blangah St 31,10 to 12,67,Premium Apartment,2013,90.92,646000,Oct 2021
80C,Telok Blangah St 31,34 to 36,68,Premium Apartment,2013,90.92,658000,Oct 2021
24,Tiong Bahru Rd,01 to 03,75,Standard,1973,50.25,595000,Oct 2021
128,Bt Merah View,16 to 18,65,Improved,1973,50.92,350000,Sep 2021
129,Bt Merah View,07 to 09,65,Improved,1973,50.92,380000,Sep 2021
129,Bt Merah View,16 to 18,76,Improved,1973,50.92,410000,Sep 2021
16,Cantonment Cl,04 to 06,60,Model A,2003,80.42,541000,Sep 2021
