block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
8,Empress Rd,10 to 12,65,Improved,1976,53.67,408000,Sep 2021
8,Empress Rd,04 to 06,65,Improved,1976,54,388000,May 2021
4,Queen's Rd,07 to 09,64,Improved,1974,51.92,408000,May 2021
8,Empress Rd,13 to 15,65,Improved,1976,54,418000,Apr 2021
4,Queen's Rd,10 to 12,73,Improved,1974,52.08,415000,Apr 2021
4,Queen's Rd,04 to 06,73,Improved,1974,52,432000,Apr 2021
8,Empress Rd,04 to 06,65,Improved,1976,54.17,390000,Feb 2021
4,Queen's Rd,10 to 12,73,Improved,1974,52.33,415000,Jan 2021
4,Queen's Rd,04 to 06,73,Improved,1974,52.33,418000,Jan 2021
4,Queen's Rd,10 to 12,73,Improved,1974,52.25,430000,Jan 2021
8,Empress Rd,07 to 09,65,Improved,1976,54.42,378000,Dec 2020
8,Empress Rd,07 to 09,65,Improved,1976,54.5,370000,Nov 2020
8,Empress Rd,10 to 12,65,Improved,1976,53.67,408000,Sep 2021
8,Empress Rd,04 to 06,65,Improved,1976,54,388000,May 2021
4,Queen's Rd,07 to 09,64,Improved,1974,51.92,408000,May 2021
8,Empress Rd,13 to 15,65,Improved,1976,54,418000,Apr 2021
4,Queen's Rd,10 to 12,73,Improved,1974,52.08,415000,Apr 2021
4,Queen's Rd,04 to 06,73,Improved,1974,52,432000,Apr 2021
8,Empress Rd,04 to 06,65,Improved,1976,54.17,390000,Feb 2021
4,Queen's Rd,10 to 12,73,Improved,1974,52.33,415000,Jan 2021
4,Queen's Rd,04 to 06,73,Improved,1974,52.33,418000,Jan 2021
4,Queen's Rd,10 to 12,73,Improved,1974,52.25,430000,Jan 2021
8,Empress Rd,07 to 09,65,Improved,1976,54.42,378000,Dec 2020
8,Empress Rd,07 to 09,65,Improved,1976,54.5,370000,Nov 2020
