block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date
30,Balam Rd,01 to 03,57,Standard,1973,50.75,255000,Nov 2021
33,Eunos Cres,10 to 12,60,Model A,2007,84.25,505000,Nov 2021
312,Ubi Ave 1,01 to 03,64,Simplified,1985,62.83,327000,Nov 2021
19,Balam Rd,04 to 06,60.3,Standard,1967,44.33,278000,Oct 2021
19,Balam Rd,10 to 12,60.3,Standard,1967,44.33,294888,Oct 2021
23,Balam Rd,07 to 09,60.3,Standard,1967,44.33,285000,Oct 2021
18A,Circuit Rd,04 to 06,67,Model A,2016,94.17,510000,Oct 2021
38,Circuit Rd,07 to 09,60,Standard,1971,48.25,250000,Oct 2021
57,Circuit Rd,04 to 06,56,Standard,1969,46.33,250000,Oct 2021
59,Circuit Rd,07 to 09,60,Standard,1969,46.33,275000,Oct 2021
61,Circuit Rd,07 to 09,61,Standard,1969,46.25,268000,Oct 2021
62,Circuit Rd,04 to 06,56,Standard,1967,44.42,265000,Oct 2021
62,Circuit Rd,07 to 09,56,Standard,1967,44.25,281000,Oct 2021
64,Circuit Rd,01 to 03,59,Standard,1967,44.25,250000,Oct 2021
87,Circuit Rd,07 to 09,60,Improved,1970,47.33,258000,Oct 2021
16,Eunos Cres,04 to 06,59,Improved,1977,54.67,295000,Oct 2021
18,Eunos Cres,10 to 12,70,Improved,1977,54.58,315000,Oct 2021
19,Eunos Cres,01 to 03,65,Improved,1977,54.67,300000,Oct 2021
4,Haig Rd,04 to 06,65,Improved,1976,53.83,352000,Oct 2021
10,Haig Rd,04 to 06,65,Improved,1976,53.75,330000,Oct 2021
3,Joo Chiat Rd,10 to 12,74,Model A,1985,63.25,439000,Oct 2021
91,Paya Lebar Way,04 to 06,58,Improved,1972,50,265000,Oct 2021
93,Paya Lebar Way,10 to 12,58,Improved,1972,50,251000,Oct 2021
41,Sims Dr,04 to 06,66,Improved,1981,58.42,291000,Oct 2021
41,Sims Dr,04 to 06,66,Improved,1981,58.5,295000,Oct 2021
41,Sims Dr,07 to 09,66,Improved,1981,58.5,308000,Oct 2021
45,Sims Dr,10 to 12,65,Improved,1977,54.58,323000,Oct 2021
53,Sims Pl,07 to 09,65,Improved,1981,58.33,300000,Oct 2021
101,Aljunied Cres,10 to 12,67,New Generation,1978,55.42,330000,Sep 2021
108,Aljunied Cres,04 to 06,68,New Generation,1981,58.58,350000,Sep 2021
22,Balam Rd,07 to 09,60,Standard,1967,44.42,275000,Sep 2021
52,Cassia Cres,16 to 18,62,Model A,2018,95.42,532000,Sep 2021
18A,Circuit Rd,13 to 15,67,Model A,2016,94.25,545000,Sep 2021
18C,Circuit Rd,01 to 03,67,Model A,2016,94.25,510000,Sep 2021
47,Circuit Rd,01 to 03,56,Standard,1969,46.42,245000,Sep 2021
47,Circuit Rd,01 to 03,55,Standard,1969,46.5,265000,Sep 2021
58,Circuit Rd,01 to 03,55,Standard,1969,46.5,220000,Sep 2021
58,Circuit Rd,04 to 06,56,Standard,1969,46.33,250000,Sep 2021
62,Circuit Rd,07 to 09,56,Standard,1967,44.33,305000,Sep 2021
63,Circuit Rd,07 to 09,56,Standard,1967,44.42,280000,Sep 2021
66,Circuit Rd,04 to 06,67,Standard,1967,44.42,290000,Sep 2021
17,Eunos Cres,07 to 09,59,Improved,1977,54.75,288000,Sep 2021
20,Eunos Cres,07 to 09,75,Improved,1982,59.42,325000,Sep 2021
35,Eunos Cres,16 to 18,60,Model A,2006,84.25,475000,Sep 2021
97,Jln Dua,04 to 06,56,Standard,1969,46.42,282888,Sep 2021
99,Old Airport Rd,10 to 12,56,Standard,1969,46.42,305000,Sep 2021
91,Paya Lebar Way,04 to 06,58,Improved,1972,50.08,280000,Sep 2021
93,Paya Lebar Way,07 to 09,58,Improved,1972,50.17,240000,Sep 2021
63,Sims Pl,13 to 15,68,Model A,2016,94.33,510000,Sep 2021
63,Sims Pl,19 to 21,68,Model A,2016,94.33,580000,Sep 2021
97,Aljunied Cres,04 to 06,65,Improved,1975,53.08,278888,Aug 2021
101,Aljunied Cres,07 to 09,67,New Generation,1978,55.5,328000,Aug 2021
109,Aljunied Cres,04 to 06,60,Improved,1986,63.5,315000,Aug 2021
22,Balam Rd,07 to 09,60,Standard,1967,44.42,288888,Aug 2021
23,Balam Rd,07 to 09,60.3,Standard,1967,44.5,280000,Aug 2021
24,Balam Rd,01 to 03,60,Standard,1967,44.67,205000,Aug 2021
34,Cassia Cres,07 to 09,68,New Generation,1981,59,415000,Aug 2021
42,Cassia Cres,13 to 15,68,New Generation,1981,58.92,400000,Aug 2021
34,Circuit Rd,04 to 06,60,Standard,1967,44.5,250000,Aug 2021
36,Circuit Rd,10 to 12,63.1,Standard,1971,48.5,268000,Aug 2021
47,Circuit Rd,04 to 06,56,Standard,1969,46.58,248000,Aug 2021
57,Circuit Rd,07 to 09,56,Standard,1969,46.5,278000,Aug 2021
67,Circuit Rd,01 to 03,61,Standard,1969,46.5,262000,Aug 2021
31,Eunos Cres,10 to 12,60,Model A,2007,84.5,485000,Aug 2021
35,Eunos Cres,16 to 18,60,Model A,2006,84.33,495000,Aug 2021
